,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,0.5323840095806096,-0.9860922973061375,0.8057597005800259,0.8588102760690274,-0.3435512869013481,0.8520996548245136,-0.0194444932516839,0.7406314122983294,0.08108321162614031,-0.7101832623122196,-0.3669820338127556,-0.06892461467275995,-0.9976394419047894,0.42844620304464875,-0.7128783627558829,-0.6785945211519658,-0.07896429504009625,-0.9957426295268835,0.27153253727625754,0.2419709864694153,0.15868238324235898,-0.17790256199676047,-0.8968432206357694,0.4309033017747729,0.10882743553744757,-0.7194611923003322,0.9411619408860875,-0.3406653250730959,-0.3468520387974921,-0.08223350979036083,-0.6785945211519658,-0.9796254296570448,0.31213375908645585,0.999980903173106,-0.9575232795542739,-0.46197102749927316,-0.0056088739536691865,-0.953655218822498,-0.9590406080161524,-0.9486176847005744,-0.9498705429774044,0.1640825158462105,0.9928725082266703,0.31213375908645585,-0.37023749951354723,0.8722651786719864,0.9411619408860875,0.22428978681636108
PUNCT,0.5323840095806096,1.0,-0.38429214702782805,-0.07236154103172626,0.8908750548934339,0.612078431406721,0.010601870828751012,-0.8566948586973412,0.9630754263002916,-0.8005483074796457,0.21786214210891675,0.5920654166144314,-0.8811842324564492,-0.472998081473422,-0.536774482432688,-0.9731671581144584,-0.9830403770591369,0.8018203828162679,-0.4520892746307367,-0.6701396396331665,-0.6925263612027914,-0.7512975379403974,-0.9277121182304602,-0.10301563351733475,0.9932886993783553,-0.783537304832,0.20489430624920443,0.7871402518408636,0.61450430237241,0.6092934611155909,0.799856127422236,-0.9830403770591369,-0.6915429043465937,-0.6380351000939333,0.5376052919382518,-0.753864271232491,0.5048132711356904,-0.8494757224192244,-0.2529967624908357,-0.7503656120395664,-0.7728831955514007,-0.24104224795574486,0.9223848917209962,0.6294767710045606,-0.6380351000939333,0.5892395096053799,0.8783480751095636,0.7871402518408636,0.9443444747747218
AUX,-0.9860922973061375,-0.38429214702782805,1.0,-0.8929833379508153,-0.7617236801425195,0.494856038401241,-0.9272338689059602,-0.14699313284086488,-0.6186601610950975,-0.24560691385304406,0.8173128744087366,0.5164807713101524,-0.09783734632864705,0.9951773981810638,-0.5726591373709269,0.5864108144636349,0.5470817689832856,0.24354573846018307,0.9972138420422493,-0.42771055811672143,-0.3998655019014162,-0.32056830620500315,0.011880908813964221,0.9578879098087288,-0.27493310685927225,-0.2725254049769111,0.824885506617717,-0.8719047336958659,0.49218484059837203,0.49790910984052433,0.24672555041991553,0.5470817689832856,0.9326228718622797,-0.4656877273888,-0.985046346647228,0.8962819652010013,0.6029467993148844,-0.16066513802715163,0.9904014825484196,0.8986237023948794,0.8828352705071338,0.9886209422994001,0.0021455611478146896,-0.9592561649178879,-0.4656877273888,0.5194764154677295,-0.7788573332099171,-0.8719047336958656,-0.059206137746336686
ADV,0.8057597005800259,-0.07236154103172626,-0.8929833379508153,1.0,0.38859251157814956,-0.8330149006486811,0.99655524568437,0.5764630468218599,0.1988363060958255,0.655626134634018,-0.989185830763578,-0.8466200064851507,0.5352975002719842,-0.8445268502174793,0.8803557323923938,-0.1590762000530722,-0.11177417268760038,-0.6540195430167765,-0.8569204824892208,0.7887815896353249,0.7696136899154272,0.7125985740109729,0.43944850116178785,-0.9846177817505816,-0.1872340918773693,0.6764138362116828,-0.9910446579051373,0.5581984712366357,-0.8313117854738927,-0.8349554972860814,-0.6564971819085824,-0.11177417268760038,-0.6704006511332677,0.8141578838121762,0.8020842112166017,-0.6007569759913803,-0.8974946528530552,0.5877138859832264,-0.9466236429634795,-0.6049925261693666,-0.5769578084291006,-0.9505281994714153,-0.4520046367000846,0.7294324108452395,0.8141578838121762,-0.8484786046563018,0.41320983981889065,0.5581984712366356,-0.396430070510415
PART,0.8588102760690274,0.8908750548934339,-0.7617236801425195,0.38859251157814956,1.0,0.1860670818037835,0.46366784330598915,-0.528896048183203,0.9802779630549452,-0.44097186602552757,-0.24924923209846658,0.16138208508560276,-0.570268639542859,-0.8216038841812712,-0.09493789511891192,-0.971492585856901,-0.9590704289185846,0.44287875930012044,-0.8079322538442688,-0.25985158360827143,-0.2892630177076572,-0.36952478657094656,-0.6569062662015082,-0.5436057675118784,0.8323571147037971,-0.4157889643410852,-0.2620759169043282,0.9814122574484389,0.18908384882291457,0.18261040836748146,0.4399356963874792,-0.9590704289185846,-0.9441980387186203,-0.21863495650350004,0.8619598878850976,-0.970053803122803,0.05760532832080084,-0.517102673147618,-0.6648589277676882,-0.9687506804004212,-0.9767849361014417,-0.6555932703992611,0.6462662098355436,0.9137449510202534,-0.21863495650350004,0.1579249385942375,0.9996389553726512,0.9814122574484386,0.6918641789874508
CCONJ,-0.3435512869013481,0.612078431406721,0.494856038401241,-0.8330149006486811,0.1860670818037835,1.0,-0.784263441962488,-0.9322761813331536,0.37657003681965506,-0.9638979054431042,0.9051504812822807,0.9996858426372155,-0.9132213949042749,0.4072304696128716,-0.9957639342130625,-0.4136927865877609,-0.45667413171451005,0.9633297043386129,0.42865529244035444,-0.9971353133302355,-0.9943555734685469,-0.9817503283206033,-0.8630342994488216,0.7235361666366867,0.699435285206953,-0.9709438834081858,0.8994309800956523,-0.005951533133187105,0.9999952836140428,0.9999938155513833,0.9642045820315394,-0.45667413171451005,0.14794220599556193,-0.9994470181476783,-0.33774081100253056,0.058153477466214215,0.9916239311617038,-0.9371922082714121,0.6102162989120489,0.06345246470787202,0.028733810645903128,0.6199433523022542,0.8700347153481763,-0.22917542633462656,-0.9994470181476783,0.9995919358134515,0.1595998276776831,-0.005951533133187085,0.8381520817896514
NOUN,0.8520996548245136,0.010601870828751012,-0.9272338689059602,0.99655524568437,0.46366784330598915,-0.784263441962488,1.0,0.5067119765846387,0.27942699786911,0.5907472371141412,-0.9736149548526111,-0.7995676139321451,0.46340426926253003,-0.8860286043598399,0.8379875258699452,-0.24040374866397607,-0.19380101051457255,-0.5890307407567967,-0.8967155564849141,0.7350885973662035,0.7140099509907318,0.6519613922079275,0.3634399675595676,-0.9957159930608063,-0.10512418220531831,0.6130028630898071,-0.976556832505925,0.6250845417933102,-0.7823542362163427,-0.78644059893164,-0.591678079233862,-0.19380101051457255,-0.7296264393695997,0.76319963865531,0.8488488590105948,-0.6649856279827658,-0.8578280886328687,0.5185920215320607,-0.9700949910879687,-0.668941160437437,-0.6427066618419606,-0.97301557812574,-0.3764713547925203,0.783649263245407,0.76319963865531,-0.8016659653978332,0.4873068766389311,0.6250845417933102,-0.3189279176783297
SCONJ,-0.0194444932516839,-0.8566948586973412,-0.14699313284086488,0.5764630468218599,-0.528896048183203,-0.9322761813331536,0.5067119765846387,1.0,-0.6861857047255612,0.9949422741020942,-0.6900745997754026,-0.9229163790146357,0.9987734627849749,-0.049258242125715085,0.8950655423868773,0.7150166728795304,0.7475691456555948,-0.9951535525026182,-0.07279795100664688,0.9569674889422066,0.9653950382484243,0.9840575170617929,0.9873212868170856,-0.42482625437414473,-0.9106061946798002,0.991756623275241,-0.6804117753676393,-0.3561924381813315,-0.9333828110024323,-0.93099817251849,-0.9948256787308025,0.7475691456555948,0.21984365802094152,0.9437892668625081,-0.02562302543980814,0.3069200141568179,-0.8777445454950047,0.999904272797299,-0.28230128661044407,0.3018631252300328,0.3348101043419266,-0.29411462921521686,-0.9894506186711575,-0.13846467070614718,0.9437892668625081,-0.9215624240231494,-0.505901483863669,-0.3561924381813315,-0.9786994501558446
VERB,0.7406314122983294,0.9630754263002916,-0.6186601610950975,0.1988363060958255,0.9802779630549452,0.37657003681965506,0.27942699786911,-0.6861857047255612,1.0,-0.6096463824388539,-0.05294698585402596,0.35323252138103517,-0.7213613775848731,-0.6927430657359209,-0.28979656982931246,-0.9991834045544686,-0.9961162348858792,0.6113300170250943,-0.6755434205898844,-0.4455617952703735,-0.4727333526820941,-0.5458730448591692,-0.792953500542478,-0.36701116937690453,0.9254722187546197,-0.587319804658635,-0.06619106427066687,0.9241305756938097,0.3794134564878274,0.3733096574465197,0.6087311103593438,-0.9961162348858792,-0.8604835817300068,-0.40716553563700814,0.7447697302086557,-0.9029215256117257,0.2537647373432414,-0.6760550743519163,-0.5041278105757973,-0.9006270546046485,-0.9151853526756272,-0.4934351946885259,0.7843295261857143,0.8154318586376305,-0.40716553563700814,0.3499540518498814,0.9746140306740222,0.9241305756938096,0.8209089666665447
ADP,0.08108321162614031,-0.8005483074796457,-0.24560691385304406,0.655626134634018,-0.44097186602552757,-0.9638979054431042,0.5907472371141412,0.9949422741020942,-0.6096463824388539,1.0,-0.7592827047790031,-0.9569211826676194,0.9887484078370218,-0.14933552170341266,0.9353319422337627,0.6411761290274411,0.6770719593257487,-0.9999977406276633,-0.1726115911679628,0.9812770339594846,0.9867084520193763,0.9969452140903148,0.9663830565063313,-0.5136109709692631,-0.8644877898028038,0.9996116265653421,-0.7505820046046983,-0.26053070755695334,-0.9647111550003591,-0.9629554815908261,-0.9999993339658914,0.6770719593257487,0.12074085520268425,0.9722188165543864,0.07492194016387362,0.20976745419806203,-0.9214328631156875,0.9962368719988364,-0.37723617833195366,0.20457382084885398,0.23846568973926144,-0.388632613749595,-0.969894241862596,-0.03828358484825231,0.9722188165543864,-0.955898498605992,-0.41669690283762095,-0.2605307075569533,-0.9531275823157068
