,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.7892306968735614,0.002080696642801183,0.3950249239987971,-0.10228918401608439,-0.19236243540356482,0.039604502703202905,-0.2969632989656024,-0.45015831647172494,0.20894351091069097,0.5071584554797716,-0.1878292206255702,0.12031251993790458,0.5965805504722188,0.5649011547888971,0.14486624879604623,0.2841953251896121,0.5199631302256161,0.2373821309596845,-0.12691210830006977,-0.8535253600489271,-0.23763498129462002,-0.2303169553819877,-0.22965189700360258,0.3838882901586887,0.15546836574635797,0.2552291799509198,-0.1381103673453391,-0.04351672686631557,0.46623866966663524,-0.08573053092490669,-0.48608318621535385,-0.3620486327962967,0.11613834376852585,0.5255529044819031,0.5633256173226352,0.25844360897456,0.2373821309596845,0.3986739567122885,0.5240410447988303,-0.24119040841797054,-0.43170271567772206,0.059338383829765175,-0.5478160123773389,0.463604185310186,-0.1778894204426919,0.5371341567146704,-0.28316542969698666,-0.33763211776483926,-0.8157467545626041
PUNCT,-0.7892306968735614,1.0,-0.2072448876995584,-0.4674562589280816,-0.05116697755574451,0.4290989142934362,-0.18116657469441408,0.39084574905815456,0.16596500819466575,-0.06333641378172768,-0.39174524713180225,0.33843718234549963,-0.0410478693321688,-0.22972694857939557,-0.1786319571654956,-0.39910293306256167,-0.1117588578583824,-0.24807682610674048,0.07592961765138385,0.08208035371456487,0.9312922290029146,-0.07744708940859774,0.07081311958671346,-0.2838631457858795,-0.6668220902544778,-0.07369478721208618,-0.6362764176645168,0.5038169027926955,-0.11225394746105863,-0.17760334797944569,0.0555199994521416,0.0722253564023737,0.5689371044503891,0.16553939960250447,-0.1600599501302842,-0.3981653206306645,0.03287514868950904,0.07592961765138385,-0.30076544366713154,-0.6621598313336698,0.27616585523659454,0.4556705378698969,-0.33420798881212427,0.8365659110909659,-0.2938929726277171,-0.012732953370216628,-0.655113846700921,0.21374631141473904,0.26751283404795545,0.9896195339239588
AUX,0.002080696642801183,-0.2072448876995584,1.0,0.7788782168641947,-0.2290216077851049,-0.38213879403888024,0.06202096996885475,-0.5044085741940905,-0.255718871462952,-0.8255523634242478,0.022471133162329897,-0.0770252298311323,0.5066632691119016,-0.07544998180397881,-0.4271102973089867,-0.06753653348194026,0.33658478354474247,-0.05624284493616992,-0.2621385376517975,-0.06899501958799653,-0.2262124091070706,-0.4114803476956665,-0.3359331232735185,0.49730038158346634,0.1990009367815381,-0.47881107352309177,0.3972865785417659,-0.08310321897738397,0.29320376355035327,0.27299903656499347,-0.056591450077345555,-0.13385662418445957,-0.12946068738815633,-0.5743202350040014,-0.5892167932643787,0.3368037671653355,0.0024712111655923455,-0.2621385376517975,0.14691981177068134,0.5934944483730602,0.63689529322661,0.1572118602245436,0.7690376658549855,-0.5233062410490271,-0.2320278370824705,-0.24064461471675508,0.13591950967521382,-0.3098188413259673,0.17259434401691615,-0.1998939648879348
X,0.3950249239987971,-0.4674562589280816,0.7788782168641947,1.0,-0.3238221731985549,-0.30490521904621687,0.15570606756758254,-0.3016110989333715,-0.6479576968919813,-0.5319849007698667,-0.1590146895879537,-0.1977399356379953,0.47368754117809425,0.2957369122083223,-0.03786854564087356,-0.1323532426895798,0.3328181187136804,0.027186774913642294,-0.23118264599065624,-0.03667746950103367,-0.3899273352765884,-0.5516676902641681,-0.6819332260310296,0.37434473966346093,0.11892463910895,-0.11755464680484487,0.6179790535746942,-0.048185598528534025,0.21943139793911814,0.4404095348581983,-0.05680261294902082,-0.3289540235627677,-0.504460542095087,-0.4304131583232741,-0.19902463039984528,0.8092893034040417,0.23740997500092534,-0.23118264599065624,0.13864856435743647,0.7826287816698493,0.5120760220076924,-0.13648320200323724,0.4254567380025275,-0.7256337999579769,-0.09239599400593891,-0.19176720135931064,0.3993889407562548,-0.3672724872287293,-0.3221254122215698,-0.4571458806801633
ADV,-0.10228918401608439,-0.05116697755574451,-0.2290216077851049,-0.3238221731985549,1.0,-0.4501924517516075,-0.6006379315771229,0.4402733751251516,0.12428947996234659,0.29920032570417626,0.29279326915329806,-0.16828750881830357,-0.8601650337256631,-0.16889737570390162,-0.22391496829992805,0.5574357288783972,0.2946016877601361,0.1844466046223824,0.16234308928948513,-0.7019133304522337,-0.09646141029720771,0.07213934125100592,0.0056570037017136575,0.22105157835758582,0.6204333493363904,-0.26698882677517316,-0.09625662224053487,-0.41415831763480365,-0.5266366030689162,-0.13705015079612812,0.1778106433795241,0.5890830087056457,-0.08322922632128146,0.23011541334568364,0.15216851946040924,-0.3126439566680799,-0.21974577633972062,0.16234308928948513,0.5911057442958633,0.019767487519502365,-0.14646686993782354,0.004929642239581506,-0.008420857966103252,-0.020039474931563973,0.07948589332648782,0.474572573129692,-0.6232403991829156,0.8148945304005425,0.0853112966514783,-0.01251519375413623
PART,-0.19236243540356482,0.4290989142934362,-0.38213879403888024,-0.30490521904621687,-0.4501924517516075,1.0,0.3354547910201084,-0.07268280460022061,-0.1257539343330196,0.3829121499836958,-0.4372200151645687,0.1950171751443279,0.4574832142108178,-0.37122492049958794,0.3018093194730612,-0.5287959688604945,0.03571714714116567,-0.5147458264213087,-0.417132235068131,0.6713152014632011,0.376110810836337,-0.04048498105110462,-0.05799681278396145,-0.38651977039008706,-0.4357525232885017,0.3019336413320642,-0.33532492318003426,0.04887312187890769,0.3879552337832669,-0.4674568221237322,0.3462468099223801,-0.2854641300453112,0.46030979355325297,0.23519055355678176,-0.04667961585883551,-0.2310533954154896,0.4940474415146233,-0.417132235068131,-0.6161557269456792,-0.42059018390643305,-0.46935628814209884,-0.3932842040459171,-0.1495167810521417,0.5563265223297159,-0.4586935223218532,-0.028335994443011676,0.07735205510555244,0.06270358139093493,0.2655870439124067,0.3351268698106571
CCONJ,0.039604502703202905,-0.18116657469441408,0.06202096996885475,0.15570606756758254,-0.6006379315771229,0.3354547910201084,1.0,-0.10639692372006126,-0.0664472078788632,-0.14016435373449768,-0.18598477237289834,-0.3047023532182249,0.4235265164250807,-0.23829115229464692,-0.0363726368847431,-0.6430069497772838,-0.3056236773432031,-0.3922481242429998,-0.6385037412535903,0.5754599241694888,0.006560262763538301,0.005744058035907649,-0.009260560631436652,0.12326891308616343,-0.13718491926345133,0.054271750299673446,0.5976424628806917,-0.28976464873366076,0.9086209620266653,-0.4091237067781171,0.029654615524601326,-0.22675084534659712,-0.08676648606421514,-0.29928626993675267,-0.2254723626732035,-0.01992052669903772,0.45411106295629833,-0.6385037412535903,-0.30493309918741335,-0.27526799667069607,-0.1481625005503561,0.07226260846639807,0.06787906619745589,-0.22133974811330137,0.13273101308523047,0.03212337732226458,0.5291602157215696,-0.3115355048011652,-0.23105475061629846,-0.2438118437693842
NOUN,-0.2969632989656024,0.39084574905815456,-0.5044085741940905,-0.3016110989333715,0.4402733751251516,-0.07268280460022061,-0.10639692372006126,1.0,-0.16394892597370553,0.3592482911474866,-0.22661271165513058,-0.32256752171493625,-0.7270529292079099,0.1704000698131765,0.09917244827380065,-0.16962384871715416,-0.08508274643692507,-0.05244263111084739,0.11705880874438376,-0.4648211983752705,0.539910551489536,-0.08393243382867219,-0.25493091082058694,-0.18282419641143582,-0.21354176110884837,0.1837211257303219,0.00858426745303239,0.13857554578572712,-0.2908621851554465,-0.1616327416623612,-0.14328492308187477,0.17549434161234312,-0.261907877241808,0.4158454010692357,0.4502538534448588,0.00945703859029471,0.14907997635903533,0.11705880874438376,0.2705539949760458,-0.4496854592989792,0.0918328847096582,0.39137766443111144,-0.7232965770276959,0.32232835707360274,0.3314023206330538,0.269979588723945,-0.6016297928857365,0.5199021429749919,-0.44691350401945007,0.4256637140985219
SCONJ,-0.45015831647172494,0.16596500819466575,-0.255718871462952,-0.6479576968919813,0.12428947996234659,-0.1257539343330196,-0.0664472078788632,-0.16394892597370553,1.0,-0.01962277107750036,0.11125515477481061,0.36267629158673426,-0.2201960960050702,-0.3425465042979541,-0.4014513501944853,0.4305902057161235,-0.6798227745805338,0.01831758490884464,0.22023770089924438,0.21338027081880798,0.17435301097585712,0.8271381771715934,0.9468153318249798,0.1648765001451777,-0.04380189368875365,-0.03752132770538855,-0.296021449590728,0.02587650938626783,-0.13275022107507284,-0.2328583709075751,-0.05913179860145495,0.5858071106365903,0.3452849667382365,-0.1491892723397385,-0.283559213572569,-0.721429315470275,-0.7541067595370644,0.22023770089924438,-0.3457359680270467,-0.40647986535089814,-0.1904716513494626,0.22557106571562627,-0.039941403846642756,0.25908988552497453,-0.043003967166269454,0.1343099916249337,0.020974709849662196,-0.10128657072167327,0.3138527308097512,0.21629533555699515
VERB,0.20894351091069097,-0.06333641378172768,-0.8255523634242478,-0.5319849007698667,0.29920032570417626,0.3829121499836958,-0.14016435373449768,0.3592482911474866,-0.01962277107750036,1.0,0.03828016896699237,-0.26760145195449486,-0.38785598629816437,0.03228171225298348,0.6794722817135866,0.24932561040155676,0.07089283316683206,-0.17903285852586587,0.07115620337277288,-0.08721183536517789,-0.05088196763573786,0.3630362634635031,0.09255406809551409,-0.5286262396029158,0.10385315088649068,0.6686102620505096,-0.2227734555473557,-0.09315243872756526,-0.2964189126456034,-0.39748870606747866,-0.06915797973006615,-0.07565498731733084,-0.17499543649008362,0.8005916454618888,0.6922971710768021,-0.12167638424210009,0.07579149162552697,0.07115620337277288,-0.028058116673525303,-0.1939385891512593,-0.8244685799795772,-0.5021210500046189,-0.5103258775618714,0.383254278990228,0.128225610736652,-0.0028954311469637757,-0.09111758611080055,0.37841119695536196,0.037138411050456906,-0.07384347343809809
