,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.8996472015206339,0.8793798689945787,0.4286039059623639,0.5132466754093642,0.13120695388774442,-0.2582697089423698,0.047909646698833394,0.012114485135276354,-0.4429767332628525,-0.31919287755433057,0.37811239167947985,-0.07290505353920694,-0.25915832789037035,0.5525932300329239,-0.2017436636604599,-0.614337374665336,-0.11781930822411843,-0.9544261540803923,0.6477309377336746,-0.20576067060142778,-0.12112728992627414,0.05650056569633874,-0.18195197854644685,-0.3973112784837541,-0.06777099460926685,0.11216494316185883,-0.3163085864501171,-0.1478887086275366,0.4329339064343049,-0.18080367977067585,0.7202010275437821,0.1627828078023664,0.8097874715221085,-0.34738071435891205,-0.4034310076576912,-0.2657418351197712,-0.22845222783429486,0.0848204849554806,0.8471378444263972,0.8907514100463465,0.45269172246159034,-0.2464521619011346,0.06106646095590948,-0.38034527716904315,-0.010803622682142982,0.4625989925576192,0.5751590265853043,-0.9469362911051591
PUNCT,-0.8996472015206339,1.0,-0.8657094756173641,-0.5201427478411047,-0.2855230556519432,0.12651337540349306,0.5150379546555782,-0.08667810516875508,-0.12511767345393054,0.4261468002040949,0.3915914664767482,-0.5493158261113648,0.1249743165564532,0.06741672782532773,-0.4994914951310246,0.22234806084426698,0.6404163338212039,0.21396970269643775,0.8892023763274742,-0.8272336648896532,-0.0032706283941590247,0.33369674935604055,-0.1270938199182472,-0.11962634810263194,0.30529674985718347,-0.10485630471325406,0.07868312680740408,0.06111020733114767,0.4144195417827467,-0.4626297656873518,0.17256695445236966,-0.699958358064799,-0.2983916749876129,-0.7711964011891016,0.3348652375945055,0.5192373771252897,0.5854246074569134,0.3079535076280066,-0.3201120671647628,-0.9345787574811573,-0.782218154030555,-0.3386106230494624,0.13652311636321476,-0.3483366446626012,0.6817943271397067,-0.08263500660991516,-0.47344730466825174,-0.40270972033840874,0.9577949683515087
AUX,0.8793798689945787,-0.8657094756173641,1.0,0.5149107650377295,0.2774612939967759,-0.15158779101017375,-0.36265631897427836,0.08275019153728684,0.02899546191076681,-0.34826904806945946,-0.083713700027829,0.3054600967940257,-0.34947833592189254,-0.2679305419883165,0.6206135746951505,-0.07388352685241652,-0.5557691377801541,-0.39117755765450046,-0.7803892309236582,0.7317908952960321,-0.25220055959907484,-0.033053226967047176,0.28311167451312624,0.1622463138345458,-0.45095632917773204,0.13097796656489635,0.11172307118579837,-0.20595178873288073,-0.5131682459897559,0.11410163865221944,0.04553320213894737,0.810735269655967,-0.03781620283773256,0.5498619889068519,-0.5570609031832938,-0.6545485049226342,-0.35816037896477654,-0.13050610693159617,0.010806821588469526,0.8111603701091182,0.8491091485977245,0.7099920352571595,0.1149045977375152,0.22871353778413475,-0.4461457721759544,-0.30238686919008895,0.4599109857875307,0.5275978657643217,-0.8152085169479943
ADV,0.4286039059623639,-0.5201427478411047,0.5149107650377295,1.0,0.4769987461252506,0.16107096211225896,-0.8327777417864423,0.7726330591560713,0.7865058515709822,-0.8120722671153392,-0.19853972497841177,-0.22652394903275405,-0.5491230843956498,-0.416753772807615,0.635112445272013,-0.2668045494001681,-0.37371465788656427,-0.7606715946442312,-0.48348508269622203,0.797578770244752,0.6224531120486951,0.18094288120355434,0.5266102275447707,0.37651319572705244,0.2800192841664422,-0.5102477591704616,-0.4390084213459185,-0.08833190420525845,-0.19181751296513086,0.04080419268795439,0.45088788228785753,0.8229908594280074,0.43862426141734584,0.5413323612588558,-0.6786611799728647,-0.8208871077808588,-0.46715934596086034,-0.8030394496020873,0.6735608285528151,0.4934348840956072,0.2723719217375434,0.22327981020858342,0.13225636886139183,0.23093101582724082,-0.081346981766227,-0.2452736589725399,0.9438796381597997,0.40646452344912937,-0.4737579093824167
PART,0.5132466754093642,-0.2855230556519432,0.2774612939967759,0.4769987461252506,1.0,0.32705611851720157,-0.27273464119525404,0.45213367962392637,0.4095525589202557,-0.8116576397924063,-0.18425746500543458,-0.021063566836954924,-0.21545687445148304,-0.356973601789177,0.7192664877479323,-0.5413137409970514,-0.014838725632518979,0.046773774745709255,-0.5262899325612084,0.30375986446666725,0.11142177179727672,-0.020204627193425695,0.3911856633176675,-0.541614002007095,0.29652398551890374,-0.5302570915198961,-0.027771923438893394,-0.5803509718191839,0.33962101300978254,0.4497976957075869,0.127890662981375,0.4827782511975423,0.260887890455456,0.5504483271010743,-0.26053125920208337,-0.29401650170093935,-0.04909665469054349,-0.6817343301006836,0.14322510494686816,0.3422131883605523,0.24629771827444497,0.02045559296994977,-0.12268275273174492,-0.3339071850851601,0.32785562968855214,0.20581143960609102,0.5376689333897882,0.3090249451392962,-0.4737096503700703
CCONJ,0.13120695388774442,0.12651337540349306,-0.15158779101017375,0.16107096211225896,0.32705611851720157,1.0,0.14002313446329687,0.3031316025911854,0.16058692169924016,-0.14880128256023945,-0.2277699734488794,-0.5987543277009308,0.37103358121966296,-0.5087841341485057,-0.24248314617389052,0.150018340579527,-0.2004475989734244,-0.12243094206393845,-0.2542404410158672,-0.17391295373907265,0.3156021239630284,0.6130419797723273,-0.35056620486277673,-0.3431985899270904,-0.003753486246774456,-0.7876542503928967,0.019899759021183717,-0.22499978167933468,0.8256699135792177,-0.050229095888936606,0.08679597594732605,0.055651528837516895,0.16179958629700367,0.4580244392513912,-8.945264342977413e-05,0.2690353351817628,0.5082720588539036,-0.11800277774155032,0.1630312392966487,-0.2239812952232121,0.1869017623898141,-0.04504020913761176,-0.6991936088594906,-0.3885376643801692,0.5530783680915567,-0.1382986341795897,0.35718531995206243,0.36735814811758394,-0.014626876235639477
NOUN,-0.2582697089423698,0.5150379546555782,-0.36265631897427836,-0.8327777417864423,-0.27273464119525404,0.14002313446329687,1.0,-0.749072633191632,-0.631617711972898,0.6745182257615394,0.3341311925750401,-0.14618359053290153,0.2868982516755228,0.04906717410158787,-0.49042725721677966,0.24232415261617543,0.08641913822446391,0.48650269748746344,0.37577555334085844,-0.8068179474434566,-0.7023820986727888,0.15500801393843977,-0.6501166232475886,-0.42249134120728,-0.2884764096048301,0.12860352114547152,0.4413242751791018,0.017495164226798636,0.37244155309562454,-0.09721917291220389,-0.5115036938872696,-0.5092688504148004,-0.314338538202055,-0.4785668510318655,0.3227996188800243,0.6310264655325704,0.7863406679334974,0.7317020775181791,-0.6810420989740761,-0.4039276261698202,-0.17182083287115305,-0.10361318565788728,-0.10697022685294715,-0.32603264277746385,0.2588889291940982,-0.04376669600339935,-0.6416969632849043,0.0755865876572716,0.4265358401341577
SCONJ,0.047909646698833394,-0.08667810516875508,0.08275019153728684,0.7726330591560713,0.45213367962392637,0.3031316025911854,-0.749072633191632,1.0,0.5688209140988502,-0.7495558364554503,-0.3918175368913246,-0.3983054666224051,-0.20618832219271754,-0.13988929367635825,0.45781327059255644,0.0593864209548053,0.04577844250174779,-0.5428471498525693,-0.13451394134848535,0.5357022994536741,0.7027927802481518,0.41215797334664656,0.550713681911369,0.28626698755208646,0.24608394105160772,-0.47103033513507836,-0.536033052185582,-0.43048787994835264,0.01924383982490472,-0.26335372356070275,0.7933767207586753,0.43772561448545577,0.13969937887568007,0.34821231620231186,-0.19335415692667632,-0.3838015196582362,-0.41736917412639357,-0.7301802787254947,0.5967935376952678,-0.0497187412701611,0.038110474252016066,0.0830786521722582,0.08007308058818645,-0.26319809547966694,0.37148205556975644,-0.2835137051057641,0.6408346063942135,0.09988543994087264,-0.053264099231507135
VERB,0.012114485135276354,-0.12511767345393054,0.02899546191076681,0.7865058515709822,0.4095525589202557,0.16058692169924016,-0.631617711972898,0.5688209140988502,1.0,-0.6558032884633693,0.10319048176355548,-0.3291297172648196,-0.5823092530213076,-0.4916011272679738,0.3626787012109016,-0.6014761368047247,-0.12132355691073038,-0.5538121049941748,-0.13303420385010664,0.3778711880686236,0.7652244285180508,-0.024011272393099123,0.4180111069071187,0.19046008431411177,0.7887993410386682,-0.6893186102204255,-0.3745343766369359,0.29413417676527653,0.1106764522027294,0.24382904637725794,0.19448084806746158,0.4617880797485696,0.6794545681503232,0.24517638001051947,-0.6479473000708456,-0.6697088236768801,-0.18902033999079462,-0.8284710498955562,0.6659900164149125,0.24773573046080236,-0.2697384537742182,-0.2315975523930218,0.09630835850394208,0.41619958210610153,0.01772998162545068,0.10804474180395575,0.8312787468897147,0.14953188289384212,-0.15005882128784037
ADP,-0.4429767332628525,0.4261468002040949,-0.34826904806945946,-0.8120722671153392,-0.8116576397924063,-0.14880128256023945,0.6745182257615394,-0.7495558364554503,-0.6558032884633693,1.0,0.40978259642444587,0.07153752858644673,0.44419921049092936,0.15321074755783995,-0.8197421585721169,0.3974918568623268,0.23427911088001557,0.3678893870738357,0.45321977142405395,-0.695141904937017,-0.4582477911752407,-0.019461393845426903,-0.4813844889252293,-0.0228329736634468,-0.3394474626383798,0.49797367147201055,0.521469182723766,0.4466841029224802,0.021538865695423622,-0.29550059152466257,-0.31609152075036145,-0.7104817334620784,-0.4872395069547058,-0.5470059179458427,0.36916020333736516,0.5804806617068178,0.48083457807439917,0.9369644159037757,-0.6114736445553649,-0.4586265410113379,-0.16373716597982851,0.05894848293629312,-0.14343720539209273,0.15701652612621325,-0.07198188842175285,-0.013949921066567764,-0.7745266269164537,-0.3856004038767289,0.46414582830291906
