,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.8660491724869605,0.08143658037028409,-0.09412800536171148,-0.2813776921744589,0.12018628012541643,0.23479253070963643,0.7524631321364871,-0.33103390893911544,0.03541295004944024,-0.13955406676523974,-0.3261300883141333,-0.5607856955044553,0.08854153704205123,-0.15424725594140326,-0.464937453896562,0.1290614864807536,-0.2448764740487001,-0.4308103266124783,-0.9725245644809729,-0.21805525615135157,-0.523357293997564,0.4995400972586347,-0.1645289467617118,0.17364342227580715,-0.31521691943091007,0.3460556038043336,0.6736415317168516,0.40587725654307666,0.52651607318697,-0.10472048411017323,0.01539415630814117,0.3552552576250096,0.2999865405253,-0.20875526040381942,0.3876833320035703,0.2617915129996529,0.018102281344852533,-0.11325884199749182,0.718199312425406,0.5535058963740153,0.4630111704988598,-0.25955182844254593,-0.5845118661232741,0.11120884334612709,-0.24966388634533418,-0.22840012968751197,0.027310005099779527,0.0931548194444497,-0.8919295104167536
PUNCT,-0.8660491724869605,1.0,0.0957545275552841,0.35878648256161433,0.4079893118352391,-0.17467546990490523,-0.5583668913209692,-0.6635455339960942,0.45205961881215484,0.036189935531679346,-0.009272145623731826,0.4721930262886115,0.4943489215540775,0.034088790901993606,0.008393074015164736,0.663444668364253,0.15814034457230042,0.15857472988005705,0.46076526366463105,0.9146245178687817,0.36811152221393056,0.5789669420061807,-0.5423485529894355,0.23506367851934354,-0.1323235349925123,0.4794895655745018,-0.5294047286620287,-0.4724532800709212,-0.6250292972596546,-0.5274817322481657,0.10991507011363284,-0.07307645498461723,-0.41272220960541595,-0.21852895130273842,0.03425727935187384,-0.2793172518811813,-0.44652022197643904,-0.011679743611774618,-0.03413975969641777,-0.7657905131856166,-0.4255349365475144,-0.47139671478507505,0.35393267966523473,0.6078481112385127,0.057921822841356836,0.17819845808169973,0.08416690139237783,-0.03721741378372607,-0.4033797749693349,0.9444907939317198
AUX,0.08143658037028409,0.0957545275552841,1.0,0.3726805315263604,0.093749722049548,-0.3363462299215234,-0.1170471384564949,0.2820021408073211,0.010988281195902871,-0.2794275856446798,0.11140296827205455,-0.07667998891401247,-0.5711596402498929,-0.20393823729981142,0.2565366786735913,-0.03667302771507537,-0.13118986981399464,-0.19751075254174347,-0.13377735494996668,-0.12426849665913639,0.04032479298142548,-0.2267758792980941,-0.004490328204404711,0.1134527266296367,0.37510021368427693,-0.17917046165711017,-0.08737374622885263,0.3200068697730288,0.0018844154317697287,-0.21971123600886158,-0.1474265573778305,-0.6865000394625072,0.2957034594528225,0.38759919501147,0.1108296847728217,-0.2401073919171929,0.26516669278114186,-0.03685529430137062,0.15154300959985623,0.11252742237954924,0.2519723605861443,0.14405837414764402,0.7456793534692535,-0.3212604574656791,0.026233842425394924,0.006838758749712251,-0.22042325263683643,-0.25222287366360574,-0.18415984329787433,0.079611486074084
X,-0.09412800536171148,0.35878648256161433,0.3726805315263604,1.0,0.7624443427166043,0.07000560724526113,-0.3118977812768304,0.017799096286992916,0.003762172079529787,-0.2192745340157019,-0.03471874303086741,0.120556735710753,-0.10768776174289373,-0.05251773451184053,-0.04421527375526629,0.6935880776232919,0.5385892269445111,0.19413591567314128,-0.10541450639066803,0.14934809626284457,-0.19451693134583134,-0.055738477625269255,-0.40245765677992223,-0.31243810364374086,0.25180864213355864,-0.05351157627423204,-0.4604124786039896,0.08291495921081522,-0.2626202393313316,-0.24267555070204527,0.23904046165883663,-0.5415212684638003,-0.1712188326398082,-0.07806222624632711,0.30423527138955175,0.010685623422783673,0.05085169382497988,0.2083663145704037,0.021428734167871385,-0.529132095643042,0.23294736867110855,-0.07922272262785013,0.276739084775293,-0.011772110191943862,0.3102015926410374,-0.5357504350550893,-0.451408881778022,0.5678457765117575,-0.1866953441513847,0.2949597450573507
ADV,-0.2813776921744589,0.4079893118352391,0.093749722049548,0.7624443427166043,1.0,-0.15156217129025606,-0.36651885013576574,-0.3705867468033009,0.2230680499349892,-0.10115445510852136,0.056847534358666595,0.26625029823367585,0.23552363877763186,-0.22833593642690345,-0.18834082065566626,0.7952846652668841,0.4780207490711627,0.40489427185456917,-0.23415608705853028,0.3286759080057729,-0.36338513536590633,0.19852115081517413,-0.3733696685662979,-0.4551284297802893,0.541539100456291,0.3166720021853984,-0.38586764452080824,-0.2572475689510608,-0.39756926422640027,-0.3848289797069187,0.5251407466660647,-0.32547824340078235,-0.32313673134545984,-0.4027748734875392,0.11573253527637828,-0.15419510910323864,-0.07545948740982375,0.25905775702023914,0.12192381500115657,-0.5852092335253273,-0.07609664075394401,-0.2314880785555719,0.15554444070172305,0.4916147918980169,-0.19061544818431772,-0.5139488937625671,-0.1483949720275312,0.6664992716338735,-0.25476430468179123,0.3369586783690771
PART,0.12018628012541643,-0.17467546990490523,-0.3363462299215234,0.07000560724526113,-0.15156217129025606,1.0,0.5666622279158393,0.2955775821631995,-0.1211972075561271,-0.12415219801192112,-0.7682557230419553,0.1625223243788761,-0.19153953468898102,0.3551703463035801,-0.27821597597526904,0.15371949858151074,-0.20294703743908613,-0.055311523416327266,0.22182004431863123,-0.06366050317429045,-0.12341482333239365,-0.09361868209758852,0.14779508625304089,-0.020015437401953776,-0.6457077930087314,-0.08227556900359287,-0.3798005514100912,0.2755582098338483,0.5570504084303357,-0.17346783787071351,0.10584732400942497,0.42514221959572873,-0.4294727262117496,-0.25489758406698504,0.19616793424446813,0.41727909944742714,0.3854002553860826,-0.06977215305865332,-0.752926722400107,-0.23353674963438142,0.42105242159316747,0.40551977945622997,-0.4400787871871783,-0.146027280033292,0.5972284574200986,-0.020173959020457034,-0.5678711778795404,0.21626077203527175,0.7540094198766683,-0.14051647048503052
CCONJ,0.23479253070963643,-0.5583668913209692,-0.1170471384564949,-0.3118977812768304,-0.36651885013576574,0.5666622279158393,1.0,0.3680061068350206,-0.5227590628674995,-0.2341017810313738,-0.24742852909418536,-0.38360214057646863,-0.2689462166511581,-0.215539472015091,-0.028377647621206054,-0.47721671553738576,-0.6126970364009384,-0.2971978132711587,-0.021068289800716872,-0.2958469645759382,-0.5748351539476584,-0.5826389184119727,0.4687077420928555,-0.3864525716962291,-0.19314346261333012,-0.537962984772813,0.16393947550130855,0.15886733678538012,0.9626769470112528,0.04398065602260399,-0.13682072590491295,0.2896383496987547,-0.09449879448141556,-0.038442927765972267,0.3426092776996654,0.05708510958905279,0.7473935060082951,-0.2762848165219873,-0.204878395997907,0.15131614615853745,0.40741590740303657,0.5902143749381593,-0.33451593035184546,-0.38856166150806876,0.23814049583165434,-0.15850399012300506,-0.3067879995506676,0.15400283314996324,0.8691032254566351,-0.35913324133655516
NOUN,0.7524631321364871,-0.6635455339960942,0.2820021408073211,0.017799096286992916,-0.3705867468033009,0.2955775821631995,0.3680061068350206,1.0,-0.4782543381568667,-0.49439634917917785,-0.23040780808900485,-0.3795903511436727,-0.8539850178269371,0.40146507185844194,0.1445568821976061,-0.5112412150512307,-0.18063428330829234,-0.0843866167620691,-0.4904303542994199,-0.71596493789983,-0.18084096712185221,-0.6638014847457906,0.6728624839528826,-0.01634687115694849,-0.1728895311166673,-0.4705659614861023,0.16156686294554715,0.9136166628904933,0.5321096719874351,0.25351835033703546,-0.1869110530079934,-0.11862283824186913,0.13779058681649173,0.4201157236117151,0.017277577980300756,0.4988565132640358,0.4515406633073231,0.06906538741653473,-0.21316558409382058,0.40904183269559014,0.52176335712931,0.7364201318077099,0.049340009405429486,-0.742069676079447,0.30984856261306537,-0.19972874887673975,-0.3809546312739043,-0.10543916565174692,0.21529983958049012,-0.6347050622296964
SCONJ,-0.33103390893911544,0.45205961881215484,0.010988281195902871,0.003762172079529787,0.2230680499349892,-0.1211972075561271,-0.5227590628674995,-0.4782543381568667,1.0,0.2724286478489123,-0.17704050666753937,0.3188664067040797,0.1764832826065498,0.2888140287243991,-0.1578284931420943,0.4481653024303025,0.2891094266973635,0.1938398592780774,0.03260276394111805,0.31910723054349827,0.558045084893672,0.8725717515336718,-0.5124830291925712,0.40100736427494815,0.019473508343403185,0.7456658895561801,-0.6123798709376556,-0.29123630443958093,-0.572527611451235,-0.3052941944570789,0.4123185605772951,0.1612550244268598,-0.1874805498313415,0.029792126894510412,-0.5966968457608185,0.162820993119188,-0.15521577247018295,0.06349455573086756,-0.11270021353014519,-0.22114636179767921,-0.14813314298274163,-0.5914347252918303,0.14896183654520354,0.5508234158917829,-0.2946013523924035,0.5838357143802557,0.09936467567417481,-0.1631246509182658,-0.15722627336105258,0.38999620924587847
VERB,0.03541295004944024,0.036189935531679346,-0.2794275856446798,-0.2192745340157019,-0.10115445510852136,-0.12415219801192112,-0.2341017810313738,-0.49439634917917785,0.2724286478489123,1.0,-0.01742865807176821,0.1261930254938221,0.5689653046067437,-0.39849897208474994,-0.5452092782708525,0.13620478570782546,0.36471256949405106,-0.1468763427370073,0.515016471678507,-0.03073210166785157,0.18996746860357078,0.26910702821519417,-0.4327567672829373,0.1521993116169298,0.012212966553723576,0.3213836515731942,0.07727761365898622,-0.4371848764857842,-0.23317076390732597,0.48821873259545945,0.18315336837460286,0.27494220545927284,0.3620326463526128,0.03411536786844682,-0.41425699442862196,-0.42783988648127685,-0.3707717372879471,0.07925324184990344,-0.010482029463514089,0.3240599017969634,0.15874039818809474,-0.6183509283769345,-0.5402723646936971,0.1349510054398959,0.14561015715641126,0.2532423560407526,0.04677126876436175,-0.0017900360135010072,-0.16455840782279765,-0.03717229495436962
