,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.20937802354331053,0.18367135734786794,0.6406954625928014,-0.22682733785388057,0.24824103844596188,0.0016890273888179614,0.6476960895723708,0.029269757454496798,-0.514172932918599,-0.5853200798385532,0.41408098770895935,-0.3392748848946364,0.312208270382505,0.56592536085458,-0.32311568231846693,-0.07599735280547598,0.6406954625928014,0.7069478072944669,-0.2540433238081858,-0.521514023477454,0.08414245274579589,0.0987562439386777,0.3920023356848045,-0.1327211315851918,0.6271125132787388,-0.15843509939214176,-0.09176174214537476,0.4419534416373424,-0.022042572401201593,-0.006993252338800646,0.11575025879585865,-0.22014457228679327,-0.24665738355848194,0.6406954625928014,0.2668965011767293,0.4262755969795114,0.7110863056321749,0.032390276160671826,-0.6051837455821114,-0.6066881684229791,-0.22226514814767284,0.15703685203922826,0.4560556111683178,-0.22322927686966137,-0.2520071692450695,-0.18605350107216295,-0.0552340014289807,0.07357580210754877,0.4992870341194712,-0.43733003480704435
PUNCT,-0.20937802354331053,1.0,-0.12040813138061832,-0.044894550196090136,0.32665464306027914,-0.19024383799535502,0.23427925641599065,-0.24482408879173134,-0.19038327992949225,0.15734506641097706,0.3578698166530688,0.06904139545223414,-0.3324815357532641,0.21586694905921044,-0.5124525224287805,0.28103894968792326,-0.2646696422595879,-0.044894550196090136,-0.4852209280575875,0.01913722847232934,0.7188806363187072,-0.5320222495266639,-0.30567778453886296,-0.21493056976433994,-0.2751403235322964,-0.10873656101039544,-0.14345199443981865,-0.18862488860488488,0.1027488675715811,0.45048155041187254,0.29569565706756196,-0.6983751163890213,-0.13325649347778676,0.20183128818354198,-0.044894550196090136,-0.10407579775380434,0.14834548539395967,-0.1271596132718374,-0.21218521806504206,0.3223017353301651,-0.06061076089620998,0.4265874621278054,-0.1527593697774959,-0.4253205133097008,-0.055282408604333526,-0.1482596164124942,0.7863101265162278,-0.22377815775180598,0.00573762647558037,-0.12316807484503263,0.7324303179575156
AUX,0.18367135734786794,-0.12040813138061832,1.0,0.38355597887937387,-0.28291397740459817,-0.38687417491880766,0.018988369431430004,0.1788432672373805,0.15229054224578853,-0.149124853894564,-0.4638391578694266,-0.07223519119988454,0.08282387041055227,-0.12451788388301373,0.08044464946019608,-0.3310332093884988,-0.35776032229462323,0.38355597887937387,0.6402226014255281,-0.10544321200940951,-0.4061597512503436,-0.02629805427167663,-0.039351278774006196,0.3150065974085575,0.40774735852867655,-0.09164015961762059,0.4034879560508689,0.48795978224543896,0.20413902769242942,-0.01412156335962154,0.089079079281595,-0.13356660829561964,-0.43068444602162254,-0.06250372946584673,0.38355597887937387,-0.28080790503365954,-0.45193873150953373,0.3321117241379414,0.3331494562198832,-0.3786578480538802,-0.37172739504875935,0.7323632528983548,0.3511448722374793,0.08776785133115234,-0.102246339857234,-0.027939658350184478,0.255673967790558,-0.12712369640118232,-0.29219193066200894,0.3768896629004493,-0.02522837716375038
X,0.6406954625928014,-0.044894550196090136,0.38355597887937387,1.0,-0.14962116485581467,0.027219450928151444,0.23447397851019933,0.34390067305529376,-0.39530295925127484,-0.22261376292036394,-0.5855331061827879,0.36041012239874787,0.0051373461234413545,0.10159299306031445,0.17742211354384235,-0.24009231330716263,0.06128680395279286,1.0,0.7059981556294409,0.25179051353385773,-0.3018999803940603,-0.29659165540885846,-0.39132995829353384,0.2372051731580009,-0.10000000000000003,0.5735910307215148,0.19019442837810926,0.37333933251238377,0.3964450207976365,0.12582873039989073,-0.24652685855515996,0.1393769515000558,-0.4162389114123406,-0.29058039533727237,1.0,-0.3673049603552383,0.07909754328151539,0.5789644609108489,-0.10000000000000002,-0.4954656974772619,-0.3218093216215854,0.1279477381354972,-0.05647922920394828,0.5002352407492561,-0.44101728204245216,-0.3991423307910064,0.2504841955075259,0.15120708179167522,0.1502376705338722,0.6542457586132383,-0.1798954772633757
ADV,-0.22682733785388057,0.32665464306027914,-0.28291397740459817,-0.14962116485581467,1.0,0.24858031980905126,0.7947881851969536,-0.22239186248701878,-0.22016174224651958,-0.14782863651441458,-0.1333275158646139,-0.46909816080661115,-0.00196860917789773,0.20117106513737926,-0.47130216981137635,0.5255154209830861,-0.10421333343419985,-0.14962116485581467,-0.19511034768271157,0.19070345739875835,0.10132620871845115,-0.6567125056542781,-0.09346486865959068,-0.4003102628312859,-0.2932100736615047,-0.3691630231502207,-0.4964317927065659,-0.15770247683052036,-0.19130797955350407,0.729962381853374,-0.5780642572908187,-0.1302015180514934,-0.0016069072007692412,0.3633366382297452,-0.14962116485581467,-0.26081217615973923,0.07503424198839657,0.28207679163098487,0.06370191151389806,-0.23561163991803338,0.45618210792343367,-0.1951369259933658,0.28117734219460283,0.222275975727574,0.11763517231256733,0.1676943579945062,0.3207329126710293,-0.2091192479966271,0.4997400843163403,0.08596667499545158,0.5531532739719615
PART,0.24824103844596188,-0.19024383799535502,-0.38687417491880766,0.027219450928151444,0.24858031980905126,1.0,0.10124653268086617,0.5393836147201474,-0.12429093650445713,-0.7801761369746978,-0.17426611789416926,0.516127449662053,-0.40258000418285916,0.344452428489801,0.3741539826972437,-0.28122911693907526,0.6123888031576885,0.027219450928151444,0.20623386067803645,-0.19689355250842702,0.02324769668668457,0.22980134281818687,0.12334967029932621,0.37820488897320076,-0.06301250208067635,0.1540055640132053,-0.571386862507561,-0.5467597247044381,0.49383104850255916,0.033784787403802544,-0.29679245413560024,-0.11738071708286638,0.2918094000017236,0.14275226748783099,0.027219450928151444,0.5390263383962285,0.5178745576230762,0.09547727508068793,0.22607319486798275,-0.2404796360063991,-0.12289694062264542,-0.6048213037737333,0.028680269719803243,0.04818979524364134,-0.4204720962719939,-0.4392892871749675,-0.5006471631129148,-0.5398865818527793,0.6003873451076964,0.4863580676591744,-0.34108669752014614
CCONJ,0.0016890273888179614,0.23427925641599065,0.018988369431430004,0.23447397851019933,0.7947881851969536,0.10124653268086617,1.0,-0.21751291450371274,-0.6201461537082311,-0.06902485733005168,-0.3055447202689499,-0.4214480882928164,0.30463555475188697,-0.12920012558561897,-0.44526834789765085,0.46734807227589353,-0.01791236451593606,0.23447397851019933,0.16124854941199757,0.4159960288087678,0.01785840264315935,-0.8606825748302606,-0.5329653738725919,-0.23629315457564362,-0.37606248797084796,-0.006403564432595763,-0.3724046203984165,0.1362927525306533,-0.26390940167570826,0.9255526842280379,-0.6424278969103318,0.055365529988914614,-0.2575126736920417,-0.0774511329077381,0.23447397851019933,-0.5839208000790678,-0.27282318669176214,0.44453004254727774,0.2226434169076905,-0.337629894612653,0.525319632812297,-0.004588211272439871,0.46545277614249536,0.31622065246564834,0.20063062375667257,0.21541735672972775,0.4535307180711632,-0.003778721656320701,0.3741797447558156,0.24280553172580846,0.2913968128112104
NOUN,0.6476960895723708,-0.24482408879173134,0.1788432672373805,0.34390067305529376,-0.22239186248701878,0.5393836147201474,-0.21751291450371274,1.0,0.31148340931050444,-0.7724118905806379,-0.6724313294011739,0.4375743121022359,-0.6220800164617778,0.6212532649533199,0.4548361308294405,-0.585755652776042,-0.05796202953726881,0.34390067305529376,0.5259049733375225,-0.48938673999795945,-0.3234976293776883,0.42210099965046494,0.36089814607177184,0.42618865962432534,-0.1737928918265579,0.4132818460658176,-0.3050117419924962,-0.02550915381476264,0.8696326012525809,-0.21434292649927195,-0.052384902006307056,-0.004362130065226168,-0.35610981830142047,0.35884501878928105,0.34390067305529376,0.5904517477963892,0.5303665655236286,0.5398298343045227,0.25973702780851954,-0.6721656435310864,-0.6680735673991363,-0.2400364299502933,0.29959022055540746,0.2055660714142875,-0.4319008886799039,-0.7376626311373372,-0.3332319969763327,-0.48915038443389286,0.13023859638441418,0.7528647169874967,-0.37895074625426944
SCONJ,0.029269757454496798,-0.19038327992949225,0.15229054224578853,-0.39530295925127484,-0.22016174224651958,-0.12429093650445713,-0.6201461537082311,0.31148340931050444,1.0,-0.19131307267577943,-0.11469010509568983,-0.12345044842713514,-0.39708108547744436,0.4615226387556477,0.18841257255681446,-0.16015493562869848,-0.5105507846360574,-0.39530295925127484,-0.06926721554208057,-0.5379966253910012,-0.3046553102027767,0.6602914936597312,0.9387481941916076,-0.090247095932045,0.37670931157770565,-0.4480866870493744,0.04489215058149529,-0.16030573687828145,0.251327145990425,-0.6220988731679735,0.293339167869459,-0.08222233149044646,0.010255678752197047,0.5358876280937391,-0.39530295925127484,0.5344435202805258,0.3698584341819285,0.023856208065560786,-0.07479905105106259,-0.1731387772361613,-0.5577701234369506,0.04327717544464995,-0.034762019491838735,-0.11377785757273853,0.06594267475195961,-0.10566504758817524,-0.2670093896671205,-0.24297178761641983,-0.21298270178083653,-0.12406832366188873,0.020545304561901435
VERB,-0.514172932918599,0.15734506641097706,-0.149124853894564,-0.22261376292036394,-0.14782863651441458,-0.7801761369746978,-0.06902485733005168,-0.7724118905806379,-0.19131307267577943,1.0,0.5394325299882572,-0.4458115938784851,0.5449627865489055,-0.5690610663439232,-0.37551540246124543,0.461361622419476,-0.16289186703548786,-0.22261376292036394,-0.5737718911402577,0.329117000587184,0.25900790938622126,-0.2673415944588092,-0.3542197252863129,-0.5153022258487616,-0.16168172136515152,-0.08260606729300897,0.5433825059832137,0.4278957901063839,-0.7271101151772431,0.020136198862454654,0.24950054807832034,0.23581505820698756,0.06906327380691415,-0.25877328158527946,-0.22261376292036394,-0.5226142816055098,-0.5431421918847867,-0.45665751117284614,-0.2470981608617491,0.6098884395643525,0.5570708685117162,0.24298214811978364,-0.19726753447063503,-0.06789692361125427,0.44354382520864577,0.522762538485638,0.30045665038049635,0.6395427850102852,-0.5355140797657648,-0.6740162990483134,0.29517061482152857
