,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9386874640556709,0.15607535729664995,-0.15898760511456336,-0.2037844571942181,-0.04537502556938927,0.20251426943234765,0.39205593588172566,0.4810072225480876,-0.0026659049625817528,-0.1704512308685262,0.4328275988056829,-0.42863001575731313,-0.39976421128131767,0.12013045210317812,-0.2117139298424864,-0.5842126605735998,-0.022950731559536613,0.3482599643104849,0.22435511055138835,-0.44594202406341443,-0.9800181283566619,0.4165937739701821,0.38462922195273447,0.46847303025337556,-0.022950731559536613,0.08559868678405484,0.20007125322477276,0.33786048011219827,-0.26786563478084047,0.5058564814971401,-0.1613942438121153,0.37704099736470653,-0.4609492832583431,0.7804178669264024,0.16804977109888347,0.5828591317167575,-0.415630088785522,0.2461862341052692,-0.28768684201704525,-0.6035639780820736,-0.30449094925308234,-0.5399439241850262,0.3634276493473586,0.3753896240567905,0.27205135907104094,-0.4804881310479635,-0.7591427562951361,0.020420562974643355,0.4793065419877268,-0.9039486731642038
PUNCT,-0.9386874640556709,1.0,0.04824146868122254,0.28463363004510567,0.11717986394019955,-0.07457449599098474,-0.17183838439303506,-0.49077341692973503,-0.287593297851953,0.061516475471173095,0.2771224949890314,-0.4642383730276727,0.33360893266747765,0.4437886697003919,-0.0934657114878143,0.09286518819710847,0.5342470819035159,0.04974420712993638,-0.29489899738420455,-0.0613795109226394,0.4207460608463393,0.963796499815371,-0.23809603646326144,-0.2104316527001296,-0.43389893269556246,0.04974420712993638,-0.3011326918861979,-0.11493349881013194,-0.2693963488089583,0.07703429437225781,-0.4490322491563539,0.02639269887104676,-0.34706965705181114,0.5422996201293808,-0.7062012166018681,-0.08735327817901767,-0.5505077244132437,0.2871152715091295,-0.19855271996625284,0.39627784310605196,0.5113477704606442,0.1828772450738863,0.5743374563651197,-0.11958118762279829,-0.5115806917388764,-0.28394579912041346,0.5135588343541961,0.6191807290069538,-0.10069855393490837,-0.6367867671576878,0.9666462615833056
AUX,0.15607535729664995,0.04824146868122254,1.0,0.3046439913330523,-0.06764536370797433,-0.36592929360666093,-0.06131662825017203,-0.186504008686304,0.662753181687103,0.2717881871935975,0.28543949281185826,-0.026671658811629945,-0.6137319266743297,0.45813021720531044,0.05601858716326775,-0.02281764483270816,-0.4138802595673057,-0.20395757115931723,-0.25001575456340636,0.288516791974748,-0.19398446467075056,-0.08215749394500625,0.6537060507645353,0.4794346100005798,-0.2643008425083957,-0.20395757115931723,-0.33728454815174924,0.6417177725400893,0.25845500447105235,-0.1639122440796748,0.0905239760106639,-0.02665740299754171,0.399034864922829,0.3938057070592791,0.38403074524901915,0.46259603168826974,-0.26150091961986127,0.1885981161918634,0.40924791967993296,0.3031413254266418,-0.020039596810680058,0.11438365641546544,0.29485021331375566,0.6527050778206285,-0.6896743708940568,-0.49105725745337553,0.06624574518167956,-0.5208645461314456,-0.34949857256630695,-0.5754386430227186,0.1276751944791708
X,-0.15898760511456336,0.28463363004510567,0.3046439913330523,1.0,-0.026184178341923492,-0.706108116763403,0.08510372190699947,-0.37692433761225264,0.31988021549737217,0.25799881455415313,-0.3898885366446659,0.48624754102459555,0.13318188670514725,0.4995016560619689,-0.648674937820947,-0.2489602550149419,0.4379200094325941,-0.1844774129561009,-0.47487132364119533,0.7424090004721882,0.33837233678459927,0.17568664008982,0.36131053220486115,0.27841980798727395,-0.40510624031251224,-0.1844774129561009,-0.38843600382417875,-0.1394918042852294,-0.44045122761431454,-0.24974724997351402,-0.11019862017960023,0.15087694504155008,-0.07779867866147984,0.2694369302802749,0.14702583373370967,0.3941636261807295,-0.5478600119155252,0.3052002921477649,0.44089763776569035,-0.30165855126741137,-0.026376865791174858,-0.13065455096150858,0.12256755258289159,0.10474955713066927,-0.2309509440302123,0.06681630680119445,0.21290572774869324,-0.10240729275873922,-0.09736664497785438,-0.40228563036372833,0.41648612215923325
ADV,-0.2037844571942181,0.11717986394019955,-0.06764536370797433,-0.026184178341923492,1.0,0.4026339106227998,-0.13993638069211944,-0.29796323533239516,0.18184217456621352,-0.31800415585785463,-0.17607163749038976,-0.4761994052036656,0.10393313074942034,-0.09115282329228275,-0.1213087037837487,0.39785901191864104,-0.10470777080194488,-0.7101457925305394,-0.5531901288434333,-0.1797802026934224,-0.5699240671207326,0.23875182872724693,0.11918149351906789,0.15680542214076393,-0.24538890249091086,-0.7101457925305394,-0.30054895513276764,-0.22940282563380832,-0.4709971222213516,0.17127905402474042,-0.12430705597408023,0.5704346316781672,-0.04532395582963999,0.09407611433196157,-0.17539616745459435,-0.303511327333622,-0.26495718771849064,0.026295977645924753,-0.3788728707651556,-0.11910314085893219,0.011468283003089327,0.29558495329644247,0.014215710419911992,-0.21948160540410325,0.0713969318563793,0.03575820222510525,0.134778537566454,-0.0683990684634879,0.816388452335768,0.11019597491045535,0.17981416100271996
PART,-0.04537502556938927,-0.07457449599098474,-0.36592929360666093,-0.706108116763403,0.4026339106227998,1.0,-0.06950535725673411,-0.16673420962768826,-0.42094117756304417,-0.128098049635984,0.18466225422474916,-0.5148874895084834,0.2310070855060196,-0.6381128138771369,0.6540628020960689,0.3764973553404711,-0.15055926496851835,-0.261672154771936,0.12340495743363528,-0.7784081360821816,-0.2428588643986374,0.07656727793379467,-0.5383097448001275,-0.3841567145135126,0.1107462067346121,-0.261672154771936,0.3736796309828982,0.0983863160138386,-0.15427964609621792,-0.08741264766701327,-0.0025913368165876535,0.16393778836919362,0.102378203166765,-0.1075137367318179,-0.5316503554379793,-0.6753818719546922,0.5805287212057938,-0.44909434305660884,-0.5184817195854001,0.19706238817564434,0.029005222931197536,0.09523278325174123,0.24580530597141223,-0.12488795051182047,0.3495750763025272,0.24462124757594164,-0.05169833045196146,0.16598939151080605,0.4619158147589179,0.5941335902156005,-0.12520185448744006
CCONJ,0.20251426943234765,-0.17183838439303506,-0.06131662825017203,0.08510372190699947,-0.13993638069211944,-0.06950535725673411,1.0,0.06806104624692921,0.22717556530446004,-0.10301314131288869,0.21001890461121037,0.16863256943294125,-0.35981922879782635,-0.4729552106979756,0.22106240765443363,-0.5704992390976932,-0.039959562887243165,-0.23039773007239991,-0.2562085876191206,0.10979829534134007,0.048600616490598145,-0.17377004870180443,-0.04410689570900983,0.36032406993176763,-0.08625294596831098,-0.23039773007239991,-0.1440604121235472,-0.11087067319995812,0.03040015282934989,-0.6010181044981417,0.909176784584978,-0.49725083600962167,0.09069713158068779,-0.3839819475822274,0.10497734704785157,0.5251972798684564,0.02611002343633474,-0.41362699995981883,0.6266481646523617,0.05329625202075384,-0.5679081303259201,0.026492421888215177,0.11331959073823689,0.032763851255269004,0.014987591289760103,0.39230006951185353,-0.3789436481833353,-0.30702397760122985,0.13886142305668073,0.12450742797338679,-0.2822085790230799
NOUN,0.39205593588172566,-0.49077341692973503,-0.186504008686304,-0.37692433761225264,-0.29796323533239516,-0.16673420962768826,0.06806104624692921,1.0,-0.05822115068085389,-0.6296026925117275,0.28430235613038,0.33977669539224037,-0.5110392471054974,-0.07797877367706317,0.13711385332904838,-0.3044383770983574,-0.11230376215983426,0.1347090410825099,0.3653580449676422,0.08890617677096369,-0.09582741173555706,-0.4525087766070151,0.0823392020814524,-0.04495830151747745,0.5902170218848386,0.1347090410825099,0.2639605511087266,-0.24226630501969718,0.3889866807640892,0.518035849720158,0.1913610806739953,-0.5178041333813819,-0.15959298038350228,-0.4274189732923577,0.4405291165600596,0.3378561604331222,0.1463163711182511,0.06897975755540077,0.23863262260626963,0.19303525743357855,-0.3964594963978153,-0.3932789482860757,-0.7359283523995749,0.14542994095128353,0.12738463687486082,-0.33082001964883684,-0.2199173308745357,-0.14899521071341149,-0.021249427984621382,0.2586856385760047,-0.5900107089598047
SCONJ,0.4810072225480876,-0.287593297851953,0.662753181687103,0.31988021549737217,0.18184217456621352,-0.42094117756304417,0.22717556530446004,-0.05822115068085389,1.0,0.06990516889189617,0.026747352503275375,0.018500159232133336,-0.607972231207596,0.12360700469465936,-0.19771193219714894,-0.24518844703324155,-0.5958243666826178,-0.26624579994456843,-0.23714057290053026,0.5307895941391865,-0.6537837933082259,-0.39818939487243543,0.9298167056251228,0.9431538032166188,-0.1825568926813553,-0.26624579994456843,-0.5826002069230822,0.297836813598892,0.12963581820635198,-0.24122973263531614,0.39152269347618246,0.04203809416805102,0.48965394076221397,-0.12106134997540972,0.7269700386582028,0.533674769631643,-0.20841805605791844,-0.12416542730870976,0.3016486541924325,-0.15748715661091758,-0.3507792614803476,0.011799512919717606,-0.13728597146082125,0.38980211471097964,-0.17508012757985733,-0.1634691623903449,-0.17961188755719923,-0.8470339386307238,0.08295081690287516,-0.27931957922602096,-0.22874434507812375
VERB,-0.0026659049625817528,0.061516475471173095,0.2717881871935975,0.25799881455415313,-0.31800415585785463,-0.128098049635984,-0.10301314131288869,-0.6296026925117275,0.06990516889189617,1.0,-0.3979497621085413,0.0513920467249909,0.3136258034331168,0.09591241226339066,-0.12021771964961309,0.07012160846396355,-0.20626167819119892,0.43230653424848575,0.10998136342858539,-0.10673521572904393,0.23739828537262941,-0.03597984475220099,-0.004556666035301649,0.018072209813428927,-0.5381929288901678,0.43230653424848575,0.04033886329467009,0.6413449283251009,0.12613393329000627,-0.40194498075997986,-0.11492762214976529,0.40816774796149596,0.48194741904994204,0.07750515325345657,-0.04352140969950653,-0.16671885649177687,0.02867017187801137,0.010693454985877739,0.048533001399837586,-0.4236879033434065,0.390325372743743,0.35118504526346017,0.58343914240733,-0.22536028019173227,0.022617822487375965,0.20625363926481274,0.16484608970576892,0.06710935791526904,-0.5111027456739176,-0.23228422908370389,0.19186381928652418
