,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.6290872296644031,0.18192380042300724,0.5085650744283089,-0.3597186355150271,-0.10693325780350624,-0.5761386028019193,0.7549602287925191,-0.2114330110012061,-0.20081122645987604,0.26000375524375097,0.618672944904655,-0.49029391452449855,0.37188862716069954,0.5612350679306006,-0.13148765313254399,-0.3258699212877125,-0.16855122999894215,0.07610646539004762,-0.6308857677368581,0.3557073359050583,-0.18320465083199405,0.30661704462063494,0.30665054366314914,-0.41163978771278587,0.4989198493881935,0.4209873137543136,-0.47171598393359393,-0.6407033797711783,-0.10816732502904149,0.2903883836951463,-0.23584708755626596,0.3106849317260232,-0.37067540813675187,0.04015864878469421,0.5272505670808787,-0.1595203777030966,0.20636574005009242,-0.2582034048678515,0.39325560824108086,0.09017923731891923,0.09937620903151288,0.03499891822707226,0.3143859834437286,0.20236235192195814,0.14121252708467988,-0.3102193252123505,0.0049602827981266254,-0.6831871343624236
PUNCT,-0.6290872296644031,1.0,-0.268625266583768,-0.23751766103844396,-0.15761956309492242,-0.13869390892669284,0.3741706292825303,-0.45426319956400485,-0.0434457879625074,0.3714711492477642,0.12246547982088449,-0.36353059726917913,0.04989788487814885,0.09965789022621732,-0.41842121488871137,-0.13356301509446114,0.25529177177797313,-0.06620219638002149,-0.26256064766933984,0.8448987336546137,0.05937342665121938,0.08072844103156099,-0.4212257684700412,-0.2289502983005547,-0.13320702806825296,-0.3911372052854787,-0.13564122182719518,0.27226084581081456,0.4061245004858025,-0.2164600059126442,-0.23541892580210175,0.2780437185095137,0.039256315601726405,-0.07410132040370276,-0.11123184531589321,0.09862226043648763,-0.07749689784409229,0.04822706350541178,-0.18549325615001258,-0.23434351820225843,-0.18359170652133833,-0.055824604095657135,0.08565234444604491,-0.16581454599793713,-0.2129265330708908,-0.19608763502129098,-0.1131961836232303,0.2634929618218854,0.9442264398842093
AUX,0.18192380042300724,-0.268625266583768,1.0,0.153545653342344,0.08982764635640002,0.0015385733979784244,-0.5994498820346909,-0.09159980748224139,0.26533117978949183,-0.6051805148218988,0.4172480590085042,0.15141809861638483,0.08721636859189398,0.4743794708221099,0.06143344562531683,0.0789120556366656,0.2852789441020426,-0.4738486454987888,-0.23652209312317313,-0.09367312415515958,-0.2356731942103375,0.13290400249919593,-0.21955930305414378,0.4174735056972276,-0.16817945198454284,0.46651817600552814,0.10723498542633901,0.08815875254963826,-0.6268483316026535,-0.07474756695638216,0.21846849412063282,0.2010069888679462,-0.6402655262155107,0.5781416272555461,-0.6176833700085802,0.3792548480672964,-0.3537031474810051,0.49932868245713025,0.2184172113504185,0.6082232136605261,0.19372315302792992,0.7635328866206358,-0.4846263833655066,0.05360918415491643,0.3649062001949248,0.2032341451296754,-0.004469756154226858,0.2852501472885461,-0.3220826335903741
X,0.5085650744283089,-0.23751766103844396,0.153545653342344,1.0,-0.13722411006061636,0.0949177948148274,-0.362022700312899,0.4974754038810906,-0.49123317854658644,-0.17028935314607824,0.0033666760328282612,0.42305066962307936,-0.33291040898830165,0.4905370345893274,0.4146075964820475,0.019847529706560202,-0.3354029499063679,-0.0938233552933679,0.2355237688477191,-0.13816626298238335,0.08267041858244469,-0.398897880298178,0.18787972208366374,0.4442476426493799,-0.33389802137187935,0.18271953826601586,0.25083256331979403,-0.27924410207964095,-0.34046982527564434,-0.289267085460884,-0.2142938466553072,-0.5176327563804539,0.022005739731331422,-0.2874049275466582,0.17608202731539496,0.6315432794890056,-0.22640459864743098,-0.07860227424133633,-0.5350044545242386,-0.1541382831454859,0.26299879324261516,0.45851524568804886,0.16754229787846106,0.3666638355713158,0.10469370363814377,0.16481883922047136,-0.15300613881944894,0.5428677269471099,-0.21907801382744735
ADV,-0.3597186355150271,-0.15761956309492242,0.08982764635640002,-0.13722411006061636,1.0,0.47171509313175647,0.04664618909046328,-0.27662232337858295,0.12136941986416439,0.07281064424252762,-0.3590175198574379,-0.024600078241887934,0.09594134327924685,-0.4986359563314216,-0.1576632443432077,0.2920178271975749,-0.08240767205568543,0.16564809323963822,0.16945331027273233,-0.09352988503032193,-0.11170348161000256,0.10284066622937539,-0.3065932250565301,-0.3031268158084169,0.5407379976884684,-0.3455930674356393,-0.3406689928224545,0.017638403548679207,0.12381249710439382,0.2847444395441906,0.136203045408532,-0.21705575338014368,-0.3035559656084273,0.4493566990878517,-0.044729448961971875,-0.46485457989632,-0.15152369901009238,-0.27654825070028305,0.5979458120925539,-0.05745671105549915,0.24694958041589796,-0.20910402021332203,-0.21436571379239697,0.2972712938693207,-0.11525149450541555,0.3056372816861645,0.8557409252214041,0.05190721858531223,0.013866726374831238
PART,-0.10693325780350624,-0.13869390892669284,0.0015385733979784244,0.0949177948148274,0.47171509313175647,1.0,-0.16523196999271222,-0.14600666183495803,0.49028660829184373,0.1963019226932247,-0.33982823802076856,0.036326178626889916,-0.3571675504297006,-0.5975606655066985,0.15211292053293954,-0.36512994593823506,-0.6415312008958067,0.068673768761825,-0.051211949645617365,-0.24431482752171252,0.4199793736891665,0.5153568069062787,-0.17376379108860016,-0.2903559793835074,0.38797894360207796,0.12433411741238748,-0.23300938522409084,0.3084711469467842,-0.027247798155987706,0.08281945164235596,0.03163334986390069,0.07416809415891623,-0.14752213272528575,0.5151945545731526,0.23038086699522262,-0.438809836710301,-0.12046683746972776,-0.3321748565840988,0.649268512894311,-0.4450332778260018,0.22064398755474776,0.14735323087720104,-0.2044568773128873,0.2914168524329577,-0.205086460501847,-0.33774732592500434,0.6993472174937416,0.4479869296361188,0.08405872128275325
CCONJ,-0.5761386028019193,0.3741706292825303,-0.5994498820346909,-0.362022700312899,0.04664618909046328,-0.16523196999271222,1.0,-0.336251746511222,0.070996079996925,0.14222569803123242,-0.4895672107662995,-0.19832192603787524,0.5575198212621458,-0.46540790467159554,-0.49447477831430403,-0.011366833157924435,0.09563632596186387,0.16455025119795633,0.2662498682306845,0.297243897277488,-0.2142922562046171,0.11901934256012899,0.05210844807983704,-0.06843142925938092,0.010953342718430499,-0.5167528640027746,-0.27903568903658166,0.4058318741658847,0.9706077681967222,-0.10594552412898114,-0.3991857168627349,0.03262916244468394,-0.0772987760706941,-0.05226391162827495,0.07566701784335687,-0.5072267770874872,0.6621347092763972,-0.5016012925631084,-0.12112557605121978,-0.49564866370986144,-0.06171598888102414,-0.4351870309217752,0.350806977127743,-0.374128766714571,-0.14780921429031865,0.053831497350924976,-0.058805701656187176,-0.28676382096670905,0.4213733139753461
NOUN,0.7549602287925191,-0.45426319956400485,-0.09159980748224139,0.4974754038810906,-0.27662232337858295,-0.14600666183495803,-0.336251746511222,1.0,-0.6023755981894001,-0.18652948258138444,0.11293174297341063,0.7132401241346316,-0.525816994465312,0.2888494136955015,0.5443132860996631,-0.10946603931173714,-0.2596990779536464,0.012564929316096984,0.22486752969386362,-0.24346250814834422,0.11498347245724293,-0.6011928507789329,0.29995571043476943,0.2139741016465005,-0.2954538562488624,0.4884669353711123,0.5377102112093758,-0.6492208319091712,-0.30414038102228486,-0.1632706593103222,0.3033089525462821,-0.4151233417315225,0.6119399986814225,-0.45550060012384563,0.20665739422331436,0.4053078653994307,-0.2534046838130111,0.07391731186488937,-0.2852865229708557,0.11066964656924919,-0.2676002377499762,-0.08849455821529129,0.12096372159414749,0.16728045280256518,-0.2525967588142332,0.19103609721067763,-0.20294352450590486,-0.05879992889223427,-0.5880935809738161
SCONJ,-0.2114330110012061,-0.0434457879625074,0.26533117978949183,-0.49123317854658644,0.12136941986416439,0.49028660829184373,0.070996079996925,-0.6023755981894001,1.0,0.008025081931308627,-0.12152434832075842,-0.2422108301877381,0.22656533275007956,-0.4996970787065097,-0.2769950274036785,-0.32851814750016234,-0.15058664873542504,-0.18099724795802546,-0.2702818997896577,-0.283316311438628,0.27035287558852455,0.9448494339508474,-0.22105259140545755,-0.09459565802761309,0.15407923418595226,0.098672546611445,-0.39069709161600985,0.7292740796843797,0.039355387943354234,0.12347616516140614,0.035381155135097174,0.6346848271553681,-0.5639662892650599,0.7057603028668047,-0.3149905720837708,-0.5003574409398673,0.30012155079674774,-0.06794894203784144,0.6566614420697385,0.04087213105615331,0.29387412681004255,0.18882226874264763,-0.23681359978340222,-0.08472414105453623,0.25630026454978155,-0.3170950043696153,0.2120238102375172,0.04873354423052472,0.11703982223958671
VERB,-0.20081122645987604,0.3714711492477642,-0.6051805148218988,-0.17028935314607824,0.07281064424252762,0.1963019226932247,0.14222569803123242,-0.18652948258138444,0.008025081931308627,1.0,-0.43427004326352375,-0.3141578437547048,-0.09551320647956509,-0.4219959976193501,-0.4145652345253605,0.18840030745821876,-0.33240129620075237,0.6906407243238549,0.11213379084845171,0.036296851370909045,0.4686677985672245,0.11480009621704707,-0.21602168245892603,-0.2479004785259434,0.3621244990795536,-0.42440816695553,-0.5978060383493466,0.06853219112185409,0.15404039503358444,0.31008452217690785,0.1500612963601624,0.13735640405005828,0.3495822516678521,-0.24370524637227117,0.1787923747704231,-0.26342043556877925,0.01407612453865112,-0.460435806200362,0.08289064230848014,-0.340694467256987,0.17552192502596792,-0.5097186215178131,0.5640654451117049,0.39232778169115823,-0.21209049810252018,-0.1283914161291612,0.039094633910082645,-0.11267291165423292,0.5135473480699729
