,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9289576417864847,-0.5027895972079731,0.0005623463403759804,0.08573841181657926,0.41525565944796167,0.564319089875227,0.003998918168972666,0.3864714579976846,-0.26654596931808916,-0.29906877836900814,0.3527741492017561,0.19050201539465852,-0.19709806481760475,0.304054822453525,0.17811301134839563,-0.3849573458076082,0.3111495999708894,0.404298192175129,-0.12451839317237125,-0.14695821823139663,-0.8963905666330312,-0.07109211029926367,0.21234776914434764,0.11280092432966274,-0.5241104756561169,0.5786244843429064,0.39439832165321537,0.3026393145637529,0.3399893517923876,0.5324711077687637,0.11140699965663761,-0.10091500244977154,-0.3215025519508041,-0.06554407443677635,0.42444530542234354,0.2918698025325913,-0.1987642434266084,0.38743673430870906,-0.12451839317237125,-0.15418603598665467,0.34258374193204444,-0.7238464108078694,0.2736095343770842,-0.2395952994892799,0.19148872122355748,-0.31891290043380993,0.28655573698295894,-0.2972613387430558,0.2201072000550768,0.13520319273731612,-0.8999778707726083
PUNCT,-0.9289576417864847,1.0,0.4511867659887089,0.06967270956838158,-0.07126548293727338,-0.3971289102719094,-0.34676456146970885,-0.042915298716267467,-0.5054594417765002,0.1227394189122501,0.26071913712875094,-0.37984875550212727,0.03661430615481175,0.1469772943376701,-0.49678519015415257,-0.18298461234270186,0.2104115433961256,-0.4151920676900407,-0.41236028702487043,0.15933986024836222,0.2909218130639884,0.8812785528124243,-0.2178029673836203,-0.37113101323147796,0.07620353230593664,0.5078484057764522,-0.6828249246122781,-0.3366178815661547,-0.34186218462522455,-0.4325836547986274,-0.2965726468706176,-0.1462711795418569,-0.1116480465090826,0.3392263978494723,0.021092777888210387,-0.44956360471786694,-0.45001501809312494,0.08640777471142937,-0.18155007460995348,0.15933986024836222,0.18769093161316178,-0.35031264291806996,0.6416656703509721,-0.44678437878906646,0.36792080947453126,-0.12932316176252454,0.13563354765249525,-0.370295139679137,0.33133495474699354,-0.11997688333742941,0.09284688407490371,0.9434508538297173
AUX,-0.5027895972079731,0.4511867659887089,1.0,-0.33635841583702797,0.04621352332350619,-0.050670394187644484,-0.4000145106271346,-0.19491517042149162,-0.040522939251051146,-0.12550307110289216,0.06416913840473526,-0.24775557251877292,-0.2929145886145961,-0.25867536939800834,-0.017747989674590157,-0.18365256696928062,0.31044590390887883,0.08441236934898093,-0.4353677296489607,-0.22374095448908154,0.3161325592488099,0.32749752050017034,0.005887084307200385,0.12678601082428909,-0.25673471324977326,0.06586681395810413,-0.4092148437770919,-0.17414994466281752,0.08353213122452821,0.07510847564660195,-0.3648379427815897,0.1534646360581158,0.4773516789915342,0.3354556199406433,0.5109587097367004,0.04553433494503604,-0.23823597989091866,-0.1984613066670334,-0.7244546360835019,-0.22374095448908154,-0.005788411881130956,0.14997432310625197,0.7139583354641883,0.1567730877851306,0.8284188205516286,-0.3528237610029942,0.12543718831811942,-0.2300140364795112,0.24880725808624327,0.06561164536044439,-0.31640593644580656,0.26124390927448293
X,0.0005623463403759804,0.06967270956838158,-0.33635841583702797,1.0,0.2044743672085318,0.1735824018318296,0.01581999420762529,0.34612497724445834,-0.16778786966948345,-0.232316936924786,-0.45644985839157426,-0.026812591486089585,0.17778871802599563,0.35561311510643145,-0.2580354259862895,-0.2916376942379105,-0.1599552955139801,-0.18104664660233563,0.6603126943079072,0.7154179183913502,-0.5552588337524178,0.29806553780282025,-0.25644140944229327,-0.27739997786512016,0.5615634715786684,-0.33979774318243816,0.029828501632423635,0.056089621407127026,0.1893422573096896,-0.12291511725538021,0.0038973109419761774,-0.14736763211539353,-0.529748249971102,-0.0030844764920876333,-0.21678144910877484,-0.1229151172553802,-0.47528102231186886,-0.26720100272358527,0.5803523967561602,0.7154179183913502,-0.4269499374485798,0.06609451328514383,-0.30134013862216313,-0.24727573782661535,-0.11573421131121518,0.2695110149786747,-0.1941812319121629,0.30569431450913054,0.26762434410107094,0.33467960237021466,0.4084572086631183,0.07715711351935416
ADV,0.08573841181657926,-0.07126548293727338,0.04621352332350619,0.2044743672085318,1.0,0.1296995352567777,-0.12790263331229323,-0.33483621163493116,-0.07208753548814394,0.07064055224772209,-0.010959820219935218,0.33682621934734047,-0.5183762058952847,-0.44642508376154455,-0.08908401458709195,0.30752539581551147,0.20739954777659664,0.3870150200422758,0.2350352302683563,0.08619732679166937,-0.2611691071879345,-0.053642706187485345,-0.1590803083061488,0.05278058269834672,-0.20030890509958266,-0.12069615942032254,0.34964274197804285,-0.08005993991778416,-0.03532580203734754,-0.1952135228871103,-0.032301835310902575,-0.07185368028204797,0.3829429665295156,0.1880646724959376,0.13077200042627798,0.09933954424027625,-0.08183751869941241,-0.4780983440642276,-0.20022110591181272,0.08619732679166937,-0.14550125517076842,0.07493848026244664,-0.2222292594471627,0.30830413152088865,-0.02095768026411533,-0.15920756397337057,-0.2076700507373777,0.2304217427675927,-0.3363083177744103,0.6996328411061432,-0.15688956991813244,0.00026353277666095443
PART,0.41525565944796167,-0.3971289102719094,-0.050670394187644484,0.1735824018318296,0.1296995352567777,1.0,0.25970639884091234,0.001096900082914128,0.19687232169188165,-0.3291418850736805,-0.4925568182575565,-0.15080089568512278,0.0812111753085852,-0.5539968818536183,0.0269527434442556,-0.5992005455480719,-0.21861598565704735,0.1596315515400567,0.24737627145800242,0.34208316513647213,-0.12342414608384637,-0.3142292353520305,-0.19702563758363079,0.01645922789417934,0.4086671150155854,-0.14673842671949483,0.28162883584456955,0.2996722978554562,0.13856041928822815,0.26923914354484907,0.2633793894287211,0.18654450865055605,-0.21404126827183217,0.0689853601833705,-0.241230321197872,0.2428955521747277,-0.04738057331150516,-0.7155806337741146,0.31517239443103195,0.34208316513647213,-0.34691344457604384,0.24754195264181755,0.0005427089421978587,0.04441994688643969,0.07757937732812233,-0.3207440404167343,-0.43286157228879235,0.3918307917512119,0.14043520809413512,0.6829255822935328,0.1424109465986433,-0.5159186281608968
CCONJ,0.564319089875227,-0.34676456146970885,-0.4000145106271346,0.01581999420762529,-0.12790263331229323,0.25970639884091234,1.0,0.29540387603011364,-0.2998900304582773,-0.5941908035386237,-0.40614318391219323,-0.059573126968804416,0.40615652459486756,0.003031638888030268,0.10642303600173122,0.18041130466070127,-0.8869859525219227,-0.12413981922273683,0.19385775451560794,-0.0442579132712913,0.3825974913194741,-0.38012092927934193,-0.46398728712578735,-0.4500160564752568,0.24487245343613753,-0.3622079036032613,0.015939934939292792,0.21658207796321866,0.36870239694037216,0.4419134012399343,0.9819194774149808,0.42573621152841257,-0.5591718439969026,-0.13561229709011954,-0.15414649701626643,-0.16397563306209487,-0.032924901808612614,-0.005806471379024995,0.5727436071297156,-0.0442579132712913,-0.22641529151851927,-0.07957521952884218,-0.3399165823446422,-0.19604632067579342,0.045726274420526215,0.1560563722285135,-0.36809972336350205,0.28860581690734866,0.2903365890411903,0.038066204222096736,0.4821177916246814,-0.4170101158625204
NOUN,0.003998918168972666,-0.042915298716267467,-0.19491517042149162,0.34612497724445834,-0.33483621163493116,0.001096900082914128,0.29540387603011364,1.0,-0.4068911134417535,-0.5826405524654813,-0.09391553638258819,-0.44047281369670277,0.18316686800538207,0.3820564624216398,0.21523005727496464,0.09789122105098533,-0.5244194169188507,-0.44776682928794664,0.3037590021246791,0.425945328359004,0.1325007334021435,0.16478615724928056,-0.19379960307929084,-0.42988488671163233,0.05775326624749086,-0.4223698640476639,-0.3415778205626664,0.3602795806180302,0.24857053844616694,0.41232481512003816,0.1672622733256078,-0.005299184337238782,-0.3491924438790869,-0.3219924733910727,-0.016415963677538926,-0.567605808592949,-0.08665644513883285,0.21762057061211357,0.27836939266314353,0.425945328359004,-0.017464092336310008,-0.2251792547641928,0.02819400796127433,-0.34016644689730013,-0.024553204276127005,0.1514355068408412,0.31581414461692153,0.5280206049242055,0.565856490109724,-0.38695260558490135,0.29405387307612224,-0.05976589857700071
SCONJ,0.3864714579976846,-0.5054594417765002,-0.040522939251051146,-0.16778786966948345,-0.07208753548814394,0.19687232169188165,-0.2998900304582773,-0.4068911134417535,1.0,0.41581165819742955,0.03556574569197685,0.31630248011001194,-0.14274899345065103,-0.2726662968462064,0.05471070550931676,-0.21183544251696376,0.4553262603778912,0.4409107943200696,0.1939460401507644,-0.15121831614913736,-0.24802518760841635,-0.37790753819415135,0.5691599589884617,0.945186965445355,-0.19009743234651497,0.2125560825761099,0.23502042231463005,-0.24463191746468585,0.0652968557847636,-0.025296739614813334,-0.32864884093638214,-0.14043371106513633,0.4020416217871692,0.015189315247924145,-0.09369316720514381,0.855974077144521,0.27138197657154944,-0.07458049775424165,-0.13243164753018669,-0.15121831614913736,0.03392556014459329,0.5620432371607941,-0.23751759039033074,0.515206409506706,-0.211528831906671,-0.313059998730762,0.22938792045911646,-0.22801681992957884,-0.5563253722967244,0.007317839734377412,-0.0015834916806999827,-0.4359754448865238
VERB,-0.26654596931808916,0.1227394189122501,-0.12550307110289216,-0.232316936924786,0.07064055224772209,-0.3291418850736805,-0.5941908035386237,-0.5826405524654813,0.41581165819742955,1.0,0.45452118484727416,0.3969098020326957,-0.37337364207602747,0.09311689270694576,-0.24818521336139213,-0.042292069121932126,0.5841644432646899,0.4150030396923705,-0.3504978528946837,-0.15762923671172635,-0.23423534796716455,0.05173935165628294,0.4761297324005086,0.47210015729633387,-0.37258428253048337,0.6477888837117308,0.21790382167592934,-0.3002557088805709,-0.5277160044400677,-0.566818289285446,-0.5388703347286294,-0.3899310377567545,0.4444328731070969,-0.023189037489818955,-0.10577434127171859,0.2915635346159402,0.1444164124445796,0.28758334302517713,-0.23544532576194904,-0.15762923671172635,0.2917019398449353,-0.07894960662933301,-0.03210762678422768,0.42722540844323637,-0.4980630723232103,0.017755673375590832,0.3657412011125726,-0.2781655108141411,-0.7202046845233929,-0.1460924240221522,-0.2493644603789328,0.31614368868944664
ADP,-0.29906877836900814,0.26071913712875094,0.06416913840473526,-0.45644985839157426,-0.010959820219935218,-0.4925568182575565,-0.40614318391219323,-0.09391553638258819,0.03556574569197685,0.45452118484727416,1.0,-0.1848936434526398,0.003953821528027854,-0.16301478397365549,-0.35981393177411763,0.30455046446645284,0.43005018076858853,0.0472966234355014,-0.5360288874413237,-0.012727195123658072,0.2818076136084483,0.0761758723515134,0.08509233000176296,0.16485681660598844,-0.5385110355933832,0.48658434153037655,-0.3008113734233112,-0.01709703821383361,-0.5339142934906596,-0.46115941336973015,-0.3806415096488065,-0.6962732986316564,0.4628349113687091,-0.37563026766043534,-0.1265292402686748,0.011775411845305384,0.029850826643719998,0.13991954199841342,-0.2918021085298145,-0.012727195123658072,0.9528147462387888,0.006116789537624896,0.002214813995908458,0.06990911319227518,-0.1328498719727795,-0.04901328204133081,0.5347034271873928,-0.15705746384763397,-0.47297753024890576,-0.34359569281824426,-0.08766528199981224,0.4230613228071635
PROPN,0.3527741492017561,-0.37984875550212727,-0.24775557251877292,-0.026812591486089585,0.33682621934734047,-0.15080089568512278,-0.059573126968804416,-0.44047281369670277,0.31630248011001194,0.3969098020326957,-0.1848936434526398,1.0,-0.359144429047317,0.10690804791536447,0.17811956400421308,0.3626430191017364,0.1166284607259096,0.47621622385736906,0.2557626822741487,-0.5451768338593811,-0.2333139853839455,-0.35383045293935755,0.28146699473393477,0.3483059031513347,-0.21206704989180264,-0.13645867726572095,0.5733044247088149,0.02977380756250487,-0.1846959348178324,-0.33836784512043805,-0.05896175090495724,0.13628143970712273,0.2236677077595019,0.33534368964222766,0.4958901070692354,0.25939512233047957,0.4731722643430726,0.23071409513418584,-0.17438032771804807,-0.5451768338593811,-0.2846177318541959,-0.18353169371065872,-0.300702818943993,0.395310654720904,-0.3932354843461162,0.06370525472116549,-0.17090285063057353,-0.2657144711275939,-0.49773790317361494,0.10196834054430107,-0.13901802474555472,-0.3268292933301585
PRON,0.19050201539465852,0.03661430615481175,-0.2929145886145961,0.17778871802599563,-0.5183762058952847,0.0812111753085852,0.40615652459486756,0.18316686800538207,-0.14274899345065103,-0.37337364207602747,0.003953821528027854,-0.359144429047317,1.0,0.13342748151636166,-0.35784033654156394,-0.2633610393117899,-0.27022106515078825,-0.37300879055061953,0.06938277954817522,0.2547176032939814,0.07513631395110744,-0.05423603690610304,-0.29265094473703374,-0.3651861956898744,0.5912369287891471,-0.1119844508820274,-0.2118976826319467,0.14854243050583263,0.09404442636478144,-0.09843550265015787,0.4045413886808136,-0.11165536918497103,-0.7452994981980914,-0.23842822003085062,-0.4565916245531499,0.06635887643822504,-0.22166940799667123,-0.1715447022385895,0.6533211613348311,0.2547176032939814,0.25447109880196245,0.2541175100122402,-0.2913074363271974,-0.547430101938034,0.07549946203971243,0.24410988985931287,-0.4095280364069597,-0.17330177043088518,0.3339517404679869,-0.06307874545237571,0.4783955827372239,-0.06135196944175336
NUM,-0.19709806481760475,0.1469772943376701,-0.25867536939800834,0.35561311510643145,-0.44642508376154455,-0.5539968818536183,0.003031638888030268,0.3820564624216398,-0.2726662968462064,0.09311689270694576,-0.16301478397365549,0.10690804791536447,0.13342748151636166,1.0,0.09966713439455417,0.0834936182535367,-0.23280597246650106,-0.15979014636231578,0.08376563563915429,0.04450168003345882,-0.25536485819659366,0.21913852688457164,0.13906284060587296,-0.3133672773796275,0.09056927167168895,-0.26194197245363804,-0.02292183881944655,0.0049928215111907865,0.16328238389055225,0.018930070765202617,-0.045295170151134205,0.05934867858652302,-0.3412463624148396,-0.22082808462430145,0.0994409104150428,-0.3519715946889576,-0.12952157853156698,0.6662699245966943,0.2188799180178969,0.04450168003345882,-0.21260550718099955,-0.26422733389105646,-0.12603912348021906,-0.07907951492957987,-0.21745014561317264,0.6654501450925479,0.20049814004008237,0.05370740579234377,0.24747560768752316,-0.5848183408407298,0.024468689574640066,0.17861926550197027
