,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.7295606046804842,-0.28442590902116405,0.3181738279765758,-0.011064389912388327,0.03310811959660709,0.3121374830005976,0.4949974533101013,-0.021305222783429213,-0.1345315560449583,0.1193907800805299,-0.6511098754153724,-0.3677840687890187,-0.10357125781975943,-0.02810683498322439,-0.1593264650344663,-0.06031005887351481,-0.2353125922993195,-0.10571939757722248,0.014141703198095764,0.3019111400269353,-0.9532520382369618,-0.2775420791433618,0.13714397784855184,0.3343966552325346,-0.47471126417244175,-0.3449897564226879,0.10638212826770158,0.24200799886259844,0.07467212152634847,0.26140588935198694,-0.11404222101843903,-0.15946661579382498,0.40263987332730966,0.31345967817888554,0.04450667005456737,-0.11323052142205316,0.0799943717648844,0.5058882348580931,0.28923413549808913,0.1423133527855966,0.09869717390755797,-0.23728221953422904,0.03136855169865927,-0.3444076525580384,0.0362509784832837,0.24016874940917685,-0.2820449246906421,-0.2540906073029547,0.20830051083045215,0.12263812784439658,-0.8570172154735584
PUNCT,-0.7295606046804842,1.0,0.5032047506120598,-0.25215213188544283,-0.29202371706142877,0.06010610461001082,-0.3897040283352243,-0.2631858027931446,-0.20868175016560023,0.002365005839940476,0.03868005948833036,0.5679084102696517,0.024606591824086546,0.36834749858516397,0.11293433201612159,-0.06575634732008541,0.2070156433604932,-0.2226531739449353,0.043094817424394895,0.2732366975480806,-0.4196984847218112,0.845902356006627,0.1365924680661078,-0.12053276520445456,-0.5468000389835618,0.39397766799771333,0.3150936280961078,0.04357247472572508,-0.04109822642387972,0.1771648943810018,-0.41554291683648925,-0.03616631636458147,-0.019588875548311315,-0.1895331290760296,-0.7087785147498951,-0.19905510308109498,-0.06483337622676928,0.23865670191511087,-0.5615299977994653,-0.11878692574514663,0.07119613614191542,0.13202303246182068,0.4267076406836804,-0.2259542037100296,0.4510672159196025,-0.13629991372393138,-0.24678185582799236,0.18567972475427955,0.22768492014567507,-0.2709850477854406,0.13217979308705427,0.9162417017527235
AUX,-0.28442590902116405,0.5032047506120598,1.0,0.2599504306330793,-0.21992979844853275,0.23248370882251845,-0.2532182981628845,-0.08880927345939665,-0.2905458343151438,-0.49446406166284085,0.21303424422530653,0.08731991065921169,-0.4301164860470384,0.3195466513759562,0.44113815095354825,0.2162195579902483,-0.2520803367018276,-0.1675645222298394,-0.27326133308912703,-0.004860586605120093,-0.016623899962471326,0.2866366801164542,-0.31497388816670896,-0.07061735704177781,-0.05407464065960898,0.31947995416025343,-0.3131615871629737,0.1097238960598878,0.22533283186995723,0.1721180278723728,-0.33519224419106314,0.19931426474015085,-0.22029013310437318,0.38732313712968414,-0.43969003705794624,-0.4263280233382218,0.08297459519536372,0.27012374362086483,-0.44023999700202526,0.06225080330128945,0.21913807296815574,0.3609054235883807,0.5902737807062414,-0.16101851472845083,0.8960312845130004,-0.6530979516875084,-0.23456331202252226,0.09490461386380561,-0.11809918763315866,-0.05022299049025225,0.26930223829201183,0.4095753606459776
X,0.3181738279765758,-0.25215213188544283,0.2599504306330793,1.0,-0.07023849657893391,-0.2457038611098101,-0.2581477983277929,0.36974428895296013,0.4772882097689338,-0.09140126550125062,0.1705805645921924,-0.43544163769742905,-0.3679046986506288,0.2908955672066285,-0.18006433971239683,0.05395337064664218,-0.3392062123148409,0.1583753533594273,-0.09086330278280942,-0.1122228201258121,0.6520992762350312,-0.32260815250307556,0.15935598422449557,0.5952732880455486,-0.22063704533762732,-0.11222282012581196,-0.16068974201950195,-0.08638768510337672,0.21937950421321736,0.12759643081848532,-0.19245356674614586,0.30637680043175164,0.16915184580023343,0.4281066229351217,0.2951768610386172,-0.21284347844030932,-0.44697304482515837,0.2798809107216556,-0.07788283346302656,-0.2128864252264555,0.07572906252976787,-0.24390971839515765,0.14399953087944883,0.28109342354236977,0.14939009674645293,-0.12473277182454515,0.18478910841703555,0.24994110776965667,-0.38674864137476167,-0.16903958464502267,0.707538159262208,-0.1820472969421928
ADV,-0.011064389912388327,-0.29202371706142877,-0.21992979844853275,-0.07023849657893391,1.0,0.1898354669375232,0.6639441922811338,-0.5978369203781485,0.19128684331867518,0.3858945696983159,-0.7916874497166453,-0.2284821113890823,0.3095342235784365,0.012726028887901919,-0.5413910948394027,0.44852258446576054,-0.17520381152670028,0.4703791032478347,-0.43734489106577445,-0.1709440616598015,0.3158965629752072,-0.15629686713985766,0.011304635459684263,-0.14539286214952196,0.5573999312422051,-0.2949651563700428,-0.050457531453483105,0.32621142379469753,-0.5725029248459012,-0.48557230891810566,0.7381213464432707,-0.3667728110746228,0.296858886332951,-0.3951031013498502,0.12900741355634687,0.38910116456132354,-0.3978989766520157,-0.11205723892355494,0.6529624795131109,0.3286775411727014,-0.8056344509110046,-0.34309723900476663,-0.3159736828416211,0.07590766741459966,-0.05047871349075767,0.31598405879549984,-0.14930385599124255,-0.02759062333247212,0.3087027579421649,0.7247885310741053,-0.16447864618776536,-0.07694300699211547
PART,0.03310811959660709,0.06010610461001082,0.23248370882251845,-0.2457038611098101,0.1898354669375232,1.0,0.16722588713562914,0.11824151104437716,-0.022253308469242974,-0.4841176500331952,-0.3273952679257139,-0.019513428499075513,-0.06563300955375446,0.12805711614546839,0.06391425558883973,-0.1478908731876594,0.28202011627818396,-0.3837687227787617,-0.1453014868295309,-0.4011092721607556,-0.1548000052489859,-0.06678330515130973,-0.1223768759256829,-0.1266471747661903,0.5123372183667763,-0.19656203006011216,-0.21553687326125445,0.0799955077367092,-0.4818828953919214,0.08273066967390158,0.18292851348816652,-0.4334728178369287,0.16984250363377137,-0.275589704232985,-0.2188274010194413,0.2573785531694937,0.024449018950528405,0.23229949053943472,0.4108775506305245,0.5189579430164707,-0.28374643253022913,-0.03977080361432447,-0.2480118738178688,-0.23901832409944612,0.4858352752322627,-0.08401227652302812,-0.3405211520485664,0.08084124494165353,0.06297450719987206,0.4607163268345491,-0.15197652488320382,-0.006503452944487264
CCONJ,0.3121374830005976,-0.3897040283352243,-0.2532182981628845,-0.2581477983277929,0.6639441922811338,0.16722588713562914,1.0,-0.43000767120023964,-0.2979736646561802,0.009295989185130816,-0.3249676104182453,-0.38015104245307346,0.0627558609747652,-0.3828043009373946,-0.06952351321548532,0.4337390624815903,-0.05628884837975421,0.448596334498149,-0.013842490316628054,-0.05965267681024553,0.34186285251665827,-0.4655220993711669,-0.5367213507308456,-0.4247508878169958,0.6717848243377645,-0.503477802124051,0.0694887408396608,0.4322920412160883,-0.17403759719939738,-0.5093670592664159,0.9591513951975955,-0.5242330244077863,0.04838382404591466,-0.12966198841746793,0.05817069115160026,0.21911548864542463,-0.18781955963440647,-0.40555235354114133,0.829604197775212,0.5005311273221469,-0.28138714143896104,-0.14027594792476597,-0.5323631503236733,0.1683301806136693,-0.10828306250151087,0.01562621897945828,-0.3889544804980349,-0.4013199644889377,0.07346951210487937,0.5155540999694955,-0.11108508048599516,-0.43499521583058587
NOUN,0.4949974533101013,-0.2631858027931446,-0.08880927345939665,0.36974428895296013,-0.5978369203781485,0.11824151104437716,-0.43000767120023964,1.0,0.08520186029403146,-0.3670492605796624,0.3918834608282109,-0.031030195073969768,-0.5433176505657792,0.2868837242652585,0.03415865151814017,-0.43528716521958966,-0.063196000397575,-0.42217453413289163,0.09721270192806823,-0.05897042038771051,-0.07925446616550355,-0.37971828296821053,0.009113961888836576,0.2483883282380249,-0.2484031640213727,-0.14836137665379973,0.029422371946460153,-0.238253558457432,0.27012024509478594,0.5526124182164199,-0.42530666827701136,-0.07050327275054918,-0.11365371102514274,0.38366300742018006,0.22608278123080136,0.13082865419612122,0.12611846424459514,0.5158546536202158,-0.030594761888706315,0.07223511037706942,0.3973638106523198,0.09278768054474847,-0.08859186231731453,0.1291408797034586,-0.07934583251698374,0.11175867966950986,0.4476235869451375,0.2712329610587952,-0.6107291527579459,-0.4282858370594886,0.14371860272090542,-0.4232631709050663
SCONJ,-0.021305222783429213,-0.20868175016560023,-0.2905458343151438,0.4772882097689338,0.19128684331867518,-0.022253308469242974,-0.2979736646561802,0.08520186029403146,1.0,0.3456518646176399,-0.2794179298712844,-0.29856490450085016,0.3113862820396712,0.08247347577573211,-0.5746163512206565,-0.2556011282577425,0.2627885729602971,0.1436120400495953,0.14475879733699806,-0.5056172466798395,0.27318931333355956,-0.0037337452588182426,0.7856722929129981,0.7038600938040581,-0.08007479762895607,-0.03953380550265145,0.034090457072388565,-0.11011961952142275,-0.39262830829584144,-0.029048588408108932,-0.12587742255958903,0.2865221997662722,0.7162785376421088,-0.17722780771242128,0.4546775439483615,0.19220642087724424,-0.5239868579251326,0.04307471599082872,0.013991172077467376,-0.44035718539333146,-0.3791911195994395,-0.650515076333393,-0.31721746085734903,0.048284636649981984,-0.2318837689245442,0.2946887158941042,0.0788419646036653,0.31548910691771204,0.014456043336534571,0.04347866736763511,0.3906000963851224,0.038354828192445574
VERB,-0.1345315560449583,0.002365005839940476,-0.49446406166284085,-0.09140126550125062,0.3858945696983159,-0.4841176500331952,0.009295989185130816,-0.3670492605796624,0.3456518646176399,1.0,-0.5809698139119672,-0.06328920464943895,0.4309031715152893,0.04131851375510519,-0.6637839919907281,0.23863892156395106,-0.023908579747612624,0.2680011050940463,-0.1452832083777247,0.08194030359458238,-0.05957846868124655,0.1510723273154957,0.5875096814043921,0.18635156806324,-0.21827745746844043,0.09165801415965054,0.3338190629644602,0.18719072296640066,-0.2301424451646346,-0.4183391369570409,0.0710658418088556,0.024078337575571686,0.1234632946577991,-0.15159035244825636,0.27043036634541384,0.3258309139818886,-0.2971635091136672,0.01928959588849919,-0.042925814658522625,-0.2039626127482001,-0.5954367536333042,-0.1275423340804277,0.0018680676557854678,0.17178651978334797,-0.6486791758627354,0.6813980299669264,0.4820705906102105,0.021304207285278688,0.3852578071416413,-0.047067038189543026,-0.04187002736242824,0.15356957742288913
ADP,0.1193907800805299,0.03868005948833036,0.21303424422530653,0.1705805645921924,-0.7916874497166453,-0.3273952679257139,-0.3249676104182453,0.3918834608282109,-0.2794179298712844,-0.5809698139119672,1.0,0.10404232555216403,-0.3635433235694955,-0.19037271047059276,0.6326390942341003,-0.40746014962968546,0.058992065794777004,-0.12805121714156145,0.417256590320434,0.30966349708263924,-0.011833135152043848,-0.045196990530050024,-0.3707382551231057,0.04397368024967577,-0.31310663919864806,0.07031880643605376,-0.15348411270785628,-0.26628973609344087,0.6474064704196069,0.43379463309052524,-0.42633827765774124,0.35661131648629335,-0.2248242016072587,0.3568958703423742,-0.11678741889658607,-0.498521714848369,0.322987758084767,-0.20352053048819832,-0.4398497752727152,-0.4407161377709077,0.9867119078523089,0.27857370256166886,0.20488000698262934,-0.10676771229310004,0.11528758551869252,-0.5235840810998418,-0.16337631759986804,-0.06586208869089388,-0.4277158078476347,-0.4588103649833291,0.12941799161332573,-0.11995493412431844
PROPN,-0.6511098754153724,0.5679084102696517,0.08731991065921169,-0.43544163769742905,-0.2284821113890823,-0.019513428499075513,-0.38015104245307346,-0.031030195073969768,-0.29856490450085016,-0.06328920464943895,0.10404232555216403,1.0,0.13451689432571629,0.32774419738737465,0.08623861450893963,-0.11605372987813833,-0.19817267206536035,-0.09569226955422482,-0.10890806036230812,0.3470281264962008,-0.5334345546689364,0.6790002828582901,-0.02678219911727235,-0.21962500696526754,-0.5258635928225092,0.549572709205655,0.20696967918595224,-0.06273877382564484,0.11818960290309126,0.2866004563078483,-0.4310926010017223,-0.12135910916711434,-0.2863506781513224,-0.3036833943917199,-0.32837691207360475,0.1683115168682066,0.4204277806344682,0.24364166457045255,-0.3889090023949925,-0.05424513777040699,0.1110901144078538,0.030459619422510645,0.27437346649906896,-0.011357813070801814,0.1722868912298923,0.053814262469493855,0.07632333093197867,0.1137007168539187,-0.01702308876922304,-0.22051101000658974,-0.5323373431565598,0.6154274290251345
PRON,-0.3677840687890187,0.024606591824086546,-0.4301164860470384,-0.3679046986506288,0.3095342235784365,-0.06563300955375446,0.0627558609747652,-0.5433176505657792,0.3113862820396712,0.4309031715152893,-0.3635433235694955,0.13451689432571629,1.0,-0.533307336658852,-0.023702976246775642,0.1074849330616118,0.28939579586355696,0.13583276231288446,0.3099541867933072,-0.15979936251029295,0.12523249608878917,0.29749821782773295,0.5090481930187178,0.20661839879402688,-0.013030776595967011,0.3295276967237921,0.02577910434100324,-0.23547654506460808,-0.24170752308102547,-0.5338465864145254,0.14423085695174878,0.3126046670446928,0.0975425763703422,-0.6315399514518072,0.197147575677723,-0.05415873578714016,0.13324026098644043,-0.5877478585715135,0.014021774045408223,-0.15151532503617854,-0.4214959634902612,-0.4688371732921329,-0.08988425185057941,0.10625843953055729,-0.419165110577982,0.12942655009186174,-0.1673409301771047,-0.39371941600128074,0.7553452472482636,0.17506482958399314,-0.22118381533986156,0.27162108123851864
NUM,-0.10357125781975943,0.36834749858516397,0.3195466513759562,0.2908955672066285,0.012726028887901919,0.12805711614546839,-0.3828043009373946,0.2868837242652585,0.08247347577573211,0.04131851375510519,-0.19037271047059276,0.32774419738737465,-0.533307336658852,1.0,-0.5032008938607987,-0.2115219969758563,-0.25919032344057874,-0.26586115979923064,-0.6541926173039911,0.25718269182580195,-0.2980188874420826,0.2241561012113519,0.10532831773515543,0.021702091032534378,-0.3558106013899768,-0.0056359710904582095,0.05292649943110707,0.16905359915844295,-0.17787632885951138,0.5829902853464122,-0.360396716535041,-0.3347434155078556,0.09516806811364675,0.07165489846538674,-0.38465534460964196,0.28086857162412837,-0.3874638360195253,0.9143823786959863,-0.15132651514181092,0.097188521140201,-0.16981793614161114,0.09399890709728304,0.2744473290615824,-0.22614252648013167,0.3719441396075196,0.2718157313210405,0.30236772680701984,0.6133250332410581,-0.30600948657529664,0.04929984362825532,0.07727428421110258,0.36674249920417523
ADJ,-0.02810683498322439,0.11293433201612159,0.44113815095354825,-0.18006433971239683,-0.5413910948394027,0.06391425558883973,-0.06952351321548532,0.03415865151814017,-0.5746163512206565,-0.6637839919907281,0.6326390942341003,0.08623861450893963,-0.023702976246775642,-0.5032008938607987,1.0,0.05837100316150127,0.024235201776748854,-0.26118448153579354,0.36066135800170046,0.04373845951313189,-0.0057306949543305796,0.029695213706274624,-0.4776760542344218,-0.250223874887296,0.05825822658727388,0.3065451278355966,-0.30753522527338906,-0.3232905314512897,0.5300255490757794,0.03743264216098625,-0.17750145853613464,0.41646346638840986,-0.5268370180653675,0.23513719264237687,-0.20033562440828917,-0.6773119674590091,0.6813714436870545,-0.43797814558056664,-0.32452462744662963,0.07688966849907264,0.6538662715935114,0.3630327441786224,0.3365794263942075,-0.06370519548398444,0.34266502561864565,-0.792026626803637,-0.33453757896143393,-0.44959987229994175,0.067764535395052,-0.21657218335555786,-0.060120136186175024,-0.040839401510522795
advmod:emph,-0.1593264650344663,-0.06575634732008541,0.2162195579902483,0.05395337064664218,0.44852258446576054,-0.1478908731876594,0.4337390624815903,-0.43528716521958966,-0.2556011282577425,0.23863892156395106,-0.40746014962968546,-0.11605372987813833,0.1074849330616118,-0.2115219969758563,0.05837100316150127,1.0,-0.6255774182369475,0.5711311055918501,-0.13222817069278447,-0.19511559772603626,0.374846658572765,-0.02728927532493833,-0.23285447593287373,-0.19485399499270825,0.18258968311021517,0.20666278014791706,0.18348657917881786,0.3010547658836231,0.14795202578922279,-0.7060344641066549,0.4010143918217767,-0.03209911076954958,-0.33919448823188486,0.2564039587151313,0.2835894605386402,0.03570038659049208,0.1337575065774919,-0.15272546129067538,0.15810385680946673,0.3857950075641416,-0.4179335092232809,0.0039206775136221795,0.09731885449858628,0.6339106461519,0.10632842121156937,-0.07935458594527482,0.12702576171668675,-0.29462998360177656,0.08821896003926484,-0.0727301569250224,0.046052543211656534,-0.03367267664989797
obl:arg,-0.06031005887351481,0.2070156433604932,-0.2520803367018276,-0.3392062123148409,-0.17520381152670028,0.28202011627818396,-0.05628884837975421,-0.063196000397575,0.2627885729602971,-0.023908579747612624,0.058992065794777004,-0.19817267206536035,0.28939579586355696,-0.25919032344057874,0.024235201776748854,-0.6255774182369475,1.0,-0.37626203858096463,0.5040128234471661,-0.13859830653921099,-0.24866833667869465,0.18824582410646365,0.37583660071434594,0.006949268934479169,0.12482508443906279,-0.32457306094995386,0.12149533810820094,-0.28923256271278897,-0.4845682316142371,0.16761229577600037,0.041452679755853934,0.024396139287344052,0.5585736311032956,-0.47127027677473105,-0.33060563844449004,-0.17989195126126156,-0.25810228914907823,-0.3175550680389654,0.00031436579019423203,-0.22143818904256649,0.09768678828464498,-0.11977501580062762,-0.32208819511715925,-0.5686994233364877,-0.13939841348876028,0.04157184845488929,-0.49409421328698744,0.10805800189090613,0.37812123699763645,0.121189129863994,0.17674904187815635,0.14691623077170668
