,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.8610565681599557,0.42596572312344816,0.5673398962545445,-0.62037947932253,-0.1219348192235178,-0.02330363564322166,-0.6767430981270468,0.6390890821109296,0.35466561093126875,-0.29176408388043923,0.14360345686971934,0.2620582677600565,-0.07966119068510726,-0.019219966657737713,0.09772502586327568,-0.13015784116927623,-0.2744768409572621,0.13704216308495765,-0.8924394471191734,0.48266686427377686,0.5584158238501312,0.27016981341576807,-0.08602506428838967,0.1786475362229062,-0.310253749692899,-0.47620552670233157,-0.25875009114930864,0.12931537182526648,0.2581740912262002,-0.10997248864222212,-0.022625916807515144,-0.07186310987935852,0.10851874623777616,-0.5357492455947018,-0.34675627391021396,0.4340056657773813,0.46426015809711446,0.4105591579830542,0.4186140552355391,0.4733292621720445,0.24498977350313897,0.09752028686679542,0.6004334304620133,-0.6889784808716657,0.7438754486800807,-0.7797843426438972
PUNCT,-0.8610565681599557,1.0,-0.4332597819864525,-0.4919632836392853,0.5874278532706204,0.05192352554003185,-0.13751289069907566,0.6711497393008293,-0.5988357327471436,-0.2547142088776933,0.2710394424436363,-0.3269166090797974,-0.12466034623877169,0.004422283001889056,-0.0728326573013866,-0.4907939486083846,0.38352437257295974,0.14767745203570892,0.03239049461397869,0.8092824132322309,-0.258892486422903,-0.5673869956298148,-0.36899838217923425,-0.07707130310196923,-0.033812612105586844,0.415373004046032,0.1686660413706832,0.33813617259226697,-0.47235942654604485,0.13085288865657826,-0.12668535199901174,0.1889661426157124,-0.08744972812005262,0.02172913422197587,0.48613238766905925,0.3134840909685914,-0.3251751018129476,-0.5072848720831884,-0.5289452523397346,-0.33070714841394583,-0.38455614203924915,-0.2994275128990574,-0.09765809870755394,-0.770755941131282,0.6565454690086843,-0.39958478855574253,0.9133287135154203
AUX,0.42596572312344816,-0.4332597819864525,1.0,-0.26243712086997567,0.11761210556178772,0.42916111228246284,-0.32500431041746813,-0.8286460184380307,0.4801994793932076,0.7440882742835829,-0.21662287109968761,0.35750338655329006,-0.5052801241441771,-0.7282170933379767,0.4377815873436425,0.5168699938992931,-0.06766601352918451,-0.0655172751324445,-0.08129599525860648,-0.7119439237251083,0.4906084863746323,0.4269343146902397,-0.25836100954958263,0.7430219902873064,0.4148501508738451,-0.6071945489821178,-0.40459398274360303,-0.4088156704733012,-0.18397939197716748,-0.32573843603333047,-0.3072272668570444,0.37043539953896387,0.4279722260583991,-0.6161037850513513,-0.4370022503494265,-0.18419144695893772,0.14018488122248482,0.8599138189851189,0.09387723247214944,0.9342266385131853,-0.04541118578187344,-0.031210935729722573,-0.07792254495032191,0.1339022736796917,0.014214353674620622,0.0003153783963910606,-0.09495557026034951
X,0.5673398962545445,-0.4919632836392853,-0.26243712086997567,1.0,-0.7434428966008078,-0.15997614737870872,-0.13656143817621855,-0.05331859177426792,0.07222561647547888,0.005964788363159615,-0.10710168384226232,-0.08452561502549742,0.48797690588350434,0.24295439325671284,-0.14230666587340246,0.010576040169112405,0.0024025360688435652,0.2861902618757111,-0.06933060813027142,-0.2862657329769729,0.005545884131422024,-0.01917393972711724,0.43530758902015243,-0.4820758606845773,-0.10208187082882565,-0.1537619440987746,0.0883785536517324,-0.053011384768057924,0.34636533518215423,0.28330474115854054,-0.15321058609807772,-0.02606314502401485,0.06731769671727038,0.12389198830514961,0.12867640906381872,-0.11183691979565011,-0.04221244183466455,-0.05021443859425032,0.26694952394819255,-0.2491207431578749,0.4022760399857794,0.6434635426432537,0.3638596793158616,0.2196277995640536,-0.855399189711774,0.4810505206363154,-0.5643052534758799
ADV,-0.62037947932253,0.5874278532706204,0.11761210556178772,-0.7434428966008078,1.0,0.4324395833220488,-0.24111599612437576,0.3381650534974687,-0.36146703481876574,-0.24395648241840964,0.6728026800595001,0.30471727782320657,-0.5885653244750005,-0.02799978854911013,-0.14394189673200822,0.04744146198266835,0.2957753750552419,-0.2795638509438564,-0.5151010668716164,0.48031789070774517,-0.23495519356628092,-0.30886019008204224,-0.5894365283522811,0.11418775381586299,-0.27082067736743565,0.17971363554977923,0.3374483151450377,0.1440551237252499,-0.1485622292266687,-0.13191434725421186,-0.21971545919520835,0.38077732757942806,0.10924148423776943,-0.07667662812952586,0.09919111995428706,0.68216607506428,-0.48512706340996403,0.12318837852281538,-0.14247724583529728,-0.01657235529850352,-0.871976728934769,-0.20808063490067596,-0.17053432277087116,-0.37700257040539503,0.9143969608092517,-0.4472275291288057,0.5886176157568264
PART,-0.1219348192235178,0.05192352554003185,0.42916111228246284,-0.15997614737870872,0.4324395833220488,1.0,-0.2604970070772265,-0.02904280638855224,0.06087353890638088,0.1325008723890867,0.11306187993312808,0.7599321385949546,-0.8138458515616024,-0.12101135211668919,0.48242851301187245,0.5044413548114612,-0.2532935922441212,0.34640518135417075,-0.6803775744496618,0.07349963022743372,0.09944214839232716,0.018252109330021048,-0.6172122882815326,0.4334973461528304,0.19519596638061323,-0.05287908561674285,0.24408420123272365,0.06741110354159487,-0.30420238016996765,0.048424720773940624,-0.03527516583151036,0.2078424726666753,0.7475998098212072,-0.40059853265037915,0.004591439124583613,0.11599323825452934,-0.21964969508868723,0.2699546129838187,0.4692837873569259,0.41460320628662184,-0.6596392450627617,0.3378477940091791,0.419865802609282,-0.39196676266370306,0.0865090448414658,-0.5309608299756269,0.140662520080927
CCONJ,-0.02330363564322166,-0.13751289069907566,-0.32500431041746813,-0.13656143817621855,-0.24111599612437576,-0.2604970070772265,1.0,0.2838620405260329,-0.021286924957974726,-0.5429939259966498,-0.4036130901473532,0.20810337708028265,-0.022327314066805118,0.5740093044371598,0.2606764722659389,-0.21656059870224142,-0.41041531509442014,-0.2546784959884001,0.39825738169248454,0.19733155543845152,-0.34115160730362437,0.06710118853497198,0.47484379600532345,-0.06994480145062859,-0.20702551599107033,0.25673376120855823,0.08782937362394054,0.5645750982078908,0.050149067602910505,0.16473980115481632,0.8582835373165506,-0.9754216732491775,-0.1658423001062427,0.596897976405516,0.026869236970944052,-0.4658532864921835,0.7068015202633591,-0.3856126652890556,0.4716316809862555,-0.26786130543810605,0.2093355674104281,-0.0893540440418119,-0.3527026933195653,0.20141268175093144,-0.05733747527223875,-0.10803944609411145,-0.3883669376867528
NOUN,-0.6767430981270468,0.6711497393008293,-0.8286460184380307,-0.05331859177426792,0.3381650534974687,-0.02904280638855224,0.2838620405260329,1.0,-0.7541483163693734,-0.8392747054586192,0.4143721878918446,0.0019980995183525104,-0.028258694169184598,0.6857392847651962,-0.2079928833940107,-0.4593451342590438,0.24395937037355117,0.015010105065725329,-0.19669599751550523,0.9326586536491087,-0.7073957098181267,-0.7025538215799428,0.06377137257261815,-0.5585540974834777,-0.5703389708785523,0.5129724680736962,0.6415856383470584,0.6987164775847559,0.014919426813083447,0.31924907370738265,0.20190429486160608,-0.27839865051596235,-0.07541792136921037,0.5173993350614803,0.649731171995134,0.40933325198892395,-0.26144064729035627,-0.6732760169102232,0.03142303895326231,-0.8257874239814375,-0.4429521859652203,0.17799792050985214,-0.09831127948694454,-0.49379194999880655,0.3603168916984028,-0.2986654192053231,0.3359630216876261
SCONJ,0.6390890821109296,-0.5988357327471436,0.4801994793932076,0.07222561647547888,-0.36146703481876574,0.06087353890638088,-0.021286924957974726,-0.7541483163693734,1.0,0.49388122269245116,-0.3921358958686459,0.07265050683164206,0.20652127151209673,-0.21253699053121358,-0.008795022277214827,0.2845679807705088,-0.6492090162977854,-0.09294747357094085,0.1528959601983906,-0.7479279171010255,0.8729980409365647,0.9874681078168488,-0.32503504904248276,0.2567402729942864,0.6809033621918704,0.14124312504588668,-0.7069404049502448,-0.6279567852724001,-0.1527084707784178,0.09493421913270671,0.24583898523827308,-0.019148578902955272,-0.2576693650064557,-0.07649599542233514,-0.9331997569894428,-0.49290383085011236,0.4230338610986038,0.15934871966093575,0.22064355333978028,0.59352727107239,0.41967812424486417,-0.40196112561949005,0.488347921011947,0.6318542209384445,-0.44448134988030275,0.33275383827904403,-0.44256177199995506
VERB,0.35466561093126875,-0.2547142088776933,0.7440882742835829,0.005964788363159615,-0.24395648241840964,0.1325008723890867,-0.5429939259966498,-0.8392747054586192,0.49388122269245116,1.0,-0.46704504756277365,-0.23699273496744297,-0.026368818732164026,-0.9282436474397862,0.35911003826902377,0.32755320768975094,-0.03953519850058784,0.3520088517673508,0.252625761878192,-0.6765530156608257,0.6909954504426298,0.41079037940486973,-0.20968588270132968,0.6775947738469761,0.7419818951588395,-0.5342951501172493,-0.6360468278256726,-0.6547986286825911,-0.30793513391534655,-0.3239287244785555,-0.424241313503245,0.5050542219678398,0.2450397082560352,-0.7862348501495838,-0.32461926959137066,-0.40089865858124085,0.06756080382238137,0.5360108473197873,-0.3626118159960366,0.8292768278097343,0.4063354880315615,-0.1716871707525772,0.16355066325013723,0.007098105719098035,-0.2686203812544925,0.09604217794602514,0.13723366832610298
