,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9428881230604349,-0.6028841050108661,0.47417405748986813,-0.07863743893584138,-0.11941598732726927,0.4826791263221684,0.49285156437596866,-0.10995926555275809,0.08114740722128648,0.2880989483337387,-0.40874590612168055,-0.25893920722922664,-0.3754178932209499,-0.06326160606559982,-0.15758915637150808,-0.2952893125474968,-0.002941375792021983,0.15672829350391823,0.2562093799628985,-0.9440020123043895,0.5644006967440175,-0.0633480431301502,0.5908204136528191,-0.13077191910037103,0.44608324004592975,-0.01884807708921915,-0.0032789032690350734,0.5057532187326771,0.42635233072361345,0.26871374620745114,-0.6657979996315474,-0.3459483242385721,0.2434002101472172,-0.050153999580363595,-0.3277867103592779,0.6111060343528483,0.34414096766657026,0.3001748973840276,-0.24149695604061577,-0.1673928953590426,0.01351977405135497,-0.38141672468244847,0.05265408784702227,-0.15862670997441355,0.0676529199544421,-0.37860799906448556,-0.20727767337278213,-0.41090540101935547,-0.8916221703394571
PUNCT,-0.9428881230604349,1.0,0.49815212137301795,-0.4594603340271385,0.2597903096791852,0.18690420576209102,-0.4045155032364137,-0.4830329962015968,-0.06130810398657475,-0.10590084311961802,-0.31875097207975495,0.31496308083765995,0.16235387300228682,0.2612750266047619,0.12130529542530688,0.2308360174586676,0.06378900945238247,0.06242176490920296,-0.17898814355932383,-0.1894906459776543,0.8548899924581266,-0.6339647308219662,-0.08571155849738649,-0.43450781276812556,0.05944840704369718,-0.3326870397405581,-0.026662050864908627,0.07665856788698851,-0.40690320874182145,-0.5829394560249023,-0.29940288739418325,0.6301872423005502,0.1920328437667731,-0.4229870229425254,0.0635753643536536,0.24667278347360408,-0.43963462591428637,-0.37242529126725177,-0.34315005157582235,0.08171735285867074,0.21493245033362401,0.04118586366875891,0.3150153697883006,0.0076358022515574,0.08077552749588003,0.09589451584898762,0.35573889956542903,0.3762683752723205,0.21006992292263102,0.9275622292337513
AUX,-0.6028841050108661,0.49815212137301795,1.0,-0.035274831639750016,-0.29242968980809847,0.05659639245432125,-0.026398883798047595,-0.5617352611727141,0.3439156346611516,-0.16249812764856642,0.16610147780779777,0.2469707450179307,-0.11683751247623966,0.02744519333450919,0.4300514765003669,-0.17952487111672527,0.5518034703998613,-0.1725984773262483,0.26014497742160364,-0.28292915226182835,0.5796536150031246,-0.4214241473236263,0.29076074525712003,-0.33129051507222845,-0.3559764846964635,-0.44825300203848173,-0.1908020003758605,-0.3444209438508822,-0.07400015984788581,0.08030724864231946,-0.14091004031343077,0.5239650858416712,-0.21092241189913363,0.21581412447314519,0.1409204124517512,0.08264827618822593,-0.11874912218925607,-0.39849412834290876,0.1248285899957007,-0.1923601726052436,0.23882720076471264,-0.06259784889213109,0.8096697517831232,-0.2282435840663904,0.4101470293032852,0.026951557217908116,0.044605316046451945,-0.08305746731803622,0.6395221005313928,0.4210037939559552
X,0.47417405748986813,-0.4594603340271385,-0.035274831639750016,1.0,0.010736709525197646,0.0914299205358529,0.34899492881489425,0.25772767263460633,-0.1923411821457316,-0.40088871243742785,0.00970153487605181,0.02465214684430937,-0.6829064461269518,0.07887874078952478,0.6778655292711897,-0.1375263322744791,-0.36263124573736494,-0.19687550798835482,0.10144831640341348,0.7374719042243427,-0.3345778301046527,-0.12261992528242244,-0.1498307122932774,0.013987790801333274,-0.012395467962406469,0.7033869315303841,-0.0018561783425986643,-0.28701102367826276,0.2739352811075778,0.32343781776295316,0.5644491176659194,-0.2686036846184281,-0.4238571762254131,0.5302157989365214,0.7392224024244115,0.17606986646750153,0.6014808729566399,-0.19687550798835485,0.04273299456239431,-0.3604754896199378,0.18418507152661479,-0.2986991222320746,0.03677871526374402,-0.6166393468358614,-0.35235360304329677,0.07750253548751222,-0.23497070928916466,0.020438172246002882,-0.194893999716792,-0.6397457082204621
ADV,-0.07863743893584138,0.2597903096791852,-0.29242968980809847,0.010736709525197646,1.0,0.46106976181828135,-0.09667552974573616,-0.18196605323366216,-0.2433240219347379,0.2995847263715498,-0.5890199143122451,-0.006076551992391062,-0.15278722400976577,-0.06053838457790026,-0.0917045349168438,0.4839497860468414,-0.4919109285459056,0.1713621922258591,-0.6729216210270869,-0.033320195822002074,0.05602326114350404,-0.12120747892994778,-0.28330305384217697,-0.21257205808497107,0.2671607957157253,0.3541703316182711,-0.42988063022150486,0.07337286630726175,-0.16654986748560444,-0.331778390521553,0.11289411546166742,0.37860794532282205,0.04007570129165211,-0.32761111983931235,0.18163210171816585,-0.16439279023687045,0.1925877366978108,-0.12061971658516418,-0.5028214952066996,-0.23114371607044532,0.4404332379488381,0.4932977284079852,-0.5142595945954741,0.30082705663670517,-0.3653375268008364,0.31449820296729625,-0.09989815525464783,0.9384728416566778,-0.5089174639093076,0.2915924553726532
PART,-0.11941598732726927,0.18690420576209102,0.05659639245432125,0.0914299205358529,0.46106976181828135,1.0,0.14269714960274207,-0.39092716099119024,0.18088483360265215,0.25034037029116785,-0.21570756936731902,-0.3496718356378389,-0.430276481952488,-0.26433808875190995,0.3213409212414118,0.33247991664226545,-0.5221806280476637,0.08771700185093383,0.10320404828708472,-0.06019439885759631,0.00889305282371774,0.10525308739176709,0.08670530712801107,0.09455948800359541,-0.025560679356733042,0.004702016621995749,-0.41252944361430827,-0.32309111562813025,0.11661959852982982,-0.029972025513022034,0.1753725035735231,0.0205561195696692,-0.027937142025924424,-0.2638367167790992,0.3774032571746663,-0.3088168824343786,0.27378792448677025,-0.20084800172513345,-0.30679464502666615,-0.2029432389525066,0.5848766930569504,0.5938425227842015,-0.15168253655576308,-0.13633228341209308,-0.3042218388732439,0.3887723458009926,0.3601396583660364,0.6272673542271348,-0.4377089620685257,0.2321434074828768
CCONJ,0.4826791263221684,-0.4045155032364137,-0.026398883798047595,0.34899492881489425,-0.09667552974573616,0.14269714960274207,1.0,-0.3858077718047787,0.22731819946897477,0.2643000526480507,0.13663319445288674,-0.5229378474511568,-0.08812254776649732,-0.7820859336878835,0.3913258378400394,0.30126465517415035,-0.2780192436002541,-0.3563670121348071,0.6036134970244927,0.29587355179702307,-0.6467837605578604,0.41484938304712055,0.3944923867996637,0.5318534978379298,-0.5431835995758505,0.48113559583740717,-0.26978824287195174,-0.6081261366798478,0.957116538767667,-0.17116679380706953,0.31910923060517365,-0.18469647730441574,-0.518742993037242,0.1946901771310628,0.052746441337086225,-0.6786360615723365,0.4804791946517213,-0.035075643923710306,0.013558869891408625,-0.2955375675078832,0.3657588318282564,-0.024550082617912472,-0.15257227637292922,0.050934657537087244,0.16255255780673106,0.14254992783059586,-0.5618310240882409,-0.1632084908263765,-0.4730525361820448,-0.4314119680779628
NOUN,0.49285156437596866,-0.4830329962015968,-0.5617352611727141,0.25772767263460633,-0.18196605323366216,-0.39092716099119024,-0.3858077718047787,1.0,-0.5050956456939713,-0.5135054645658063,0.2337545606222497,0.1357345153145732,-0.257845443112397,0.38905871605676556,-0.15940002218827232,-0.46430877106317014,-0.19074376257206432,0.26692309877295994,-0.19756485471063961,0.30050182677242776,-0.3018464082531702,-0.072839291509177,-0.5324311080816025,0.19662684782520326,0.3819203438542169,0.09848445554225925,0.4806081428480425,0.6687878381169444,-0.30735939512823585,0.42883496102524465,-0.07756934559299174,-0.5326025903620171,0.003127555101756049,0.08359193059195784,0.05615339226404588,0.4346325122077164,0.09361178675928658,0.19580344870903016,0.3441197345467641,0.1647575296145962,-0.5304116724164908,-0.33012597036168045,-0.18805826032078957,-0.2033752198099078,-0.3375765045595362,-0.17787378768205203,0.193027333073531,-0.2580933446396414,0.07891849538893908,-0.5035848347872207
SCONJ,-0.10995926555275809,-0.06130810398657475,0.3439156346611516,-0.1923411821457316,-0.2433240219347379,0.18088483360265215,0.22731819946897477,-0.5050956456939713,1.0,0.5072545212906414,0.2572252371314963,-0.39884807237370357,0.12945138710545417,-0.3395312687883233,-0.09981868671284888,-0.12898390878447147,0.40992399176454963,0.21681177628915066,0.35009424748759166,-0.3424934124415215,-0.05625766175696026,0.5909999703814559,0.9477886619423228,-0.2732707375377141,-0.131653329600602,-0.2220646694284513,-0.06693814477743765,-0.6033423556292558,0.16716573929736972,0.020553478357996428,0.4020692224657639,0.10312668605395675,0.43136941489146646,0.3619283119199781,-0.22018473756124288,-0.46152286018366995,-0.19830398769462668,0.05380037454991158,0.07575474902835566,-0.07083180023887402,0.22270230369784413,0.4230874846161449,0.09538685384934707,-0.10643290669294017,0.1696615776290427,0.040246188429049916,-0.32414235328651525,-0.19283178150717303,0.11828390582746329,0.10033171505106893
VERB,0.08114740722128648,-0.10590084311961802,-0.16249812764856642,-0.40088871243742785,0.2995847263715498,0.25034037029116785,0.2643000526480507,-0.5135054645658063,0.5072545212906414,1.0,-0.394208813520827,-0.5545712811254703,0.5215962466745059,-0.41824924581601486,-0.47074573108509105,0.41843400607721154,0.11025073190633915,0.027486106927121664,-0.10436663674977366,-0.42262464647861814,-0.2218058681790494,0.6290980057008839,0.5597879440336445,-0.04465559029651035,0.09779939242469977,-0.014171221661274052,-0.46102171703049566,-0.45203964442778405,0.14175381525041256,-0.07744741978190443,0.208202224080514,0.06882103256124196,0.29854247796048455,0.020814651005432228,-0.40836060954379627,-0.6571005160954085,-0.05474770596476015,0.03624945927644904,-0.4976533213443874,0.15323434092813615,0.09155157591882221,0.7328483397844882,-0.3333132337308615,0.6491591870328312,0.3757512507699579,0.29454173801287004,-0.3652875020456787,0.18302247139200917,-0.2936219377859953,0.13520420341177455
