,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.7990141098518067,-0.11208880661956401,0.24315054556569862,0.13461271790573723,0.26480156544187033,0.4746413384597383,-0.031846337020130386,0.1752275108367098,0.041416334739569474,-0.16967184729311227,-0.5006322274001473,0.15550797758920384,-0.6228364218503887,0.13407593446547772,-0.10860617081031573,-0.16277672014239733,0.006576057793712839,-0.241407630067967,0.004452012172269061,-0.15037802262528885,-0.8702210849756682,0.22870579385720796,0.23758593193578867,0.2729089174511826,-0.391105349541807,0.26135349870645785,0.4227316384797185,-0.14352361841582287,0.4823253968696956,-0.38507993802878915,0.1615856417797055,0.362018214826543,-0.4952928758970208,-0.24295763051758137,0.14159228692779882,-0.6757042511763086,0.09097103077079116,0.0125435038290973,-0.08710968201167647,-0.19830110736073583,-0.08073211891295276,0.009473598633336059,-0.1836879737085217,0.44476672277252205,-0.4021559909230871,-0.07225729271532248,0.5565664338847952,0.27105175887548993,0.04025364143608654,-0.8433039467704212
PUNCT,-0.7990141098518067,1.0,0.08642662489871877,-0.26949207859241187,-0.20231636456518348,-0.11147803167029953,-0.3004971025907756,-0.0943184602657084,0.2876836228719995,0.1476525222735674,0.18567517594483454,0.42323107571687096,-0.29311531054814194,0.12491899007105364,-0.31975717804260884,-0.08639927567245592,0.20775473172587386,-0.004205024415822738,0.4203131582853251,-0.11525528400011019,-0.002646839091676938,0.9286194866914775,0.1524151295116717,0.22972896491752742,-0.33666569679479436,0.4326680951659597,-0.23380732405053745,-0.5339606836115048,-0.12907270972241514,-0.362397840603364,0.163083807494592,-0.1800791527130493,-0.3802679976562887,0.6559104348810288,0.07242666192967495,-0.29348495982298795,0.37602961981406585,-0.04631473674407534,-0.12413984770012255,-0.1361185582622832,0.17089859937087312,0.07282347968372296,0.3205838230076153,0.08643005335305,-0.3754634731778782,0.22003992316268534,0.18090377380839992,-0.7974734073135784,-0.28293050102455375,-0.04169098740240358,0.9446660755836751
AUX,-0.11208880661956401,0.08642662489871877,1.0,-0.4465793211853482,-0.03283429866249223,-0.17913378220129297,0.2981680097039803,-0.0578520956409491,0.009472605954462508,-0.47433952837012683,-0.18323617275541937,0.13007317829232812,-0.23960276924475427,-0.12983930779275646,0.23379678747250768,0.047835266758833685,-0.7335499787218539,0.35136257606867327,0.2859230740542654,0.32059490602798046,0.4136052061797447,-0.012188288842540397,0.08328811432925338,0.023946782198127414,0.29510787178701975,0.03903442960099358,-0.20708781202950122,-0.3174763720997352,-0.18441323449764307,0.3378528595700224,0.37325779271439125,-0.3395390264446735,-0.2570991398651202,-0.07867412967492794,-0.29239829852055355,0.09535339377096326,-0.12725341863836523,0.3008373705248112,0.1338875030473989,-0.3870923872173926,0.24964864891727823,0.5435678269878309,0.16241135988231983,0.8239523974398746,-0.2959753893086397,-0.3414579315324669,0.02469527781905833,0.2605307752151455,-0.2876761900811067,-0.36962083434602855,0.032895886401999204
X,0.24315054556569862,-0.26949207859241187,-0.4465793211853482,1.0,-0.3140213347524307,0.4611877698051666,-0.0829001467832303,0.6145274351895302,0.01151817526231944,0.06832543323575663,-0.21136182464999995,-0.2358142998783078,-0.2066566313650838,0.0344861097688139,-0.135350822346441,-0.1469898492320521,0.013434294887270846,-0.26823053430982197,-0.2686872536794329,-0.1815929301690848,-0.4553840532224567,-0.16133297180216685,0.15250509161707357,0.037407560967218194,-0.35345216529644063,-0.18148413025826068,-0.32309324527764627,0.5241765989504189,0.38773506115541084,-0.057385839965296,-0.16894287967589325,-0.1548582821434305,0.021901709456556475,-0.17530986937550277,-0.41617233076911836,0.11082887532054028,-0.24905089051113827,0.08276372731609967,0.10759859790883287,-0.11560854000872199,-0.20402317041161386,-0.5830744319921516,-0.18823517729311656,-0.3164334972050751,0.40169136171707764,0.39763834296551887,-0.34846703675225676,0.08928277194124867,0.13016876885387452,0.7684763491204499,-0.24768434446838836
ADV,0.13461271790573723,-0.20231636456518348,-0.03283429866249223,-0.3140213347524307,1.0,-0.21615160511698608,0.09356002295385081,-0.5918853705465053,-0.022981317293807653,0.09304885963501351,0.4443147783008165,-0.2173142700620072,0.3554923250233034,0.08423895096002736,-0.18219604459466016,0.5303799961093911,0.28402175187414247,-0.2880251975369073,-0.3655033218489211,-0.30074568077323766,-0.10394594790382314,-0.18157151775140498,-0.003782219293719296,-0.062032221056662444,-0.07653791238930822,0.45179982760139736,0.2772546432941566,-0.03447004156901776,0.06065580539058513,-0.00897114806700608,0.03730520335054483,0.2607414370661223,0.3515607389451483,0.020968074402219906,0.5516680553099924,-0.32614532550074454,-0.0396564388775491,-0.1951713359060647,0.04842046184289072,0.678606528961484,-0.11414066030038555,0.13691546961788453,0.21703159382647685,0.09826555417999383,-0.5483018856337231,-0.3859692557423043,0.09508167089209026,0.10603049132040637,0.678763989209848,-0.0722425983132917,-0.17210027848567191
PART,0.26480156544187033,-0.11147803167029953,-0.17913378220129297,0.4611877698051666,-0.21615160511698608,1.0,-0.18251803346334453,0.4558872022489431,0.4259521262043127,0.09514963316967083,-0.38906623282190905,-0.19254159469259502,-0.45276722991063145,-0.2298757341665634,-0.16312132906393875,-0.07424433382369694,-0.16470640547173152,0.30516905241932873,0.08493152149295444,0.1551886723691045,-0.5040395024785406,-0.1425288997790799,0.5135004968425038,0.43222578850082377,-0.48232870962963587,-0.473593290034624,-0.006769287456519374,0.0042395511459343005,0.31492730233386856,-0.2519314328771273,0.049623948467984666,0.03481539582692331,0.36933954178281253,-0.1568469001194152,-0.5358954993181577,0.1535724793009902,-0.3390510310851377,-0.26372531533412663,0.33829616650822397,-0.2815900923968219,0.11293799072281893,-0.046262942462450427,0.39616581172730925,-0.28698642517399403,0.2870634374681095,-0.3189389936459491,-0.20383918963775602,-0.033259242865880695,0.40044724925148745,0.5021485506742729,0.06379735147769942
CCONJ,0.4746413384597383,-0.3004971025907756,0.2981680097039803,-0.0829001467832303,0.09356002295385081,-0.18251803346334453,1.0,-0.29237117493524006,0.16572507285387403,-0.28337357912543004,0.36520890172286563,-0.3549132972060101,0.05968572257588025,-0.3883196905826796,0.05404234064972172,0.17652247618022773,-0.1895254255272402,0.0701675611756774,-0.06520904348067585,0.017606721727967754,0.32676109398863656,-0.28556663685603034,0.02631736570247895,0.32749128490656404,0.14307149712535772,-0.22044846324209313,-0.0623257002371158,-0.14643045429966378,-0.5624231359189673,0.9589988846802631,-0.1940812676301167,-0.29500638852191896,-0.3022826665729537,0.07842571503531813,-0.18102544768957868,-0.11390893587303035,-0.3607630634539119,0.771996642048086,-0.30351008480046177,-0.07281537044382748,-0.4212723866121751,0.12796068605094935,0.3696949027497114,0.23735118933526647,-0.05102859186303541,-0.36060067013051883,-0.417486937482774,0.18000971143953484,-0.08754444352361997,-0.2803929642872784,-0.5192637605335362
NOUN,-0.031846337020130386,-0.0943184602657084,-0.0578520956409491,0.6145274351895302,-0.5918853705465053,0.4558872022489431,-0.29237117493524006,1.0,-0.30245544050391016,-0.2952234304702149,-0.5117617912337226,-0.14973892189335558,-0.5537674867227589,0.17614839024945683,0.42374081736880287,-0.10188898349875422,-0.2392712096263909,-0.14184358160038077,0.2814897427165,-0.0255244714576302,-0.19436975781429972,-0.01024662510208313,0.054794034523489285,-0.27718344938860345,-0.23671098313096445,-0.4914160600071347,-0.4620868619641789,0.24368174260135242,0.6128473498111648,-0.2599005713637309,-0.2552025578253676,0.000649239161059493,-0.010310401373227241,-0.43627698317493485,-0.3739317305221314,0.7144940090720393,-0.0036383989405691154,-0.008352424987734417,0.5111074209096762,-0.46896866219948624,-0.1876230899173259,-0.2159462875342109,-0.40823699929747986,0.13606844329899137,0.6004211377589088,0.1327665735348067,-0.14131274231135554,0.16438914223296552,-0.2308697604814196,0.21862773660124932,-0.007516519141069567
SCONJ,0.1752275108367098,0.2876836228719995,0.009472605954462508,0.01151817526231944,-0.022981317293807653,0.4259521262043127,0.16572507285387403,-0.30245544050391016,1.0,0.5055813547554205,-0.09941906355988542,0.03582811913680605,-0.4034484046714029,-0.6468124006953684,-0.6584949101387472,-0.15125800956197896,0.12467361141680496,0.35262609179131427,-0.11713196281153462,-0.14530487418043941,-0.5597070803772627,0.1351249604350456,0.783163233297428,0.9785131083023895,-0.09335733148806354,0.245186683279208,0.24206186955542663,-0.47805333538818395,-0.533729975235291,0.14545449038687608,0.2890756739084057,-0.306615275260165,-0.1192989719513016,0.4869443355002184,-0.3132323070093401,-0.47033108250377387,-0.5359922001525302,0.0008193429773611631,-0.37683401386555265,-0.3683035297363609,0.22233618273898684,0.000716191078523363,0.6726045647789646,-0.2623962516136324,-0.261524386972616,-0.2545290261007964,0.18516799899106753,-0.4527199817634009,0.17155768327373053,0.3533938130477948,0.22621632860657387
VERB,0.041416334739569474,0.1476525222735674,-0.47433952837012683,0.06832543323575663,0.09304885963501351,0.09514963316967083,-0.28337357912543004,-0.2952234304702149,0.5055813547554205,1.0,0.013732803784597559,0.07544759344074903,-0.09009545661903857,-0.34583977857198334,-0.744414815527936,-0.3833023722778427,0.4325217456532845,0.15958157469378875,-0.35112815075166015,-0.18991349822547948,-0.6427519591294711,0.020825246713717653,0.14062623669965457,0.3961183061577719,-0.010413106119596213,0.3645222128958464,0.7151207742729878,-0.05638737253547438,-0.35514159528025097,-0.27545983111139843,0.24397657706350145,0.28800367075117334,0.22875552508354188,0.331890529312114,0.21629378233756494,-0.3130625617659309,-0.053436713012367756,-0.5817638538080379,-0.3151782707071575,0.1894139238951119,0.22118059464860315,0.0979258313516968,0.0998916421530566,-0.7087305996492835,-0.0005298158951432477,0.2603541001159032,0.2165137535532415,-0.31232449366671916,0.27502280679457164,0.3971098635011333,0.18429091134071066
