,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.8316724022122018,-0.23646448174828766,0.006150161283564943,0.3282999144587592,0.1724945201256432,0.27005045005908107,-0.03518930794068224,0.07756567851544169,0.6520234833468939,-0.07465698753829335,-0.627930711953388,-0.04703549763994993,0.04692989916402858,-0.2929091636043283,-0.000544245183231489,0.025270694141895728,-0.22878961134330858,0.14169070282514803,-0.30653365403278227,-0.293729411564206,-0.8340536077806253,-0.3028471451805928,0.17290178888845956,0.178557418410974,-0.09733827121150676,0.4604699855362076,0.15180012378518068,0.16176057371970395,0.1410464206289828,-0.203042163495916,0.3812759322737735,0.041977757864325976,0.4416701457297748,-0.3272653987499752,-0.2984334266850209,-0.02806684676411608,0.3227045291251424,-0.05120427322645029,0.5113348718055644,-0.13564121777321606,-0.38207848571431763,-0.2810926653450763,0.12601899304819678,0.326304940872093,-0.4409150775148036,-0.010060867702274526,0.6547184515751138,0.5417023495066772,-0.8764730310423419
PUNCT,-0.8316724022122018,1.0,0.3432479666167933,-0.13109081804761685,-0.15457156067841943,-0.05530982187572667,-0.3409058817722196,0.16560101246003042,-0.1629199050477291,-0.6094580672524418,0.299856642325819,0.5616347093799265,-0.19316562293416542,0.003665671989958112,0.059933064226589054,-0.0704647213673006,-0.18317568878547308,0.17250230910652095,-0.046452016500786654,0.18457080882486468,0.16025691769028877,0.9450995667643239,0.3671154214045038,-0.1711338888301953,-0.5082177077606265,-0.1280360529821017,-0.44623371554512403,-0.3615110922503606,0.18878694346974972,-0.19458025028594497,0.03897621287388682,-0.27647751887957817,0.01294631140751375,-0.4747528261814891,0.5819820663463631,-0.06395837663049767,0.06825992040705992,-0.05856779227836644,0.2806792451501436,-0.1841740015956576,0.21687686474792098,0.4254255138397194,0.23956682871193394,-0.3309573449494467,0.038491370943567596,0.553905546684243,-0.3115425762754708,-0.5075367747324404,-0.4879003759297089,0.9694814358629746
AUX,-0.23646448174828766,0.3432479666167933,1.0,-0.05786879331193704,-0.0359201839566119,0.33910589153243836,-0.13470599085696427,0.15460931974074138,0.3124732287826282,-0.15735948807732922,0.04613747945678541,-0.13391618191046806,-0.5201819516097909,0.08569799266043525,0.17012097375318738,0.054566258348264375,-0.501012803919848,-0.020598505035742048,-0.21470068235787068,-0.05862960773515155,-0.39198411959171253,0.3213363579806908,0.512063690032104,0.3499788317193252,-0.5127950915805664,-0.08933385163946089,-0.12187638560648723,-0.2915580758416455,0.2571765810404904,-0.14251153626201665,0.5516997168816081,-0.06333180430545803,-0.16228764495028308,-0.4518844543749485,0.6131180364160081,-0.019188137337403054,0.178051719279119,0.3694127645990326,0.08006690486236855,-0.257482283868388,0.879763472420246,0.632020196497477,0.7727901580503056,-0.5689854582588995,-0.09761450225644518,0.1751701695612338,-0.21376396292715785,-0.2653177737066988,0.3449559732263065,0.29006034727030683
X,0.006150161283564943,-0.13109081804761685,-0.05786879331193704,1.0,-0.06596029577431041,-0.2499825969636069,0.13399396360401733,0.30765329050784673,-0.21523813075358997,-0.3014543627547537,0.1769359582011526,0.09656181188475306,-0.2801621904113188,0.12595019229669968,0.07767818651775629,0.42405490295519926,0.01813298419142457,-0.17437004402413867,-0.42307838290434646,0.4956203116636258,0.08897412856049366,0.0148412263220298,-0.16887863376462992,-0.1464014071553988,0.20693048690180973,0.2823400147434934,-0.16872275084820143,0.24834742072651092,0.47081418839333145,0.12449912335277827,-0.0714138965209194,0.0885305747782961,0.5826464576100573,-0.16399080286461976,-0.17437004402413858,0.18301921563567958,-0.16630178243513613,0.1821878342755071,0.11155492033003668,-0.15565225439882796,0.049328087271170565,-0.06792639097579566,0.1542741992430622,-0.44863584924738714,-0.42824717653590166,0.22013892518111694,-0.07720793068482673,-0.24265379166302142,-0.021607879067238895,-0.013802249352587856
ADV,0.3282999144587592,-0.15457156067841943,-0.0359201839566119,-0.06596029577431041,1.0,-0.20193915220853134,-0.05200793981554923,0.1425212431367689,0.43557904497253874,0.4752489072507543,-0.42354048330090016,-0.553758739097589,-0.2054479781426253,-0.2959202856928386,-0.22400122234156897,0.5032570271146773,0.23565233560711327,0.2803776144523667,0.13550573400548288,0.10932427748207989,-0.45730369522451025,-0.2901094049050654,0.11693314572307578,0.6328792426061531,-0.3772282597922727,0.2850013595207299,-0.38987911744644416,-0.36104616206160195,-0.04218311178485764,-0.009725078167979108,-0.1896204441413165,-0.29522762445162815,0.020006909040806434,0.1426350248206722,-0.06088347223339283,-0.33529881738505984,-0.28487067707423624,0.4464661534175632,-0.4588163397855316,0.32641348872973225,-0.0335547771874002,-0.15320682698546567,0.04195632415477271,0.29208199460288525,0.552126412254103,-0.37259232446992113,-0.45250247670220417,0.7926215038192794,0.18093064388638713,-0.2969076256470945
PART,0.1724945201256432,-0.05530982187572667,0.33910589153243836,-0.2499825969636069,-0.20193915220853134,1.0,0.2108813674396237,-0.09393255968436202,0.4801422383666599,0.05922006539447245,-0.040734619144185254,-0.09166341706085676,-0.22581786494106615,-0.018953255035706846,0.35893432860790886,-0.038755162924581074,-0.4575874926878594,-0.05514914904974393,0.3819778352850441,-0.22830336374882104,-0.3545198286167129,-0.1195218406448089,0.04522260986899349,0.3397841563828537,-0.3497872265746332,-0.3697686339078936,0.31066549950522987,0.04083486883878445,-0.04780480019381543,0.2423018371266545,0.351707419236822,0.08307690447137493,-0.2459416245419307,-0.3900124379430596,0.22799478739965287,-0.005800740605475735,0.3105641470823937,0.28869273300600834,0.07308968512658859,0.38185663843157636,0.3087357472349972,0.50664975224074,0.4601901922394007,-0.2661122952854482,0.046305453795584706,0.1922230680852692,-0.05896882973209539,-0.007317094155202235,0.23913360114919063,-0.11147709650779013
CCONJ,0.27005045005908107,-0.3409058817722196,-0.13470599085696427,0.13399396360401733,-0.05200793981554923,0.2108813674396237,1.0,-0.3736162440815278,0.0039920409561641,0.20261548448050454,-0.03833299376774728,0.19527831016585948,0.22318726727230628,-0.5009293827949106,-0.013739611858534813,0.2150233063342944,0.22357580777424738,0.2369972136212998,0.26457292770636803,-0.12792703614179102,-0.11504046760313917,-0.3896448934808609,0.12001946715329277,0.14947773497858358,0.1226113048529973,0.1322806025756451,-0.11061947269527594,-0.23039537196684,-0.30479553186095387,0.9612257311882829,0.3977583899613415,0.30677045706457523,-0.2753886179102456,0.31857298662335004,-0.3270366688508124,-0.31030133344663435,-0.6106364218111228,0.22178474342332186,-0.018054642006508026,0.30984742948602934,-0.007530545977045087,-0.04989951091341284,0.09335642999273547,0.04980217057317418,-0.3681176095225349,-0.00848067228245469,-0.12496861505231335,-0.08344999893279174,0.39935982100729506,-0.2308063564032006
NOUN,-0.03518930794068224,0.16560101246003042,0.15460931974074138,0.30765329050784673,0.1425212431367689,-0.09393255968436202,-0.3736162440815278,1.0,-0.06213381797170669,-0.14185540599751154,0.34524323904952553,-0.31017108438658697,-0.7940537983635855,-0.058574528067629826,-0.18734010161746775,-0.015960638457158165,-0.13074685521532278,-0.54294996485865,-0.15953563196753573,0.27711644951268516,-0.10817711044529396,0.22721378267222608,0.006139229561552072,0.03590475137921025,-0.0021869235035089293,-0.12565235140956105,-0.17951174461036085,0.28085645988913593,0.33148832013832225,-0.27137837888191824,-0.6131841069157669,-0.10117415915659934,0.07148601631706714,-0.22192976134601833,0.5874958486364468,-0.14542620830536948,-0.03817752405360974,0.5692577853658994,0.2698420510421227,-0.3130026999307644,0.14804618131565692,-0.1802088640060729,0.11406291336488524,-0.40278150384220046,-0.06913876721976848,0.1835146831375682,-0.31323285354477115,0.1679738638354832,0.17672435893512048,0.08378109319918475
SCONJ,0.07756567851544169,-0.1629199050477291,0.3124732287826282,-0.21523813075358997,0.43557904497253874,0.4801422383666599,0.0039920409561641,-0.06213381797170669,1.0,0.24679124811249947,-0.5883125057651006,-0.4114021035951716,-0.052678670478514066,-0.19903236184098883,0.11645002184671877,0.2881963548190375,-0.11747385272077233,0.2508106591224884,0.1324189732001201,0.029447885054278082,-0.36267127534933263,-0.34893793561080527,0.26162697427982834,0.897603576981926,-0.44003781960068766,-0.004389540498831099,-0.18865216423716977,-0.05616024967144649,-0.3634751305104314,0.04604467064028576,0.40586830167239124,-0.143753425470054,-0.21250910434585343,-0.3809875992930274,-0.026732039433517974,0.1306008521954807,-0.033452464405794344,0.3185712142639657,-0.4827769735207053,0.095730937164623,0.301452429857333,0.28644131639139553,0.52661052405039,0.14684716088595248,0.10405573503185053,-0.42104698942968166,-0.03955097338834366,0.4201428592597919,0.2454711463689316,-0.2783643633095767
VERB,0.6520234833468939,-0.6094580672524418,-0.15735948807732922,-0.3014543627547537,0.4752489072507543,0.05922006539447245,0.20261548448050454,-0.14185540599751154,0.24679124811249947,1.0,-0.5693501091737672,-0.48501157043834525,0.07802509967902758,-0.3439444333940796,-0.1841014917626716,0.2869671480719426,0.5242765582389617,-0.07798558337862797,0.36227515060156407,-0.46400202443688576,-0.5222451164950289,-0.6968654589907808,0.1387834587036035,0.40469725726529027,0.1533684344911587,0.006929371427941005,0.437450828409992,-0.20454595254367933,-0.15683388142629323,0.1118534420319442,-0.05241058478757014,-0.23257109220229882,-0.2241186639560737,0.6301768629529783,-0.21895154101178244,-0.5002391140301626,-0.20233238470267387,0.09283733423513577,-0.6088370508912616,0.4818307903717218,-0.2376603271705166,-0.5342563405779392,-0.08673517530355725,0.47521993024359155,0.360871211021456,-0.40563559248416553,-0.22908909878083836,0.6163080534479005,0.3784697919020943,-0.6893593819469489
