,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.962837336514865,-0.34564801497562697,0.29464739097110365,-0.312292822951616,-0.1106234419479908,0.2695289396378914,-0.08228759668064212,0.6361665512464603,-0.021630589030179184,0.5668299112842377,-0.37889065804498595,-0.5503066253909755,0.07298268603121096,0.2628302779145,0.16508153751270194,-0.2566904724347571,0.8182987216245644,-0.4014502679847228,-0.9742947702481931,0.5153731879281089,-0.025377869843584477,0.6941116189283556,0.01868260398813508,-0.356205578098274,0.34127464976304767,-0.384282076275794,-0.007113494217212349,0.26792988380389904,0.727599257164701,0.29421670283291734,0.4959878705347007,0.7288828908486303,-0.2171161776941305,-0.18021444362639147,-0.2623242326867934,0.7108551969995323,0.557004843221431,-0.06684915823633887,0.26993039382391143,0.1538743572446536,0.09828441329733367,-0.26125972674026865,0.1776058013779666,0.1369809428503097,-0.6534252545239342,0.2285306244329119,-0.10821109725774154,0.35339567393101984,-0.9470505737009484
PUNCT,-0.962837336514865,1.0,0.2717374238475167,-0.452754210289597,0.36611632702646807,0.006861871953173616,-0.21778362910012314,-0.12025699879602808,-0.5717088306966314,0.04678950061001789,-0.4855709816910166,0.3281510022740502,0.6291037324756169,-0.09071300929931682,-0.26570709655565433,-0.23648527914007522,0.32952473142331346,-0.7796383737112534,0.3750298673810256,0.9672367940387492,-0.5649237455386491,-0.15532978583641902,-0.5667015580883308,-0.006752849285833952,0.32958467925698703,-0.4685989300397448,0.5200570424773484,-0.08251835140871468,-0.38702371978293015,-0.737201826749069,-0.43187627350959734,-0.40481246833981815,-0.5856578684724372,0.2179691458098703,0.20533755842501125,0.3342703455033741,-0.6829150046327735,-0.5862765085741121,0.08312667583907332,-0.2390192164561228,-0.16624119424353279,-0.07378943641765577,0.29440852098117776,-0.047362732676310144,0.04190809730177901,0.6882233063219974,-0.28341281526244155,-0.08001553277703369,-0.21978060860050133,0.9763683036834054
AUX,-0.34564801497562697,0.2717374238475167,1.0,0.3661512180132785,0.3357306173842575,0.1930152536788487,-0.2983282998799058,0.6948543555456558,-0.25533602524029875,-0.4209665035972104,-0.18028399824189664,-0.3594191893310988,0.4464761730209481,0.06322113955439705,0.5900011250526904,0.6194013255662162,0.1658689845047629,-0.01253320303856184,-0.2749161273282622,0.25226120141475306,0.2682775817473273,0.7748183800903964,-0.33668505594160575,0.6360773956108488,0.6225147932572506,-0.5985585509459043,-0.2623943938272183,0.5175973964944551,-0.20760392887608042,-0.07485807338454742,0.10158339615965944,-0.9264693984964874,-0.686542797934855,-0.1331918093984643,0.050422665487827936,-0.14495708437952604,-0.34008428013297176,-0.07980575076098018,-0.4402430155856593,-0.7174431583316938,0.17541315469985885,-0.2573796824169439,0.7652279050010946,-0.46325060918091265,-0.5802208296364388,-0.018951541197454378,-0.33693955211804494,0.6027756790075075,-0.3708184969793862,0.4425954761566616
ADV,0.29464739097110365,-0.452754210289597,0.3661512180132785,1.0,-0.39306348480704184,-0.08359405958449319,-0.5017674879215894,0.6326225955728315,0.3345813917657338,-0.15845098019491666,0.31648060797907407,-0.18452257030658373,-0.001016881095082323,-0.33741769062244914,0.6475741192371236,0.7224789833272296,0.18943186034404297,0.30099212843194756,-0.30242422858198253,-0.3602476520673864,0.4466626060433513,0.5350385051361775,-0.22141533980683326,0.2893575224290356,0.5100744852999978,0.04222963455112346,-0.46847128072273747,0.1224656351592147,0.2898230125882173,0.039856598745836,0.7150563171561274,-0.39969130395805574,-0.22067792207251552,0.22082537361349278,-0.40786210995458605,0.06323468796160682,-0.07937130089451526,0.7610844429926804,-0.11584680794326856,-0.4282895335961592,0.15056477365458545,-0.3822677392229034,-0.1210565737446867,-0.17091506034784373,-0.4389170370451136,-0.4331803887087862,0.25270976057939104,0.7112937176942133,0.0988819868584614,-0.37611777381233064
PART,-0.312292822951616,0.36611632702646807,0.3357306173842575,-0.39306348480704184,1.0,0.4518893025871084,0.26751484196099606,-0.043624707520677534,-0.6084006864355666,-0.1663461963713974,-0.7084854288711192,-0.22009801560572356,0.3715029221631628,0.48681733730380605,-0.020881875208564202,-0.3008792915960082,0.005711221836845324,-0.362627873122081,-0.4617200778378102,0.2938946639968231,0.14004987235581662,0.0047589723243081725,0.03228322321239693,-0.007263907902251534,-0.28387760134780765,-0.24383061519345908,0.5408427336754328,0.7145724638545784,0.14507197989995424,0.27504464923365163,-0.6415273294848641,-0.21557070027011482,-0.4097871539443223,-0.38207668539746587,0.3927614537837268,0.30754072251570297,-0.26389022920251565,-0.47259651810743225,-0.204932245971229,-0.40270116875703665,-0.0691100101318668,0.6884198576973943,0.5066826624827532,-0.6204953053607852,-0.0580479364556236,0.3586874339607259,-0.41596729867950705,0.2555490275040392,-0.49788401326438464,0.3884684231518111
CCONJ,-0.1106234419479908,0.006861871953173616,0.1930152536788487,-0.08359405958449319,0.4518893025871084,1.0,0.4729610498645902,0.05586986595753139,-0.7043045195747761,0.40505899135314977,-0.7552178947653044,0.21116775343923355,-0.47949006782472536,0.1737369186324108,0.02673712346508033,-0.005859754848359592,-0.7849703487838404,0.09066552596198933,-0.18167673684919938,0.13952480919608332,-0.08478565110432028,0.2015834131487294,-0.2257403287037225,-0.043044934167938566,-0.41630572679258315,0.46713574522169427,-0.0823287310354417,0.5297713152329485,0.7230556389518917,0.3579206758552621,0.21909727150510847,-0.017854264148454195,-0.49367174578286777,-0.7416802228816679,-0.2567240160265955,-0.27208917814791717,0.3791173355158397,-0.0918824931006919,0.31489928373509785,-0.2163921326957908,0.12421867157121592,0.648171364611909,0.2444306100272769,-0.4476936360240228,-0.6949283125528922,0.5029789541182675,-0.15614788007954739,0.20877193911399278,-0.8296972964513551,-0.035277753485677125
NOUN,0.2695289396378914,-0.21778362910012314,-0.2983282998799058,-0.5017674879215894,0.26751484196099606,0.4729610498645902,1.0,-0.27604886484286545,-0.4352429374659035,0.48051292864450884,-0.15546710187758886,-0.31730047182452986,-0.5472452430975779,0.6369860393387664,-0.4787788617225775,-0.15223006433323286,-0.6018543628337297,0.2343813624090909,-0.3465324040003482,-0.284575438822704,0.23847395907411556,-0.18062066028695056,0.10950695313330858,-0.5497067408084685,-0.5874619315410097,0.48305074328239933,0.16019095077120685,0.007177485896984588,0.3101198918375865,0.6371476793588011,-0.23108362389839907,0.6039360815405503,0.35768309045844016,-0.8580786781873369,0.2946100814560746,-0.3996677447882461,0.5843432552654959,-0.2583765528586938,0.4274164909839273,0.09763516295364341,0.5781906225925703,0.6918228140370913,-0.1698348337985671,-0.2706860993088835,-0.19637872919929256,0.24127560869994308,-0.5820761303284195,-0.33806599092651873,-0.5232190804161004,-0.2871150546269807
SCONJ,-0.08228759668064212,-0.12025699879602808,0.6948543555456558,0.6326225955728315,-0.043624707520677534,0.05586986595753139,-0.27604886484286545,1.0,-0.0564544222213739,-0.5341010554285388,0.0007506247637797441,-0.3765620734095113,0.11706466547861735,0.28743081304541385,0.2725035881403422,0.5544956897006059,0.10667876780812205,-0.03767696692989752,-0.1948254791602468,-0.09917098509340985,0.560613940665118,0.9473517030745442,-0.31601279262146464,0.27096941624042215,0.44837761340586174,-0.09889365391581,-0.5348220316425436,0.4524270894127937,-0.044342781897136654,0.12914907035977577,0.25333235938587584,-0.6809351928214393,-0.4579184787240072,0.01607450393451005,0.2416009255368713,-0.315710083785566,-0.285055854030904,0.006270974458505124,-0.49659468164353443,-0.3919060994021192,0.23036489388941908,-0.32515120730970315,0.2620386712400857,-0.6039250162585293,-0.5802808956723612,-0.44136155851807773,-0.11886329027604164,0.8022974944521318,-0.3507468602861473,0.03502711741499512
VERB,0.6361665512464603,-0.5717088306966314,-0.25533602524029875,0.3345813917657338,-0.6084006864355666,-0.7043045195747761,-0.4352429374659035,-0.0564544222213739,1.0,-0.3941211297306674,0.8055318059669433,-0.08568213184503018,-0.04767575898967955,-0.3654230169834122,0.34814585135549286,0.09823635202729725,0.29417598183446336,0.5084455012961001,0.14062972545385968,-0.5920460530908123,0.12613549337255744,-0.06192208668889842,0.6388266625033842,0.3631973556256137,0.11235089057240408,-0.16705273928865358,-0.41548555201757037,-0.2976722995691286,-0.3392214656077222,0.03774222709885929,0.233434806141836,0.1353210285100279,0.628678795098444,0.5420840319620078,-0.20610771771306177,-0.043118815631345606,0.20665345264037188,0.4588920767157029,-0.3889096487551375,0.42469082556196336,-0.3058814078446139,-0.5838205110599447,-0.14285200055541875,0.6119695794254009,0.5388144209124219,-0.776477568002609,0.5835369220796923,-0.20837334221093715,0.8900319838978639,-0.5145361295514927
ADP,-0.021630589030179184,0.04678950061001789,-0.4209665035972104,-0.15845098019491666,-0.1663461963713974,0.40505899135314977,0.48051292864450884,-0.5341010554285388,-0.3941211297306674,1.0,-0.11778980270094476,0.29625731599847294,-0.4377237941039663,-0.2658895649224958,-0.22048737687236783,0.053099192800583214,-0.42676792122303786,0.1132706452647938,-0.010055607529068731,0.11872420440637671,-0.3428492275827026,-0.5243705465236619,-0.3994479300216206,-0.5015398905756798,-0.15935535415268495,0.5050799859623691,0.2861453719395434,-0.4977414776630031,0.5169489637149307,-0.0874605944552648,0.33924950748928473,0.5372443506822295,0.07378210236873368,-0.4312054886260766,-0.468832760390247,0.050997337977915384,0.38790328655999534,0.29640341565153566,0.987581695534219,-0.07292757143271211,0.41266252153307204,0.36821761644649875,-0.4918605187821782,0.20114331179663247,-0.27477166982333323,0.6947150565469417,-0.2226405188289491,-0.3686178325198377,-0.26931284937400307,-0.12470224343279672
