,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,parataxis,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9686274465086127,0.8112525524723715,-0.912091955579291,-0.7221129485373637,-0.7874996265065823,0.6107309221882731,-0.8382458341096853,-0.6853809214846087,-0.44308817408704687,-0.27270035655970043,-0.0974494054989943,0.46220192054907316,0.4659103879621142,-0.4132844393207963,-0.15327135772536363,-0.8230407214708191,-0.1360130986454729,-0.9983477547902623,0.41186029015001496,-0.8919677837273371,0.6900061381583664,-0.445142089276893,-0.8227269400049013,0.3087157645321678,0.44995283431767436,0.09352022066827832,0.7616369762819476,-0.35020315256143314,0.7361340053322364,0.34389408175178193,0.42667213188554515,-0.34001803861401714,0.5943878371862955,0.46984933361295844,0.20489639312542968,-0.31952858002752593,-0.11600366442583374,0.3188289869176644,0.797464515264758,0.6497830713345144,0.4978033331635787,0.5628921321084781,0.5755524279913103,0.26070981699337215,-0.416286615776096,-0.49355051346127293,-0.810202225580444,-0.8823394292787629,-0.99519619392787
PUNCT,-0.9686274465086127,1.0,-0.6706985671754665,0.8519404779684077,0.6403757019484172,0.7557724056279945,-0.5560042971713017,0.7268842821764431,0.606896017884786,0.49324422408168483,0.45709424955686395,-0.08143521136320946,-0.5653550943631784,-0.354194812997735,0.25218941283112795,0.26542467707789813,0.9233507572417509,-0.028218347760408827,0.9796284548677625,-0.5976708231790715,0.7817707179330565,-0.7092761787397504,0.48136746088307947,0.6918603633460871,-0.10769639515229275,-0.6185830301325905,0.05841931692351388,-0.5786815108899898,0.3984889179239456,-0.6368938923225991,-0.4882764894731377,-0.3738010260245787,0.33131155243877286,-0.7573437604682679,-0.3692678600259024,-0.304343582838567,0.38974308301351657,0.18934960327275244,-0.4199754221627315,-0.6797532503643424,-0.5942118273226513,-0.3065163196843964,-0.7084514749428401,-0.39677756936136377,-0.44616010285424945,0.40265362333129695,0.4903077602575602,0.8632152355555672,0.952092362333445,0.9673736827149878
AUX,0.8112525524723715,-0.6706985671754665,1.0,-0.700175205653564,-0.7080281126571601,-0.8095229815195736,0.46608803207719507,-0.9673730088507135,-0.637049821995081,-0.48293378591752095,-0.05491094857791941,-0.24889638652118928,0.4079683715428786,0.8004044080755158,-0.6034294187962027,0.14489347862775803,-0.5103078882323762,-0.5859995357429779,-0.7946496963693643,-0.16439276371876788,-0.962498178728703,0.3752521416182448,-0.251864668020968,-0.8225501597052046,0.7563557662046856,0.1505927456708047,0.5439162917186742,0.8813483993492791,-0.4185457304128404,0.8849239099642318,-0.2343146048403801,0.7373703387013201,-0.2648040875926213,0.24648636973995336,0.7969552454584891,0.27030629480154467,-0.34774794246401713,-0.23308626110485223,0.3489149237412677,0.8313129851578018,0.858120958428594,0.8974514578350175,0.005827965341018003,0.7466663668327628,-0.35183180525623753,-0.296265209825371,-0.3567277685696504,-0.4276779791999631,-0.6088924209697076,-0.8172215720647148
ADV,-0.912091955579291,0.8519404779684077,-0.700175205653564,1.0,0.5008917455932423,0.4818576954196049,-0.8504578192710655,0.7698059765401625,0.8629202634206161,0.03943052092858128,-0.04661557708484425,0.45009849948071834,-0.2351098918953726,-0.40198284444022825,0.26935048115052346,-0.11611922227647108,0.6627198118831086,0.22398735956946836,0.8938987904712963,-0.30481371544759933,0.7360813480622725,-0.5171248751363777,0.6323336025602457,0.9352957693828586,-0.3655603033016428,-0.1195430316446877,-0.17629019944550525,-0.8128357376192474,-0.0630447615136475,-0.47524401822825185,-0.3218887798120515,-0.16936934419882774,0.05609037727388293,-0.4174451904611291,-0.3796520167486062,0.03119053160973022,-0.09623206496845027,-0.29349107665187535,0.0129631215716576,-0.8959237426739246,-0.42398721885881685,-0.36321752782572087,-0.4642381698460067,-0.4854277793381255,-0.28028602119169205,0.6609587309614419,0.6984823082401148,0.8832298106104696,0.7398539071453762,0.8698661562272475
PART,-0.7221129485373637,0.6403757019484172,-0.7080281126571601,0.5008917455932423,1.0,0.8686937875462111,0.008429473385388157,0.5540041411584264,0.10100093654449341,0.62141410099084,0.14213768497958018,-0.1283698128142343,-0.08298269051158923,-0.1828835996634527,0.8857737283665659,0.5498754309264593,0.39490985092171016,-0.09870197716443965,0.7188145882172924,-0.2566134992365049,0.8562333990463659,-0.8615726009543683,-0.2933085888854541,0.4555451016957465,-0.1801455256955653,-0.3976523721365132,0.15413950549581432,-0.6720965181209797,0.6029887103625376,-0.9064070232007608,-0.28117105289871797,-0.3623611983051319,0.8528862417858765,-0.15320232860861632,-0.197730988001961,0.08778606570271473,0.5596458866649054,0.3703771392637146,-0.19198483289941493,-0.35867615936027014,-0.4839893311039138,-0.6657100104427379,-0.4232791438388289,-0.890192401987085,-0.019828170547400464,-0.2876672608387459,-0.21934282025690258,0.21982395161927995,0.4505863473959666,0.772498965263203
CCONJ,-0.7874996265065823,0.7557724056279945,-0.8095229815195736,0.4818576954196049,0.8686937875462111,1.0,-0.05291832332067789,0.7333313944941919,0.22009807034509113,0.8667681129376901,0.5056578125737676,-0.33132627826665295,-0.5554866512772777,-0.49856576726281143,0.6277126535361716,0.41165476042402355,0.6729572314187161,0.10237778288743944,0.8010032102420959,-0.24999488211696036,0.9006602446572148,-0.6777321216198021,-0.048416627370777475,0.45396821550158306,-0.29090084379705916,-0.6454382894380213,-0.07328069750728455,-0.5592714816435589,0.8257167400203625,-0.9593414399745078,-0.10985208625921693,-0.7244586352495691,0.6617718757302709,-0.5004563938075377,-0.5322854371620707,-0.4143872450549281,0.7903949980606005,0.6525847900566595,-0.6327697560404039,-0.44991406994010447,-0.8149283873203546,-0.6985932601590801,-0.36688209906164726,-0.6604602266595919,0.04338940951277073,-0.11144758074368177,-0.010221423091538439,0.3392116159348723,0.7097369775642843,0.8401247114944053
NOUN,0.6107309221882731,-0.5560042971713017,0.46608803207719507,-0.8504578192710655,0.008429473385388157,-0.05291832332067789,1.0,-0.6275183577575829,-0.9730391801583994,0.3315228162050536,0.21533725728748962,-0.6760075103125266,0.2078610576203528,0.46272644939257157,0.15946828342097244,0.5618756811783017,-0.468761772644246,-0.4552839088169231,-0.5859552240576982,0.05131643663643647,-0.38647767951760476,0.013953933447272665,-0.8918577717463866,-0.8586047896855189,0.45708741091735,-0.1907034229248388,0.4308528918010778,0.6118629848058669,0.43648796511318594,0.059143430117892935,0.06066645880187542,0.06018172161658448,0.47538678742142304,0.30755259011059244,0.4237494731558694,0.02161590907270703,0.4616127417020443,0.5614355760586176,-0.13755800388331996,0.8776686239189395,0.26747243362096634,0.1423931252986793,0.1492798316898372,0.09518878448440563,0.15917188115501993,-0.9456172833334314,-0.9435332510590981,-0.8304693927728058,-0.539888828538611,-0.5310400385868412
SCONJ,-0.8382458341096853,0.7268842821764431,-0.9673730088507135,0.7698059765401625,0.5540041411584264,0.7333313944941919,-0.6275183577575829,1.0,0.7811280737121266,0.41188041603745773,0.11996287106229599,0.28538155371919055,-0.5364059384385294,-0.8612747829790632,0.3887495043704505,-0.27588178270206953,0.6244207018949266,0.6402021524652102,0.8246647490864201,0.11368886591143386,0.904410932453964,-0.27042496191432835,0.4827367307246886,0.8741764605952502,-0.7559770417680833,-0.17195552003327383,-0.607781140914198,-0.8334355856473992,0.3275739868140124,-0.7702178362094186,0.22187717875368027,-0.7380369297377248,0.06483992099877753,-0.3906154336981235,-0.8561996219234964,-0.38694222958085095,0.2662346479170381,0.1620937005004598,-0.4012752435670019,-0.9135807440659457,-0.8767727189346673,-0.7852070228773802,-0.034382804740924866,-0.5726906398588953,0.26534365809097676,0.5080883279703347,0.5692903164700595,0.583933221535847,0.7155414764035732,0.8267911278919495
VERB,-0.6853809214846087,0.606896017884786,-0.637049821995081,0.8629202634206161,0.10100093654449341,0.22009807034509113,-0.9730391801583994,0.7811280737121266,1.0,-0.16336887369715822,-0.1474068984691625,0.6331884437686289,-0.33027637810847865,-0.6466893123945242,-0.05157538232386378,-0.5819262425927663,0.5236606291386665,0.5944711182818139,0.661280655078294,0.046901676234443156,0.5374267200608943,-0.01914511582129924,0.860923516273424,0.9180985612114846,-0.6129677980950947,0.13480000609889425,-0.5691169516483496,-0.7038134744350806,-0.26952058018659236,-0.2406118659796662,0.07787040922130099,-0.2806137825279322,-0.4137012856441901,-0.33827100964207657,-0.6134791517457432,-0.15603793763015897,-0.3080230759467697,-0.4006863081098219,-0.014994925915554087,-0.9551030404013231,-0.47210953838932157,-0.34070826331100434,-0.066126661657517,-0.20466566359948662,-0.0018532948924871008,0.9139840163589754,0.9267454095118952,0.7985701491949895,0.6065392981281401,0.616861509690361
ADP,-0.44308817408704687,0.49324422408168483,-0.48293378591752095,0.03943052092858128,0.62141410099084,0.8667681129376901,0.3315228162050536,0.41188041603745773,-0.16336887369715822,1.0,0.7794595168795051,-0.7242187603644875,-0.6770096181906263,-0.3488101846487468,0.3746282087361916,0.5401456693041586,0.574123155992282,-0.06311638419841795,0.47850535373758607,-0.27457458741767793,0.5744675858924145,-0.4748101191146351,-0.23684089147160886,-0.01179855248225541,-0.029405060004332243,-0.8195814948077137,0.05864230531869707,-0.08789615744187153,0.9931973547468685,-0.7578032673039906,-0.049428645131356,-0.7427816844450583,0.6308380435030477,-0.5572192047355531,-0.40684875838758183,-0.6437406973104264,0.9879197804194282,0.9389532537413681,-0.8558432677648135,-0.03164120373686013,-0.721947521077763,-0.4541101890182264,-0.28989143544873797,-0.3110372246626595,0.04067444647173687,-0.3691473881627313,-0.26196554873061845,0.053438895967197746,0.5533575757850463,0.5202247430051016
