,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,compound,advmod:neg,cop,obj,ccomp,parataxis,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.7657184031815393,-0.07091247313707026,-0.15480542449012044,0.19740117488680523,0.24713648927535797,-0.11410300354530926,0.17759842914932605,0.09137984004754851,0.09806918984262906,0.2108241334600232,-0.28859949357264153,0.17282582354044382,-0.49897590676096626,-0.25334466884139495,-0.0704445443051403,0.3477835588880567,-0.060535563158161554,-0.12157749192874241,-0.4941139216354374,-0.9024293488167271,0.08200774835748514,0.046536115482284236,0.08531755295344291,-0.20723472058745618,-0.006624208283361792,-0.1417736523613416,-0.1421126598791985,0.15972525190526968,0.0682479276079985,0.6038482308293047,-0.54231100068728,-0.09125128410747001,0.39157762430198584,0.3063514919446428,0.036308090305152176,-0.4378732577581174,-0.04839896726099084,0.07858943189515678,0.16472363034432738,-0.14253258379246908,0.38610605708201584,-0.454386298519044,0.05492113708887407,-0.01114413273608294,0.2688131056585326,0.00882921514294992,0.1260423216244867,0.26430359859411523,0.044393032204302976,0.4330238359545761,0.07806638756105569,-0.8272540387025229
PUNCT,-0.7657184031815393,1.0,-0.0526799670937769,0.31238355967140713,-0.09760417611930666,-0.020480061331465727,0.19140474445420855,-0.14052732193045034,-0.21125122560483753,0.04932558639206884,-0.29875679229492214,0.2365035912032323,-0.21311820540697674,0.45232744177359957,0.08427745383808277,0.12773305536710639,-0.09223041220959409,0.1890624458935363,0.09084976107503308,0.4395143879302652,0.814427790236441,0.04984482966982368,-0.1602905463333465,-0.29864162208884204,0.07892018276657507,-0.03716693043236706,-0.26106692788103375,0.17172558881466543,-0.2049499412222506,0.07241767172885082,-0.5667720892625048,0.2940010357534042,-0.10224308350588082,-0.3240164872451658,-0.12196404049119478,-0.13290901219570694,0.43929176027105227,0.07790870696020387,0.007133693256746953,-0.24386377697643646,0.04508840325373675,-0.5278193395548103,0.3082198519637847,-0.06908907766597584,0.0224482101058946,-0.011852430053841309,-0.0734003357111422,0.05907859567693841,-0.3704674726132342,0.16859465374585028,-0.2024330211041778,-0.30738713221475894,0.9220927125671807
AUX,-0.07091247313707026,-0.0526799670937769,1.0,-0.33331015560679456,-0.07581728716776073,0.49608960844337713,0.29871181013997944,-0.410773770038969,-0.00446779035415146,-0.28898824727269024,-0.38136607413116014,0.08200278167655058,0.25094684588477745,-0.20542591878215913,0.1541041932940834,-0.07743007724702174,-0.026449768629038577,-0.10158923049633942,-0.07819753823017378,0.017645786524658983,0.06749481511114785,-0.2818264554083384,-0.13965030987047952,0.1556901577377186,0.000677862275291129,0.030353426952133895,-0.24848770881818266,-0.00454525335986833,-0.6098409272613828,0.286037381177515,0.19103964309269092,-0.09404136123453552,-0.059437311058340325,-0.2894980969175575,-0.22075468344244084,-0.27796488087520166,-0.2239647558608444,0.31154043276161236,0.4415716835397138,-0.3259533587129131,0.01458084886392802,0.3931210090846834,0.09883833794544404,-0.19550501007625493,0.7364341515234768,-0.0029919956615285462,0.18699005102020605,0.05790516875289152,-0.3191056699459354,-0.06900620471798236,0.28166172608238366,-0.21845935831377866,0.00611986759465929
X,-0.15480542449012044,0.31238355967140713,-0.33331015560679456,1.0,-0.1992484878292963,-0.259885857876907,-0.0907696407786904,0.33900179744522485,-0.1510215954355756,0.2751208044473296,0.045202300360303066,-0.20903965558369547,-0.14361303341642515,0.12377545573310639,0.10022294766587793,0.2518397258706927,-0.1357477974765181,-0.1250254599342964,0.23445275716496528,0.2594284641434547,0.056804215475188866,0.11013588293520725,-0.010971033770790842,-0.5030782465739824,0.05807863229525062,0.18777425936717332,-0.005728608036098912,0.29541449209647497,0.3745447655541612,-0.09672972496291395,-0.17893969131124426,-0.19621699093926184,-0.33087163183470253,0.1360273969733999,0.2723890728829211,0.18500259504026223,0.18712450075427672,-0.015852802411100424,-0.2951001612895296,-0.018575239491671613,-0.20225629530932301,-0.23039870141510166,-0.08635165323725308,-0.33488269004618815,-0.19454386744924218,-0.08396661206706779,-0.19443217605077392,-0.0863516532372531,-0.16515840129119858,0.31339508384317444,-0.3166811430188917,0.212481572122514,0.2594194785063976
ADV,0.19740117488680523,-0.09760417611930666,-0.07581728716776073,-0.1992484878292963,1.0,0.03997548876094868,0.1284678161976165,-0.4295646278287043,0.257921485125248,0.08195018853337856,-0.4899219001182755,0.16974510391893874,0.07585089121167521,-0.10118365214074355,-0.44805600592946343,0.44157275019392755,0.055086894924484264,-0.31762976923257474,-0.17650757268660347,-0.2152812882132993,-0.24952426180439158,0.22738784314594218,0.3071771341408973,0.17820270918141634,-0.4061519262304201,-0.08357058488942375,-0.20083499348943287,-0.2545457695173075,-0.23933567348565413,0.20210763369168835,0.1591980362626059,-0.09483823893683371,-0.08592598427946548,0.15264397012346734,0.17391063737754564,-0.3872954485649053,-0.04692295715819294,0.05225655816892765,-0.20494219604078273,-0.45179391062941987,-0.32339233360160974,0.22582306947892736,-0.13525523085171343,0.20369693460629068,-0.29086052230137405,0.2017990871550865,-0.09157953053195117,0.08810274566464991,-0.05599215383114945,-0.036904276033446995,0.6040538477051103,-0.34149650196806,-0.2622860962206004
PART,0.24713648927535797,-0.020480061331465727,0.49608960844337713,-0.259885857876907,0.03997548876094868,1.0,0.35846905125817774,-0.21142094961930996,0.11258228614365715,-0.26471734793585117,-0.08565726358119143,-0.08773832709912466,-0.25996133504405766,-0.3570244105767082,-0.14748186495448576,-0.10356947359403534,0.22442960547216517,0.49593282680762063,-0.22545870035154986,-0.3484704790073218,-0.15719612419029666,0.05311544506193394,-0.0157641823695054,0.34690602847447927,-0.1746015971206674,-0.26425431503657304,-0.4018903608485083,0.03866239508287229,-0.19580597101085132,0.41967137336283855,0.27181724339625946,-0.31033439068518776,-0.2730129827473796,-0.3274371583070375,0.0203346985120586,-0.39489202257654193,-0.29454056287849156,0.10965755718610785,0.15735048679861852,0.010134307327433598,0.09349687909115,0.3768557715910945,-0.17549327192834033,0.38524328165954214,0.2093846898191283,-0.05715197828396992,0.12006650595872619,0.17936028081718527,-0.3868233989942479,-0.03543550121342526,0.5859215240240311,-0.15152112447020435,-0.03840754271654427
CCONJ,-0.11410300354530926,0.19140474445420855,0.29871181013997944,-0.0907696407786904,0.1284678161976165,0.35846905125817774,1.0,-0.19860971970258212,-0.38302334924203263,-0.7436347663162103,-0.23372373487860937,0.3197549002544039,-0.2587798659180741,0.10833856492172038,0.4197639089448597,0.004610218256652579,0.17667718843367544,-0.12375532772096917,-0.07244137297224336,-0.18847101826244975,0.09162471175007557,-0.34681813334244443,-0.20686784493300517,0.10421496965890202,-0.08204935631007267,-0.6267154727781982,-0.1191055269208658,0.4151887559311218,-0.17671275724662594,0.9505024283027423,-0.11345905697593454,-0.015207409581961803,-0.47091172903834627,-0.6913034843751173,-0.04051763773565221,0.13699635382499833,0.17442180419236936,0.7753134013401557,0.15806374964637596,-0.2913873109738494,0.04577741568155775,-0.14741447827393664,0.14778734811092917,0.15175165249079092,0.31973889845887427,-0.4742942786155105,-0.2953438757982984,0.47268563711469574,-0.28072535857177355,-0.22684854407414715,0.14058141540506328,-0.1604163119784778,0.1826806992837299
NOUN,0.17759842914932605,-0.14052732193045034,-0.410773770038969,0.33900179744522485,-0.4295646278287043,-0.21142094961930996,-0.19860971970258212,1.0,-0.4477863761652437,0.09841756013394079,0.4381742404013744,-0.5407921826331029,-0.42588658124778883,0.1517918645242211,-0.024666480142863857,0.019002087261319942,0.008533380146631738,0.14201476604064772,0.4223962618211951,-0.02336980616532737,-0.0695800176832756,-0.053342436266998854,-0.3525427048251772,0.020526033812107033,0.33761684185069696,0.07331191182984263,0.3487037635567463,0.3854081409586076,0.5198759901385902,-0.20154929250078782,0.01973216856060731,0.02521218643989005,0.011097898093371524,0.10934281190854535,0.12248859632712998,0.2590817819067173,0.1331431304698665,-0.0903962977898623,-0.010601064352228825,0.40714491203715136,0.22648585673670796,-0.06648442729435006,0.25338613061010806,-0.016801283611567356,-0.3326212470881784,-0.3262834136961699,-0.1259058121344208,-0.0737336806363469,0.18507646534357058,-0.0012060686637471497,-0.49549803352546085,0.3607624308419269,-0.040072582204534045
SCONJ,0.09137984004754851,-0.21125122560483753,-0.00446779035415146,-0.1510215954355756,0.257921485125248,0.11258228614365715,-0.38302334924203263,-0.4477863761652437,1.0,0.19881922580855194,-0.13465505266592523,-0.14024330880041916,0.20579124671640747,-0.3878719924772951,-0.21819789229703082,-0.1144109408025441,-0.29186304946615665,0.18855205750163379,-0.4923342053018393,-0.31256399638573973,-0.1507016283768704,0.5142153442903012,0.8774314769591425,0.17102569088222946,0.062391957513108366,0.19197306326121263,-0.2324899392352694,-0.25924997887915063,-0.158620193068841,-0.3143313756041216,0.17628745119470635,-0.25392613906347294,0.07356724628186688,0.3449152402347549,0.1330203239820042,-0.28592500630195267,-0.2528563235556966,-0.42444585522995715,-0.15270213734606766,-0.1370476954416003,-0.11004932325608695,0.2277798774629309,-0.2653573577871497,0.3002551897197811,-0.14864121970438351,0.47171717118055556,0.06316327854902944,0.0751464173596307,-0.08143700821879997,-0.16051388368766456,0.3276798383945843,0.181212435191468,-0.2521181497506125
VERB,0.09806918984262906,0.04932558639206884,-0.28898824727269024,0.2751208044473296,0.08195018853337856,-0.26471734793585117,-0.7436347663162103,0.09841756013394079,0.19881922580855194,1.0,-0.05867410609681012,-0.13578214242807063,0.048742751200595257,-0.15536895879633367,-0.5706941138372925,0.23079675365145202,-0.13967289791482296,-0.03339886223654417,0.21565555577163595,0.17770444685298062,-0.032283488235659664,0.33019001584596863,0.077059046317997,-0.28240024917835477,0.1383350931100566,0.45744619256939,-0.11522351413540062,-0.5049821229713348,0.14573657626938688,-0.6837571134257159,0.1406014779652832,-0.01874704324018594,0.37407990485442333,0.6985315760333373,0.20466278994075576,-0.3248603161203894,-0.24613115295611418,-0.43604419130905875,-0.190793337510291,-0.020899705634356364,-0.2713075443445859,0.21760300579125796,-0.36400359672944244,-0.23402734288943167,-0.39165309125997866,0.6027580865075177,0.38107042957684245,-0.27926397782200624,0.1557819543308167,0.3082038238184558,0.006056429919104154,0.02828257778781908,-0.06498265777343296
