,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,punct
len,1.0,-0.8713116609937206,-0.8336295528022468,-0.6766097330752825,0.014642360969373385,0.49638991341191274,0.867593512705684,-0.7994800544549877,-0.9564112437992907,0.7892173742801094,0.3411280958441129,-0.6844054673589314,0.9098632308147735,0.7114075464346886,0.43067111281282,-0.17678292623552705,0.4329831335699896,-0.7210578043323177,-0.9926133858485199,-0.4306349956181923,-0.8012799638771441,0.2688025730462557,-0.4970989380352571,0.19334196933163408,0.7359110425690526,0.886634774004323,0.7902389222775307,-0.24522360048953418,0.6629428434526404,-0.5881874246182973,0.8989247796352194,0.9971359348278611,0.8561335115428553,0.6219086616444556,0.3942450578793113,0.7221311346459893,-0.5535593329370594,-0.3374050218871568,0.06390826269073697,-0.5647038967818262,-0.5118850913754733,-0.8516574193702174,-0.9996238899902113,-0.11698418878508546,-0.6486686590705946,-0.9032120410568758
PUNCT,-0.8713116609937206,1.0,0.9364855880077056,0.4770240007069925,-0.0713357337926131,-0.6769846885304815,-0.9589685497704863,0.9576940114290269,0.8717129426724023,-0.9884028482116481,-0.14627398077668036,0.9536077659696222,-0.7408048596414951,-0.9479213147660192,-0.7670075086590147,-0.03179602833137289,-0.09246411467941061,0.7190657226610502,0.8736995899651135,0.22140498323779098,0.9554480126034954,-0.12759891097518994,0.7627974331577871,-0.24040901868939465,-0.9032106127017193,-0.7016734744637901,-0.8445910787019452,0.23774045754260908,-0.9343675622909385,0.8171323838644882,-0.9981000930436393,-0.8634433059034576,-0.896146592491079,-0.6368940015694894,-0.3354612326757567,-0.9685747663573456,0.36083038330320194,0.02518179268045817,0.05120904748954307,0.8968724505111582,0.7534978990623341,0.973022008529592,0.8730399159679166,0.5890277341688441,0.52526108728334,0.9776020377208888
AUX,-0.8336295528022468,0.9364855880077056,1.0,0.7099694022286303,0.2830022883435638,-0.8751404167096903,-0.9966567095669994,0.7970324078353105,0.9289354369018816,-0.9340328277147165,-0.46252621808958533,0.8959374897192248,-0.8530890831555771,-0.9549289536675825,-0.847721559666278,0.3021488524881975,0.1281777209277639,0.4473914754360342,0.8770274228836172,0.520028602045587,0.7919258468985108,-0.45840965225772484,0.8936438200956046,-0.5623863860895466,-0.9873591517363417,-0.8305604565785446,-0.9776751237858979,-0.11233732001444756,-0.92638564604556,0.9369759402081042,-0.9422450353308198,-0.8004476139735767,-0.9900058376914739,-0.33665093224374587,-0.6421793501401818,-0.9037449092832679,0.6328454887912666,0.3137919190557583,0.3797459687971262,0.8159978642971389,0.9000456744118553,0.8310649903893128,0.8445647542152452,0.533930768692777,0.7698869784938868,0.855604584794194
ADV,-0.6766097330752825,0.4770240007069925,0.7099694022286303,1.0,0.7121188800263663,-0.7190961169038128,-0.6852193575179304,0.22384126655211847,0.8260590388904837,-0.42092944699385587,-0.9228872624695491,0.32350576853768104,-0.9206133020843761,-0.47973153444019945,-0.4029223615973798,0.8421377339019033,0.05659581641431427,-0.02177097950992969,0.751443880063472,0.9554589094388398,0.22026476405909168,-0.8883001553847699,0.5665869492422556,-0.776026065246959,-0.6668755493151716,-0.940441797115879,-0.8283231299453566,-0.5228288931578757,-0.40714122700369604,0.6183318233737255,-0.5186523424235937,-0.6248184846902527,-0.8004513685855876,0.1545466309706992,-0.9134694812935896,-0.3413116396744329,0.9877090979866825,0.8895865589206366,0.588284781528111,0.17685644176431695,0.6138983202000938,0.3069850155185165,0.6943590086099031,-0.12562155376280765,0.987048464586716,0.39433772250554877
PART,0.014642360969373385,-0.0713357337926131,0.2830022883435638,0.7121188800263663,1.0,-0.639025332070585,-0.21180449840318766,-0.3520199106051302,0.2559726359342574,0.04576359472017576,-0.9135374510725546,-0.05811493226103262,-0.39757247415628766,-0.12495443748872585,-0.31630830816456246,0.94450786819611,0.6217749714948518,-0.6955107197939028,0.10242915794490405,0.8713179526224675,-0.3604487070166916,-0.9535610142182179,0.4577129305522817,-0.9427419382763709,-0.33886209288308916,-0.4404143228286738,-0.4705065371678368,-0.9706438187104846,-0.08123236964953938,0.4318492425532258,0.0500800877495101,0.08758385932109332,-0.36428602964180823,0.7854863949247639,-0.9083751690208978,0.07713224934937926,0.8108355967865429,0.8204699455655492,0.9417592414399971,-0.12955604437228618,0.501116879284665,-0.29755644771507284,0.01176847022326487,-0.08783992743355508,0.7514314282643152,-0.24079699654937678
CCONJ,0.49638991341191274,-0.6769846885304815,-0.8751404167096903,-0.7190961169038128,-0.639025332070585,1.0,0.8329130532088888,-0.4636946261527678,-0.7137376664877307,0.7249686696830325,0.6475671526521708,-0.7302315047508208,0.6840846510400489,0.8402712686719804,0.9107629150778933,-0.5449643037475199,-0.5645318708195407,0.0245858236478508,-0.586978010853668,-0.6593032941241954,-0.45403428988785116,0.6923096309175738,-0.9718478179433919,0.858689117146857,0.9273029164138165,0.6805205060448868,0.9230908889908105,0.542164651095331,0.8185000633628207,-0.9697247767315115,0.6753267803969716,0.4363130241663441,0.8734559096716616,-0.13425843210087474,0.8407640830124359,0.7144405423702797,-0.7167390130053324,-0.43886572640443405,-0.7691547737499775,-0.6749669930912057,-0.984040945352247,-0.4933025373317617,-0.5175578925566187,-0.575739742226432,-0.8194144182838461,-0.5121008874571477
NOUN,0.867593512705684,-0.9589685497704863,-0.9966567095669994,-0.6852193575179304,-0.21180449840318766,0.8329130532088888,1.0,-0.836819889587836,-0.9397582188447523,0.949095559779707,0.41376225376227765,-0.9057813158135944,0.8562572373031578,0.9535913110758432,0.8200686288618506,-0.24735694291094842,-0.05474156188884896,-0.5179165288254357,-0.9017262419053159,-0.47744661120571663,-0.8325727874577756,0.4022236377914579,-0.8607265063356148,0.49604957956702334,0.9742381200861568,0.8307116379320835,0.9616884604438604,0.03407813442499897,0.9253081435294248,-0.9101416860058344,0.9653045397827289,0.8399327547790335,0.9842705066237669,0.4103278147771301,0.5887675869240391,0.9170757758804257,-0.5972191942222034,-0.27733161794092404,-0.30336448902388846,-0.8249008217423786,-0.8654762846765688,-0.8699942546240054,-0.8764778766214238,-0.5211440796317214,-0.7378882259664106,-0.8939701716096369
SCONJ,-0.7994800544549877,0.9576940114290269,0.7970324078353105,0.22384126655211847,-0.3520199106051302,-0.4636946261527678,-0.836819889587836,1.0,0.7277957531835508,-0.9461021427343003,0.13861352815030673,0.9236348541799803,-0.5592156200436276,-0.8640154884074198,-0.6516902629550413,-0.3134555336007952,-0.22968751019603403,0.8610938778910567,0.7696880095607302,-0.05846751903814994,0.9999240074122966,0.16233198686835404,0.6017325036981345,0.037913030468873336,-0.7563143139089158,-0.5095151235078117,-0.6549097618655249,0.4921195731652933,-0.8668782916560863,0.6560159781641097,-0.9473142947656151,-0.8122304645317765,-0.7312013902238328,-0.8117900174442901,-0.05026211685780276,-0.9407934079964744,0.0891237936321005,-0.2351575522236587,-0.2067446729048389,0.8968117636131707,0.578766670424593,0.9955893813924993,0.7938516952361049,0.6125601790029798,0.2643129737715799,0.9796709462653783
VERB,-0.9564112437992907,0.8717129426724023,0.9289354369018816,0.8260590388904837,0.2559726359342574,-0.7137376664877307,-0.9397582188447523,0.7277957531835508,1.0,-0.8137874073740449,-0.5521161284453502,0.7225151065014717,-0.9747903933236108,-0.7936663003278887,-0.5927764033577759,0.39506759391874524,-0.17466403672348543,0.5162351881254218,0.9845100551030587,0.6254750758920969,0.7262649925295755,-0.5041104374572439,0.6824840792247734,-0.4693278262910939,-0.8627445588076349,-0.9603065336252329,-0.9280478701546101,-0.034043085476482306,-0.7412684186155509,0.7569349510412426,-0.8983341370938612,-0.9317609419198858,-0.9599017500385749,-0.3964592752302384,-0.634302926735683,-0.7492754451218471,0.7337891851871378,0.4952567609186793,0.22992331991055473,0.5981463919030635,0.7039235532726413,0.7864706226527508,0.9640045181927095,0.19868813187665615,0.8269333491380768,0.842867965735271
ADP,0.7892173742801094,-0.9884028482116481,-0.9340328277147165,-0.42092944699385587,0.04576359472017576,0.7249686696830325,0.949095559779707,-0.9461021427343003,-0.8137874073740449,1.0,0.11555004784805191,-0.9878724887206547,0.668915476804327,0.9796685341634506,0.8456657440761574,0.05691378708337036,-0.0410199376356024,-0.6562720549100542,-0.7991149744234282,-0.18097772407589638,-0.9423903785653909,0.11581441473450126,-0.8255798414357816,0.28050337315045343,0.924338247973781,0.6284873282884803,0.8391045895314643,-0.18561385996110843,0.9757493673497704,-0.8649972293920275,0.9783818889868316,0.7773110232715867,0.8795763002451732,0.5797170084322233,0.3371425721775461,0.9943848080646993,-0.31634686791410427,0.03937879767014226,-0.12126730973218318,-0.9503654878317864,-0.8110563683036641,-0.9515398596682578,-0.7925514836521699,-0.7019282595454401,-0.4917593510533814,-0.9437331662172673
