,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9836871837316016,0.45523352771926756,0.27585835806727876,0.30516571360984934,0.2188398438025054,0.40473227460146916,0.3586497651633059,-0.4655298118982242,-0.5673764227149238,0.15137962094518723,0.02839972302341459,-0.16920013087923402,0.12116736255941414,0.5796838384293138,-0.4413564321683532,0.31128925557813725,0.2849318502138532,-0.9869199490124666,0.3965367831530639,0.46686843288369,0.07434150591487419,0.5297704349772754,-0.11098498787742749,-0.5540170569065964,-0.2169772851477937,0.13567229858625668,0.4626933034992938,0.3091901676971032,0.31505244992201104,0.3748010453107851,0.08219437775987717,0.03232476045108736,0.0774557853187631,0.4414749215507473,0.23892213689951877,0.29546054357403506,-0.6831430669756051,0.05519619026211889,0.43396987758665606,0.7076984589537225,0.39422545049314284,-0.1478814321398758,-0.2281204248368712,-0.04490273438179062,-0.022871462323951392,-0.1481653980279759,-0.16799016504858538,-0.9867948409191981
PUNCT,-0.9836871837316016,1.0,-0.46133566491575295,-0.28139779584048513,-0.2627693905189026,-0.3372910212600221,-0.4835762166072102,-0.33014384616709336,0.4343351179885824,0.574272081663824,-0.10767117461129397,0.015570456294038325,0.2542399233756242,-0.015039928075219741,-0.5548847881240927,0.5140104297196326,-0.25476977493312936,-0.3319571287161199,0.9762017983336228,-0.4053957668460851,-0.42289401160488993,-0.03794678352543212,-0.4898310952545571,0.1905021459662144,0.5317358772461271,0.10868633214880306,-0.1147517950445339,-0.4356048295371174,-0.4178132737464138,-0.27899165577781837,-0.4719511078105434,-0.12444594351890004,-0.012914845895821526,-0.015017094287905555,-0.34249868224507884,-0.25457172284135615,-0.3315019878767857,0.6742705601791199,-0.028616155785218467,-0.4147463593842996,-0.765795056089915,-0.38647698448506684,0.16982723330991034,0.16752476078663056,-0.047811216528382675,0.0011885785543935044,0.20569624369156078,0.22098212683289126,0.9884245523525914
AUX,0.45523352771926756,-0.46133566491575295,1.0,-0.24081935999563317,0.6257026300857451,0.11667441037923841,0.7314656739964043,-0.07599815309008176,-0.4777553704178227,-0.5075900021233478,-0.1851815564144658,-0.8134544391985373,-0.2330163384503328,0.284835476850638,0.31564735397610705,-0.4651042743073927,-0.3026783331234786,-0.13467955849050814,-0.5187345464439342,0.05820849928171536,0.060933894962524764,0.1382852220053566,-0.01690162757945117,0.16130342686503513,-0.10234303791932937,0.007967080146922354,0.5051155638922753,-0.054962510293575566,0.1648239242751495,0.761433206026621,0.23766009050763798,0.5527555461444604,0.1858966899245632,0.42785918557705904,0.2978077184839273,0.37609390670587145,0.3229473087027826,-0.5258187135743779,0.6514045471571327,0.7948593112847983,0.33296053564700107,0.7493689889908507,-0.6339382646779929,-0.6940700985952071,-0.5919999626851865,-0.003791389082751011,-0.39309237011555037,0.5146470949167534,-0.5332607021921494
ADV,0.27585835806727876,-0.28139779584048513,-0.24081935999563317,1.0,-0.5373804003697346,0.05381287523571072,0.1579431793042324,0.7845590011913457,-0.36671150103671407,-0.2640832807553092,-0.21022313822912123,0.10599551936603638,-0.45371681130127645,0.10313245757777464,0.596317365932381,-0.05986495972996853,-0.07815837856328628,-0.4066717611783131,-0.3146276103968193,0.17235827156424519,0.6911710452583365,-0.6728362952543598,0.24882974553840986,-0.4826277337679191,-0.12390595905792884,-0.050559736623894444,0.32292452317319853,0.14441120081295863,0.17006531443788364,-0.38011897086308427,0.10164303871740508,-0.10951826878065526,0.11185037820234554,0.21653359284294288,0.22207607854417322,-0.007376228700430472,0.07165971748695929,-0.29293331069103296,-0.3597083525025484,-0.44140719588451227,0.11862983946103761,-0.014042837404247053,0.6319274438481441,-0.1738581456246795,0.1523381162456525,0.1279490812906783,0.6488959530069897,-0.6661583751218337,-0.288976835680626
PART,0.30516571360984934,-0.2627693905189026,0.6257026300857451,-0.5373804003697346,1.0,0.217160986402217,0.08692213979408375,-0.1627472588688595,-0.36999290764215237,-0.4142885108790737,0.13533448536007955,-0.3882110891120735,0.501543308477429,0.5170156513801422,0.21422870963060126,-0.4568327259204643,-0.27370512644508876,0.11681100250588704,-0.2681155355232277,-0.22058430152672082,-0.05564448796479932,0.3313503384615339,-0.20888484964534526,0.6310942123758618,-0.15935962159685613,-0.30907525217019816,0.08870223698880086,-0.23179824661475673,0.192442532824495,0.6894782295181282,-0.24277003270416536,0.11098547697538397,0.13307348060800323,0.16097457595680556,0.5267379712225237,0.5108038055382955,0.44805164460525604,-0.4364605212701383,0.4464605190635081,0.4653593355884304,0.25800034792396664,0.6862536411260187,-0.684779973841466,-0.4402708409063672,-0.6367436350580626,-0.052499189124495735,-0.39879206887423385,0.37594461490280795,-0.294162646190556
CCONJ,0.2188398438025054,-0.3372910212600221,0.11667441037923841,0.05381287523571072,0.217160986402217,1.0,0.14753540276103902,-0.023596303122402514,-0.15974444013937933,-0.15511630751926497,-0.17832427751480998,-0.1657985977169184,-0.03060388652062009,-0.18552998979041993,0.2564996101513878,-0.7608430086271287,-0.4219640806894704,0.20807725149794734,-0.21616399843485817,0.045464874630201046,0.05764292116810716,-0.23087844457434253,-0.4056153848141722,-0.31433541942366355,-0.4687485802763063,-0.14085258248833976,-0.01936019495619697,-0.12393212755107111,0.967470410639916,-0.11304463632301666,0.08307622881551577,0.403860780155922,-0.18106338395158758,-0.34134524179001463,-0.13835014475891932,0.4574669724178164,0.7445015203228303,-0.1767736544359965,-0.23817715142463897,-0.136675284761326,0.5886504547738062,0.20293221064750824,-0.0022347908728715176,0.15344776111539635,0.2999086974078327,-0.05565027039478887,-0.37368812747170443,-0.3697170858168022,-0.2895010409563558
NOUN,0.40473227460146916,-0.4835762166072102,0.7314656739964043,0.1579431793042324,0.08692213979408375,0.14753540276103902,1.0,0.05773806012834888,-0.5074195664971499,-0.4189921374325597,-0.33962392711603606,-0.7003420768267271,-0.7027482212363005,-0.11354797644340317,0.2800811491254986,-0.3569859764037368,-0.3043531141151983,-0.18485270233410023,-0.5100423681146032,-0.02205431545564668,0.08229639034654206,0.03110674557391701,0.24469155678997595,-0.20404435726703093,0.17703173931386135,0.4668322375310272,0.598166522038777,-0.003540475029043529,0.2299891873517669,0.33866953040428344,0.508843955083035,0.34342508980563996,0.053989357985250765,0.362908694540774,-0.049320963926638046,0.17492304974731543,0.2119271936574076,-0.389439657876226,0.2245754742033332,0.48389997401532836,0.36400221828976786,0.5678471476314555,-0.3614181259981454,-0.4888419585896872,-0.24154208200207478,0.06482256847798284,-0.16310745560318798,0.17438548617624666,-0.5244814687729004
SCONJ,0.3586497651633059,-0.33014384616709336,-0.07599815309008176,0.7845590011913457,-0.1627472588688595,-0.023596303122402514,0.05773806012834888,1.0,-0.3820875265352599,-0.7012692714468691,-0.2895118297239205,0.05892741800940986,-0.027908330239695623,0.45394794830018137,0.6108416022414987,-0.29953066295886194,-0.15153516519086685,-0.1472767446239775,-0.3727515900045868,0.3849515607524947,0.9258806165636836,-0.5608768420088682,0.14622203708235038,-0.3422972616275455,-0.19242200076212293,-0.1737559436265703,0.07650636039648348,-0.2038785080464469,0.000657350639841284,-0.10839307959244537,0.04149314831119027,-0.17541538269495033,-0.011611309253125196,0.24627140986541102,0.5923140737698632,0.3877971886826805,0.11474235364802134,-0.7098777756498413,-0.07934364492370383,-0.39389586408717575,0.0589423124691718,0.2956815348672935,0.3982400954400829,-0.18803636797817844,-0.17173456992815786,0.09814265991169904,0.5421618480924868,-0.4424686425658095,-0.32638168918703403
VERB,-0.4655298118982242,0.4343351179885824,-0.4777553704178227,-0.36671150103671407,-0.36999290764215237,-0.15974444013937933,-0.5074195664971499,-0.3820875265352599,1.0,0.44392866734919517,0.4245883804616016,0.42386850633672696,0.06859115015204167,-0.5496951391639014,-0.7524647584121658,0.35804990228194417,0.49615321701282933,0.474414315487644,0.5456191747437641,0.316350895500458,-0.4592313290925644,0.022651214823555924,-0.25706262677485303,-0.05062132285486629,0.13914570195164144,0.28560874350635646,-0.7890521538249705,0.104360442324869,-0.30367132376890826,-0.08939768067798541,0.1977953762447783,-0.044759294116357456,0.052555490649602084,-0.3670262656274416,-0.534852508582904,-0.5491392832573845,-0.6691595632715138,0.48759057296947333,0.1775088951819679,-0.09847687592601884,-0.41120857672557204,-0.7180639827491304,-0.05837781420566578,0.7156824198420056,0.6385706080618475,0.3069335842399672,-0.08993325538510771,-0.06951249816771556,0.5241458865888733
ADP,-0.5673764227149238,0.574272081663824,-0.5075900021233478,-0.2640832807553092,-0.4142885108790737,-0.15511630751926497,-0.4189921374325597,-0.7012692714468691,0.44392866734919517,1.0,0.2385925076783509,0.3481074351043596,-0.03186065809681729,-0.4764230167281663,-0.5335698783129176,0.6448427912523599,0.2702395128698041,-0.14943443491988337,0.5762867957069787,-0.37196368330165713,-0.6778747691551444,0.22621409113418242,-0.064604935482872,0.06187782308533445,0.15307177529023466,-0.016347329216966678,-0.044871216767441144,0.33148520770630346,-0.1310805778576731,-0.4430256242165896,-0.2751227816674169,-0.023605667594499686,-0.04427353176951306,-0.26977234342541023,-0.6588106329418598,-0.6407607370500841,-0.26638473186199957,0.9819711383757966,-0.3652656496477283,-0.13690951279847402,-0.30094684989847026,-0.7250124448339149,0.29362278494465793,0.34780912703923256,0.42582574178639515,-0.13411549755766755,-0.035364402117337344,0.07076414385661864,0.564055822205543
