,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9055889266623505,-0.6595672008278224,0.41615112595628706,-0.09563176368117499,0.4876181132297967,0.6909671190746555,0.4309153352919138,-0.13612532119257842,0.1708372231432692,-0.3864340054798878,-0.6970913719547394,-0.19882743430622446,0.17282680832206768,0.18103895647204016,-0.11420455438305703,0.16718026008664266,-0.43571830996809024,-0.9611435593260167,0.3844216795209425,0.27577135100617156,0.3426714347545347,-0.0926181823639472,-0.7403942971835697,0.6074393500641125,-0.4289025735656931,0.582393170654891,-0.15957108527764396,0.5542324034597836,0.44554321753621123,0.24206708741569163,0.11720292241413537,0.5317988674400955,0.6190155677202446,-0.5588923573530673,0.6793460442750958,0.713386824481475,0.4117603529192352,0.27794109651611076,0.8776106725643797,-0.6833102245065131,-0.5793024426004867,-0.29779147002444567,-0.3140985730333326,-0.6938969058468265,-0.1390760047932634,-0.7108540209100038,0.39647546430372055,0.22933921992735,-0.9120352381757505
PUNCT,-0.9055889266623505,1.0,0.5575427076913777,-0.6942914386657909,0.04212467536282889,-0.5199969776177599,-0.5260518807373539,-0.18271002660733165,-0.07423158585050357,0.07961231463312374,0.29497574723969816,0.5950101417310341,0.4990564069294473,0.13803858041660558,-0.312284594820763,-0.0663718970309273,-0.025964746733717792,0.6138581105445997,0.9843099122426112,-0.3188999218838596,0.029623091995382708,-0.2826799338002568,-0.07878854690255074,0.6001628359763392,-0.3983450722612533,0.3321365997825914,-0.4779619300463938,0.12673789106393135,-0.6560183620304643,-0.5150486501021063,-0.37206807112349277,-0.09847982139167184,-0.6190650724961893,-0.6597573492421341,0.6329891243012851,-0.4339278548465933,-0.6429833916546284,-0.35851274518336335,-0.057202389023273265,-0.8733548865828425,0.6509995166818202,0.5859421758171576,0.14147519515978293,0.159144682544962,0.5491479192319733,0.4417040062416818,0.5123955692702648,-0.5640371211704835,-0.05749131266824424,0.9909073971282981
AUX,-0.6595672008278224,0.5575427076913777,1.0,-0.04575526822789445,-0.18645971643719841,-0.49280278623463086,-0.5868654445418755,-0.3258221215840107,-0.09347173062181917,-0.6214827795531258,0.26310830649654343,0.6843260203649478,0.4739790257633486,-0.1856816616356973,-0.13520554956376818,0.27416593912319226,-0.033025909531497005,0.4046811938995683,0.57610643283893,-0.06814433397461822,-0.40272721664815303,-0.11952783769161321,0.15297741379413524,0.4111164606043021,-0.651372791727209,0.20941322214679362,-0.15687135186180926,0.44312666186630173,-0.4340635193998985,-0.15072994758800765,-0.33530951385768837,-0.18935394337136166,-0.2964798610311911,-0.5648141581061044,-0.12587170328509523,-0.30381293509457336,-0.6140359922523702,0.06960031021178262,-0.6442855455964152,-0.4947192366558723,0.6218438860864576,0.20643790821326943,0.7141832699573082,0.11857524042082325,0.3193494380470226,-0.06440704551231372,0.7453473516270398,-0.0332961891998612,-0.7327053801055305,0.5310422905720263
ADV,0.41615112595628706,-0.6942914386657909,-0.04575526822789445,1.0,-0.0512267884032879,0.5061114394495114,-0.08174905558115275,-0.1540129615464511,-0.06417895956725772,-0.4242765847341356,-0.181116118385106,0.08476947587294037,-0.5391437252942384,-0.5884584420160719,0.5737525855005552,0.5832892132551668,-0.27646802023699957,-0.66597635570529,-0.6192973001694773,-0.08862880585265444,-0.37947598927208454,0.32075923152311103,-0.08166406832114947,-0.2607579663750183,-0.22622934044182078,-0.3201741538476481,0.46248202239650194,0.23524384668790932,0.724834494455432,0.3722835605078631,0.3453810424173292,0.19971383010055938,0.2487743525207391,0.6515596124364393,-0.7966745778181411,-0.2386411368761253,0.41178636329384943,0.12214393528702037,-0.3126527575502018,0.6114151288158861,-0.09946376225308493,-0.17446479512082774,0.09855012042456164,0.0757685891557217,-0.24528910751739483,-0.8617276804107372,-0.09494642829897212,0.5131099085728297,-0.2571619436708449,-0.6958066940217671
PART,-0.09563176368117499,0.04212467536282889,-0.18645971643719841,-0.0512267884032879,1.0,-0.15323290261803627,0.060164880389423185,0.5807878200554187,0.2870727011051438,0.1809424318888281,-0.5988366687466619,-0.21650810057555078,-0.024455443280026957,-0.5058878634975315,-0.5297110280647148,0.12956067566136606,0.5598210740504553,-0.5621815536581146,0.0432405212135089,0.15735085144111974,0.46510450447756296,-0.5663353243178046,0.14360851874525382,0.3323773998175069,0.1534018150500934,-0.3092271741404951,-0.18278552220134775,-0.810204479894381,-0.06249533595952433,0.3977178373460681,0.21203216316126128,0.3247582536848639,0.2792045360159095,-0.2799716549646863,0.18065923069727607,-0.1332463891913802,0.0009511859878408671,-0.28772896497224454,0.21307348877697915,0.22577612273961756,0.11359447164143843,0.5596362373615563,-0.1574460107731282,-0.37633577521412104,0.18346177964354163,0.19208790918872984,-0.10574151390391287,0.5591389311143717,0.0013848454213320842,-0.026828695071974915
CCONJ,0.4876181132297967,-0.5199969776177599,-0.49280278623463086,0.5061114394495114,-0.15323290261803627,1.0,-0.1992211117712219,0.10847659980969798,0.04097016781385934,-0.022761012442588338,-0.394104095381173,-0.14830225723500556,-0.3521123705052974,-0.14174344553443108,0.4732872904274025,0.30797387283113015,-0.4503304646016196,-0.19572264579800935,-0.49935717919061545,0.17195327254172263,0.2136577189152302,0.30015480005160683,-0.4579480525689246,-0.6899819324700441,0.003895611508290179,-0.6083339959475265,0.14527163625425193,-0.049716299262797366,0.9436783401252314,-0.24212690239581358,-0.18119215724431537,-0.11630031514887187,-0.29857373422943645,0.587078348067383,-0.3757669588312633,-0.06761872482024842,0.9177843560262771,0.3655326781419716,-0.042848295211267436,0.5534937965307749,-0.297767193829434,-0.23339318852958865,-0.44938148153883406,0.07128720854297703,-0.13657992457623402,-0.6209855068817497,-0.739092179682329,0.15026097603541247,0.5378060618984212,-0.4798360776565129
NOUN,0.6909671190746555,-0.5260518807373539,-0.5868654445418755,-0.08174905558115275,0.060164880389423185,-0.1992211117712219,1.0,0.3638208481295225,-0.1982715891857228,0.5293485368181121,-0.08284975434408066,-0.7526563631223038,-0.09687234549507096,0.4470763568524382,-0.07296045664680256,-0.5581568221062276,0.523955316347451,-0.349432250105193,-0.5979222142162381,0.10206699579834175,0.23153483951234752,0.2183121691081253,0.24921085545489433,-0.17339793253516583,0.8375237375487036,0.13269921433235382,0.4828966186569704,-0.1933843208852988,-0.15578580536061734,0.632530776048617,0.4390228296953921,0.2022565563455777,0.7810361332160677,0.3054756355690861,-0.07343417137702289,0.7254219842570926,0.08237332421988645,-0.08098235773440042,0.6400503308942638,0.43355347818629053,-0.640611637950439,-0.41091961941930316,-0.15563352302821423,-0.414734811811096,-0.6739880303421683,0.4657903566587984,-0.3175411740309333,0.09766864227897301,0.15482899013555015,-0.5541839924466123
SCONJ,0.4309153352919138,-0.18271002660733165,-0.3258221215840107,-0.1540129615464511,0.5807878200554187,0.10847659980969798,0.3638208481295225,1.0,-0.19424435120767616,0.3461089326391132,-0.857829852264964,-0.4668041309869471,0.48463148784353843,0.055953273446944785,-0.49616104199598854,-0.06399427457743405,0.6856159497168333,-0.28559933182961234,-0.3102642117314789,0.47644562680334623,0.9039487954332114,-0.15995290511045102,-0.20700909700627299,-0.32069670731798056,0.5101456507632546,-0.696157142601051,0.29176828023101475,-0.6313690357288184,0.11681951937868269,0.3539114601966704,-0.13722811598344586,0.1999416031141186,0.18408454076899225,-0.10243477185988921,-0.19475156333007118,0.5043965966142656,0.4481309017253339,0.1984410072188057,0.37170115213835414,0.590236243794711,-0.14356909719123817,0.17367326030186037,-0.28370922136760396,-0.6975927302298448,-0.36005392747312975,0.3902060608252208,-0.6376759562886397,0.45479706819076554,0.19884156892897706,-0.2733883761432635
VERB,-0.13612532119257842,-0.07423158585050357,-0.09347173062181917,-0.06417895956725772,0.2870727011051438,0.04097016781385934,-0.1982715891857228,-0.19424435120767616,1.0,-0.4220228439687818,0.12230481849094024,-0.21406340234466428,-0.3651550939096491,-0.39369786982713667,-0.4279364017920576,0.04850865486015688,-0.17612104376200946,0.06933441151620923,0.02909786892692769,0.520805446392218,-0.21242138329213486,-0.722118429846814,0.3955274273584088,-0.007843376334358389,-0.19899371990625686,0.07810685655897208,-0.8255965814025915,-0.5838228661735224,0.03446392475456511,-0.22767748300173968,0.06323496693374457,-0.1923453372484342,0.13023472856946458,-0.3690988316216174,0.4055219296662557,-0.03656831527604366,-0.0053331779663176905,0.32178811113953376,-0.4350401463247648,-0.08442494581030406,-0.09688977260511535,-0.1050835902070392,-0.04725381052322363,0.3899930515793813,0.6271328626232456,-0.17695298480009206,0.13328071902030475,0.3949087724908835,-0.08284540369074714,-0.0010756521815672847
ADP,0.1708372231432692,0.07961231463312374,-0.6214827795531258,-0.4242765847341356,0.1809424318888281,-0.022761012442588338,0.5293485368181121,0.3461089326391132,-0.4220228439687818,1.0,-0.18932399967455296,-0.41864961059857275,-0.028723812704965188,0.5745666508689128,0.12208472974917656,-0.6045836079916512,0.3759238664423569,-0.1503468485945988,0.006757290708113757,-0.38227654392703175,0.5570611839076481,0.34723860692302666,-0.07672534676113153,0.15809254256342967,0.7304374801964496,0.1441727100340155,0.291002136248507,-0.15182099194696994,-0.17629873935272156,0.1919863428592954,0.04616645465354064,0.06691812892358469,0.09061307925868457,0.21369480825706716,0.38036023642092753,0.1599052840860065,0.08203118416965524,-0.5881728386385344,0.9818846790029275,-0.007960229024552073,-0.37350602925574267,0.09057525316039712,-0.39622459969759216,-0.44653556424308627,-0.44088904395151457,0.6154254835678263,-0.44947115854679254,-0.4633107680939818,0.7463728757804085,0.04487800392376556
