,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,punct
len,1.0,-0.9934044378305729,-0.9015669619340373,-0.1157129247234096,-0.14055973744653186,0.060085437974741605,0.9931839859087932,-0.8523935760412014,-0.9360633989499608,0.3557426433611376,0.8667884937075961,0.7303259451778251,-0.7284054076224606,-0.999911590708025,0.680400085303454,0.9818098413154738,-0.06196138901790609,-0.07765532754578673,-0.9488992691376471,-0.9748876808943212,-0.93341478671017,-0.16782218427163118,0.991334397584039,0.8146475572418514,-0.563098722199641,0.9950820431536892,-0.9935572637700929,0.9908949801833753,-0.2112550011522307,0.9929525400094324,-0.8009439631643464,-0.967575327286784,-0.3609550284786009,0.02936392665172117,0.5352398216163999,-0.8668705850082988,-0.7462751462624809,0.8581102612548434,0.8016099622982984,0.7908487073837959,-0.0664426296788172,0.39850688383422295,0.7095658555508007,-0.9473783004977198,-0.9989409728152935
PUNCT,-0.9934044378305729,1.0,0.8460128314355065,0.0010568751593464586,0.253157399021734,-0.1741450561038824,-0.9732685764175499,0.9067289736793657,0.9702316046787732,-0.4605585996160217,-0.8038918133545114,-0.6471828160918064,0.6450401673421436,0.9948412890884634,-0.7599422573714106,-0.9535635303843621,-0.05289004575316897,0.19145997923971916,0.9064554704969019,0.942922609331643,0.9683994095779652,0.2797521527775502,-0.9697335580101766,-0.7427749158188665,0.654141153958276,-0.9771610617258688,0.9999991013801979,-0.9997973714344133,0.09778640458839442,-0.9999924882336099,0.7270079908663751,0.9322317204306779,0.2516414584680277,-0.14378389511613252,-0.6285655379128473,0.9183164447988904,0.6650289826344018,-0.7935750082570707,-0.8648739164259097,-0.7154574663227197,0.18041411037525507,-0.5010435137587377,-0.7856819652326444,0.9044243018090126,0.9870767311539449
AUX,-0.9015669619340373,0.8460128314355065,1.0,0.534056367477663,-0.3016204130695993,0.3776868654591432,-0.9458491078818366,0.542262322821395,0.6917076556471917,0.08361220372163464,-0.9972148282548583,-0.953973340738355,0.9531276980420631,0.895734437345079,-0.2963702706687805,-0.967311248424867,0.4876706327335227,-0.36132165369423164,0.9920282490246277,0.9752741172637017,0.6863052134663219,-0.27520064617349155,-0.9505869684618575,-0.9853713956925255,0.15014233292833298,-0.9399878472012464,0.8467268349387529,-0.8351088541875374,0.6133358669641741,-0.8439399314958814,0.9811429463376025,0.9816111941540164,0.7288975497484024,0.40597948206578094,-0.11710381753283673,0.565856665233596,0.9607981906878031,-0.9957893467227846,-0.4640526219182893,-0.9777835566220736,-0.37178108163087054,0.03752139492665684,-0.33486635186857283,0.9926198996734633,0.9205179853137228
ADV,-0.1157129247234096,0.0010568751593464586,0.534056367477663,1.0,-0.96715700766037,0.9845354111376217,-0.2306984281866755,-0.4207553116005639,-0.24115337930092653,0.8871420525057753,-0.5956248290457119,-0.7630184019302654,0.7648299653505176,0.10249499371516603,0.6491870616388529,-0.30219958400315017,0.9985438861223261,-0.9812975235055859,0.42325918337358553,0.33400830644212137,-0.24838084114599468,-0.9597760547658518,-0.24519032277774774,-0.6703258508541581,-0.7556807267083366,-0.21353264080080606,0.002397484812607793,0.019073307205783988,0.9953102173578426,0.0028191435604240627,0.6873969714433494,0.3628469293810071,0.9680859420993675,0.9894565961433658,0.7770918732792497,-0.3948763086212915,0.7475199850299247,-0.6093108066238133,0.5010748078450686,-0.6994120506942707,-0.9833995180033763,0.8648920682238448,0.6177999111977316,0.4275897569660374,0.16129145596549208
PART,-0.14055973744653186,0.253157399021734,-0.3016204130695993,-0.96715700766037,1.0,-0.9967289679300452,-0.024201682528567674,0.6375217102422855,0.4799112842601147,-0.97530868594428,0.3718896355915842,0.5736627396171762,-0.5759599106574018,0.15371232149799702,-0.8212022180239453,0.04997899477471502,-0.9794605458664258,0.9979976569184764,-0.17906907512317777,-0.08345627625265929,0.48643760911958067,0.9996193273372252,-0.009283321632159952,0.4596920033981842,0.8973344122443547,-0.04179769676628543,0.25186023045349526,-0.27258034956286825,-0.9380332946619374,-0.2569052495883352,-0.4802146778029459,-0.1140729081289393,-0.8725889785579367,-0.9937726532443356,-0.9115472983277914,0.6154310007563462,-0.5541330377818962,0.38775212520699476,-0.7045861385692552,0.49477428414835023,0.9972235430395961,-0.9640739298595614,-0.7973799988042185,-0.18377486521649164,0.0948575219899661
CCONJ,0.060085437974741605,-0.1741450561038824,0.3776868654591432,0.9845354111376217,-0.9967289679300452,1.0,-0.05667066810510763,-0.5731724313759257,-0.40743947403154807,0.954270338111108,-0.4456935989771504,-0.637982680273307,0.6401419256186145,-0.07335312232006207,0.7723989265400079,-0.13053137026159523,0.9925522794335312,-0.999844913839424,0.25799390917220283,0.16371821133930164,-0.4142355297786426,-0.9941198146128739,-0.07156041963848012,-0.529960042590017,-0.8587305789889252,-0.03908525624088359,-0.17282477278911046,0.19393216292437324,0.9629716474117336,0.1779605354759897,0.5495324671175574,0.19398908802873813,0.9092101257640468,0.9995271483034115,0.8753340909265787,-0.5497188052521638,0.619594675838372,-0.4609778200677856,0.644932279778891,-0.5633874503776248,-0.999979711855986,0.9394527024905968,0.7460005850315421,0.26261414590464716,-0.014094796889407445
NOUN,0.9931839859087932,-0.9732685764175499,-0.9458491078818366,-0.2306984281866755,-0.024201682528567674,-0.05667066810510763,1.0,-0.7856358265182285,-0.8886747144407269,0.24438545040789675,0.9190047010655155,0.8049680889202622,-0.8032992981944357,-0.9915463162909776,0.5903446239749655,0.9972481557982124,-0.1778722541798745,0.039079154558852996,-0.9792145616883504,-0.9941997758455086,-0.8852320096513828,-0.05177424914745448,0.9998886900509009,0.8766929685294501,-0.4629390094585984,0.9998450213598297,-0.9735755999385602,0.968448113367891,-0.3237416575160157,0.9723710618175835,-0.8652720683857832,-0.9904206329507217,-0.4671940001768746,-0.08734311125716847,0.4331357747280346,-0.8028543675839593,-0.8187733478193692,0.9121094423897989,0.7264627904859196,0.856792613483557,0.05030983563683761,0.28888847340910534,0.6225987137038973,-0.9782327851644744,-0.9974949878465174
SCONJ,-0.8523935760412014,0.9067289736793657,0.542262322821395,-0.4207553116005639,0.6375217102422855,-0.5731724313759257,-0.7856358265182285,1.0,0.9818673144987851,-0.7919273931757649,-0.47808691477611737,-0.2653322545389148,0.2626245360557622,0.8592712387517475,-0.9631716944213559,-0.737606863544757,-0.46908052820167945,0.5875146282962388,0.6438190869162473,0.7145395032880593,0.983253115944693,0.6585351455053351,-0.7763175113275296,-0.39114074041590496,0.9121014912500643,-0.7964060448730995,0.9061628045050255,-0.9150343355528259,-0.33102698500741834,-0.9083567308712839,0.36963825348320195,0.6926793462490377,-0.17997271659479785,-0.5477048881074591,-0.8979293221521977,0.999598320337735,0.2880577454884617,-0.4629562010170173,-0.9959020147540041,-0.3540929820432585,0.578380536503097,-0.8192711502217389,-0.9732857021446087,0.6401501982593988,0.8274321323465142
VERB,-0.9360633989499608,0.9702316046787732,0.6917076556471917,-0.24115337930092653,0.4799112842601147,-0.40743947403154807,-0.8886747144407269,0.9818673144987851,1.0,-0.6618136219872583,-0.6359191393180306,-0.44329578857661656,0.44077765189194,0.940658951370924,-0.8947340199804296,-0.8522351294870048,-0.29315555452832853,0.42345924290324843,0.7771992430957414,0.8342048413915295,0.9999722173924306,0.5039336496209497,-0.8817343895997704,-0.5585149271899896,0.817845901599933,-0.8966095173142712,0.9699060649890996,-0.9749100648901666,-0.14614280735813553,-0.9711630051865908,0.5390790547031005,0.8168453560364575,0.00976475761001038,-0.3791661530311195,-0.798210415871804,0.9868454583400107,0.46436866324966736,-0.6225923511027401,-0.9606992025875873,-0.5249596137076162,0.41324842366507597,-0.6957152470817932,-0.9121127754994292,0.7741792448995165,0.9188842723398227
ADP,0.3557426433611376,-0.4605585996160217,0.08361220372163464,0.8871420525057753,-0.97530868594428,0.954270338111108,0.24438545040789675,-0.7919273931757649,-0.6618136219872583,1.0,-0.15770091617347434,-0.3786051264909095,0.38120194951788505,-0.36813837491096957,0.9269486339105214,0.1718250800074248,0.9107458891447663,-0.9593870726915171,-0.042628757585842475,-0.1386799600742543,-0.6673833804595197,-0.981030523680081,0.22989061357789906,-0.252213016342862,-0.9726487226995045,0.2614186839562929,-0.4593682198316652,0.4783332368836334,0.8383389017617078,0.46399560266960177,0.2746422356921766,-0.10814812895942585,0.7431702221221022,0.9446269525444912,0.9798508316313543,-0.7743039988562491,0.35661232263713827,-0.17461016931803353,0.8439053999500765,-0.2906377071637178,-0.9561552334620226,0.9989339057935486,0.9109672545230075,-0.03784743375341111,-0.31236556509563934
