,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9080430685765554,-0.4219767625995541,0.09510811378139912,0.2513831653739409,0.2543763065654109,0.25956640949221904,0.20930670367843057,-0.24496074484864327,-0.0204230660994402,0.1898939669016356,-0.03839579911858114,0.012650440605881701,0.13772124967707386,-0.07918455786785877,0.0028468841378154,-0.1476767540746463,-0.16043135856851556,-0.936954767180075,0.37624926691331095,0.36798736227948314,0.08350960247878603,-0.16755437493605005,-0.013262454934647401,-0.023368855108830036,0.22462641337361933,0.48317226771690497,0.3420973991242954,0.15617448513284282,-0.37423275015387114,0.0676701432454769,-0.3034722677234367,0.13971119966036516,0.2966918205323092,0.20207333158715948,0.03213438412600277,0.13603102751683693,0.24421553070217714,-0.07835588787601228,0.15443690210864064,-0.23523460338456897,0.7031348343995109,-0.21631970962438218,0.07977552234295747,-0.056440365265566894,0.38200707955104257,0.06268616535090862,-0.10266780452040929,0.11375436855982131,-0.7744882435896899
PUNCT,-0.9080430685765554,1.0,0.48200652026959434,-0.15582750572713558,-0.2794338610290047,-0.14772227224509385,-0.20110017095362265,-0.2586106969430346,0.12975899036955588,-0.03421752735978787,-0.11190724158310925,-0.027353822596749303,0.042604896925117104,-0.16387071921405466,-0.11547851011812198,-0.0680282040156219,0.004223653030928937,0.19388772729923254,0.9570573363245133,-0.29359612397026047,-0.4056989352763861,-0.0014551975458095355,0.2182022410785914,-0.016926657911865987,-0.0324142148497595,-0.3862609376562112,-0.34702333491000237,-0.25193464376688046,-0.05711768697384387,0.31210675448102054,-0.047495449647106405,0.25879715681780613,-0.28195824202894304,-0.22516012343060884,-0.16344198798172224,-0.06586577987712891,-0.14006048860452142,-0.14150342721753378,0.006315915443052914,-0.22506511500786247,0.21218821400551036,-0.6376519081250717,0.32863945792475036,-0.0680587703909093,0.08410810593776209,-0.23694902374585602,-0.16086808785759796,0.07051042841444201,7.678192798189752e-05,0.9042317941325975
AUX,-0.4219767625995541,0.48200652026959434,1.0,-0.11139391133574042,-0.4856091995493126,-0.35407644756711354,-0.10900656856440051,-0.08884826212462917,-0.15470533560676505,0.04188519532899826,0.0053540102158491955,-0.17441107686199456,0.15466927518101622,0.10661779535124108,-0.42355986285336744,-0.034531382104271764,0.46251725465270027,0.3063257435927748,0.4753592021704328,-0.12460187241624197,-0.129438081450892,0.34410095485742054,0.24218301749606788,0.17413593000107766,-0.19548752345041015,0.0037573958034007007,-0.1936134826312728,-0.4584389551832006,-0.27647215759506083,0.27488535837827016,-0.2617342330114281,0.22645099727254067,-0.2781209298871726,-0.2247490544893308,-0.11451940567067664,0.14826013586893866,-0.32549257849828306,0.0072688768031614484,0.02537981131898823,-0.17877190835636195,0.4438751613063352,-0.29147535610501046,0.6480647141256451,-0.5091861950833972,0.05227455873078029,-0.19230024735933307,-0.16260690073504752,-0.014989663208286657,-0.4224825326924183,0.4048654050505607
ADV,0.09510811378139912,-0.15582750572713558,-0.11139391133574042,1.0,-0.021187999183648668,-0.13582347048444146,0.06375252164727813,-0.003623600018415269,0.054993281197241395,-0.29973440200601664,-0.6325852127174684,-0.18548623825568858,-0.02182448761650356,0.0486561925772657,0.16850779445320468,-0.24615659141354063,-0.02876217368976061,0.26053362057711194,-0.10136513533380928,-0.37613096548122044,-0.15759768767361437,0.12766232710961034,0.041040474711031005,0.301882340946087,0.3504791917759822,-0.09880574698988986,-0.014063287567230413,-0.29404951103117505,-0.19162005787544134,-0.2643143363339141,0.44804228305487925,0.2392597198985461,-0.3961598002483342,0.22780703974402597,-0.2520353624400386,-0.05001790029314341,0.1000847482871551,0.10980943344730142,-0.17746309103612318,-0.04838971283255656,0.028951906836476134,-0.149016598617916,-0.0511703191832486,-0.03699836226082557,0.24706545744797404,-0.34062964287519,-0.23872337873411148,0.7638249154445875,-0.06264050778714678,-0.08176876276540135
PART,0.2513831653739409,-0.2794338610290047,-0.4856091995493126,-0.021187999183648668,1.0,0.44943119030992584,0.18960482338930743,-0.13418447611826992,0.1065909543063819,0.06562892325875293,0.10485228411365377,-0.25940267002098166,-0.07643539031147825,0.0666268769029379,0.3752260048397233,-0.11070959235778335,-0.09858250743170105,-0.3006223047988685,-0.2720753347826484,-0.19617864717008074,-0.12643833709227925,-0.3774276730922207,0.03827300164392962,0.11127955442291185,0.026204542099753456,0.3332084766371408,0.28908847923134934,0.4031023841514497,0.34049102868350284,-0.4759277315160585,-0.11804109777426382,-0.4934758238677431,0.27549399644280137,-0.22306574568877352,0.08458650149253436,-0.08157281797068851,0.41192066481495815,-0.28717829712493864,0.10796057469659713,-0.08525117085095474,-0.07175215150706975,0.5185574878164155,-0.3926869827995047,0.1804109181767511,-0.026876667652553435,0.20072569985433023,-0.1672101873339504,0.20432685345801668,0.1211101480127164,-0.20817180278060413
CCONJ,0.2543763065654109,-0.14772227224509385,-0.35407644756711354,-0.13582347048444146,0.44943119030992584,1.0,0.31150390644767373,-0.11498069322196969,-0.42977497088374517,0.11861508217099315,0.2845225478220559,-0.3215207992155305,0.12396449599294954,0.17460065695601462,0.0035251301255136962,0.04455108607253187,-0.16225381234535294,-0.1683607281334151,-0.21905631338312487,-0.15727457408425344,-0.03630437327818514,-0.30169536733897745,-0.06707777931228726,-0.4657973808705729,-0.4142135814361908,0.056955277501004715,0.25364364476468715,0.41995893687036095,0.9623795814755044,-0.3350206628817004,0.11904216285076588,-0.3347681211760608,0.09815456509853573,-0.3833919801054961,0.24153243502428226,0.10733207534244495,0.6456754358790038,0.00955776749627557,0.056566669095961024,-0.27547292094280657,-0.04818129531901632,0.18923579925178338,-0.3157014332614744,0.14302177837495955,-0.22646756593625983,0.43863852879481696,0.02060781853672226,0.05091744431582416,-0.1398205529570275,-0.08139774958846704
NOUN,0.25956640949221904,-0.20110017095362265,-0.10900656856440051,0.06375252164727813,0.18960482338930743,0.31150390644767373,1.0,-0.12551324023411012,-0.5875659971708673,0.18776294416641218,0.11500039447849553,-0.6449106530201316,-0.3621791054838701,0.2877828718544889,0.06027908044903649,-0.07021004636565896,-0.2457369219078057,0.029074946477016108,-0.26790319338167035,0.13979617259251145,-0.05826875332004307,-0.13497325830282908,-0.08105730830596258,0.007761753041804454,-0.3578834477198779,-0.05731998549304722,0.7792485301577098,0.3157934560229299,0.1973642607631488,-0.3416383401230227,-0.22659565042179197,-0.028136204380318244,0.07559820025899176,-0.06144751444068034,0.36190458555766847,-0.27316219210971593,0.3187098244743482,-0.053230489192306885,0.20423651682817526,-0.10831509198330705,0.06674315600321509,0.029588109356366545,-0.02022135262883987,-0.19764378371935504,-0.36821970800281917,0.16327888635837098,-0.35676571054123996,0.12390611990725954,0.08906553589242051,-0.1815548404597999
SCONJ,0.20930670367843057,-0.2586106969430346,-0.08884826212462917,-0.003623600018415269,-0.13418447611826992,-0.11498069322196969,-0.12551324023411012,1.0,-0.08039668572597777,0.006876948923452023,-0.10200133347861215,-0.010804219698812534,-0.05107345102940959,-0.27435690018764647,-0.10448251060229803,0.16318064993059797,0.0001383740642068868,-0.30996398009629833,-0.15556487961541007,0.4656700896706449,0.9242499406208092,0.14664803166663704,0.14312929260787868,0.21040348748729504,-0.19225243925811564,0.02793616341167252,-0.029979577867328536,-0.04818160077744284,-0.14117406260140827,0.10468428111565216,0.009186216983612527,-0.005795942181623066,0.009541450382597969,0.19839285774001988,-0.2894868426062793,0.026742744316022634,-0.6156028221557417,-0.0652449835306663,0.09672287245295952,-0.07864500378508554,-0.08697547895468935,0.015133294209631913,0.05550539809423375,0.06407015442973675,0.12976013662327493,0.41392017340199794,-0.30463912831331547,-0.028423790831145216,0.14111734393504766,-0.14093294164518969
VERB,-0.24496074484864327,0.12975899036955588,-0.15470533560676505,0.054993281197241395,0.1065909543063819,-0.42977497088374517,-0.5875659971708673,-0.08039668572597777,1.0,-0.5538263608431658,-0.08013813915865542,0.357435713885793,0.09540748196645668,-0.10652754226978013,0.05276204399807269,-0.42161830758989105,0.13716354379532866,0.12435360338977162,0.13498013785917118,-0.027565185265009635,-0.13876379918006787,-0.16270487228349007,-0.2653316039772432,0.12123068716731884,0.5642384730352984,0.0924754900082596,-0.32721049194008806,-0.2755406676019001,-0.4424957863409862,0.15864903997601712,-0.011937463530166424,-0.15739433451594737,0.20963899651098045,0.08734955470145127,0.051122553339023845,0.07163654142462014,-0.14964285768904298,0.2909864592533847,-0.5166204425283091,0.4749791242738126,-0.22888698310986347,0.0016975346029595273,-0.052981015082160424,0.005561448790930823,0.6362875971849393,-0.38000391544915113,0.28379060021831803,0.15819792408254674,-0.05907649497007123,0.019512511526835023
ADP,-0.0204230660994402,-0.03421752735978787,0.04188519532899826,-0.29973440200601664,0.06562892325875293,0.11861508217099315,0.18776294416641218,0.006876948923452023,-0.5538263608431658,1.0,0.2958531567922278,-0.004924827713578587,-0.1170294823426522,-0.15785471737051354,0.08885784147494825,0.521820043227035,-0.2146935158082627,-0.2891764882055861,-0.03511020276196066,-0.1678663172979206,0.06501173774288305,-0.22699383049557753,0.2357844006325048,-0.18049399658424817,-0.17425339264066902,0.3181928958228961,0.044736708745311264,0.39796627163181786,0.17925192000172743,-0.045274905307638676,-0.05240471660299171,0.03972235345286244,0.05247924077452746,-0.21203668021347502,-0.18117492991317385,-0.0656999344413553,-0.04411499627701011,-0.5583813161137645,0.9677945558890519,-0.26884107136799673,0.23265820048631772,0.10250451442791346,-0.17781554300616775,-0.021736669630233494,-0.4876883019007808,0.0878099398388029,-0.11974377244833243,-0.35137126605014535,0.19356188071223115,0.12821653022577614
