,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-1.0,1.0,1.0,0.9999999999999999,-1.0,-0.9999999999999998,-1.0,0.9999999999999998,-1.0,0.9999999999999999,1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,-1.0,-0.9999999999999998,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0,0.9999999999999998,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,-1.0,-0.9999999999999999
PUNCT,-1.0,1.0,-1.0,-1.0,-0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0000000000000002,-1.0,0.9999999999999998,-1.0,-1.0,1.0,0.9999999999999998,-1.0,-1.0000000000000002,1.0,0.9999999999999998,-1.0,1.0,1.0000000000000002,1.0,0.9999999999999998,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,0.9999999999999998,-1.0,1.0,1.0,-1.0,0.9999999999999998,1.0,1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-0.9999999999999998,-1.0,-1.0000000000000002,-0.9999999999999999,-1.0,1.0,0.9999999999999999
AUX,1.0,-1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0,-0.9999999999999999,1.0,1.0,-1.0,-0.9999999999999998,1.0,1.0000000000000002,-1.0,-1.0000000000000002,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0000000000000002,1.0,-0.9999999999999998,-1.0,1.0,-1.0000000000000002,-1.0,-0.9999999999999998,1.0,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,-1.0,-0.9999999999999999
ADV,1.0,-1.0,1.0,1.0,1.0,-1.0,-0.9999999999999998,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.9999999999999999,1.0000000000000002,-1.0000000000000002,-1.0,0.9999999999999999,-1.0,-0.9999999999999998,-1.0,-1.0,1.0,0.9999999999999998,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,-0.9999999999999998
PART,0.9999999999999999,-0.9999999999999999,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9999999999999999,-0.9999999999999999,-0.9999999999999999,1.0,1.0,-1.0,-0.9999999999999999,1.0,-1.0,-0.9999999999999998,-0.9999999999999998,-0.9999999999999998,1.0,0.9999999999999998,1.0,-1.0,-1.0,-1.0000000000000002,-0.9999999999999999,1.0,-0.9999999999999998,-1.0,1.0,-0.9999999999999999,-0.9999999999999999,-1.0,1.0000000000000002,1.0,0.9999999999999998,0.9999999999999999,1.0,1.0,0.9999999999999998,1.0,1.0,-1.0,-1.0
CCONJ,-1.0,1.0000000000000002,-1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0000000000000002,-1.0,1.0,-0.9999999999999999,-1.0,1.0,1.0,-1.0,-1.0000000000000002,1.0000000000000002,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,-1.0000000000000002,0.9999999999999999,1.0,-1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0
NOUN,-0.9999999999999998,0.9999999999999999,-1.0,-0.9999999999999998,-1.0,1.0,1.0,1.0,-1.0000000000000002,1.0,-1.0,-0.9999999999999999,1.0,0.9999999999999998,-0.9999999999999999,-1.0,1.0,0.9999999999999998,-1.0000000000000002,1.0,0.9999999999999999,0.9999999999999999,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.9999999999999998,-1.0,1.0,1.0,-1.0,0.9999999999999998,1.0000000000000002,1.0,-1.0,-0.9999999999999998,-1.0,-0.9999999999999998,-1.0000000000000002,-1.0,-1.0,-0.9999999999999999,-1.0,1.0,1.0000000000000002
SCONJ,-1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0000000000000002,1.0,1.0,-1.0000000000000002,1.0,1.0,1.0,1.0,-1.0,-0.9999999999999999,-1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,1.0,1.0,-1.0,1.0,1.0,0.9999999999999998,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,-1.0,-0.9999999999999999,1.0,1.0
VERB,0.9999999999999998,-1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.9999999999999998,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0000000000000002,-1.0,-1.0,-0.9999999999999999,0.9999999999999998,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999999,-1.0,-0.9999999999999999
ADP,-1.0,0.9999999999999998,-0.9999999999999999,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.9999999999999999,-1.0,0.9999999999999999,1.0,-0.9999999999999999,-1.0000000000000002,1.0,1.0,-1.0000000000000002,1.0,0.9999999999999999,1.0,1.0,-0.9999999999999999,-0.9999999999999998,-0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,-1.0,0.9999999999999999,1.0,-1.0,1.0,0.9999999999999998,1.0,-1.0,-0.9999999999999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,0.9999999999999999
PROPN,0.9999999999999999,-1.0,1.0,1.0,1.0,-0.9999999999999999,-1.0,-1.0,1.0,-0.9999999999999999,1.0,0.9999999999999999,-0.9999999999999999,-1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0000000000000002,-1.0,-0.9999999999999998,-1.0,1.0,0.9999999999999998,1.0,-1.0,-1.0,-0.9999999999999998,-1.0,1.0,-1.0,-1.0000000000000002,1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,-1.0,-0.9999999999999998
PRON,1.0,-1.0,1.0,1.0,0.9999999999999999,-1.0,-0.9999999999999999,-1.0,1.0,-1.0,0.9999999999999999,1.0,-1.0,-1.0,0.9999999999999999,0.9999999999999999,-1.0,-0.9999999999999998,1.0,-1.0,-1.0,-0.9999999999999999,-1.0,1.0,1.0,1.0,-1.0,-0.9999999999999998,-1.0,-0.9999999999999998,1.0,-0.9999999999999999,-1.0,1.0,-0.9999999999999998,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,-1.0,-1.0
NUM,-1.0,1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,1.0,-1.0,0.9999999999999999,-0.9999999999999999,-1.0,1.0,0.9999999999999999,-1.0,-1.0,1.0,0.9999999999999999,-1.0,1.0,0.9999999999999999,1.0,1.0,-0.9999999999999999,-0.9999999999999999,-0.9999999999999998,1.0,1.0,1.0000000000000002,0.9999999999999999,-1.0000000000000002,1.0,1.0,-0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
