,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9770104903343616,0.9997990058634203,0.6266129481313216,-0.02920465462080767,-0.9282856416221432,0.13607019410136645,0.888220612948998,-0.03620300741954727,-0.8925934322828276,-0.8411170419526456,-0.10223412651662718,-0.5236258999835642,0.9220425863718066,0.8643240347096234,0.611260461868602,-0.8202939764980999,-0.9106894308520216,0.8486566364870016,-0.995587333798629,-0.9515659353375848,-0.2795969082361384,0.9812059158363837,-0.34241214701725486,-0.6514466351414379,0.5694456586460553,0.6015331626545037,0.2548428096027461,0.4823953849498313,-0.9658552653245437,-0.9589791396867667,0.3275885460678324,-0.7243906933064316,0.548415699579209,0.5962897923055127,0.7713116663039561,0.3616136396704984,-0.8425828952549643,0.7999903019815118,0.4797784159322638,0.8374320583015596,0.8275465961615064,-0.9351400286822629,-0.7867676360568052,-0.9882265878018202,-0.9997782074803668,-0.6139462420960468,-0.9882265878018202,-0.9999955562582585
PUNCT,-0.9770104903343616,1.0,-0.9810883107479752,-0.4460609682836273,-0.1845670428893844,0.8276658245040291,0.07826637652158294,-0.9657445710016525,-0.17768075867023944,0.9681930722599469,0.937085321839965,-0.1121903745141162,0.6932159070966722,-0.9833691435276133,-0.9516750555943498,-0.7659337136447126,0.9233688665457568,0.8016855965187032,-0.7163801811721159,0.9526935002219451,0.8641453770221612,0.06848048386285507,-0.9175103252744251,0.1342364686740286,0.7982172034412421,-0.7316037536075972,-0.7580115637888268,-0.042831908443835255,-0.6580509774727322,0.8884166644667449,0.8764979435248793,-0.11863000247019098,0.5607654717977907,-0.7140796472577382,-0.4114380142652503,-0.6178924027091613,-0.5520644838655943,0.9380300213095163,-0.65368142081048,-0.6558003355522107,-0.9346977497240937,-0.6888367796116716,0.8381125865118083,0.9002723711585187,0.9981254521492215,0.9723039273618093,0.4315498799430188,0.9981254521492215,0.9776417112480675
AUX,0.9997990058634203,-0.9810883107479752,1.0,0.6108624853628236,-0.009158698618472487,-0.9206436159671894,0.11618067546405524,0.8972527743634156,-0.01616023586411918,-0.901453204511044,-0.85179135107365,-0.08226998788237416,-0.5406010572020064,0.9296178573393143,0.8742334792114771,0.6270046853556326,-0.8315957626416841,-0.9022244615845011,0.8378814518494274,-0.9935058714790517,-0.9452108278689658,-0.2602916634375338,0.9771400419007997,-0.3235066296087816,-0.6665264885304886,0.5858117645989998,0.6174280687387679,0.23540490599991498,0.4998601025018445,-0.9604668881341192,-0.9531030698952946,0.30858033912116306,-0.7104237711889154,0.56507025934963,0.5800755115003896,0.7583965287536005,0.38023286457684724,-0.8532110692121575,0.7878000667497903,0.497272451359652,0.84822115073715,0.8161250183699925,-0.9278492733649245,-0.7989845077883775,-0.991095349939671,-0.999155027782798,-0.5979974936290928,-0.991095349939671,-0.9998543317119911
X,0.6266129481313216,-0.4460609682836273,0.6108624853628236,1.0,-0.7972982123681764,-0.8714838772478716,0.8573455649304492,0.19853266390286642,-0.8015050065945486,-0.20793967630344737,-0.10555141522527377,-0.8393084379675504,0.3358386318560216,0.27609394132254644,0.14964371657446568,-0.23376151898683023,-0.06827481833269132,-0.8925848067127047,0.9440016082662749,-0.6969799473998112,-0.8358646387554547,-0.9234479900289768,0.7652187730212014,-0.9467798512027903,0.1830689252513294,-0.2838103296025936,-0.24563810452774645,0.9132868690232977,-0.3803822592451927,-0.8071281367046218,-0.8218307769527994,0.941598755944825,-0.991175069562351,-0.3080364426678091,0.9992655681748945,0.9793247948775522,-0.5,-0.10825185113440113,0.9688927299315774,-0.3831412838352039,0.09880929084364504,0.9560653111470797,-0.8620707912113896,-0.011957516324265085,-0.5,-0.6428868995028931,-0.9998696049221821,-0.5,-0.6242868349097651
ADV,-0.02920465462080767,-0.1845670428893844,-0.009158698618472487,-0.7972982123681764,1.0,0.39881958614432694,-0.9942505020400353,0.43328103802881307,0.9999754853092747,-0.4246022706572395,-0.5160579105503594,0.9973217652077981,-0.8362925969860278,0.3599954043665431,0.47747853633700604,0.7732402639220157,-0.5477417606427994,0.4395118769009395,-0.5535032540278507,0.12287530531845044,0.3351037590383068,0.9678734726244692,-0.2215370713481449,0.9491491169186513,-0.7393455658844229,0.8050478810200766,0.7809395148849118,-0.9740126261784892,0.861491764531429,0.28717919748015264,0.31136238592199056,-0.9539845827771996,0.7102511975863961,0.8198328760304026,-0.8198412779489156,-0.6587120407229562,0.9213695576836279,-0.5137296097272581,-0.6231204372893898,0.8630036812049778,0.5218514023262738,-0.5853257856048857,0.3814376434559195,-0.5940087278395682,-0.12407134531545165,0.050249484815852695,0.8069412336434267,-0.12407134531545165,0.026224611503028954
PART,-0.9282856416221432,0.8276658245040291,-0.9206436159671894,-0.8714838772478716,0.39881958614432694,1.0,-0.4947212812863195,-0.6536799205929781,0.4052308999765295,0.6609203682909913,0.5796709270237043,0.4648219630699895,0.1692621396697739,-0.7119731075770949,-0.6153140579107907,-0.2731170506309383,0.5487801790726562,0.998995487246429,-0.9844931435493464,0.9590853467210401,0.997653839641532,0.6165827071058212,-0.982596340098166,0.6672447505105072,0.3225944094491806,-0.2229220026210186,-0.26132869826877075,-0.5961567124193656,-0.1220616489779446,0.9929339540679004,0.9956224439605262,-0.6554441937414723,0.9288034002302089,-0.19812827029638705,-0.8520514061518896,-0.9526757347736143,0.011022161861936301,0.5818819211439025,-0.9657450854202757,-0.11909831407958517,-0.5741349133994585,-0.9769651840906223,0.9998218112264826,0.5008098753610818,0.8604617153859353,0.9359114018335399,0.8634506392332981,0.8604617153859353,0.9271729094414483
CCONJ,0.13607019410136645,0.07826637652158294,0.11618067546405524,0.8573455649304492,-0.9942505020400353,-0.4947212812863195,1.0,-0.3342838781339805,-0.9949759022728859,0.3252137237353936,0.42137181570712073,-0.9994193137301014,0.7727746266766659,-0.2580257045535765,-0.3806489058592525,-0.7008942381971733,0.45500504239989153,-0.5331673132996843,0.6395014183642482,-0.22843652682100457,-0.43406502319071505,-0.9892324203024733,0.3246817628104234,-0.9774033713235115,0.6629955221265129,-0.7368988692086934,-0.7095671700655153,0.9926652918468489,-0.802166886456875,-0.38809667976743667,-0.4113285651445174,0.9806079321386839,-0.7815457804563619,-0.7538054329938925,0.876440129645653,0.735490591125382,-0.8744518047627827,0.4189071563643406,0.7032871650913199,-0.803945722605661,-0.4275086258325648,0.6687800189292493,-0.47822793118064616,0.5044527527222173,0.017106239832333624,-0.15690442794075243,-0.8655460564652936,0.017106239832333624,-0.1331161318944844
NOUN,0.888220612948998,-0.9657445710016525,0.8972527743634156,0.19853266390286642,0.43328103802881307,-0.6536799205929781,-0.3342838781339805,1.0,0.42695975173214956,-0.9999538476966986,-0.9955747185809881,0.36620354029581953,-0.8564950039340535,0.9968123147397772,0.9987675612344181,0.9065304473192166,-0.9913620543139601,-0.6191116973199154,0.5107882897445101,-0.8411896915896638,-0.7039550818361,0.19275072370273905,0.7828765278083896,0.12750781307733422,-0.9271855961336379,0.8834476049654709,0.9012985691709067,-0.21789173096087697,0.8309016504002096,-0.7388657249819387,-0.7215509980793655,-0.14309585995539217,-0.32670128730607795,0.8712814591631207,0.16083089776776982,0.3926953537106374,0.7495202054198445,-0.9958262777746774,0.4349116295605496,0.8292369743011395,0.9949149426099579,0.4771285036499347,-0.667849104562466,-0.9823981587204533,-0.948052869322711,-0.878348152923799,-0.18267975117085017,-0.948052869322711,-0.8895862735028193
SCONJ,-0.03620300741954727,-0.17768075867023944,-0.01616023586411918,-0.8015050065945486,0.9999754853092747,0.4052308999765295,-0.9949759022728859,0.42695975173214956,1.0,-0.41825234082967905,-0.5100476230824937,0.9978094387081418,-0.8324329847290868,0.35345398301762215,0.4713145212020199,0.7687812127002089,-0.5418700810548714,0.4457906061299244,-0.5593213260335386,0.12982128776188637,0.34169274928863347,0.9696103265567481,-0.22835970845989156,0.9513302839745478,-0.7346127738647893,0.8008744573585194,0.7765468399599742,-0.9755746701281497,0.8579152008304741,0.2938792643641353,0.3180087450102488,-0.9560608020857646,0.7151628711618039,0.8158033809833688,-0.8238304926581096,-0.6639642050925206,0.918625357676517,-0.5077095872944163,-0.6285816505901767,0.8594451031137444,0.5158656010714336,-0.5909886904923448,0.38790095467573144,-0.5883613022116537,-0.11712035108196846,0.05724146269215017,0.8110570878801926,-0.11712035108196846,0.03322361588484526
VERB,-0.8925934322828276,0.9681930722599469,-0.901453204511044,-0.20793967630344737,-0.4246022706572395,0.6609203682909913,0.3252137237353936,-0.9999538476966986,-0.41825234082967905,1.0,0.99462592983161,-0.3572466028106958,0.8514965549707695,-0.997532811069824,-0.9982446282056924,-0.9024329293125979,0.9900562528584441,0.6266278573162473,-0.519024275527668,0.8463459852213728,0.7107462082838069,-0.1833145706674217,-0.7888179115796904,-0.11797293042160904,0.9235438437467578,-0.8789054686912808,-0.897095053758684,0.2085050949017948,-0.8255175496085103,0.7453056088952342,0.728169501021518,0.13358070950040726,0.3357664454563181,-0.8665260836753119,-0.17030582325147287,-0.4015128705153544,-0.7431256808212628,0.9949034589929344,-0.4435427790432244,-0.823829144544794,-0.9939013783426607,-0.4855498040559257,0.6749690511172789,0.9805581629698077,0.9510653571247101,0.8829001670722894,0.19211706877066248,0.9510653571247101,0.893933570233182
