,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.759946490166721,-0.12486743161688436,-0.6134622541296245,-0.6793626729983043,0.2364325173948325,0.5281981862920427,-0.0791035509426537,0.44923237541501987,0.7778539713724307,-0.5370286633121399,-0.012352728499667943,0.08157027397468332,-0.6344151473273439,-0.2172094804324998,-0.005284439221181129,-0.49921130316723633,0.11477175905502436,0.28969421170863086,-0.8033658049838879,0.4793193986125389,0.06953132168499705,-0.2808605230127695,-0.05544045466110761,0.10883227576699024,0.15112567929649967,0.3691405704303029,0.09680522450228951,0.283188135945919,-0.214959535478804,0.1277516672185503,-0.27752976598558626,-0.29902347035500243,0.087556688038493,-0.38727632101411386,0.028939071846373444,0.39982825756780893,-0.304669532789132,0.7888689986270303,0.0544189554985976,-0.344636686047753,-0.22621605956555865,0.0509118430941501,0.10273087475254372,0.41954920375048743,-0.3466660753860526,0.028556353806363937,-0.6335380964536711,0.4034768291549641,-0.7553365006137893
PUNCT,-0.759946490166721,1.0,0.09639113872559618,0.6836956551960024,0.7151753128684359,-0.46187035046690583,-0.5844808113260599,0.3472025080960181,-0.34498011700917647,-0.777458671034974,0.4921846886172458,-0.05799253691536496,0.04074228533044971,0.5032201396665118,-0.16383410005555402,0.010985205314072523,0.36861697718463565,0.042209022835061616,0.15338929594407583,0.985133537369223,-0.08521515381994095,-0.08099343693615946,0.07512000828523355,0.17510061078846084,-0.10431189613383379,0.05665960185586376,-0.22625765175464,-0.3454032601543699,-0.35426175883365324,-0.2815621401734312,-0.12452284987180082,0.31330015257539867,-0.1554931794449322,-0.5465088689023485,-0.03721850022265164,-0.04305238750033813,-0.41328672173004843,0.6428327282375856,-0.7021690200506777,-0.36380688609996115,0.02921548423286951,0.1314374032806943,0.17316633435649195,0.029085380147058366,-0.23780319963427973,0.32254996917155454,-0.037632282712956225,0.7888982921851321,-0.5145482280312427,0.9901621253067618
AUX,-0.12486743161688436,0.09639113872559618,1.0,0.45520463316444476,-0.19905596397524,-0.5512912740780216,-0.3918424835960032,0.4394391084495037,-0.18252565101384288,-0.3546162186997396,-0.11344050992863808,0.4953335760387253,0.14831973590513542,0.12617769378389881,0.3485933123724391,0.4252133696569929,0.12885048110322445,-0.2595934240721263,-0.09359126247926437,0.11503563671697037,-0.16094960866110553,0.24482692895318658,-0.2874664836411914,-0.08520540772977736,0.428920204171069,-0.08220492849000287,-0.5251684849705185,0.017777749376193204,-0.5774126056616677,0.5282653339885981,0.22080235306175378,0.44025170243754064,-0.12609791436577597,-0.028939663995675338,-0.09541783656499203,0.008881810945131841,-0.6692518032207824,-0.14977806200502644,-0.3842638597552205,0.39957893787671767,0.5905709039633463,-0.7250210539286919,0.6258043091716704,-0.02767958096492159,-0.133868414924568,0.18863780550984527,0.4163775421841061,0.2605147440384493,-0.46209190950081314,0.10761790909909784
ADV,-0.6134622541296245,0.6836956551960024,0.45520463316444476,1.0,0.44381611941687216,-0.2733932841494093,-0.6996097429672594,0.34490934732596606,-0.3535972340760343,-0.7354144875783437,0.17752937035493377,0.005093984645753284,-0.06154878244440867,0.41040716002947086,-0.28185403605341064,0.27601840826868307,0.13182279880469622,-0.21517470507156503,0.0912930936584704,0.6471865518508462,-0.4642607468652804,0.05071024921568073,-0.031179346398470982,0.14523245581361297,0.3722489696021742,0.12663565902916463,-0.44385985708673537,-0.23699399062496582,-0.18830092322859884,-0.004756068701448414,0.13740004051729054,0.5457272579272012,0.03495140390532534,-0.4626473642580621,-0.06038944149521226,-0.2700966881798768,-0.47509527147148484,0.24240419732828467,-0.7317927830056014,-0.14203675418854608,0.37686529521613565,-0.29412838395449065,0.3445463121787089,-0.4073167437036606,-0.24317407436480848,0.4166260137457669,0.000188121833999627,0.9567238930540655,-0.4598413368778637,0.6970229831063914
PART,-0.6793626729983043,0.7151753128684359,-0.19905596397524,0.44381611941687216,1.0,-0.21808414325485231,-0.6235919255710711,-0.044001131104571,0.11122088033855083,-0.3607422326487772,0.39557832040552154,0.09265264306794764,0.2473063404573386,0.17300575897521064,-0.01679679046250067,0.12072272771418474,0.47301741883241666,0.4625382500936663,-0.11245126754473937,0.7128601429297122,-0.019773896733990774,-0.24758652315603888,-0.12714515618672717,-0.08125827520925703,0.1321905570072686,0.4645428380496374,-0.40400995222466146,-0.4473523025592085,-0.1468653127957152,-0.18859434233266098,0.20285017058441393,0.14321669177498328,0.000831814058182085,-0.16369954613162147,-0.1798494914204216,0.2503822540473873,-0.20553073708894645,0.7045857237726914,-0.3204969951372783,-0.3462018219294366,-0.07707063881774573,0.4562931089686556,-0.04753084960119593,0.008142869679262255,-0.10306090845108597,0.20994633319150985,-0.23749990186782838,0.6111713722174691,-0.3019495364500604,0.7653493700061987
CCONJ,0.2364325173948325,-0.46187035046690583,-0.5512912740780216,-0.2733932841494093,-0.21808414325485231,1.0,0.22204570208592517,-0.32135513494164675,-0.1030414264662848,0.2856773511572826,-0.08353799698963507,-0.5974818601746923,-0.14593278868412304,-0.004166937405700994,-0.3384835115284601,-0.24894706657919582,-0.5366784741672777,-0.3027673447692193,-0.368315006930322,-0.4680048910186463,-0.04886648811241954,0.11713552426430292,0.44255943029302175,-0.10246241688937183,-0.04778011345117971,-0.09541681459807447,0.22040484491373544,0.06644606130091416,0.9481993236845072,-0.054854476989322346,-0.17306899701351974,-0.13163766313816327,0.25933559130663186,0.3067402164232896,0.16190675427847434,0.05354758786504029,0.8930566064711841,-0.24661302450377542,0.23297045740631642,0.2552593662643678,0.013426466029793442,0.24739476611846734,-0.5448061097391008,-0.5000953459730165,-0.18547301663075264,-0.38772503049431056,-0.6184419747618306,-0.2915787433226058,0.73572043009005,-0.4365313442314815
NOUN,0.5281981862920427,-0.5844808113260599,-0.3918424835960032,-0.6996097429672594,-0.6235919255710711,0.22204570208592517,1.0,-0.2340153908067034,0.2688652444485991,0.49568641216029946,-0.46602151060915153,-0.32442217176033844,-0.5168280770171998,-0.3029286541549891,0.10418390478339135,-0.652749367662807,-0.01741543012481951,-0.2551327622304508,0.20355481349244015,-0.5399105100232204,0.19677639022007648,0.04550944151264474,-0.047795286939048116,-0.016188440310306383,-0.5903939825818697,-0.47988846623209624,0.8097971552441693,0.6721782174692064,0.1319041216193951,-0.060217567254437776,-0.18684829389028584,-0.26098862488878166,0.37940303871001624,0.08733650221746032,0.26246649940464656,-0.45795260398456217,0.2755355108268486,-0.3671217361736132,0.47411144340413625,-0.26107336600043163,-0.4802956526851137,0.32626894954622976,-0.061732373420043556,0.047698846107763884,0.44444230030128606,-0.06515062835177736,0.03113351487069385,-0.7239477080697386,0.4870860176805743,-0.6618962189965104
SCONJ,-0.0791035509426537,0.3472025080960181,0.4394391084495037,0.34490934732596606,-0.044001131104571,-0.32135513494164675,-0.2340153908067034,1.0,-0.11742744112078693,-0.3052859800684963,-0.11716257759461368,-0.18197672720249183,-0.29995906084356866,-0.21424860400327958,0.065219194368534,0.2095208795984481,0.29519308865796107,-0.33174830080197887,0.20594970500236878,0.3424316136848375,0.22488086724445555,0.8092644416539757,0.030689747533258205,0.07491852107989656,0.0743242617426206,-0.04594755903172685,-0.31606528236102616,-0.28114331466768633,-0.3231513804979859,-0.25989508629480756,0.03772124461976671,0.3171997824287672,-0.39572682326046915,-0.5591766630195928,-0.3240665308749612,-0.21401561496889313,-0.35526203780212284,0.09101304031200852,-0.38166407618202863,-0.16650263861235873,-0.07421778301747291,-0.44105486668028526,0.5403376275869098,0.029668667167617117,-0.01120281415064425,0.31173125760534254,0.1278620562151064,0.29461616927314427,-0.19669988763276863,0.3156372603287744
VERB,0.44923237541501987,-0.34498011700917647,-0.18252565101384288,-0.3535972340760343,0.11122088033855083,-0.1030414264662848,0.2688652444485991,-0.11742744112078693,1.0,0.6870381479055114,-0.5450719565653727,0.03833286720580348,-0.07660361563594895,-0.7735498196022466,0.1591569401633709,-0.10830472693141681,0.23921440102020794,0.3826164593239779,0.28236587736924285,-0.36858194196990723,0.5585793918736577,0.033609830756248876,-0.7400431542605549,-0.38730985558023967,0.3200158443752037,0.3683123249495747,0.0921054077256335,0.0246830411121422,-0.15265018329319857,-0.20341604396690088,0.7653008026733802,0.12026715750692685,0.10436770140976218,0.15943760755450817,-0.6471003865184929,-0.019081930139571445,0.023977537232974258,0.07531114244462103,0.6718744208486258,-0.3714797408108547,-0.6624129814481954,0.2470742065845729,0.3722556259221811,0.003761334458885014,0.7661723261793355,0.1316587677028311,-0.18495135083837946,-0.25683805904351653,0.03076493043525698,-0.3308911475997085
ADP,0.7778539713724307,-0.777458671034974,-0.3546162186997396,-0.7354144875783437,-0.3607422326487772,0.2856773511572826,0.49568641216029946,-0.3052859800684963,0.6870381479055114,1.0,-0.5594702277126824,0.01929859939765618,0.07212164196032879,-0.6657104643307122,0.1440946265784476,-0.07233161576082171,-0.2544470130002059,0.35963230702871496,0.21966495574161707,-0.8169265625877814,0.369262531824556,-0.04951991798362769,-0.3198794826876554,0.019445294093961656,0.19582507149619813,0.1484689768284112,0.1649302888650894,0.19264234754592344,0.23537010486217805,-0.0401771358643244,0.3431814263897584,-0.24563825537244027,-0.1297752665309304,0.4762101340164457,-0.28589171934769947,0.09231885357199991,0.41990333404269387,-0.3607988392610943,0.9772268946253608,0.002247172378930611,-0.466705553461038,0.13615593381973679,-0.044254721900281936,0.06975145496492056,0.3568113492371245,-0.059209871790499066,0.03607551158224443,-0.7054294746271487,0.3375403333188456,-0.7498214136797664
