,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9272908621524438,-0.1616262515423091,0.30542960940996666,0.3051771877147258,0.060414432558535264,0.25606898204422396,0.2737785442917369,0.443135606621156,-0.11903366579040837,-0.3114226260904845,-0.2653021125663241,-0.5167950126569616,0.2242254534596526,0.024895367670041364,-0.11308956440632754,-0.2771639566282866,-0.04221663476501858,0.08470408874595345,0.1767297235395277,-0.9417136519575814,0.4266261741857089,0.2552378265925767,-0.3810635152751635,-0.2848828337385516,-0.3777472616969753,0.3986641219535555,0.1527316908739862,0.031361789920682406,-0.4737557312787152,0.03249020261321146,-0.19591921400243423,-0.28301017918198684,0.26635940496339894,0.039524888106541735,-0.18178160525247186,0.29713480364120803,-0.3248165814456999,0.3868795656001965,0.11601959267257038,0.042139808529289516,-0.051465537015516434,-0.38634327509720423,-0.28911036851724103,0.0014214453074011884,0.2044800408555082,0.1117597111877383,-0.053672259895197895,0.19238584851712517,0.5328362961854449,0.3041323235609413,-0.9377061141291886
PUNCT,-0.9272908621524438,1.0,0.019500413363686873,-0.17079442920428983,-0.17294465278484736,-0.185685567329363,-0.22163963585472482,-0.25094622357235813,-0.43039255767808976,0.1470688929908965,0.34265927025342396,0.07981019286823314,0.5880278940320287,-0.16205034929269116,0.10052226029512887,0.07575646490848253,0.22566623986208542,0.07510591788429331,-0.05982581521793015,-0.1608258553171281,0.9844431106009227,-0.3302164736074377,-0.19752498902101367,0.28973623694603756,0.20790979494054457,0.30114422257032375,-0.43991929351228215,-0.05289721477723653,-0.10795849507111555,0.4617681067956885,-0.13771542537947137,0.09998782760019825,0.2561753980923553,-0.07462406525153724,-0.17753275883046585,0.2520896544249099,-0.3083882378239967,0.25821614261346887,-0.3675215027254897,-0.12063445877016264,-0.03970580707120527,-0.06218707944352153,0.4516098195595283,0.19903892087632902,-0.17282852003801982,-0.08444547873214182,-0.013553807876979405,0.011846044752474765,-0.3264318976434213,-0.3418279904478619,-0.33263590112131436,0.9908100156700861
AUX,-0.1616262515423091,0.019500413363686873,1.0,-0.23711583362239477,-0.020678562565382988,0.03231995499378314,-0.19660045057731176,0.1813818662688778,-0.404550533191645,-0.4494490761400337,-0.20932546219415638,0.09678305684633817,0.10754423626464803,-0.03849150439997975,-0.020478403080569932,-0.2794478621056685,0.09862117332143219,-0.17468296326927799,0.03893805109461665,-0.041662621650700775,0.01619126474206367,-0.036146292187439366,0.06295879265758486,0.4080177228580197,-0.0874486796922871,0.2892889322937002,0.0127072270410104,-0.35664422442908533,0.06947520231519892,0.29687384620460827,-0.005724598563048003,0.5368218772997386,0.10693173493296682,-0.4770516934836789,0.28669929832446406,0.4723857623007209,-0.4109701789362129,0.2352194759347661,-0.2687286218443281,-0.022702859738970186,-0.45570258530690216,0.05254147319331505,0.5932727269076777,-0.1326026597675718,0.9245684356674525,-0.563923922533066,-0.23461533982713942,0.346650691428187,0.382482770102941,-0.19372214086141248,-0.27243742636961765,0.04498947346452606
ADV,0.30542960940996666,-0.17079442920428983,-0.23711583362239477,1.0,-0.17142320800011185,-0.2806224193797925,-0.2767820944263241,-0.02387473264032215,-0.2051002005391656,0.12570428290757563,-0.32582539633421176,-0.1849260829435001,0.4071669061562506,0.23269290539845094,0.4871509987119567,0.13292206001371476,-0.469836411026453,-0.30209079100676317,0.3827254198456761,0.17119266399123853,-0.18686649590210083,-0.09107244969062132,-0.01835226190789701,-0.014292915581106408,-0.248881201542453,-0.3160693494223603,0.08087582716619733,-0.2643142638923422,-0.19184206621707225,-0.0745084655542538,-0.130540234599055,-0.438127538681275,0.1193529005379538,0.36738624296564076,-0.01065083523571725,0.14661620123009514,0.1977820938206194,0.2669465089099216,-0.044055679779595895,0.3659450144521737,0.09108877824733973,-0.2232025101942256,-0.2169677465109972,0.07283523294826622,-0.1592558437733059,0.33236636409924813,0.07486141436345053,0.0032599730386603915,-0.19458783952879688,0.8322079775855089,0.2674413722367907,-0.21516137773322308
PART,0.3051771877147258,-0.17294465278484736,-0.020678562565382988,-0.17142320800011185,1.0,-0.16586013769013822,0.21840466138622514,0.08328251056025272,0.11640149291915558,-0.45336838363823273,0.0791523674281926,-0.15836357350677868,-0.004385677059493003,0.13219903246302112,0.42621108213888603,-0.18725899560043283,-0.026854846677792265,0.41399940406022917,0.04965708716395497,0.5971342935615878,-0.23020776419844843,-0.038693098591219464,0.09315517055705834,-0.2225967203479629,0.4127864038708639,0.2314722535741383,0.20713145670579106,-0.04633344946218343,0.3871092031355406,-0.47177936871108633,-0.19873637953312787,-0.2561783211709077,-0.14195573369226808,0.28659682127960007,-0.2366124690459053,-0.09037471811893344,-0.17150961758254957,0.19737732060603952,-0.1336794004297741,-0.03536546059491668,-0.4575506549237444,-0.18433614190832373,0.13502678685869662,0.21810414007172388,-0.13701084791893378,-0.0089239668364822,0.5169163275826274,-0.3188784094858988,-0.09561922252781704,0.13619261200585603,-0.17690037405460635,-0.16600165372465103
CCONJ,0.060414432558535264,-0.185685567329363,0.03231995499378314,-0.2806224193797925,-0.16586013769013822,1.0,0.28585560372644064,-0.31810175713820243,-0.022789263502118393,-0.25699267282428556,0.17607543700444614,-0.12754164385232855,-0.4305317978297844,-0.11310862591074547,-0.41880120010874744,-0.3979972446576713,0.569547955398277,-0.1577095045938236,0.09537031242696675,-0.146951978971194,-0.1409853852582428,-0.015626353499403493,-0.2962812687668208,-0.25383905859376266,-0.25047171366314197,-0.4194113314590784,0.2876093150547637,0.2447620690009825,-0.2422954615289987,-0.2750568600898313,0.9381665022531764,-0.21265873197576815,0.10908196964925071,-0.2950883628390536,0.027783257065433723,-0.2567699685419556,0.3384036916701908,-0.20099715080769254,0.779505354814831,0.15097993880363275,-0.2827538349614136,0.25940255202349694,-0.30028768959517904,0.033778301639172434,0.11617038928493019,0.04042995309374427,0.027283247851539422,-0.2008387071183805,-0.21760009637153274,-0.30234390819172724,0.2499243952935818,-0.2204771718108118
NOUN,0.25606898204422396,-0.22163963585472482,-0.19660045057731176,-0.2767820944263241,0.21840466138622514,0.28585560372644064,1.0,0.0724653458406955,0.1492426363662674,-0.37397389662748187,0.5455099977974796,-0.6614930837957181,-0.1959765634505483,-0.3508091875478143,-0.2759340682664933,-0.2455038458844701,0.5664751444880711,0.2564067306117672,-0.11225137080775893,-0.1327356381052995,-0.23381246505844802,0.10234274475937606,-0.012190202024705155,-0.22536802321360372,-0.1435094027203043,-0.42414061864372243,0.5307402388076501,0.504773325645401,0.11051859112650096,-0.08094708308556556,0.18332707856541872,-0.17070586354178743,-0.2951925385395973,0.17133711190766254,0.0013714937442550837,-0.15752117429049284,-0.11217735654982423,-0.24553406649730666,0.2837544818317579,0.04148457935828143,-0.290696085924291,0.32746913132608196,-0.17360526438015994,-0.1529983371955886,-0.19918887798872562,0.1399984126998948,0.3796119528730432,-0.3885079288100828,-0.17736891351278855,0.019487429613942113,-0.37182485551040223,-0.2091604414230947
SCONJ,0.2737785442917369,-0.25094622357235813,0.1813818662688778,-0.02387473264032215,0.08328251056025272,-0.31810175713820243,0.0724653458406955,1.0,-0.10220395720604884,-0.30420158101185185,-0.049861062863622546,0.04335727058657998,-0.1592075009989203,-0.3052364321507066,-0.2450244224548124,0.13446697998521703,-0.41133760178900725,0.23157704474392762,0.11889967557105736,0.3100706979424948,-0.31278615386652603,0.45684513026578516,0.9275401684088262,0.389521267960765,-0.03984419729734969,0.15175458931861127,-0.12201541506762845,-0.22265941807941134,-0.24382134949768167,0.16895964867696808,-0.4039053708002076,0.40489868402001694,0.03769682469162182,0.26081208943620504,-0.12247376206633341,0.17310260731566965,-0.3288128777331789,-0.29339530083623877,-0.15099175723096536,0.08246054184260153,-0.07829345922157652,0.36856986486557747,0.015576853956436047,-0.23263028986978046,0.22062995045087022,-0.23660628005996512,-0.2153162749882918,0.504295871955272,0.025565930464455284,0.2303472138473582,-0.27201601135143444,-0.2526306140344597
VERB,0.443135606621156,-0.43039255767808976,-0.404550533191645,-0.2051002005391656,0.11640149291915558,-0.022789263502118393,0.1492426363662674,-0.10220395720604884,1.0,0.41709320406010425,-0.16788370519594242,0.1471442904395867,-0.6115878901059446,-0.08506239424803173,-0.2719630514298912,0.20536225621070703,0.024299567000522136,-0.01706520752032011,-0.14425290241239078,-0.04486563571944569,-0.42226260300519475,0.2745599931637093,0.09206780894847627,-0.4887600825361792,0.051372197407737206,0.08661186325671316,0.08626130790937159,0.43480176035612944,-0.05403256800830384,-0.43347496995338436,-0.15035560435183473,-0.086104252952793,-0.5069848938792236,-0.0391083309628968,-0.057581149635398544,-0.38039973074428035,0.10523578232214169,-0.4849114498765629,0.11662716294865785,-0.29296315875533674,0.49400124228102404,0.002999672249226423,-0.3000541811313944,-0.16974402710612468,-0.2554282499317375,0.3813852235293928,0.17643155161973795,-0.12091070286270376,0.4842306990084652,-0.05704737273907911,0.23977379677985902,-0.41488023073937197
ADP,-0.11903366579040837,0.1470688929908965,-0.4494490761400337,0.12570428290757563,-0.45336838363823273,-0.25699267282428556,-0.37397389662748187,-0.30420158101185185,0.41709320406010425,1.0,-0.3665855393694784,0.24877555166863277,-0.14161981642460134,0.23324589312890207,-0.17506574151776536,0.17057095774309836,-0.17934584288127273,-0.1853193034355424,-0.4084676031569322,-0.2999601621493409,0.17820652741166898,0.2498475017755512,-0.21901776045000534,-0.16146053010275466,-0.1230385396953434,0.10541756605676865,-0.45530294681496736,0.19314957811505248,-0.1786301475319907,-0.09551489237734942,-0.13407416456793053,0.11250609823649989,0.13972889853204032,0.11138140455612573,-0.18007819581858683,-0.43559887303976297,0.4343788090785578,-0.2080695669528729,-0.09210182647087528,-0.2550578651298299,0.9397711021417203,-0.032678991361160564,-0.06794819417122194,-0.2670274754307755,-0.44170447064682145,0.16156808573248818,-0.28362226260574885,0.08721982785923259,0.24336113456012787,-0.10875282878881064,0.27641352816749515,0.13929994590288178
