,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,parataxis,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9063117332468564,-0.37048670259087946,-0.0036629783271109255,-0.18898688201351901,0.048822330167247206,0.5122044011476343,0.10107132698260173,0.3147842492557047,-0.17720191986510764,-0.10588779329391124,-0.292996406550367,0.29208915951605113,-0.44748350447771407,-0.24543937097644022,-0.20969416987233824,-0.33823563391903155,-0.23214376346078805,0.6515105114809255,-0.12466595304944954,-0.960353247427862,0.16968714037894175,0.028421964601433064,0.07922080191298163,0.03823785632969334,-0.30139123548501884,0.2590585166414799,0.4419726729444236,0.5794156901130882,0.027953644568659893,0.05126929811773199,0.567148132437527,0.3290720822844054,0.203780060907993,0.1800030085487805,-0.30339708262279186,-0.2898941394829575,0.44178076650235065,0.1803373681594275,-0.17122162046322673,-0.0285861620042597,0.10706459697771432,-0.4084925786452056,-0.0511628452985075,-0.21524730321055077,-0.12545652634591586,0.006048597583816279,0.6515105114809255,-0.0846204006855054,0.36435882501817607,-0.045256829216882566,-0.06990213111010089,-0.9214275966197295
PUNCT,-0.9063117332468564,1.0,0.3609692864187702,-0.1969235455901577,0.3575351025870061,0.061122925796523966,-0.5880722604571275,0.03486217658822473,-0.284739776136656,-0.17846639537573772,0.32097569062395587,0.48189870063917467,-0.44590537542812075,0.23590819765356294,0.2025497191425633,0.20085849447086893,0.29380845670055905,0.47501492630637404,-0.5197024724199771,0.2470356971964208,0.957371663580387,-0.16704355120892486,0.09028577694988686,-0.03921302757705653,-0.20892737902282346,0.18773027538812956,-0.13371668007282975,-0.5448234590225816,-0.7122932016240453,-0.16633123888609092,0.06037792997327354,-0.6646490703649964,-0.4300253913429604,-0.17069274712834034,-0.327881301064888,0.602933114949281,0.1357637978458167,-0.38846278298546977,-0.21120609836044008,0.2889780970550643,-0.32470845017372996,-0.20353481269908386,0.43242861886205447,0.22503424283919513,0.22495063987447575,0.20325710560057203,0.21327961443515528,-0.5197024724199771,0.23954298258525147,-0.47188999581140967,-0.07089049768457416,0.19544825852968303,0.997101873373978
AUX,-0.37048670259087946,0.3609692864187702,1.0,0.5467385943944236,-0.16169977024264012,0.05822709722025523,-0.5709281467816905,0.2174895326017252,-0.33062795841887405,-0.13611271731957875,0.15263079719591954,-0.06175628685511467,-0.532877278205109,0.5753944439088626,0.3995869379158879,-0.1658204825930551,0.1059919563147866,-0.23609927516769028,-0.007899895010923546,0.44914800135868277,0.42562681558843785,-0.16540425339446257,0.21239077714665644,-0.32190825117255956,-0.28644594483556635,0.12252451625014436,-0.21893260420757546,-0.7176871692437701,-0.5615205698379468,0.015325168241376468,-0.06304243263391088,-0.19260750482804623,0.13277918653873577,-0.16227061409029778,-0.4010568090449761,0.32922880393621073,0.08125368649339179,-0.6251350758086449,0.21904535601407324,0.515460680101421,-0.15795239716896384,-0.12247741984489821,0.9192506858694408,0.17698352435424164,0.8648517359419182,-0.07134748985990987,0.3805776535212375,-0.007899895010923546,0.5659839492605376,0.022702617196501896,0.1741326936725663,-0.11124636008916544,0.3841703479919845
ADV,-0.0036629783271109255,-0.1969235455901577,0.5467385943944236,1.0,-0.61675258544884,0.1289139645223771,-0.07263505020868663,-0.21030969673774405,-0.15209578877786056,0.2159771263867949,-0.10243335418243865,-0.5441592065102043,-0.11161268815770702,0.47816969915956764,0.25564927865871484,-0.31363846065650886,-0.0836758682276135,-0.2621336537212875,0.1006425854552466,0.05880676087831233,-0.030102523345677472,-0.25506805465384286,-0.21662304064785365,-0.25325018239193353,-0.24719803940451743,-0.15110620533782237,-0.19017383143862363,-0.183098801234336,-0.05598066262664045,0.2077549508682024,-0.03699627233198441,-0.03350381180780891,0.6149627025250916,0.17714637692186533,0.007780152346875642,-0.2702543783179994,0.20826376399113952,-0.4995158676952974,0.4259761956257707,0.22284137815453217,0.2793971562147564,0.03729566060892402,0.3354225068073151,-0.41430899071060895,0.5905410191502415,-0.0802200995233718,0.08495419746129138,0.1006425854552466,0.11038156212883474,0.20343671038205985,0.6005976317717203,-0.1411982346478697,-0.18288352547840092
PART,-0.18898688201351901,0.3575351025870061,-0.16169977024264012,-0.61675258544884,1.0,0.26576019933093326,-0.43999589843873416,0.1396934809668191,0.23896028996142002,-0.3037323623326187,0.3209241081893606,0.49430692040835067,-0.2779673691490205,-0.5587233447652197,0.04432556926347979,0.2749295518757884,0.16178431004256844,0.27762072317669473,-0.05853476511142748,-0.2237107292704311,0.1909804277480792,-0.21627050593053168,0.17136518967584027,0.2428270358423537,0.11878763963409998,0.6666700749741932,0.19840774123769148,-0.16454891009368056,-0.4251571710035344,-0.38159526440444785,0.333990143002366,-0.37635191063076673,-0.4279134914147446,-0.1323500296536913,-0.11784964390933976,0.38401567616446763,-0.5067803601512291,0.010292404738108713,-0.22780368085974886,0.4164978051848943,-0.4062379368760207,-0.49317582610118277,0.12023351974185993,0.6372742118221799,-0.325448158082218,0.4775071636226718,-0.06607944783185195,-0.05853476511142748,-0.11713283694833311,-0.09726023109476423,-0.1230046476802278,-0.35460667238752025,0.34217112587595355
CCONJ,0.048822330167247206,0.061122925796523966,0.05822709722025523,0.1289139645223771,0.26576019933093326,1.0,-0.4968089529622943,0.2944822007540324,0.29549735745718647,-0.44464792788969776,0.42542429069334164,-0.35292065600666456,-0.15507229870799008,-0.41311757729886084,-0.1091097781550992,-0.39094418501026024,0.3564177918289277,0.07482486169343633,0.18061992881682007,0.06035396795134111,-0.08022745423857415,-0.03135948332421345,0.2008229113079453,-0.01431396337628038,-0.47408195035825423,0.027185086576162514,0.16080308798862725,-0.1323054062345228,-0.40563894388998983,-0.3773956822825513,0.9332759975506726,-0.45438780471603746,0.3942795708364672,0.23941410174206032,-0.6147801631269612,0.3772376528730218,-0.42145987939481694,-0.05133764035652666,0.69568140833618,0.5058122278665464,-0.38140987009585486,-0.45145564500758256,0.036766254534638255,0.3865719858008346,0.06590597072840534,0.05083525009981739,-0.12167680938379062,0.18061992881682007,0.18829958629484378,-0.3089034798781103,0.0704714071974322,-0.24990254132221615,0.04500865862572056
NOUN,0.5122044011476343,-0.5880722604571275,-0.5709281467816905,-0.07263505020868663,-0.43999589843873416,-0.4968089529622943,1.0,-0.4605597042637813,-0.19556365121846989,0.2968812999177597,-0.4077612001939067,-0.14929096960575655,0.42427905490368706,-0.06607167836419077,-0.08674090788572393,0.23215017102838506,-0.5402431075038325,-0.08079541155419075,0.039569001345881906,-0.23885513660436708,-0.5268383315537778,0.0049204337512573915,-0.4388341151332072,0.34402287713460983,0.14241415150775877,-0.33669894301837117,-0.17421114692628506,0.6602729759959973,0.8238404561794828,0.10002684861596324,-0.4646036905886609,0.5631364817261142,-0.16562440324959954,-0.15053742373037227,0.5142391217892774,-0.7253454743953226,0.28314154092599647,0.3431218489910361,-0.15218454315541993,-0.545920654980471,0.3649159914978539,0.5515043269285365,-0.6344123075492828,-0.4703407394363952,-0.35510272977770213,-0.08728381832100132,-0.39025032418154215,0.039569001345881906,-0.39114852667323335,0.20570533055905854,-0.1205974156227345,0.3579257101999704,-0.5949797180724742
SCONJ,0.10107132698260173,0.03486217658822473,0.2174895326017252,-0.21030969673774405,0.1396934809668191,0.2944822007540324,-0.4605597042637813,1.0,0.12283920947460375,-0.25167367796804824,0.30111244015611005,-0.06344502190569598,-0.24411721635796657,-0.10699949806911499,-0.2634804752057735,-0.47090862668877387,0.07079193141582531,-0.16218729992869074,0.12037629772188572,0.5401909185315791,-0.09351669942016314,0.6754510793831966,0.9776175936246846,-0.41867973037608347,0.2520589418383548,-0.021756501906355922,0.08488368683062678,-0.08985468378956514,-0.3954521694776274,0.23434221489226917,0.24714575337563832,0.06103852509175751,0.19075521365917225,-0.1335961829470003,-0.2680170828655587,0.44329358336607416,-0.5322026219054703,0.33517898035744226,0.0770360964127619,0.2728399759069309,-0.2711175265707575,-0.23310069119268245,0.21878633598990946,0.43470665484210347,0.3240852734319712,-0.4732929134545295,0.3057443099776298,0.12037629772188572,0.4861156041466599,-0.33785844435734114,-0.18526364570882095,0.08245935391706233,0.029276358084935065
VERB,0.3147842492557047,-0.284739776136656,-0.33062795841887405,-0.15209578877786056,0.23896028996142002,0.29549735745718647,-0.19556365121846989,0.12283920947460375,1.0,0.03703571628750682,0.4730593213756789,-0.3240589031823146,0.4904552293529907,-0.4657021134446431,-0.7279039315455305,-0.3908481309814002,0.456033305905108,-0.0735626060497969,0.07160190723117761,-0.23982133650372406,-0.38868073238291706,0.22016649694035406,0.057684948814415445,-0.44489256803755567,0.05675877852902591,0.05797854764102258,0.874313367575023,0.329859261095743,0.029421274091502688,0.11018580474451546,0.39239857410428414,-0.1731632537642803,0.4569390447780266,0.6510745293936931,-0.21960446626960395,0.04656899310688736,-0.2535431079609109,0.3756314371429207,0.2697173891536264,0.10236074995734996,0.047917282270559095,-0.023558314063054572,-0.2863887026232048,0.3868815621268521,-0.4357439931244816,-0.0888041075928718,0.18349297250112354,0.07160190723117761,-0.46108456165837963,0.17432058253938876,0.17283852223731816,-0.5121771248511223,-0.3050922863481545
ADP,-0.17720191986510764,-0.17846639537573772,-0.13611271731957875,0.2159771263867949,-0.3037323623326187,-0.44464792788969776,0.2968812999177597,-0.25167367796804824,0.03703571628750682,1.0,-0.3387383910509806,-0.3515791546017706,0.24627924114597569,0.5037787309430777,-0.2759701614902933,-0.12000221187625522,-0.17031157888729748,-0.43364716295532757,-0.49307165108673456,-0.08729584581279373,-0.0029995911217610377,0.038130937412196225,-0.1519529627366544,-0.3768140296363952,0.5342335695751828,0.23452341983261465,-0.05409836196274355,0.41605047774348375,0.37987936028253144,0.3891669078206534,-0.49033520970625655,0.10466979837464013,0.13426068415224832,-0.01856852337529328,0.5169728975461169,-0.6512992891685744,0.49933096307463887,0.05027373319486993,-0.2382184561275695,-0.23928128605577625,0.9685516448045696,0.3691443747023855,-0.17818193715070496,-0.2255514609446643,-0.09264267039928567,-0.26539237464535675,-0.3396905334991439,-0.49307165108673456,-0.4830698222345402,0.08863721953957347,0.354077027290814,-0.26113911080051627,-0.14524973316756992
