,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.8830693372038101,-0.023003626017462874,0.41857838793364,-0.4632113125615713,-0.3112422196842425,0.3567355315987196,0.37885997386880627,-0.2592760879173934,-0.4241801297083501,0.6792977544353671,-0.19777006743785938,-0.29263824911663805,0.15511397666079846,0.12963029709063384,-0.24259067341028304,-0.5428654698728822,0.5466697372635253,0.42479730184597864,0.5120644581771117,-0.9010788984955013,-0.4571247550816641,0.2557951733501502,-0.04098110454031242,-0.05764412915408173,-0.6076715843991914,0.4131627947303778,-0.2906333121257621,0.08141418841531443,0.05916325118422905,0.5922034788793209,-0.6478048183421612,0.1828889415160133,-0.4066375160587854,0.48111949683665156,-0.0026806063681489426,0.1353925224919301,0.3131215575096985,0.6518101678150754,-0.06988214580785305,0.011390013881495083,0.3561677320244009,0.13131922885297148,-0.10143323050238831,-0.10638738664579554,-0.12414258236949662,-0.034641294611378666,-0.5040991027309976,0.5466697372635253,-0.9065284495618321
PUNCT,-0.8830693372038101,1.0,-0.1343615059622677,-0.25037858789576883,0.16795774556304127,0.3909245824214154,-0.2625576904444978,0.0014496920826424585,-0.15042533906633052,0.046274505024692075,-0.8126525045680211,0.3534367550609164,0.02251611412102606,0.27792554032366673,-0.19086279025644245,0.2453118993607683,0.39097499185549134,-0.29511630436236985,-0.16338030150275612,-0.5447943089004986,0.9656530139247252,0.054981362210064895,-0.5973260535416381,0.1824773529871412,0.17070153088331735,0.27766443882727015,-0.23651323529653204,0.567299513379924,-0.10815805849928097,-0.3426115061801219,-0.6988535466576916,0.7127600777887294,-0.1659151855070584,0.20941450627781583,-0.32854234776738767,0.46431476518374754,0.13793372405501492,-0.3143290504248709,-0.758376178692757,0.22299847410820148,0.015534747259154831,-0.04653204884692752,-0.15237463470568485,0.08264401306510719,0.053893621777638324,-0.14186379746681066,-0.16727319921481684,0.25036206770104913,-0.29511630436236985,0.9593156771068048
AUX,-0.023003626017462874,-0.1343615059622677,1.0,0.4397790274637558,0.19247340264169097,0.7371405641712656,0.2849148635463697,-0.7183902911125744,0.19557034386366945,0.40645067747355695,-0.31150923115362483,-0.6704376281251931,0.7054825572202441,-0.185366325091021,-0.11407791472058462,-0.441603060984801,0.374824862594499,0.17650422881892,0.08006062572627917,0.7707806491479132,-0.07529086667442351,0.4438921002918549,0.07671280810610687,0.45840841475034755,0.4314228715124769,0.27008925521995825,-0.9030227758274403,-0.17732093247085917,0.33094383205034733,-0.3584186336012326,0.12730094444268306,0.216839166200595,0.3980948937636501,-0.09747431819882674,-0.13343280036519384,-0.33979079746812735,0.19162004043707104,0.5516726443518379,-0.349964795159918,0.030980198349606382,-0.9541121493125406,0.030178025840021806,0.7557354816669241,-0.9261797888301947,0.2616629566260261,0.5022218652764485,0.54527224856467,0.6547787371520661,0.17650422881892,-0.13732881138990835
X,0.41857838793364,-0.25037858789576883,0.4397790274637558,1.0,-0.28438677827058373,0.48546434394407245,0.1771133043682446,0.2575420044845747,-0.46778977282579876,-0.5308597228405579,-0.13139860133312786,-0.21690742682588404,-0.2486284429289842,0.4903940075967475,0.2441882376492873,-0.2041198006433297,-0.42892374504642256,0.4264485658147876,0.5208943347678909,0.6768944254719382,-0.4211761320814546,-0.5391160887608641,-0.5280762731038265,0.5330810657816364,0.797870508689225,-0.06290174032209238,-0.1650364242509978,0.5243334226214686,-0.00789637105275797,-0.7026067558474183,0.13632437280476215,0.23969933226680706,-0.09591033387178007,-0.16678481954665159,0.31282533933438267,0.15132375919903546,0.6646354310916255,0.7302381999483651,-0.01137271712231163,-0.33980099457469515,-0.49688596807807994,0.0675095923506813,0.5449846704777428,-0.6759892763168022,-0.349791488118602,-0.32014905156234585,0.3386689697850647,0.12553352748479538,0.4264485658147876,-0.4616194018272693
ADV,-0.4632113125615713,0.16795774556304127,0.19247340264169097,-0.28438677827058373,1.0,-0.1225261536310745,0.2563138261241703,-0.5209360479920543,0.5226731192184811,0.5059936701497079,-0.11708004996495947,0.2929867510611806,0.13569467949847927,-0.6540158100453728,-0.4544114971498626,0.545457265129798,-0.05210588817997987,-0.37326068580126814,-0.39693308570574687,0.11343536013342827,0.2724186128609942,0.6494750939794162,0.15053967999634152,-0.3395077922632473,-0.2278145928041858,0.5030195447640758,-0.3103772505172166,-0.13980941335290428,0.44370318404809544,0.5206609310519327,0.12438318270421173,0.3309684762935906,-0.3395407971184583,-0.12420415519606184,-0.8983116090911336,-0.555418211126469,0.02178357403526341,0.22232933618818282,-0.03789937460259912,0.040339216547004,0.02091687716040429,-0.47520501538597104,-0.37618961668041867,0.03157134355448736,-0.4469690082044365,0.2132248632468899,0.7149974445277315,0.8067540062313269,-0.37326068580126814,0.2269214186405501
PART,-0.3112422196842425,0.3909245824214154,0.7371405641712656,0.48546434394407245,-0.1225261536310745,1.0,-0.05247857376566294,-0.3418463696688666,-0.3105335082145325,0.15385807851785166,-0.7960666081118242,-0.3664292707525691,0.4691570135627936,0.2646926245459024,0.06466292702398,-0.3014089953904544,0.5010142826533825,0.31330255938092233,0.3592418041663177,0.39307982301619465,0.3510088036290594,0.03558104938282171,-0.47056173275936825,0.8237126482372035,0.5916487179632645,0.26299587171964345,-0.8171406439129961,0.34493155703366285,-0.06522167195799913,-0.816484006494662,-0.4666871970340876,0.44652549369504657,0.4300532952885445,0.10770669649802174,0.09245897790072255,0.2098332547572997,0.284217735011267,0.4204723420797989,-0.810567681214641,-0.005424093155268896,-0.8474252038134731,0.08621478623086118,0.7965428134117525,-0.8313216223158548,0.28834001456009584,0.059576324107805397,0.2446484929122755,0.4604744918362627,0.31330255938092233,0.331901145222123
CCONJ,0.3567355315987196,-0.2625576904444978,0.2849148635463697,0.1771133043682446,0.2563138261241703,-0.05247857376566294,1.0,-0.045326857226655366,0.04862197222776231,-0.2288095485702962,0.1581617582834338,-0.06894730630820475,-0.033386201854039524,0.1410998752154856,-0.8452395905985635,-0.09001827366768743,-0.3966354095627514,0.21390750968611563,-0.04440506763093561,0.5984950516969624,-0.15221087938693362,0.07806903483396267,0.01200717496094829,-0.31701014169287506,-0.004239455949225606,-0.6092074046488908,-0.07133045897511324,-0.1914722588510471,0.9243851030208932,0.1336874542526255,0.6659153442669573,0.14180138391284375,-0.06398082459991027,-0.9654879310904484,-0.519942772188828,0.14290269512588727,0.6365560008856428,0.24856849430064376,0.20679628730549693,0.698415974005708,-0.31173057759571665,0.6338746724283323,-0.2065957487216496,-0.3570155737172657,-0.2066807671535427,0.3129138676047551,0.2765817127464079,0.1673887730374648,0.21390750968611563,-0.3032368309256815
NOUN,0.37885997386880627,0.0014496920826424585,-0.7183902911125744,0.2575420044845747,-0.5209360479920543,-0.3418463696688666,-0.045326857226655366,1.0,-0.6950781673094549,-0.8688528230169834,0.14690146483863334,0.5530201942545362,-0.905877746112527,0.684937981579533,0.16503624894285673,0.26618483292330336,-0.6584001922533209,0.29381420606698383,0.41104036892626783,-0.2841062053375843,-0.1614049890435994,-0.929800622057724,-0.5283561832753063,-0.021786353634284356,0.0803298696075579,-0.5298257177581777,0.8111028795978461,0.554373787400216,-0.28144669333142847,-0.2238391840053132,-0.0724478033952043,-0.0790249437874471,-0.3312841005984378,-0.18035704525603224,0.38930175642138953,0.6687571038836565,0.35685723178435635,-0.06832666661757045,0.2502879435612659,-0.07930319496330969,0.5637092306195898,0.2503277134686539,-0.3674999481968225,0.4148592420070566,-0.43228699182646313,-0.764003667869417,-0.4122961348519873,-0.6824239634387446,0.29381420606698383,-0.1377854962444479
SCONJ,-0.2592760879173934,-0.15042533906633052,0.19557034386366945,-0.46778977282579876,0.5226731192184811,-0.3105335082145325,0.04862197222776231,-0.6950781673094549,1.0,0.552392828098627,0.39916738856044476,-0.4286257624571859,0.533259012972046,-0.6382765571445762,-0.1851640028461031,-0.2523630859429485,0.25434597346145416,-0.7796392731180777,-0.8793274473963986,-0.06877155459470762,-0.020545368495102936,0.8411918743601913,0.7074797661419455,-0.6417151331542779,-0.1688878102687738,0.35646938578970655,-0.21357413861227517,-0.5732988674478345,0.3717428654227383,0.6387649554706091,0.4759028224552383,0.053192387910510334,-0.24520885889934216,0.1616025578054234,-0.43011326068344663,-0.7247628823934232,-0.37442556400072136,-0.3610589123717031,0.3584982283840261,0.08370323590171791,0.004635169611887499,-0.2680561963411435,-0.2037491743439711,0.13511147089469844,0.23882156471553503,0.7990856700840708,0.08632105780267184,0.3239307330033516,-0.7796392731180777,-0.06398519806303538
VERB,-0.4241801297083501,0.046274505024692075,0.40645067747355695,-0.5308597228405579,0.5059936701497079,0.15385807851785166,-0.2288095485702962,-0.8688528230169834,0.552392828098627,1.0,-0.14698077488397007,-0.23270672925181932,0.775339449949732,-0.852999289167827,0.011308673913057277,0.052210708993359146,0.7188541775693195,-0.17548278989759927,-0.2463096338231999,-0.0033102851879884465,0.22036611879478932,0.8619563842347457,0.5958771339867714,0.06195267117460573,-0.45401199254652735,0.6065458456176208,-0.6092279544930141,-0.6215051434679342,-0.04442413366626757,0.3977532838471766,-0.2131748979147549,-0.20306817631508176,0.46806789711279795,0.37771539071797905,-0.28960590855033425,-0.6663998073227342,-0.6867638584941099,-0.023030746424713835,-0.29175031398411755,-0.06793069755126388,-0.23651306472977826,-0.4385417860231986,0.22460781408368685,-0.07523847764037858,0.40271875573812005,0.495076588479554,0.3445635425090579,0.5355401344553369,-0.17548278989759927,0.2726844515176584
ADP,0.6792977544353671,-0.8126525045680211,-0.31150923115362483,-0.13139860133312786,-0.11708004996495947,-0.7960666081118242,0.1581617582834338,0.14690146483863334,0.39916738856044476,-0.14698077488397007,1.0,-0.18690725154261964,-0.18885661009069468,-0.24961982359991072,0.09970472414033546,-0.1885762650570113,-0.4520349224732949,-0.17108306413672644,-0.28140022214165394,0.052625765840399644,-0.7762544000616896,-0.003119350851122485,0.6774951361963714,-0.6591445345494342,-0.32280526231982926,-0.3299729526158975,0.5929212615888765,-0.550549005481919,0.13289287688004137,0.6390318548471955,0.7671397152655555,-0.6116895099010572,-0.2066620499435016,-0.12973015946652694,0.20091177721742484,-0.4004693515924186,-0.25038914319452577,-0.20205762810800335,0.969215495035991,-0.09143206489850218,0.4325108994103476,0.039876034653371764,-0.3301066034508052,0.40941298076484195,-0.053921036765948276,0.21237874192579745,-0.18851869599498436,-0.47653645392464733,-0.17108306413672644,-0.7766472760685651
PROPN,-0.19777006743785938,0.3534367550609164,-0.6704376281251931,-0.21690742682588404,0.2929867510611806,-0.3664292707525691,-0.06894730630820475,0.5530201942545362,-0.4286257624571859,-0.23270672925181932,-0.18690725154261964,1.0,-0.7321670038214771,0.03797415024372685,-0.12366603059722528,0.9252791275598896,-0.4387798742631747,0.13470471195505287,0.2602828610203487,-0.4128697383552003,0.30482773044424594,-0.3695261104913698,-0.4293136722619125,-0.10363873534901089,-0.3715583346945141,-0.002740147824361843,0.5055622240339537,0.4129818916143146,-0.1762841854471816,0.20307797144582726,-0.369819827955402,0.06772272794191776,-0.34360632332847985,-0.10380870173053171,-0.30575046874278256,0.29474832891344005,0.11220223855855718,0.047567728053455854,-0.07532468616444589,-0.07030897216043638,0.6685220374464014,-0.23756047729249669,-0.6552032361344696,0.5715730230212032,-0.6833343696229045,-0.7474979470267421,0.1318439056381445,-0.028721116382844768,0.13470471195505287,0.34953416013812655
PRON,-0.29263824911663805,0.02251611412102606,0.7054825572202441,-0.2486284429289842,0.13569467949847927,0.4691570135627936,-0.033386201854039524,-0.905877746112527,0.533259012972046,0.775339449949732,-0.18885661009069468,-0.7321670038214771,1.0,-0.4451345432558577,-0.07450291562922919,-0.5489651342571554,0.8435636109652052,-0.16312992410891122,-0.3062684066641044,0.2092031099899698,0.179667965669899,0.7865515762214409,0.5063622647100049,0.17078030687755755,-0.03810857023461648,0.31998416428210863,-0.8001114177709284,-0.5708995675258371,0.15832925888138563,0.011126993493157747,-0.02912048759303045,-0.024448450252845023,0.5745434398610869,0.21635289039381964,-0.08314175048511022,-0.4156291362543175,-0.41199589253291524,-0.10348679238993888,-0.3541360650285231,0.1960747080406865,-0.6540056602947846,0.017385418710759142,0.5501995730938044,-0.46811080949382905,0.7588638043299606,0.799693946849725,0.08089590217475451,0.3948489143528462,-0.16312992410891122,0.16739872337775188
