,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.513288452903736,0.21552867607661816,0.7654603244259531,-0.42689262163731817,0.4524289540887053,-0.7700759409311634,0.5676382302204392,0.20842500237224387,0.45831962125509934,0.7040661740811118,-0.17604144226684093,0.2927693973961357,-0.03338584431036064,0.2661226527272921,-0.06511687139508907,0.47312273029140334,-0.20921092074291622,-0.9767949721518915,0.4032162038496358,0.6480879524204359,-0.8081233189374635,-0.18099386562981867,-0.5387073660396889,0.4414376540852176,-0.11821741548100045,0.5846447985484332,-0.8194311757119793,0.6292759686886396,0.02496137092603529,-0.6676860364179333,0.12549202503039492,-0.3692002588130425,0.31429035743886413,0.31507737759209825,0.37248245712309264,0.16428830894856888,-0.5591086557107959,0.09478068165031166,-0.4219343282637398,0.07106528100435346,0.3579216928490673,0.5322410017038448,-0.24288649845667998,0.2303293487811923,0.6407149259536639,-0.4789378654378211,-0.663788355917128
PUNCT,-0.513288452903736,1.0,-0.09687157463886957,-0.22797342549231528,-0.30046220853375594,-0.584035704186452,0.6966935550299527,-0.7066431583671152,-0.5969707353799347,-0.9493479041136855,-0.03742060383894576,-0.01317996298798727,0.47172068558081104,0.01928343539556437,0.23567322742396912,0.3241125928912464,-0.8849545264787021,0.7701706203759147,0.5581939512668375,-0.8813176180846192,-0.8052758360860737,0.08332939680192458,-0.046452319764251605,0.6065948664628295,-0.0945784488492184,0.8213900221333499,-0.5019615993826988,0.42958580569786353,-0.4813944590808752,-0.32463225969775994,0.7372455656203049,0.08364460589836178,-0.25080843302048533,0.3305326147985235,-0.08773606585671213,-0.1765191930983124,-0.7867988646278032,0.21136295281431028,-0.8147317989510139,-0.37146679580227365,0.6088512070006438,-0.7607426641604673,-0.8673913281893505,0.6042810279963879,0.21146186068959322,-0.24871353648077985,0.06567432175514976,0.980165832755946
AUX,0.21552867607661816,-0.09687157463886957,1.0,-0.28847951746381517,0.4614812656678647,0.06750417004545302,0.24971827164675964,0.12348736480547375,-0.571998886853284,0.37239022918470727,0.4580272265559481,-0.6651229361861875,0.6050896399153944,0.04261272076827074,-0.6705887150872798,0.6781838623299282,0.2672429626124141,-0.31572077908709334,-0.13075145718986683,-0.19960690035458822,0.07105654992051504,0.039374514768442156,0.5500384978401224,-0.0653906977356795,-0.44531538842436796,0.329285461454293,-0.12737889115517825,-0.6376228409239802,0.7306376854783423,-0.46482390796589673,0.2038927548807549,-0.8318253052418704,-0.0065576038951706715,0.7058188550271737,0.3194544818803438,0.05120077078509802,0.457922468319338,-0.5146609446912732,-0.39851527283813015,0.40659038892313965,0.6581421429545583,-0.1971835442885757,-0.1060783216247515,-0.03791329183544326,-0.5905832126011551,-0.3952762773936665,-0.25152230015399213,-0.16558035461365625
ADV,0.7654603244259531,-0.22797342549231528,-0.28847951746381517,1.0,-0.8444928663991291,0.07643426799976352,-0.7443646733595212,0.07779184219173656,0.3037135476431562,0.07175053988239072,0.6732068042395247,0.3519492784048541,0.2272817710671473,-0.3623346452277147,0.6122882383650528,-0.06624643106501946,0.17992033500666277,0.32560547319332883,-0.7931879124697638,0.3055631882296509,0.21408608575081856,-0.7274195462654373,-0.412288265158065,-0.5477230541363158,0.36506767061642126,-0.030551553427459455,0.31118702014308935,-0.322516631194409,0.046556771503484404,-0.14548037813155087,-0.5208238411859706,0.5146615494566371,-0.5623659095350676,0.13408340933239052,-0.013122719716825769,0.544533920354899,-0.16145810450910464,-0.5412921838998317,0.07546565420856877,-0.6924033441295037,-0.11928615536620694,0.3402792524899679,0.3202189421215158,-0.3968024926385652,0.7721515715609176,0.9753006774834768,-0.6219745197334762,-0.36568018080773695
PART,-0.42689262163731817,-0.30046220853375594,0.4614812656678647,-0.8444928663991291,1.0,0.15123940415189846,0.4106486196828214,0.2582977038506643,-0.11778231142124035,0.4533338077909285,-0.5250936422833953,-0.4452124258847884,-0.34080356605991136,0.36114358479187614,-0.7487787655696323,0.023508141498594964,0.35653465237745047,-0.6999395446698747,0.4232624323868317,0.09214597196788893,0.18281824436248326,0.6824744903754645,0.41947947697380816,0.12406583271473519,-0.365759334943762,-0.3051004098598958,-0.12814967963918844,0.027024740186493017,0.32274124818414524,0.20612769945016093,0.19605809896091567,-0.684004479486361,0.6996296172170925,-0.14772974798702335,0.00753895536805277,-0.32084154659764924,0.5930560465296768,0.2881502614840589,0.2905117942326882,0.9177810763999811,-0.10935347518103157,-0.012795273309267151,0.15309218815821649,0.030295410722805477,-0.8628541555558241,-0.8230698501929785,0.5243021278873038,-0.1705794653360067
CCONJ,0.4524289540887053,-0.584035704186452,0.06750417004545302,0.07643426799976352,0.15123940415189846,1.0,-0.6640197841318422,0.8694525299521357,0.6845927398662645,0.5760768851572489,-0.08905609436109993,0.028953543538298807,-0.37613837123058713,0.010308904729860355,-0.2554700702259072,-0.5044734203477106,0.2070042883532831,-0.7452449951269794,-0.33567254835211785,0.7166196263018194,0.837231605510984,-0.5092531133526921,0.37353812667922315,0.1897444689797538,0.36691603187648325,-0.642592308285758,0.9439905608242136,-0.6205751812191126,0.285438567951819,0.5275337729359796,-0.8496195439972875,0.29297022936181505,-0.19140949123791592,-0.4199663815032112,0.7957639687278036,-0.5718057045407254,0.4532535436344723,0.20767171699160314,0.35737587648715724,-0.10266194654587144,-0.2087583219435812,0.6971340624346104,0.3473688721850089,0.0669614914368088,-0.4762455065567392,0.008059982874126794,-0.03138446869223805,-0.6029435426289617
NOUN,-0.7700759409311634,0.6966935550299527,0.24971827164675964,-0.7443646733595212,0.4106486196828214,-0.6640197841318422,1.0,-0.6046923214788573,-0.771713280809478,-0.55539727267093,-0.3231073124600354,-0.37546904833074185,0.26323756681645644,0.2963346306191919,-0.23202352981798594,0.4257456156100019,-0.42626284539261705,0.32156156607060904,0.7549846588573992,-0.8269156003287129,-0.713865873672667,0.678712531916438,0.08934520207746517,0.4136824386203974,-0.41397077141100785,0.6195562578034709,-0.768451548765692,0.5034569821367042,-0.16530804546895583,-0.268635866161693,0.9529846482220589,-0.5349223566457477,0.38142976106195925,0.32366346537287066,-0.34527026056976373,-0.10849449498085524,-0.32124756884026706,0.2500197969693104,-0.5118984735939313,0.3933969518666191,0.45041862418950923,-0.8170860921977615,-0.6010303948243659,0.4358314024775709,-0.26673123537153925,-0.7317965402924517,0.420800129311278,0.7714864313549378
SCONJ,0.5676382302204392,-0.7066431583671152,0.12348736480547375,0.07779184219173656,0.2582977038506643,0.8694525299521357,-0.6046923214788573,1.0,0.5161905202198195,0.6487017405759555,-0.1128054657250844,-0.3212584842975223,-0.38339823798382666,0.4091722640080082,-0.07852011282862982,-0.6002392134770427,0.4996890651468407,-0.8442835014346953,-0.527507486508615,0.6303966086285211,0.9815754825801108,-0.4320537154619855,0.01753744613804091,-0.10417775593640706,0.5739362560412872,-0.6130305887607255,0.8578551309217728,-0.642954717359945,0.5912326625564155,0.6937526265817845,-0.7651448559421848,0.08097851684850448,0.17865374649633045,-0.27753601706509473,0.5002186499314766,-0.28946459073124214,0.39949128158949304,0.19896333777486452,0.4941423713291544,0.04827891238775774,-0.27717981839498623,0.4898336074720926,0.6675157719352858,0.1091880715037907,-0.44687472508919357,-0.028706361461388424,0.23351824518558556,-0.7139280200693023
VERB,0.20842500237224387,-0.5969707353799347,-0.571998886853284,0.3037135476431562,-0.11778231142124035,0.6845927398662645,-0.771713280809478,0.5161905202198195,1.0,0.42961066518314656,-0.2949331002774805,0.6306514203936805,-0.7568108359702523,-0.2636715979929642,0.08301175649663348,-0.7055941027928796,0.20237470174138786,-0.41792155845533985,-0.1997037347929532,0.8842087322712071,0.5798065139786628,-0.26921074942628115,0.031525293443429074,-0.0351769691284182,0.31769812940371017,-0.8799260252667832,0.7103625871781933,-0.023498272830002262,-0.2815172765057517,0.5440250734361988,-0.8475120770853037,0.6835881321152645,-0.1329023073817072,-0.8450676771085309,0.2926889417327466,-0.3092018914885832,0.3286663375078484,0.29213719659874465,0.7232758229746528,-0.16010242021481294,-0.7631942962556851,0.8826861644054258,0.45166929468921524,-0.2966547493541293,0.05722246260203416,0.38164578092238594,-0.03414817551399203,-0.5537500355905404
ADP,0.45831962125509934,-0.9493479041136855,0.37239022918470727,0.07175053988239072,0.4533338077909285,0.5760768851572489,-0.55539727267093,0.6487017405759555,0.42961066518314656,1.0,0.12527762030353376,-0.09510115042929192,-0.3031924044944953,-0.0971041095678683,-0.5026303725559212,-0.07700367059131262,0.8587300916835832,-0.8135512620076707,-0.46426198682796305,0.7937679814407835,0.7223838961950286,-0.007213312720051007,0.3066304406221616,-0.5197111695105383,-0.1378846540372121,-0.7067655170451149,0.41275023481176715,-0.5376470679238321,0.5766903851380712,0.1297520411744242,-0.620720930306305,-0.3090192316878279,0.20056467242512757,-0.1658668043134089,0.2095595315672257,0.10863878242943523,0.9208881862468059,-0.3257686167953801,0.6486206952856807,0.5032877946671117,-0.3952852672481609,0.7058938938979283,0.7109647821554089,-0.610524417788082,-0.41056672655214976,0.08115052867978842,-0.1632959000431316,-0.9397191074103476
