,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,compound,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,0.44811249223902233,-0.3868115416807631,-0.09451735544442487,0.1534941261630553,0.22934504276390305,0.5339034050820564,0.7386739637746211,-0.5013069426170029,-0.38055897884949297,-0.7389604153026397,-0.561878214376576,-0.7942708344280206,0.4535264502440562,-0.34776288968808344,-0.35194676830136046,0.24044424233521836,0.41916392414484077,0.3211977121820943,-0.09451735544442487,-0.5177715907123535,-0.046843918282136236,-0.712672479865186,-0.6905847108219166,0.44881293475489753,0.6383346034362609,-0.5568591852494311,-0.43229608333225555,-0.459745124714413,0.44454777373980503,0.6383346034362609,0.2130786482352842,-0.21865240576161876,0.7282588343717659,0.8032780069672484,0.060872752887145935,-0.43985195240818625,0.6776584683615948,0.6123809114903622,0.2343989838086858,-0.5690812395283384,-0.32104416291534205,0.5342647156274271,0.6383346034362609,0.2408982231369446,-0.5430751195987195,0.37502054154474096,0.29327058061986816,-0.4196751268781794,-0.17465127423418217,0.09265732090961738,-0.10957596081449994,0.7418530855273798
PUNCT,0.44811249223902233,1.0,-0.04663781199946621,0.14320475287140202,-0.4071637990338543,-0.7332499609942656,0.011239288032165421,0.5766557778231971,-0.14963958960417673,-0.086778970694562,-0.2002167312525608,0.17901003971784807,-0.45266956176020706,0.37632618801001355,0.07205781031420855,-0.9330948704138411,-0.7402130675770869,0.33620834546715084,0.36700143094810056,0.14320475287140202,-0.8711862135089614,0.05291402966277332,-0.39331580999241217,-0.3324184737100458,-0.11968766918862635,-0.21996202359966943,0.054400564379421645,-0.08907245031609014,0.36738032380075464,0.4630557059293411,-0.21996202359966943,0.16025362416712438,0.5156093354732099,0.5508648290540689,0.6419743401701126,-0.20371239269674135,-0.3600027386412392,0.13893051977821033,0.5585268119392033,0.9038130125028708,-0.06333452076329193,0.35916223169870753,0.43178840595189333,-0.21996202359966943,-0.30017829777791216,-0.057953977142030655,0.21748330435163943,0.23195837701867258,0.3169353940754944,-0.5716849971263277,-0.5049196277044532,0.008171534200223969,0.9047484814849447
AUX,-0.3868115416807631,-0.04663781199946621,1.0,-0.7285899564444929,-0.7037976730575389,-0.29658417930008735,-0.5228123539146106,-0.8073281350450422,0.3119198451111392,0.9783783041763098,0.41829409197373857,-0.15323895855497827,0.8364116950576924,-0.7775582599736144,0.4515549995856727,-0.06984065597813272,-0.043279687013602804,-0.2805746967399455,-0.5331300724741616,-0.7285899564444929,0.527012247369941,-0.4811507443447862,0.033839507807490836,0.3215407989051662,0.05713067432170961,-0.05731442564522598,-0.04811709442860021,0.8400541584754841,-0.04114953988642705,-0.34394296699436805,-0.05731442564522598,-0.53849184604553,0.35238685692136923,-0.12165942781966992,0.14941009681912404,-0.799783046829496,-0.5030293089124738,-0.42967300670033104,-0.6885569829806746,-0.20037839143081537,0.401875161618842,0.8763952968160783,-0.0019070492444595536,-0.05731442564522598,-0.09508769040814331,0.9279271600510021,-0.9357420815033644,0.6981043990298966,0.8222949235394729,0.726378018770272,-0.5957101294174756,-0.7402443195467556,-0.11816999544769541
X,-0.09451735544442487,0.14320475287140202,-0.7285899564444929,1.0,0.6579354235561907,-0.03240352296530384,-0.1580947546284993,0.5147119013241854,-0.406339046465011,-0.8146831470778599,-0.2865047517451303,0.7763240688092731,-0.46071292285375454,0.8287723784713454,-0.5503170988280256,0.07994596509200698,-0.41339750017926685,-0.25000000000000006,0.11194364919341554,1.0,-0.5062528521034629,0.8668354911216783,-0.010802847885699744,-0.3074615896071855,-0.05815010663493702,-0.25,0.7143922954023564,-0.33336491933525314,0.25161397306791317,0.5757918774972991,-0.25,0.08205880618766451,-0.28935061103671567,-0.40555875059794944,-0.31370837113886163,0.8737565834928281,0.3987580342334099,-0.26788823863803474,0.6897185607767767,0.26741126043034014,-0.3827793870588788,-0.5782056330599988,-0.5168337938688331,-0.25,-0.5473857205110787,-0.43367208293291654,0.8689296277573005,-0.6042816503625845,-0.5348313492852795,-0.8479630170597715,0.5727803065849586,0.574043806436146,0.06611572391628427
ADV,0.1534941261630553,-0.4071637990338543,-0.7037976730575389,0.6579354235561907,1.0,0.7261640403269409,-0.0005717668386932191,0.3398622003051756,-0.664103476406934,-0.7798542531270185,-0.6236533094754323,0.21623634995826965,-0.4275691141158196,0.6889892263014891,-0.8484359868167075,0.6517996103020994,0.3933797916099987,-0.41062271548502427,-0.20444934330401363,0.6579354235561907,0.011461370101391729,0.751778870112589,-0.26508549926223773,-0.5284932390328341,0.48418598641743926,0.45088478668594756,0.3194219204893013,-0.2866782874032988,-0.48126710205859696,0.5049613896606029,0.45088478668594756,-0.1427628210049132,-0.8835399648717309,-0.4500986747469538,-0.20948467586762298,0.9401765557473339,0.18776299603938898,-0.08347154975417963,0.5273905014650411,-0.4329192337996541,-0.7325907422947254,-0.9136545895590269,-0.5895363801832098,0.45088478668594756,-0.2330007128069824,-0.4993064283381981,0.7389605438608862,-0.35482376722780234,-0.9364296550606989,-0.2946905819610814,0.9887446999197083,0.22816581335684966,-0.18124259794735842
PART,0.22934504276390305,-0.7332499609942656,-0.29658417930008735,-0.03240352296530384,0.7261640403269409,1.0,0.19490155007041346,-0.041992748201449985,-0.4223026612688644,-0.3009471768222226,-0.4825789206622141,-0.419145649523031,-0.12575650085827006,0.11589288010673207,-0.561517938238063,0.825270897484963,0.9150528535201538,-0.2720277519072174,-0.31788076579636193,-0.03240352296530384,0.512724660046628,0.16964179047814507,-0.23201391480373165,-0.32462608601453125,0.6076870319460469,0.7615980049916771,-0.24361792723347883,-0.13201741512850645,-0.8085563589116035,0.054121734741880284,0.7615980049916771,-0.18960705336425174,-0.8790928911020397,-0.23916729655040778,-0.09254587823205532,0.4563834909591896,-0.004904552654766647,0.1620580417821105,0.010684143522933693,-0.8327943539234539,-0.5442137118028397,-0.7093826463276658,-0.29873535631704046,0.7615980049916771,0.25713542700027137,-0.3033768580736122,0.18312199558458658,-0.014315251330300422,-0.7582857626915079,0.38278570280066393,0.7873965307510759,-0.1361573351023113,-0.38932790331498524
CCONJ,0.5339034050820564,0.011239288032165421,-0.5228123539146106,-0.1580947546284993,-0.0005717668386932191,0.19490155007041346,1.0,0.5287946633328804,0.3110417414559606,-0.3526731941819129,0.011932414283483348,-0.6244395926983091,-0.5935460465508615,0.011222672315570103,0.28645892592592703,-0.19198511236547552,0.33837177956536585,0.8843531456089299,0.833489183464263,-0.1580947546284993,-0.24342771417495393,-0.4866342479002083,0.20205948055645817,0.15481150702444896,-0.3286150060826604,0.07405687851372167,-0.7828111753866371,-0.8769371561561102,0.07665866710242956,-0.3713138797242175,0.07405687851372167,0.8705120988830028,0.14839641202484471,0.7469247142321289,0.04603079900312325,-0.03977286908455394,0.416297602887108,0.9743028329840062,0.05856611465719831,0.18702625097034534,0.1689060823553296,-0.401052432634736,0.7638658512174069,0.07405687851372167,0.8600710402560307,-0.8001813052055137,0.23404170900221563,-0.41836628351204913,-0.32843246872349513,-0.12446271510814852,-0.07461808237369773,0.5488840433627972,0.07216692779467519
NOUN,0.7386739637746211,0.5766557778231971,-0.8073281350450422,0.5147119013241854,0.3398622003051756,-0.041992748201449985,0.5287946633328804,1.0,-0.4012975590707391,-0.8033802187755115,-0.5676988073803682,0.003985358889250289,-0.9844252503609869,0.8023451721521252,-0.35899737372663043,-0.4492383087664846,-0.20651531816744212,0.4691926710094356,0.6216748129592408,0.5147119013241854,-0.8680495086168939,0.3161303001637585,-0.3804307527223005,-0.5415219302634613,0.027186549722560287,0.12497595519780243,-0.12142695183152477,-0.7411295628276271,0.056396580423843885,0.5370706678740264,0.12497595519780243,0.5092321750576858,-0.07427586823722036,0.5357836375413705,0.39509859790961815,0.4625665411207476,0.07274195580556242,0.5597420836340602,0.8652011333915013,0.5840308696168744,-0.44763054659484036,-0.5326314422212007,0.35252343265307956,0.12497595519780243,0.02770804489568109,-0.8151896812609558,0.8251744415976104,-0.2972790215623388,-0.539772387032728,-0.7761402445931792,0.20781390841427283,0.48102527285901137,0.6674850582986349
SCONJ,-0.5013069426170029,-0.14963958960417673,0.3119198451111392,-0.406339046465011,-0.664103476406934,-0.4223026612688644,0.3110417414559606,-0.4012975590707391,1.0,0.4753391464076844,0.9483261591040079,-0.13430473785215327,0.4433900830743027,-0.7426472139427281,0.9551751954016984,-0.19699592281777253,-0.14198730967183945,0.5356092773644083,0.4623608491694212,-0.406339046465011,0.2486652766253591,-0.7367075217697121,0.8748823259997225,0.9658075973309009,-0.8657420720344341,-0.6994873718669864,-0.309182848678631,-0.14169609754224535,0.6810909806163532,-0.9187397069259601,-0.6994873718669864,0.5471244115816393,0.7588881363282742,0.20333960634228276,-0.5088658747827477,-0.590663995502784,0.5647192782372674,0.21959916844869445,-0.7501987526875981,0.1677282663230615,0.9849878045232993,0.4552661737520375,0.450669645387909,-0.6994873718669864,0.5774043102946698,0.11996855347223807,-0.5390383457052027,-0.3539951439566283,0.6013918835066353,0.22326262430721652,-0.661622362179164,0.3674199850216264,-0.4619730031019011
VERB,-0.38055897884949297,-0.086778970694562,0.9783783041763098,-0.8146831470778599,-0.7798542531270185,-0.3009471768222226,-0.3526731941819129,-0.8033802187755115,0.4753391464076844,1.0,0.53533888854519,-0.2680087611101471,0.8248975369817013,-0.8812874647279523,0.6040359797685811,-0.09772374861110233,0.009217331590260381,-0.10646803833597057,-0.38059198741184375,-0.8146831470778599,0.5503989712321602,-0.6437420326259131,0.1677862605735665,0.4628617798635743,-0.07993537911551919,-0.11682275172167085,-0.19972358528378353,0.7150243586070127,0.03298814085812978,-0.5160946604660918,-0.11682275172167085,-0.36638672798397925,0.45026466536599774,-0.005359714690962421,0.08915690340220749,-0.8809256661737686,-0.3827873009388675,-0.27428412910256694,-0.7886748266132932,-0.18144034055740757,0.5423854550442126,0.8754308695652578,0.14885996865975545,-0.11682275172167085,0.09966280512372291,0.8433610117403654,-0.9841047101660818,0.6074392582454499,0.847605345074218,0.7615607949015597,-0.6777422283394968,-0.6356385149405608,-0.18180868105297032
