,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.7595770570916744,-0.7347077728781136,0.05702774044843757,0.370852399058347,0.10129157775997763,-0.4302198017300073,-0.07060703123205507,0.43997970285089333,0.8109322454719722,0.46122322635318314,-0.2125783139465518,0.18364879254885835,-0.7053963919796031,-0.20254515221223388,0.01039701442941244,0.4453094388326796,0.7535864408467958,-0.03900871437952004,-0.7278786623945277,-0.8349992458245469,0.6528890983847017,0.23730446186314808,-0.317230082240631,0.37637538661724335,0.22921624854803466,0.7311910506380955,-0.5889064320047053,0.7535864408467958,-0.4162370326257373,-0.013206003056605898,-0.06803013113117957,-0.6095864932274752,0.4982481109885917,0.07709244987789571,-0.10937097533993491,-0.7240201344492329,-0.22976109551279145,-0.07271181241921039,0.5877480358319537,0.5971562396284202,0.0003960906257995281,0.021797328619578202,-0.7427137870048919,0.6892572241195749,0.18913944811389866,0.14752322950174016,0.05445012264295546,0.6260331600361074,-0.49852982979213023,-0.814233959333749
PUNCT,-0.7595770570916744,1.0,0.4616073266161452,-0.03677657571529101,-0.03943221911448058,0.07894491784620311,0.039546594597476246,0.0767511854006866,-0.6056664006908125,-0.7170472195400968,-0.4638541534552551,0.1628462393255056,-0.048564419932922306,0.7890916007512004,0.16865099952323145,-0.1121452047026177,0.15910334051165778,-0.8372632785596822,-0.008433393935687735,0.4666429840709752,0.8328024419232682,-0.2511927464773115,-0.5729433715046367,0.1571156670085429,-0.033721660710997574,-0.21938675617077685,-0.6936909848838294,0.7753128412618693,-0.8372632785596822,0.08893127494457949,0.08675909127944136,0.49602481269298776,0.3076054057985698,0.10987639116118092,0.08741132958053179,0.09666511567326068,0.8055955181138775,-0.20773531110226426,-0.13599039770322718,-0.4954382272062046,-0.7849019636457149,-0.23678367584033763,-0.31704991710156794,0.3124087562945859,-0.2618761436794457,-0.4655004436979016,-0.41397919361540964,-0.005175339798426601,-0.12105775299463964,0.798558690905665,0.8842381995885519
AUX,-0.7347077728781136,0.4616073266161452,1.0,-0.11972648829030183,-0.6878073369038773,0.4849940682195664,0.008750795944004386,-0.2117671119728002,0.021408094245391168,-0.5281668609469516,-0.6609797388574243,-0.07669324439665756,0.3240158459381322,0.6941023500870741,0.5569520955418706,-0.17558469863417778,-0.5901582999077126,-0.3331162798661558,-0.07705763349061846,0.90377358083402,0.665835922827149,-0.29002316027382474,0.03343334033081944,0.26217359726714906,-0.7985794692908831,0.26429285800628255,-0.7805012816942722,0.17188846412806058,-0.3331162798661558,-0.023076937492875524,-0.022996889673298073,-0.4069040443246056,0.30258994109619197,-0.522024188583839,-0.4321208904831818,0.11491025996089993,0.7351643202624567,-0.051542380717561884,-0.07670176687618975,-0.6949569890853702,-0.19196268421601848,0.18372334831933648,0.28903386884670607,0.9471341857670088,-0.23409035867146674,0.19903035372107516,-0.20089339160213063,0.3821432242282038,-0.7594876686262403,0.4832441147513631,0.5294812430973229
X,0.05702774044843757,-0.03677657571529101,-0.11972648829030183,1.0,-0.038020704964485126,0.1933561139189697,-0.17442145435223494,0.6752219474549422,0.036414490585338674,-0.27037276192393656,0.13716510932540477,0.5469841896356287,-0.6444647944002863,-0.11164693560691198,0.02040861296933899,-0.130480093145578,0.4165393409631014,-0.24197004911147624,0.9834546489658631,0.22674065423135945,-0.3148929932856112,-0.08483158080217529,-0.029940530305541543,0.0937644742419755,0.4790106031949285,-0.6785335454146642,0.22219878232107645,-0.22868890216630575,-0.24197004911147624,-0.22443095497990417,-0.9036032954745152,0.2527906507265595,-0.466221104376663,0.41178011894178523,0.027714576085083008,0.3829051941175382,-0.06309229029350076,-0.25898245663563557,0.33841964910695976,0.16054419585677684,-0.1106040609654471,-0.45620374998469926,-0.024067671846255533,0.02063385394668061,0.0659307880546738,0.1917337849176342,0.7355306023936423,0.25207394033821806,0.07686009744080029,-0.36645574033444717,-0.323607981602405
ADV,0.370852399058347,-0.03943221911448058,-0.6878073369038773,-0.038020704964485126,1.0,-0.35147375530329467,-0.06315991987248833,-0.19126721336417785,0.08814732876024713,0.5204294777427237,0.25040338838855347,-0.15026529996733767,-0.044942452212039,-0.587952539553352,-0.8769947069488963,0.7180981490830765,0.4615964659098276,-0.14931831756177838,0.013419442687451247,-0.8008478929776573,-0.07178575828340643,0.327488233408548,0.10239381464439319,-0.007599828446078183,0.5604473616740117,-0.17174389217668384,0.1142933377253953,0.28367604845550404,-0.14931831756177838,-0.06148153753212096,0.3265162141857363,0.5308793457547156,0.22815833588923645,0.5580147053192964,0.3520828482311365,-0.6948161738326938,-0.5785601228899537,-0.17676090640888598,-0.28654491220577166,0.23472778324353968,-0.34953828211899896,0.3247983739194677,-0.7690195642633206,-0.7869667506537954,-0.07189532644525463,-0.12874210382715137,0.18359354817824786,-0.4307734576650713,0.9034751575245196,-0.3138382964503522,-0.04917142112368179
PART,0.10129157775997763,0.07894491784620311,0.4849940682195664,0.1933561139189697,-0.35147375530329467,1.0,-0.8173078040962941,-0.11625245764883847,0.30279767182617595,0.08104423027781926,-0.5896838836789935,-0.3331601553998457,0.5216067437475439,0.3277878672422738,0.5622472096230389,-0.2687364086483205,0.1522669000667906,0.05389142036015421,0.11618693040378211,0.43300683339829654,0.10822968467755516,0.38979137342873443,-0.023608422062133486,0.16952640123944707,-0.3492730900468319,0.4733304769241679,-0.3756582666440011,-0.1571147981254793,0.05389142036015421,-0.8298726612583684,-0.29648611957970417,-0.3499187376020337,-0.44528370944315154,0.2640943613906367,-0.26826460377389133,0.10943274498907835,0.3840416356914152,-0.7761171673615631,-0.1089345869505991,-0.4441287931741627,0.18030854854628042,0.009950138240139933,0.2647495893153932,0.32354446628436134,0.5967972243796877,0.46786394246586377,-0.11427862139480255,0.8135079472934523,-0.06869711023985188,0.26654827308982926,-0.01947074512839648
CCONJ,-0.4302198017300073,0.039546594597476246,0.008750795944004386,-0.17442145435223494,-0.06315991987248833,-0.8173078040962941,1.0,-0.06799949744922254,-0.09722305016914107,-0.39212692802302335,0.5131695130271402,0.5490495948595534,-0.36939702296721144,-0.09468557466218111,-0.3246271677456409,0.13807382351226835,-0.5460943015174037,-0.06822059666772128,-0.07143561749752847,0.07138345951830441,0.05388511734214169,-0.4183416330391877,0.26858607440233734,-0.3112473677410377,-0.13484031947147332,-0.4898896877363283,0.12074979982077286,-0.01809983823053562,-0.06822059666772128,0.9907448713663635,0.2792599134520432,0.20617566180904612,0.5192925081829152,-0.53586500069206,-0.22979722297765065,-0.017450903985879975,-0.12675539049398046,0.9508514487235207,-0.09216668465397619,0.33969642272326733,-0.2994158261993991,0.08482589141452399,-0.1885235451696145,0.1958435890788505,-0.6825399481221245,-0.4809881701759478,0.1775964110030333,-0.8021014669633775,-0.3785679032954415,-0.12011972655283029,0.08666220752513158
NOUN,-0.07060703123205507,0.0767511854006866,-0.2117671119728002,0.6752219474549422,-0.19126721336417785,-0.11625245764883847,-0.06799949744922254,1.0,-0.6098363121842074,-0.411363563213886,0.007017241428434367,0.33021710429913476,-0.8534310240927558,0.19362725353425256,0.28381011533255257,-0.42682537952976735,0.43517416482903926,-0.3062286248260106,0.6231416945501249,0.13130957025551263,-0.17974253134113535,-0.553725255690297,-0.6048899844870855,0.34726074927199285,0.6597852245979137,-0.5237363715176003,0.3272074844257459,0.13130142135007972,-0.3062286248260106,-0.06630150622172618,-0.8226021222029982,0.13393264174327207,-0.3706358331304457,0.11442798850579601,0.580159218581077,0.7145315620021981,0.17564465172286353,-0.10641227721220696,0.8318053099829732,0.0143733393853184,0.13116252721832725,-0.7817759637626838,0.3878611161944119,-0.04290230684616788,-0.08381809567494271,0.061070378340313314,0.24124404620580586,0.31065255276714343,-0.1101692855781832,-0.11177907248067953,-0.021974711497237703
SCONJ,0.43997970285089333,-0.6056664006908125,0.021408094245391168,0.036414490585338674,0.08814732876024713,0.30279767182617595,-0.09722305016914107,-0.6098363121842074,1.0,0.5630317065233359,0.24023519071402064,-0.06321947923093714,0.4910324563067633,-0.6214359453439235,-0.28246305460678145,0.3822540128203788,-0.31801188827706156,0.5629327939771038,0.0670983567583521,-0.09999736417581377,-0.41380662007468993,0.6069581473925378,0.9241480022830041,-0.3231813055285253,-0.43004549189503777,0.2229945526453252,0.0956172781576427,-0.7107552820021439,0.5629327939771038,-0.168686391491667,0.13045030622784573,-0.3077482521709938,-0.09077162248157458,0.04407079188989362,-0.680652826811719,-0.4954905235266209,-0.57028854030812,0.013125729055882903,-0.5349520175969708,0.264892258250857,0.21051279501832676,0.6363988894221961,-0.18423729018614982,0.023558563254765883,0.25438802429558205,0.38707851789863723,0.48761981663585674,-0.05654314410553662,0.12747770400681627,-0.5322316562857565,-0.6329640966514115
VERB,0.8109322454719722,-0.7170472195400968,-0.5281668609469516,-0.27037276192393656,0.5204294777427237,0.08104423027781926,-0.39212692802302335,-0.411363563213886,0.5630317065233359,1.0,0.13783047805113122,-0.615711865961785,0.4276228089379768,-0.7558953898419473,-0.4236255815591648,0.4704421705745277,0.10108877902428447,0.6036049478546718,-0.28676066528240807,-0.7542615929801716,-0.47903666269115125,0.5220157278963405,0.429849753819649,0.012758631210989356,0.09022006140055293,0.5277378892005959,0.33262902949781986,-0.3271060169756811,0.6036049478546718,-0.41736929614642754,0.3042716761146284,-0.316750443903609,-0.0918199917795645,0.2114439437533012,0.1250875542412864,-0.5841866513355369,-0.757580254472451,-0.2325836322802936,-0.15709329423787882,0.2048803054970011,0.5160072812154017,0.5339570213281418,-0.07235444359567486,-0.5973906974851881,0.35401889982754686,0.45278181730273026,0.09308166685082009,0.05095656961264471,0.5956520568569678,-0.5522294209935739,-0.5453053044046046
