,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.5199833166955278,0.059225894678903115,0.8309558887815758,0.4703070431083581,-0.8490001291932752,0.6527151350843414,0.17294562834170588,-0.12207273185953067,-0.0984661493731078,0.12411305912158521,0.253875956425747,-0.16924893773993502,0.420148026036496,-0.9059113133401802,-0.3655616594794679,0.05694669670154428,0.46299449911430335,-0.6534075591789947,-0.7287175537035875,0.8987086918768552,0.15944931386354003,-0.3059623966178305,-0.08628798319921026,-0.8152556211940406,-0.44713391900989685,0.0843403353387014,0.3349893132449685,-0.11936991202336225,0.5969779522968528,-0.18049054224442632,0.2881367733696974,-0.8400675777004742,0.5036815163962296,0.1775562558996693,0.08318697730782373,0.3776860144985463,0.11972854911945703,-0.5895849684104892,0.093380064339598,-0.1673058235429696,-0.3140436305430637,0.7811413740342527,0.3076141687291608,0.07135118777137289,-0.8360054169323026,-0.46737221785837707
PUNCT,-0.5199833166955278,1.0,0.20340612311029146,0.03514128489844936,-0.9491118404002729,0.41318782977018376,-0.617001784275316,0.6670126538420902,-0.6229415252723655,-0.7663030837030179,-0.8584343312067166,0.6345155152214296,-0.6787105968231435,0.4723815937888424,0.28462165141211787,-0.44392214332889374,-0.1848328534153896,-0.04121919940287838,0.8271936237793452,0.6804815734481489,-0.2018752857328073,-0.7013649621073649,0.9693251406499547,0.0012780386562346157,-0.008766676828825724,-0.24097482562141084,0.755631620921474,-0.4391039602720085,-0.4660932595028697,-0.9833368705682134,0.9197413406858824,0.12764496183727186,0.34815910053870397,0.387791981302346,0.1655692476194001,-0.8093647425681624,0.4422944227037602,-0.2713973607960223,-0.3833416110571112,0.7212124649146756,-0.7247488866598597,-0.4610402283106983,-0.5091435521525102,-0.966439723367302,-0.58783807513759,0.5348683989854359,0.9943961493461609
AUX,0.059225894678903115,0.20340612311029146,1.0,0.10169967333410455,-0.499472112385008,0.44682210750091744,-0.7073304032083203,-0.15940912419819428,0.3315618373767344,-0.006560092347202595,0.08606104556778545,0.607489828981545,0.13452681472687825,-0.1483337729941824,-0.46181344577621647,0.3139255963648844,0.8958336012020003,0.9121674733519181,0.5952083645551418,-0.509598612117456,0.4354501855988777,0.4550609448713227,0.3201619699291883,0.9359133479846516,0.08220422502770741,-0.8522873535720837,-0.06646790907384449,-0.9191912981398143,0.5690052936053559,-0.035102766787022996,0.08121879766330307,0.9707738778736834,-0.5892950488698208,-0.1547753282584745,-0.8057475943176468,0.17591597700844427,0.7515950622761813,0.8634710658065057,-0.26005594606376514,0.6588902217601456,-0.5224076571629156,0.3625758862448613,0.6012255704078558,-0.12740564980534572,-0.9030518868714444,-0.5318871394812543,0.12878058882753055
X,0.8309558887815758,0.03514128489844936,0.10169967333410455,1.0,-0.02850560012274347,-0.7771526165559269,0.43411940297378776,0.6720949149355394,-0.6001626254388167,-0.6330160060455341,-0.44054992584528435,0.6651645588522809,-0.6729591155631224,0.8333196791660257,-0.8353033665724645,-0.7668095437754192,-0.15178857032477786,0.42565735687671163,-0.28133764784366627,-0.3528219046764145,0.8853361219009239,-0.331704075472494,0.25632964376428896,-0.20067210677831568,-0.9830249603605037,-0.6034469449115941,0.616767867337909,0.19908490137932003,-0.5163091505869544,0.049745271942552946,0.39722150408592094,0.32561935119655583,-0.7007545447429115,0.8761861247722177,0.4078239785322371,-0.4655834230810763,0.6673640516805605,-0.13216116370048117,-0.9313307845298615,0.5275407217393343,-0.632181523144338,-0.7223043664913679,0.5209380746483441,-0.2728186742097294,-0.21608649609762184,-0.5760992097239171,0.1017539946347419
ADV,0.4703070431083581,-0.9491118404002729,-0.499472112385008,-0.02850560012274347,1.0,-0.5374488515435709,0.7897700926255027,-0.5147257414673967,0.4226596829292093,0.6575770115725813,0.7159714595806999,-0.7340375090997977,0.5330838670776199,-0.34041377062542044,-0.13216207968546578,0.2640861447607012,-0.13134922049489825,-0.24320490985040882,-0.9340658011670089,-0.4498088567970689,0.06925457656425063,0.46164347084122737,-0.9518643000025498,-0.31067227881653514,-0.05365077948898983,0.4671908046714831,-0.6251145218908949,0.6925260873821649,0.210152308484205,0.8829947272258929,-0.8257956216182246,-0.4150708102969529,-0.1424060326827758,-0.2619824437055989,0.1283551996218963,0.6426402460823538,-0.6104810075057284,-0.04361848947791287,0.39013861259358923,-0.8322195683635706,0.7875363821871817,0.2650860147078489,0.2745888863306665,0.8864404778061479,0.804169866290653,-0.32170685929084103,-0.9176791307601113
PART,-0.8490001291932752,0.41318782977018376,0.44682210750091744,-0.7771526165559269,-0.5374488515435709,1.0,-0.9042943002448373,-0.4028696049782558,0.4374351743009106,0.2590552998177861,0.10865207947412864,-0.05493083261717758,0.38804307916153574,-0.6004864008086996,0.5849760261464172,0.6311167005796424,0.47537210836352706,0.05008636081234726,0.7981653750789232,0.2975430975613528,-0.6101052998054866,0.24249436018472778,0.271326076652981,0.599645865689714,0.8569215800958445,0.027760987385571183,-0.282849685395871,-0.7433343601501723,0.5314641653359531,-0.4007904940717831,0.026070669734972046,0.21966314445560545,0.43585922748132827,-0.6688107790016614,-0.6546881157826878,0.18811969855430485,-0.05740028765502689,0.41384584015371306,0.5252760246128068,0.11409532343937161,0.03508822081699336,0.6103503455573637,-0.3361371521491738,-0.16768487356982348,-0.44057509543936435,0.42320047510912295,0.3211294341691191
CCONJ,0.6527151350843414,-0.617001784275316,-0.7073304032083203,0.43411940297378776,0.7897700926255027,-0.9042943002448373,1.0,0.11908141285471417,-0.21716163274895395,0.060192395551681814,0.1452559492686668,-0.37291434673840257,-0.09728969446495207,0.29299627643028175,-0.2720255450175296,-0.3817438951919554,-0.5756042526970643,-0.35885493458819057,-0.9523533389091062,-0.18880257067668077,0.2738391214396997,-0.1198766998863938,-0.5637361656881436,-0.7206448013469228,-0.5595650683081157,0.3687173675064386,-0.01520989685453707,0.9283284525256384,-0.4085691775577681,0.5419152349509757,-0.30855271064201856,-0.5339729850292199,-0.15019988181757735,0.3618793011006977,0.6587739874205107,0.0485367280230026,-0.37023544721793394,-0.500725858536762,-0.11971286240260948,-0.5215886903389906,0.37926924685569974,-0.3820947370038642,0.1297960241431559,0.4268847692680687,0.7769421265054113,-0.21693529129828276,-0.5305315515830037
NOUN,0.17294562834170588,0.6670126538420902,-0.15940912419819428,0.6720949149355394,-0.5147257414673967,-0.4028696049782558,0.11908141285471417,1.0,-0.9836496474626175,-0.9823485310082825,-0.951548347330156,0.6839975932818452,-0.999665885012667,0.9662831743626332,-0.19409421548349012,-0.9624135444610257,-0.5732036703928195,-0.08048728784885752,0.17885196242270657,0.4390809509149975,0.29778179147695033,-0.9025261265492477,0.7526330337430093,-0.4878649883667116,-0.7105301790871922,-0.26675651910740233,0.9909561092562256,0.1655741343144674,-0.9025221714688313,-0.6600581908948121,0.9031726756361192,-0.049549198722260046,-0.008372517020695197,0.937219506289276,0.7009135242082846,-0.967130510654512,0.4931458385002195,-0.6098762082949873,-0.8160719346588845,0.6327920614168149,-0.7582472359055721,-0.9625031743248824,-0.23507470319165744,-0.8342097133738187,-0.23185815821913128,0.18976502834120448,0.7366242277713989
SCONJ,-0.12207273185953067,-0.6229415252723655,0.3315618373767344,-0.6001626254388167,0.4226596829292093,0.4374351743009106,-0.21716163274895395,-0.9836496474626175,1.0,0.9399316634782714,0.9341634255227675,-0.5419073774686508,0.9790662089924427,-0.9409386752680422,0.07460010310707856,0.9682563504517172,0.7109337615191271,0.2538300544890624,-0.08905759111334309,-0.5365671526627963,-0.17917462404149,0.9532853599239854,-0.6774465558708779,0.631122747349252,0.6700675630349401,0.09109649330318799,-0.9615591601970606,-0.30993588639566977,0.9639603970134054,0.6485278903892303,-0.8600657090120921,0.22851785844193417,-0.12420321427156421,-0.9113137000148955,-0.809913681963257,0.9636048078981758,-0.3288400360820838,0.7426032318220955,0.7188064157383733,-0.48903396916762226,0.6312123410177443,0.9786588757932791,0.3583634629594023,0.7899134577470702,0.06609541582258027,-0.3044302953786328,-0.7012462983192312
VERB,-0.0984661493731078,-0.7663030837030179,-0.006560092347202595,-0.6330160060455341,0.6575770115725813,0.2590552998177861,0.060192395551681814,-0.9823485310082825,0.9399316634782714,1.0,0.972044830137856,-0.7854668170202583,0.9866994604212476,-0.9276258258159662,0.19916262657421166,0.8994932936057525,0.43595333814819365,-0.036047323319760294,-0.34619737204091916,-0.42611054257255776,-0.301540371403631,0.8602071345478753,-0.8554868759554696,0.3285950150021854,0.6415931919499755,0.38314866029375483,-0.9972844431732438,0.021276298439258556,0.8153174747843526,0.7365322613761978,-0.9567939174277685,-0.09367766063785378,0.03689529314926615,-0.889223007813542,-0.5618040624327758,0.9686154375336828,-0.6039128243896429,0.48485305122660394,0.830029519085751,-0.7562918338737515,0.854440426688342,0.8956552575147326,0.20546539902927102,0.90550919575998,0.4025645010126842,-0.17604884955652855,-0.819921380966271
