,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,parataxis,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9664958452672833,-0.03134632217628088,0.852271928237606,-0.7226095693357492,-0.9859072180066035,-0.7892532509640365,0.20375862029410313,-0.621272310135072,0.5553832228440929,0.7455575648666407,0.06093844641489978,0.5418981289824051,0.49385677392737964,-0.8470585062913106,0.6806431023708225,0.64228948388495,-0.025254787529176172,0.908584760764841,0.15141798338780937,-0.999743278225418,-0.8047471149283806,-0.530885851026185,0.9722451276527609,0.908584760764841,-0.972032567016504,-0.8885394090387446,-0.3160688672292889,0.9498204023589695,0.908584760764841,0.6533019243203356,-0.25861820255415946,0.6916570634885558,-0.9981393436751396,0.9451170648703078,-0.0925531104939795,-0.8867166354311861,0.516357533609718,0.9932359314911074,-0.46545725116647496,-0.13823167273162412,0.2632664389183313,-0.8219364052108687,-0.4167170323338903,0.9601738088426739,-0.15480722141138978,-0.0925531104939795,-0.9981393436751396,0.755226818755574,-0.8136476355186326,-0.0905488718902042,-0.9882468710727387
PUNCT,-0.9664958452672833,1.0,0.28685220924328303,-0.6894470465518494,0.8758323994174078,0.9958163822404856,0.6051896700836893,0.05436550016369247,0.3993222400373397,-0.7502311403925129,-0.8916419288070077,0.19730846444297323,-0.7394693989726104,-0.2541141927227603,0.9551050589746742,-0.46978941869564417,-0.8175073508123639,0.28100903468478583,-0.7709270816223877,0.10737781377594656,0.972063589851092,0.625413588821948,0.2955753003015349,-0.9997254258227073,-0.7709270816223877,0.999746263384731,0.7410037497313279,0.06195548512737209,-0.9982866007787039,-0.7709270816223877,-0.8257470857762558,0.0020035892851234856,-0.8538662977921215,0.9803485187638238,-0.8295854352571734,-0.16612831565143688,0.7383403169128057,-0.2792416290660451,-0.9897627200832864,0.2226806410025861,-0.12061774986612146,-0.5020732384352494,0.6481972279015318,0.6360887583614396,-0.8562861030758908,-0.10396733833180698,-0.16612831565143688,0.9803485187638238,-0.5616777217118398,0.9356114313671035,0.343142918175432,0.994374575450065
AUX,-0.03134632217628088,0.28685220924328303,1.0,0.49612634666186345,0.7135678572565928,0.1981153834952843,-0.5890258850131826,0.9721529656823117,-0.7637350665305067,-0.8485951000804304,-0.6894842205969814,0.995740826320087,-0.857017683906354,0.8536353617276429,0.5577906394688421,0.710919478970942,-0.7862189052533006,0.9999814317309593,0.389014474040907,0.9832376772099481,0.0539849788996657,-0.5681002143134469,-0.8303855724790619,-0.26432588726512374,0.389014474040907,0.26520033440441587,-0.43072239888756764,-0.9383624281469273,-0.34241544850669375,0.389014474040907,-0.7772040432130332,-0.9573981914925646,-0.7435520683481025,0.09223221355821286,0.2969453932742171,-0.9923172421219235,-0.4342908289903721,0.8397663608151616,-0.14719090345565597,-0.8700450516164256,-0.9855801679623079,-0.9725015170089445,-0.543534686723093,0.9216520868849276,0.24916817336657904,-0.9826065673709522,-0.9923172421219235,0.09223221355821286,0.6314678510636885,0.6065775166461522,0.9982409892637654,0.18376913652015958
X,0.852271928237606,-0.6894470465518494,0.49612634666186345,1.0,-0.25426432181464437,-0.7527502302394016,-0.9938766583959029,0.6857827368581457,-0.9393905720596966,0.03833126171564581,0.28680304291803543,0.5740629579887222,0.022209056552513092,0.8757574736278905,-0.443897248417019,0.9633232625034461,0.14646971814922252,0.5014082062247306,0.9928600140237246,0.6461168702213119,-0.8402008389169249,-0.9963842459306662,-0.8957558684232974,0.7062306070698826,0.9928600140237246,-0.7055883131705928,-0.9972751739517384,-0.7656596031809573,0.6458821043710287,0.9928600140237246,0.1607539580739156,-0.7257160039566305,0.21168416283403438,-0.8187906107829485,0.9764098717341873,-0.5997341425273729,-0.9975593319987773,0.8880449436162002,0.7857681581709363,-0.8596755678124764,-0.635888179559778,-0.2802711233586506,-0.9984596700780696,0.12035972486098608,0.9644848187976823,-0.6487307288485384,-0.5997341425273729,-0.8187906107829485,0.9865309372037221,-0.38934107228131837,0.4437778512299586,-0.762290830612467
ADV,-0.7226095693357492,0.8758323994174078,0.7135678572565928,-0.25426432181464437,1.0,0.8280683670081499,0.14584363098131228,0.5295167110621137,-0.09272756247609552,-0.9761702779940451,-0.9994287985061443,0.6459370132013033,-0.972543190954311,0.24421171500102976,0.9794951228353702,0.014585696307048986,-0.9939463899237999,0.7092852726581697,-0.3678138783190321,0.573870008583591,0.7380864355576184,0.17117586951410188,-0.2021774355483985,-0.8642831271256974,-0.3678138783190321,0.8647389012504069,0.32491843359516387,-0.42742561620687525,-0.9025714002801816,-0.3678138783190321,-0.9954307011888058,-0.4808596061201524,-0.9990414107339692,0.7634138333122842,-0.4570951191467187,-0.6214095906515478,0.3211728829317244,0.21884849550351226,-0.7979861063002733,-0.2754666888644436,-0.5847327546769135,-0.8571099088604692,0.20021379560160457,0.9295008449975402,-0.5006913979696002,-0.5710579148381012,-0.6214095906515478,0.7634138333122842,-0.09264075939177939,0.9898172440171058,0.753848208929211,0.8197864905870144
PART,-0.9859072180066035,0.9958163822404856,0.1981153834952843,-0.7527502302394016,0.8280683670081499,1.0,0.6754012089784994,-0.037103679975151564,0.4814269174984643,-0.6866762971661369,-0.8465415570757134,0.10690246485844608,-0.6748617290028776,-0.34142843188391925,0.9240372830885987,-0.5484895390824674,-0.7614616118132769,0.19213854749103887,-0.8259018870683803,0.016080028082727852,0.9894446125757224,0.6940978711860594,0.3816328295171787,-0.9976841276169486,-0.8259018870683803,0.9976220386065247,0.7992633244542828,0.15289761688000753,-0.9887633448015517,-0.8259018870683803,-0.7707522134061647,0.09337189630673019,-0.8027330791990402,0.9942733387300743,-0.8771377671642067,-0.07532618546394992,0.7968785351738921,-0.36581536870038456,-0.998663481603659,0.31083156188978456,-0.029403398692474225,-0.42094774235172056,0.7150663932809964,0.5629197586145821,-0.8999000485717911,-0.012650703640184285,-0.07532618546394992,0.9942733387300743,-0.6349290909785263,0.8994382751081144,0.2558785776040177,0.9998931985215107
CCONJ,-0.7892532509640365,0.6051896700836893,-0.5890258850131826,-0.9938766583959029,0.14584363098131228,0.6754012089784994,1.0,-0.7620025552908989,0.9715215159692727,0.07231744334893135,-0.17919360662717104,-0.6610224726687276,0.08839487727456864,-0.9237366134016926,0.34216683534710435,-0.9870751841078482,-0.03626931364464488,-0.5939395529415425,-0.9735999361097902,-0.7264946607367387,0.7751371826704333,0.9996708679288504,0.9393910803144364,-0.623677521633177,-0.9735999361097902,0.622968430050692,0.9830171262716911,0.8320467956156047,-0.5575710097909472,-0.9735999361097902,-0.05071145669807755,0.7972922706214077,-0.10239678241157549,0.7503424393093336,-0.946572265672717,0.6844799450511982,0.9837357283765774,-0.9334080414064424,-0.7126130178757459,0.9108568901547517,0.7172725326027543,0.38462157147243353,0.9984762895494796,-0.22931465313519198,-0.9293929375901937,0.7288471638055657,0.6844799450511982,0.7503424393093336,-0.9985642987558448,0.2851805813102192,-0.5400792607682847,0.6861067454651353
NOUN,0.20375862029410313,0.05436550016369247,0.9721529656823117,0.6857827368581457,0.5295167110621137,-0.037103679975151564,-0.7620025552908989,1.0,-0.8937454172994462,-0.7009845271071319,-0.5005462861434847,0.9896184047012084,-0.712396216780878,0.9519288260977775,0.3477539376734817,0.8559326369298135,-0.6195106359316326,0.9735630139787896,0.5940696328778274,0.9985855901978598,-0.1815238078217873,-0.745138537379987,-0.937837526470763,-0.03095292079555361,0.5940696328778274,0.03185928143628732,-0.6302227678461729,-0.9932346164249098,-0.11269959666521492,0.5940696328778274,-0.6080985525752965,-0.9984101722750454,-0.566143520259459,-0.14368448346689996,0.5124531905427265,-0.9936774461058775,-0.6332906821405317,0.9436196876225279,0.08870264340741332,-0.9613435375040166,-0.997788371422996,-0.8908415807330927,-0.7251067843036518,0.8050560391160057,0.469185524834679,-0.9987620654857823,-0.9936774461058775,-0.14368448346689996,0.7955966474722661,0.4033743995064585,0.9565492371186337,-0.05170442547962208
SCONJ,-0.621272310135072,0.3993222400373397,-0.7637350665305067,-0.9393905720596966,-0.09272756247609552,0.4814269174984643,0.9715215159692727,-0.8937454172994462,1.0,0.3065888880495332,0.05902557433002564,-0.8199978189259821,0.3219013354351738,-0.9881890662386924,0.10977365832429273,-0.9969380955325803,0.20155903343035547,-0.7676547099733909,-0.8917864912642773,-0.8686315556702845,0.6033582529767068,0.9651228772904,0.9938768221982348,-0.42069558389244904,-0.8917864912642773,0.41987275313165157,0.9115384359426814,0.9397895701455741,-0.3449919835596185,-0.8917864912642773,0.18737920806119393,0.9176088770025801,0.1362251735445359,0.572337289275422,-0.8432004595485593,0.8377320396519645,0.9131587805476519,-0.9918480995251405,-0.5260839204897164,0.9827121826815375,0.8619516797591971,0.5923918478288018,0.9569656499431066,-0.45342127548395944,-0.8154684305738215,0.8703257080651863,0.8377320396519645,0.572337289275422,-0.9828192925913003,0.04994740497709651,-0.72412023633669,0.4941851465967287
VERB,0.5553832228440929,-0.7502311403925129,-0.8485951000804304,0.03833126171564581,-0.9761702779940451,-0.6866762971661369,0.07231744334893135,-0.7009845271071319,0.3065888880495332,1.0,0.968279052779831,-0.7962048504249494,0.999869918050768,-0.4488276617129312,-0.9124342961158735,-0.23122100267489007,0.9941025365459017,-0.8453553837987557,0.15725525360997503,-0.7379110996631167,-0.5740827785751058,0.04670626590158567,0.40988415732797207,0.7345322762299517,0.15725525360997503,-0.7351473102442068,-0.11194405406605255,0.6134245370742134,0.7876335827270871,0.15725525360997503,0.9924310581901558,0.6596711646709252,0.9847339900544938,-0.6050556404614262,0.2531936989935423,0.7766226809465191,-0.10801030859782422,-0.4253788867524666,0.6481860665680168,0.47751253138986566,0.7468396134061998,0.9484722768265709,0.017169320955115804,-0.9873872339581328,0.3009140877229753,0.735592080359123,0.7766226809465191,-0.6050556404614262,-0.12563959517976755,-0.9353406703879686,-0.8784676829359737,-0.6759785562590527
