,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.49861584253689106,0.7102973715283993,-0.05189398464622965,-0.7703194765565564,-0.9185979321584542,-0.054899280972720454,0.8551718165979887,0.7050121021353595,-0.3780851525448291,-0.3385525215918206,0.23943442361131406,-0.8203219805674437,0.5852141902473659,-0.3490729557804204,-0.03526950624275613,-0.8601176444413625,0.9531749964484351,0.8369349832704651,-0.893094460814098,-0.039347714121896686,0.5315906202635781,0.7233447595267294,-0.10495688628953209,-0.7453414656440752,0.32073015020552803,0.815494630778504,-0.8338259543959975,0.05261170089425951,-0.4654616469291496,0.4075411951690052,-0.045503913119623915,-0.17729678395378448,0.4268658068923808,0.5437155597365176,0.6312498815219165,-0.05074388695591016,0.4268658068923808,-0.42352121321544434,-0.652028489784298,-0.2751182145547274,-0.674448989161852,0.826697670485574,-0.7876635329108309,0.43469622637331623,0.6337283586363283,-0.21134398795847587,-0.8878622223976931,0.4248237530631725,-0.5022272616575416
PUNCT,-0.49861584253689106,1.0,-0.609620700325786,-0.4114224281800466,0.1306694214417453,0.13425316687019875,0.42244963252346024,-0.01772290879382349,-0.7126759769331087,-0.561054641277194,0.7801450376597882,0.5518943043544675,0.19065473601713426,0.2616125587161632,-0.1650898053463664,0.6891995390165104,0.5876914935362513,-0.4963656498159479,-0.7648861542593307,0.4828672598073005,-0.8421421782096846,-0.5456991373231003,-0.12493531983499502,-0.7921797854956899,-0.12462504865452662,0.17188835132628252,-0.18477712118380363,-0.044937195491489224,0.18059599674234184,0.5832434252147287,0.2987180679068595,0.06421969280608725,-0.5313406405663171,-0.5554724318521908,-0.16036373500100767,-0.22292043006151127,0.6383371367176862,-0.5554724318521908,0.7772570653882321,-0.29564721004328215,-0.17753597474344468,0.5158582922351963,-0.2606793913632517,0.7328841577819226,-0.3330548231019783,-0.34698513920136753,-0.07705233583447008,0.1550622108577474,0.010829403806182468,0.9951022291085867
AUX,0.7102973715283993,-0.609620700325786,1.0,0.38575091336497813,-0.8138185155257252,-0.6208340358697352,0.37485981144598834,0.544233530995985,0.36182507699571426,-0.17648623303381208,-0.629528346713327,0.08697075286731781,-0.554027637527519,0.3628168637452022,0.4116488721990521,-0.10692021309493686,-0.6616708418248813,0.7967418419331228,0.6934764135337605,-0.8690082589003625,0.24702272139581502,0.03371112982233411,0.35182996457111937,0.08505116006800391,-0.25030071470347864,0.35296411178367687,0.27230556483645696,-0.4428517482490491,0.5427151669615942,-0.7462096829094813,-0.25242829613255735,0.010153778711680519,-0.3474116388356049,0.1872099498222291,0.7833989997356041,0.9021709779908192,0.05435095112782858,0.1872099498222291,-0.6007536410643217,-0.36408667661580585,0.4352865703179191,-0.9194432399577395,0.5737203163657102,-0.4049898333899559,-0.1079610919211434,0.9436929164399834,-0.2710142185746873,-0.7273169259526526,-0.30226652961538863,-0.6270464964387554
X,-0.05189398464622965,-0.4114224281800466,0.38575091336497813,1.0,-0.14510432516146327,0.2135007016641402,-0.033173633271119385,-0.36595277819468264,-0.30259054883245057,0.5043837394407416,-0.8744495842214794,-0.709482059404361,0.5192943019260494,-0.6004303071317229,0.5868566529653837,-0.7306685735272055,0.31034763945404736,-0.14472076647639162,0.42364692176951496,-0.3357953399272506,0.41938470941509254,-0.43888270359015047,0.23526079385561097,0.4130813029722495,0.6219091261987629,-0.635228788170588,-0.6047209219536716,0.41781835104848025,-0.0060945701666589806,-0.8543827929711262,-0.2618163275786373,0.7593236397947701,0.09335189012483285,-0.5226107008338188,0.553784504110086,0.14854492627971475,-0.5486264895550972,-0.5226107008338188,-0.8318372768181811,0.18769792208266622,0.2880872345444273,-0.6134789524604972,0.29183761419771936,0.18618117562042802,0.13745745760190495,0.1880240507429369,0.6754181385615695,0.15422936729922856,-0.7043187180902851,-0.4897810731729672
ADV,-0.7703194765565564,0.1306694214417453,-0.8138185155257252,-0.14510432516146327,1.0,0.8793881233000587,-0.5344546371542038,-0.8388950727573009,-0.14364196558346715,0.6575276687544012,0.2823055919080328,-0.4668172023722861,0.6796265121563627,-0.6960947564997593,-0.08778843084533984,-0.2502712267333472,0.5450383033276165,-0.7928683132177372,-0.5586176429230892,0.9032116757052198,0.3489014096850144,0.11257016486708084,-0.645916419628552,0.47550809972718855,0.6083555220636054,-0.4639562849754691,-0.45535010397078524,0.7848132317793374,-0.5611430429333711,0.5775607281852492,-0.2142545239605669,-0.15547342757954927,0.7164909013703699,0.08090989599036434,-0.8926118126968894,-0.9204870529320814,-0.35786714025340916,0.08090989599036434,0.3058041138638749,0.8310706852835061,-0.0893753792970556,0.8362611312794038,-0.7890308264341048,0.2309381201114451,0.029932150001277504,-0.8739984874266158,0.26531728894679085,0.936641857202614,0.08791883521113286,0.16269558255966815
PART,-0.9185979321584542,0.13425316687019875,-0.6208340358697352,0.2135007016641402,0.8793881233000587,1.0,-0.23433369515852553,-0.983412034357509,-0.45788968678877884,0.7099980185652666,0.06011247376591726,-0.5586987587616186,0.8767786745093785,-0.8201686047569762,0.3626703187847912,-0.30869598179425006,0.7401215736709724,-0.8979028883990398,-0.6004703637717953,0.8354581277757132,0.40707251524840277,-0.29808938659226764,-0.7254177913381663,0.484880672263326,0.8891388970876953,-0.5146381502192134,-0.81517519317816,0.9718169605944094,-0.2623639019745534,0.307613985607134,-0.5032859963977422,0.052885373415780625,0.5135760148701283,-0.2290201551907153,-0.6116124093007993,-0.7173772454868781,-0.2960681832275346,-0.2290201551907153,0.14149650826982202,0.8808427609507671,0.27385078841435406,0.5994515856008366,-0.8106892177305254,0.5338225922838283,-0.24026744904960845,-0.6679801262441671,0.3443660849406584,0.9806723019640262,-0.3954200436847819,0.13994243791169308
CCONJ,-0.054899280972720454,0.42244963252346024,0.37485981144598834,-0.033173633271119385,-0.5344546371542038,-0.23433369515852553,1.0,0.3113088022734296,-0.48634291266099633,-0.6406647318192946,0.2256791261753899,0.6598055587899583,-0.24897793018997,0.5454796861207891,0.5689981278807785,0.6880864486905738,0.024609632141046913,0.1443394846559287,-0.3406012170351619,-0.16320172446682138,-0.45272611643208815,-0.679085811044533,-0.1698154328648835,-0.6098473409469677,-0.14034375902794466,0.6576791135649678,-0.15237821809154908,-0.2406753687186502,0.9615887121110314,-0.03953082721603252,-0.3497379227706424,-0.13045211117666752,-0.8999886776858802,-0.3465809691009448,0.5015447783498621,0.6923400342887311,0.8485345447218832,-0.3465809691009448,0.3171365956156048,-0.39976406241080764,0.6330231906610663,-0.2875101284688259,-0.038062741536376773,0.5341191794988228,-0.8207130365222362,0.6344203916886142,-0.5410793102799744,-0.3854450963635572,-0.5533667839411595,0.41816197465690663
NOUN,0.8551718165979887,-0.01772290879382349,0.544233530995985,-0.36595277819468264,-0.8388950727573009,-0.983412034357509,0.3113088022734296,1.0,0.43030265592112205,-0.7991190097838631,0.10916391605647623,0.6938756700149682,-0.9202011284434584,0.9080102682540953,-0.38363739045219725,0.4680829269684123,-0.7341860549613811,0.8685296756765196,0.45633407147888017,-0.7335659061234012,-0.4883538541335103,0.28791416807122827,0.619814992265364,-0.5731180048283703,-0.9398694828999418,0.6395884510466602,0.8420257424619699,-0.9917411311657413,0.32888896491204117,-0.14755748558337708,0.480446075193482,-0.1846125348153471,-0.5719894055281349,0.26645542442267084,0.5204326457882466,0.7014313726538366,0.44040168436994725,0.26645542442267084,0.034594756120371474,-0.8841579152342142,-0.24671539789618804,-0.4797402783933339,0.7008312583155255,-0.47752000144299034,0.1281088070359094,0.6437195986305859,-0.4776650602536856,-0.9688792701830126,0.4342140517090473,-0.0105628872300667
SCONJ,0.7050121021353595,-0.7126759769331087,0.36182507699571426,-0.30259054883245057,-0.14364196558346715,-0.45788968678877884,-0.48634291266099633,0.43030265592112205,1.0,0.11319555559953906,-0.19339139383760343,-0.029689565682944626,-0.6486570815114806,0.24208883257259797,-0.4351966657591757,-0.2049384024738064,-0.8762653249263322,0.7084728101148644,0.6200624215428249,-0.39180907551051014,0.4367822275881828,0.9416917644201048,0.19906003235421502,0.412714529348471,-0.4761949408860666,0.22885304757219993,0.7661557371229079,-0.4216470621063003,-0.28640405129655394,-0.051429120185541244,0.1223381760016855,-0.488000050069169,0.4425928545605184,0.9071171413594596,-0.13931419425413077,0.13886862106240738,-0.3094816947599227,0.9071171413594596,-0.25856927172726224,-0.018418529909538916,-0.2380602626765834,-0.16304579481199047,0.27189458650450654,-0.9790381905307548,0.4404443945080961,0.21735661570766998,-0.3103642121793372,-0.40139679346295726,0.6376429583102943,-0.6628638929572438
VERB,-0.3780851525448291,-0.561054641277194,-0.17648623303381208,0.5043837394407416,0.6575276687544012,0.7099980185652666,-0.6406647318192946,-0.7991190097838631,0.11319555559953906,1.0,-0.5266051207315885,-0.9318024121314288,0.6533474720015885,-0.9227107569629701,0.2553177192467756,-0.8390001304904025,0.26580841696628715,-0.43574527818439507,0.11621548020168118,0.32894490914138896,0.8614064015711689,0.17498887581481276,-0.34501511693533965,0.9334150587145087,0.7950345249868335,-0.711987686678995,-0.5158100116026924,0.8090862331797837,-0.5313450411767703,-0.19041650195274046,-0.42224244145788703,0.16275209806412066,0.8611597710696134,0.11965023119823127,-0.38920071850016474,-0.5489644465477038,-0.822707667826235,0.11965023119823127,-0.4893004565866675,0.8730934946364521,0.13593831152544775,0.14530399244543432,-0.36682999146010015,-0.10340204854970779,0.24568836072292471,-0.4351817685376389,0.5267258013624032,0.7201470513477014,-0.22824990162764486,-0.5661840125284716
