,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9390542868255438,-0.05754147303119164,-0.23033672210703623,-0.05541729107779164,-0.4679578150023736,0.44086571286024384,0.10190722072048401,0.5741051743518412,0.01930311986768533,-0.008629290282812951,0.7338390814257633,-0.12927918844588587,-0.49575424832113224,0.6447066097197419,0.0983211514915012,0.2709090293234361,0.2436460809306034,-0.06801861870345567,-0.9381397971472059,0.08386413668353618,0.5237159739393761,-0.2655225775775374,0.35218089378492123,-0.40301539924661955,-0.18803082836744706,-0.5403551313817251,-0.3592723840454334,0.43455913701944954,0.4728786946857192,0.20097558004252464,0.11251422675157186,0.42807169043242793,-0.1129000951367929,0.43656139620824636,-0.1249314244347818,0.6160055983135567,-0.1129000951367929,0.006737839889749665,-0.21040580377852433,0.21161527514807724,0.015964469980206886,0.10075458859805253,-0.3089216233892195,0.3482913891890889,0.35218089378492123,0.18096329033851208,-0.4552322022579647,0.7336204741319221,-0.952763857466973
PUNCT,-0.9390542868255438,1.0,-0.10419202248329314,0.3947253409575272,-0.016331658351846225,0.6049841032967117,-0.4766952074833036,-0.1158709302361224,-0.3473061796923133,0.1901314299565621,-0.10909696282239113,-0.5422698697064513,0.004351668428424559,0.4050339386482258,-0.7706083751531122,-0.3033635842853198,-0.4028062990025088,-0.17992036518493618,-0.021769698728272606,0.9021543619855099,0.10047183684510903,-0.24888805374003536,0.27383697915073957,-0.37171463240848385,0.29835556278197983,0.34787351180334275,0.5206286759960325,0.3467907155137073,-0.4660404119968475,-0.6311086384080926,-0.00675543169746255,-0.09450272595919397,-0.39300491838677004,0.09590197312827682,-0.4199981210407037,0.09381766957698401,-0.7089176225342242,0.09590197312827682,-0.17299981971522393,0.33258484405100064,-0.43722117171805586,0.16104561054294542,-0.10925942404007938,0.28573330727016877,-0.2046038736183675,-0.37171463240848385,0.05732837069274809,0.4110707478737125,-0.7976785411362094,0.9789386283003235
AUX,-0.05754147303119164,-0.10419202248329314,1.0,-0.6691304119267386,-0.5344992443607312,0.03883351950258394,0.3029060669964961,0.46576134696140725,-0.01941531549922277,-0.34042106848923775,-0.0011564743635160588,0.17608890158545595,-0.3560101014120105,0.1864336279693305,-0.01282697771896374,0.5018344231172881,0.30060770710511586,-0.12423810786683358,-0.05981740121203687,0.2471367984532125,-0.39337837297700357,-0.08641697672140151,-0.5754383999107762,0.534947741837495,0.552870659664922,-0.022388936029566958,-0.23792192370381773,0.3074170372015799,0.27695551088574355,-0.07883971775437967,0.09139184040288587,-0.19054743938995133,0.0030671970760439943,-0.5082165840658405,-0.3887844512669085,-0.06344158442808238,0.0280055041306291,-0.5082165840658405,-0.003868734347263084,0.09780775535483947,0.5456408464348222,-0.6092374462194536,0.779458915227994,-0.3626552247331583,-0.12182117368227204,0.534947741837495,0.287547845881433,-0.13996060011510142,0.15829451626717206,-0.11202525363380988
X,-0.23033672210703623,0.3947253409575272,-0.6691304119267386,1.0,0.30206983440003654,0.48869622802251944,-0.38836031876300836,-0.06096646477209469,0.005609174892988418,0.42686621342902287,0.0495287435596982,-0.20713781208453627,-0.2302229054458851,-0.009019605022134869,-0.3059519277424678,-0.42377155783771175,-0.3941037464284561,-0.024040607334379065,-0.5069637169472064,0.1835686690990662,0.7447166236774995,0.06612553367841399,0.19566849956667223,-0.26717069831282886,-0.5234627468004122,0.03889579594176213,0.28366152452211024,0.35623008746079715,-0.373516106810258,-0.10822539140458977,0.008292213390957578,-0.44989784184671755,-0.47495320693483273,0.7993369374237043,-0.1663321417281272,0.09286211084970486,-0.47525965668326814,0.7993369374237043,0.020876690075255312,0.4978933066040532,-0.6740752048896806,0.917718005558021,-0.4190976028138474,0.23090849471368,0.06435103106163764,-0.26717069831282886,-0.07686655059500673,0.26045723510695684,-0.1840803977490261,0.2974641646268116
ADV,-0.05541729107779164,-0.016331658351846225,-0.5344992443607312,0.30206983440003654,1.0,-0.08757674232311502,-0.28042253413586876,-0.5661197076136143,-0.1622880674455099,0.13668225733604336,-0.22697427087027147,-0.5982387097637499,0.7187723335001018,-0.411084392478695,0.5415561342990884,0.08848625599400609,-0.14499752016102768,0.5957949927386932,0.19035377292608274,-0.2540940658780062,-0.31606551463600313,-0.2502824834415714,0.04272123585520513,-0.2855390647581313,-0.3018554369397826,0.19118620147341947,0.18155940337142537,-0.1752825079137417,-0.24894705989713578,0.324247887310645,-0.36547213510749443,-0.04380306971579578,0.2676876767215665,0.419311896383729,0.4044665728018791,-0.3313261344076321,0.023031671797991825,0.419311896383729,-0.04064838966404248,-0.5429698733374392,-0.20758038636135567,0.30148148767070604,-0.3146888875630524,0.6760322433258421,-0.3890302336036743,-0.2855390647581313,-0.6192296717648018,0.7402599096491388,-0.27455048362823103,-0.0036263396995671066
PART,-0.4679578150023736,0.6049841032967117,0.03883351950258394,0.48869622802251944,-0.08757674232311502,1.0,-0.6354260389109689,-0.00614741476106634,0.05899427106556279,0.7112787259852184,-0.0005693979281525708,-0.010161065398020884,-0.5078534099553201,-0.22389257672485377,-0.37141605735191546,0.16653462513434913,-0.012773096458825791,-0.02054251279796642,-0.717028272260139,0.5411806541586723,0.29095451492233426,0.1793676910438229,-0.28072702655888976,0.0015629518569649382,0.17541112892022215,0.23267629720731325,0.5878126847454096,0.2969421487556954,-0.6306936041475628,-0.3563021296437126,0.5984938937532783,-0.5428769110411,-0.13136134361657772,0.2745520002168087,-0.17540798931919593,-0.4866123314445147,-0.9616176265286487,0.2745520002168087,-0.0487232174475325,0.4721354670350577,-0.20357015682545646,0.5133642562613707,0.2067603656138355,-0.22482973843317822,0.2811450994234663,0.0015629518569649382,0.37584470296519834,0.44992369624420203,-0.5001818145226238,0.4365306946718571
CCONJ,0.44086571286024384,-0.4766952074833036,0.3029060669964961,-0.38836031876300836,-0.28042253413586876,-0.6354260389109689,1.0,0.09402206371437705,0.12722430032947815,-0.4417204692585731,-0.09803650361659022,0.31210238989715844,-0.04424224900670807,0.1412045781279554,0.1262020206155836,-0.2737440896150399,0.030780284451606018,0.02024382102964985,0.31810811302905,-0.4007169724217675,-0.11000319405607491,0.05392302674640403,-0.31490915217297155,0.675182575456876,0.12387369966651839,0.056187334693786985,-0.7988563964505454,0.03366910930963015,0.9989299056604535,-0.2263458506529112,-0.20095254434840898,-0.020333758960467647,-0.1917901450330043,-0.3451500165211482,-0.44515162201714875,0.3870485683605712,0.7172902581906898,-0.3451500165211482,-0.11950026621651205,-0.19049883503580906,-0.10768240425721354,-0.2774947735838958,0.3957915758280715,0.18826582265733155,-0.08136600987913171,0.675182575456876,0.05428013426939973,-0.5748265576415297,0.644304252552952,-0.41349378335666204
NOUN,0.10190722072048401,-0.1158709302361224,0.46576134696140725,-0.06096646477209469,-0.5661197076136143,-0.00614741476106634,0.09402206371437705,1.0,0.36601912560898114,-0.510770618737066,-0.1260555452286932,0.32394390740859813,-0.5687068614581552,0.532851963720849,-0.3226739721542502,-0.07895959496366434,-0.3231414980817859,-0.1896714845714708,-0.16332202352683736,0.1894819423709066,0.380754476064986,0.2761911791854869,-0.0777402396687258,-0.03291554301112558,-0.363927524556893,-0.11992243429674934,-0.44429897707769944,0.7005590594699004,0.05426056810011298,0.21944453667337455,-0.2113482438635223,0.008312334125669717,-0.19095073683579425,-0.1317817819901893,-0.2868990869728636,0.5034991411623699,0.1494699812420715,-0.1317817819901893,-0.20615878125385131,0.7481823880346941,0.15790531726034873,-0.2166746741455597,0.28463591700382773,-0.40337635046444686,-0.26493465324993287,-0.03291554301112558,0.46266572435287023,-0.32711559309072197,0.1766555945324665,-0.12254434811443941
SCONJ,0.5741051743518412,-0.3473061796923133,-0.01941531549922277,0.005609174892988418,-0.1622880674455099,0.05899427106556279,0.12722430032947815,0.36601912560898114,1.0,0.17775477909367138,-0.6648723567772553,0.7297670128262849,-0.28535224271683407,-0.34659053135582435,0.10007862476299378,-0.27053276004067744,-0.39659500276340903,0.580480361821906,-0.07866312907496194,-0.44144315957166447,0.16815397259617218,0.9710889483990582,-0.35755036478227853,0.10706189589910786,-0.48899785232175946,0.5242331151168684,-0.5615527809104486,0.12528612898393204,0.12353190120398073,0.006150764446921909,0.31419475472888003,0.17905759297772317,0.51799052862905,-0.37146821412735503,0.22904173560893984,-0.1383789290036212,0.18628293721744332,-0.37146821412735503,-0.7169363219033508,0.22016014739081882,-0.2656145925720522,0.07517583412075055,0.40081071556579323,-0.1223176767057159,0.03509709439881177,0.10706189589910786,0.7872885935029424,-0.07060296114611224,0.028728498637913893,-0.4221090113392605
VERB,0.01930311986768533,0.1901314299565621,-0.34042106848923775,0.42686621342902287,0.13668225733604336,0.7112787259852184,-0.4417204692585731,-0.510770618737066,0.17775477909367138,1.0,0.08369376655809534,0.24555778985253002,-0.2604191771345571,-0.7242957956997478,0.06538148699902807,0.14315799877354796,0.2673656491385232,0.14616991382997546,-0.6124724533656029,-0.06742317602514328,0.20134794233296324,0.3430408327215911,-0.25104069575445986,0.13504895853120996,0.12754401493689116,0.18346893072844395,0.5423734469646695,-0.3332762390537102,-0.41852256864588494,-0.26745545087683464,0.8280711328077054,-0.38810613363504487,0.17928368290519361,0.2666327495931827,0.23224682077762437,-0.7423066091197886,-0.6835529041934102,0.2666327495931827,0.06031593931842586,-0.023692035330474683,-0.2332257944710307,0.6467983899038741,0.0022604215051309335,-0.18272603390070877,0.6659134533317655,0.13504895853120996,0.2473317615702037,0.2871343750008531,-0.20547268572835536,0.030871112895049048
