,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9969758275144834,0.7954244500175135,0.20116328393740013,0.22425581094184205,-0.16227928476359235,-0.3335454623239288,0.4238565663077944,0.5525578700852641,-0.00990124830811864,0.9751313380489945,-0.22167135750451133,0.08022155988385538,0.23503568350170065,0.8431854076181111,0.8354628769093111,0.7945460841591631,-0.19837544531322188,-0.9941026474907787,0.9402647102049839,0.5131608824631093,-0.7694894690853472,0.6594529218042917,-0.9469530334805093,-0.11105657387412832,-0.41522248132993994,-0.8403638029266244,0.21244005178286043,-0.48616538026886746,-0.6636851105783131,0.5007148941782993,-0.057841576941351044,0.9485740950198329,0.7478404044791324,0.5294592865836957,-0.07380420289135745,0.6594529218042917,-0.16047877225699267,0.38748666887001204,0.8805683813592773,-0.7494933694097833,0.5498027787394784,0.32263195032896197,0.651022266086222,-0.35465327927368895,-0.05032896185860254,0.07784929187690597,0.434909676463962,-0.990081105985889
PUNCT,-0.9969758275144834,1.0,-0.7468703666482629,-0.24082888092964444,-0.26383545261223346,0.23654029349925842,0.308512314284326,-0.4923099423516674,-0.5391479553054347,0.062156316616215276,-0.9893982656552818,0.28221741818150725,-0.07063683864053825,-0.2526975658730414,-0.8671918576135089,-0.8022582995264329,-0.8212475542378117,0.25736492211931783,0.9964783807825145,-0.9530569892995739,-0.5704157804906564,0.7177196321712427,-0.679541344771303,0.9202380675373366,0.03360106043257293,0.35392123028154354,0.8784285180315548,-0.13616061986128536,0.5525059823357695,0.6094406164355711,-0.4770111877539416,0.1041653375341598,-0.9639091973272164,-0.7562108372481476,-0.5352129710919761,0.13491431581217403,-0.679541344771303,0.23302968371174643,-0.40760081749073906,-0.8570092343207751,0.7648098749103265,-0.49043257153348196,-0.2581773452086589,-0.6237408917343815,0.2892141993676531,0.07807863400099348,-0.13434577721050817,-0.40782089020380075,0.986138432658464
AUX,0.7954244500175135,-0.7468703666482629,1.0,-0.24837212369406758,-0.029325428343759733,0.46876979244584815,-0.5567087200775421,-0.18085668959574486,0.6284493160105488,0.48121456057681994,0.6433064131163536,0.36104184040488935,0.015410167107978356,-0.06757552751228209,0.4175148069343321,0.852691311927396,0.467460607309716,0.3714627774629053,-0.7395043656097853,0.5951823502407236,0.007838442731740931,-0.983148473668509,0.4400530753614022,-0.9470256435799768,-0.6711733046165923,-0.8472474196018639,-0.3407101925166389,0.7364303568229039,0.13718913723540438,-0.9668093584083557,0.46891698364159906,0.406055408193629,0.5896387045176549,0.4349625608240489,0.26288526626687225,0.4837754361670758,0.4400530753614022,0.4669706771084638,0.03899819501355721,0.8128602651622484,-0.3864876016985014,0.924601854349112,0.7995938444655423,0.7942656159622756,-0.7214403249589251,0.28600193884953484,-0.4537896271115283,0.6442337504087459,-0.8117267670663986
ADV,0.20116328393740013,-0.24082888092964444,-0.24837212369406758,1.0,-0.37255313050413474,-0.7140293496730384,0.8334200481704216,0.44814374452320616,-0.648471594290246,-0.9655808605923453,0.3163355319285324,-0.9305856574984797,0.7763482456496622,0.9534909964872825,0.6917157512663468,0.2812735244888101,-0.04336683365678775,-0.9447379682767209,-0.30523336377659466,0.521698991511617,0.15873668646284297,0.12865260861181535,-0.2985949352524324,0.04778210339866296,0.4474972577702065,0.7160510439368529,-0.5596185677549035,-0.3893654555549319,-0.5892877537469331,0.4876209371176213,0.6320060147782292,-0.9860066088886893,0.4892043596241649,0.7613360624205484,0.8563218489060596,-0.9306187122555412,-0.2985949352524324,-0.7700531561982548,0.9515907654565304,0.3621790301188549,-0.7851798216250279,-0.5921716408324121,-0.7559191786039255,-0.6077552073426973,-0.0027006720230412307,-0.9708787319573958,0.9583788545516488,-0.7802798960798721,-0.07649778347261958
PART,0.22425581094184205,-0.26383545261223346,-0.029325428343759733,-0.37255313050413474,1.0,-0.35308663749886227,-0.6497886994923897,0.6613679053535172,0.7222498116630135,0.2598654923713538,0.3281126460543883,0.016637181644534267,-0.8610568300303234,-0.6030372286023723,0.023524041340608117,-0.33272041877729186,0.7667111888414518,0.06218910925745908,-0.18992997464024702,0.08840143889005024,0.8414018919679085,0.20298055624768202,0.8695716820020383,-0.1320290052577806,0.533325562389227,-0.08921145662980133,-0.34020027738234154,-0.5283612278185655,-0.5220574214122458,-0.07148440474108063,-0.7101455850628271,0.33671179731969536,0.15831638395368405,-0.297646025611087,-0.5281140410076837,0.07781486867298328,0.8695716820020383,-0.2738936488705775,-0.4977957959043282,-0.26395186370682966,0.22825452785808617,0.054329152464211224,0.043917982579566396,0.5431965994713837,0.7076260345112705,0.5719951020909491,-0.16481088591471463,0.6167568158176078,-0.3312417313480546
CCONJ,-0.16227928476359235,0.23654029349925842,0.46876979244584815,-0.7140293496730384,-0.35308663749886227,1.0,-0.4391862032607337,-0.9049068157898252,0.23597114595704863,0.8115343387860214,-0.3727581976206731,0.9201483033778111,-0.11508728858602328,-0.4729816300458293,-0.5568552361508486,0.16003257925132736,-0.38402930936028656,0.9040869143404455,0.2462998156638937,-0.40654346030611294,-0.7220638893426429,-0.4748701484708553,-0.2272274374846271,-0.1625209142302737,-0.9247802911604892,-0.7814949538787136,0.6706889835370511,0.8826043058000153,0.9286364920439798,-0.6110772874381147,0.013613439988769386,0.7607594785916384,-0.42610155943909306,-0.3958866436495646,-0.36243692168813574,0.9052747177680213,-0.2272274374846271,0.9964256755264116,-0.5200190988556372,0.029888944078252974,0.47614726935180746,0.7092195738277373,0.8385800679594811,0.35851117427965,-0.6437161079109194,0.5585745867422927,-0.8642303162626315,0.4326312918082272,0.11813503189337815
NOUN,-0.3335454623239288,0.308512314284326,-0.5567087200775421,0.8334200481704216,-0.6497886994923897,-0.4391862032607337,1.0,0.02657268614616264,-0.9610047899891082,-0.8635216096250903,-0.2510147729369155,-0.6814638626720622,0.8173329991561769,0.8343511533073589,0.19404235084203636,-0.06021474467010271,-0.5749019834443339,-0.714570884231498,0.23584940643621374,-0.006835857842174791,-0.2979287996714069,0.4037660995957306,-0.751944945144473,0.4956079827635481,0.2962016073866976,0.8050183780565846,-0.009565310048238058,-0.2942808491683785,-0.14967917301029376,0.7214267277648319,0.4724861215755797,-0.8774083004328805,-0.0543463016710189,0.3714181968068683,0.6034742358600492,-0.7623194030005567,-0.751944945144473,-0.5056328606091887,0.7393817799169591,-0.02927594034249374,-0.37404356137670053,-0.7535907912838419,-0.7860213682986787,-0.9284576705650591,-0.012007734456822816,-0.9242201688626416,0.8044134922335412,-0.9931819339056834,0.45866444782184634
SCONJ,0.4238565663077944,-0.4923099423516674,-0.18085668959574486,0.44814374452320616,0.6613679053535172,-0.9049068157898252,0.02657268614616264,1.0,0.19940137695352536,-0.5170129592613728,0.6113158379083699,-0.7301856690904883,-0.19549172452533647,0.19589305137161145,0.6130256453063412,-0.04711540028945732,0.7315887078225585,-0.6971341014674565,-0.4732476564003694,0.5453308562783789,0.9463340003755468,0.25160961586547675,0.6200465912130384,-0.13767331955242199,0.8500089735490045,0.4583367970661024,-0.807365767159754,-0.7940341928210414,-0.9832751456133322,0.2815496022706063,-0.14443012339684505,-0.46321753856981457,0.5860893570928261,0.35990012410533323,0.20572384316419023,-0.6645728644777192,0.6200465912130384,-0.8743050186646117,0.3018389233843921,0.08397884746701939,-0.44424318112119254,-0.38630529913340406,-0.5374718294073545,0.06792326176077638,0.6462444762208162,-0.22896986893529087,0.6046329694306521,-0.010372954872340495,-0.4259032287333219
VERB,0.5525578700852641,-0.5391479553054347,0.6284493160105488,-0.648471594290246,0.7222498116630135,0.23597114595704863,-0.9610047899891082,0.19940137695352536,1.0,0.702516797510746,0.500060913667446,0.46761364785755216,-0.7485803866257068,-0.6786249696119778,0.07408952951058856,0.20790155502850463,0.7742222747555613,0.5065991864678603,-0.4704381241517712,0.2640534882940798,0.5012198004031413,-0.4756611519235041,0.8919293575177899,-0.6477220196583089,-0.1674330381190213,-0.7397455371634527,-0.2673108693790821,0.19310924512559488,-0.09809641273840748,-0.7372387117032637,-0.350000040857112,0.7134622306033537,0.31423092130719443,-0.1399233347506398,-0.4127551688162674,0.5781415726472567,0.8919293575177899,0.30051419073099883,-0.5487773887078785,0.20730377887069806,0.12999542975739733,0.7294793490233441,0.6936266854211093,0.9709134057709855,0.034503878079985825,0.7903300975454657,-0.6237924258510569,0.9766185321872698,-0.6636468381913321
ADP,-0.00990124830811864,0.062156316616215276,0.48121456057681994,-0.9655808605923453,0.2598654923713538,0.8115343387860214,-0.8635216096250903,-0.5170129592613728,0.702516797510746,1.0,-0.16347916796351988,0.9573592734448177,-0.6519035102200836,-0.8588294517599837,-0.5452941706888845,-0.025492585273881662,0.09372553065786765,0.9694638728714188,0.11816947900237142,-0.34783589095769046,-0.21459750121837742,-0.37925389669956316,0.3171354170802884,-0.2676166191836976,-0.6270100316381679,-0.8709605930366159,0.4664664400482099,0.5883851813655657,0.6268459715467852,-0.6884312150579989,-0.41735126219730934,0.9943150885894887,-0.3245041096038812,-0.5800189580589907,-0.6925613638008321,0.9827146615841645,0.3171354170802884,0.8570259182773958,-0.8392876607689608,-0.11649944866849722,0.6198852737387579,0.777109388646718,0.9001301450149831,0.7198921942285987,-0.23283248088330577,0.9314876641356676,-0.9942069665284017,0.8381352138130947,-0.10194924278796182
