,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9463183925929199,0.13122607213666823,0.008247580463246246,0.5605820361326441,0.49348947586514746,0.999919736024702,0.14682294657981465,-0.8484481000251223,0.6378359872338955,-0.9855591718798383,0.9333262578278797,-0.3346439798993163,-0.9841635237844245,0.7971256747179305,0.999806076700589,-0.5690372458951926,-0.8701197388724794,-0.9194512474276343,-0.9102268661315299,-0.978444500792281,0.29122632715551755,-0.937569440012355,0.8384075597074904,0.008247580463246246,-0.8267162349416347,0.7688538362416593,0.9857178750586651,-0.5325192365647716,0.008247580463246246,-0.7944616992498698,-0.017905408930625116,0.8153162682579868,-0.12761572467231092,-0.2002895730600766,-0.127615724672311,-0.25356568637284516,-0.7630619922553317,-0.39913737484211087,-0.8423836909419992,0.33080590604811333,-0.9795648461373035,-0.9086042884896475,0.6177626227079092,0.831855431433915,0.9934786055950386,-0.14204305958283928,0.7051847208664821,0.8195788305199672,-0.8957336260897272,-0.986372191627901
PUNCT,-0.9463183925929199,1.0,-0.44462243417240166,-0.33102982488752636,-0.2628177319429423,-0.748133233957679,-0.9421471317186143,-0.4586742597999163,0.9739839255216443,-0.3546485515628974,0.987386768537122,-0.7671725896472692,0.6212794455524582,0.8740342756534959,-0.9495089141021198,-0.9525003224558253,0.8042911573277151,0.9827140566406966,0.7429959382067588,0.7275091880697141,0.8591685812737685,-0.584817883834527,0.9996600781396966,-0.9695782678842383,-0.33102982488752636,0.964195520036268,-0.5208954984309181,-0.8783683738978479,0.2303400269305291,-0.33102982488752636,0.948119538693193,0.34012837998440776,-0.9587075449656944,-0.19982799577826302,-0.12714846128253454,-0.199827995778263,-0.07271816562737128,0.9310151914166126,0.6740832455340363,0.9713480051711103,-0.008010300568471677,0.8619682314022737,0.7248268399155363,-0.8387814774394359,-0.9665936013144979,-0.903292135979663,0.4543764836789073,-0.8965112209505111,-0.5903791520350639,0.703941355537319,0.9866039455421595
AUX,0.13122607213666823,-0.44462243417240166,1.0,0.9924010489378303,-0.7473749060234097,0.9269892478545206,0.1186553928090397,0.9998759714034628,-0.6360401446190016,-0.6798114238301357,-0.2971981478759768,-0.2334479245355221,-0.9781096933848108,0.04658216360412808,0.7031956063742978,0.150723196212236,-0.8898733055647775,-0.6027609230714011,0.2691478032146179,0.2910834267914068,0.07632671879229168,0.9865979736772293,-0.46782409833418515,0.6503514659118171,0.9924010489378303,-0.6662405716217457,-0.5330014555723933,-0.037596906358473806,0.7692180680351016,0.9924010489378303,-0.7063165778150929,-0.9935431972257341,0.6809995680875314,0.9665003510890235,0.9449812259564112,0.9665003510890235,0.9256788275334268,-0.7408698119971906,-0.9613395219073797,-0.6447609396839626,-0.8921277901698219,0.07084488329427406,0.29481376744950666,0.8606310867802981,0.6593541865043835,0.01733759158813316,-0.9999403833750734,0.7954309483904257,-0.4604615835757384,0.3232029070458274,-0.29254430335512804
X,0.008247580463246246,-0.33102982488752636,0.9924010489378303,1.0,-0.8234472848810136,0.8737922798568182,-0.004422358895263582,0.9903400793928253,-0.5362582281868089,-0.7648854245756286,-0.17745410659003225,-0.35131948636807925,-0.9450725849149225,0.1691399672338774,0.610367251696092,0.027938177814364355,-0.8269769612579475,-0.5,0.38560740112396513,0.4065886978188983,0.1984331250578745,0.9590235582402066,-0.3555189886468599,0.551940114111842,1.0,-0.5694183864471858,-0.6330616363572945,-0.1602695642053417,0.8419971172297325,1.0,-0.6138459892703664,-0.9999533551984467,0.5857205674321277,0.9907374326279407,0.9780515166347585,0.9907374326279407,0.965193966651498,-0.6525967344240635,-0.9201518688300419,-0.5458075016142219,-0.9409383692291429,0.1930427155593258,0.41015005793956666,0.7914329379904405,0.5618342976774369,-0.10582101093922225,-0.9909983242330237,0.7148155836058758,-0.5661874092886566,0.4371883714647907,-0.17265891549279494
ADV,0.5605820361326441,-0.2628177319429423,-0.7473749060234097,-0.8234472848810136,1.0,-0.4435991429219769,0.5710288130359455,-0.7368183063895878,-0.03732975100162171,0.995338163836471,-0.4122636325046621,0.820517767887414,0.5927591458818616,-0.698495656863792,-0.053162901011049674,0.5441656851828706,0.36196339330386795,-0.0796529206621358,-0.8410396694640393,-0.8531808236616298,-0.7195090708441001,-0.628948025111998,-0.23757333132835926,0.018646033015985615,-0.8234472848810136,0.002461996207816225,0.9605124277560148,0.6920317937585876,-0.999438446664175,-0.8234472848810136,0.05755530960004945,0.8179286885127686,-0.022430752261694716,-0.8928671828384219,-0.9235976520290937,-0.892867182838422,-0.94317947724796,0.10746242340117841,0.5355272950793288,-0.02598072028095437,0.9669197943857293,-0.7156808243481858,-0.8552094121980264,-0.3048810583147652,0.006734635115388887,0.6513450055914539,0.7400755823814634,-0.1918277991391795,0.933914045139381,-0.8702976019978255,-0.4166959772450795
PART,0.49348947586514746,-0.748133233957679,0.9269892478545206,0.8737922798568182,-0.4435991429219769,1.0,0.4824303652533965,0.9327816627658314,-0.8790411938682071,-0.35509330544233453,-0.6336393525725595,0.14832024701475538,-0.9847491921749578,-0.33149956513907636,0.9185409297760981,0.5105216822399731,-0.9960209895471985,-0.8580437253981205,-0.11174962026256857,-0.08901451654247225,-0.30323967104421146,0.9757687944105848,-0.7651786972742184,0.8877981315436891,0.8737922798568182,-0.897314729918552,-0.17671937181643133,0.3399707819787384,0.4733808263380082,0.8737922798568182,-0.9202711372561709,-0.8784484644688161,0.9059500780337494,0.7996633881329105,0.7532869681520838,0.7996633881329104,0.7161946908118936,-0.9387056364373173,-0.9944377804700659,-0.8843977553405638,-0.6575344788028477,-0.30847299043451765,-0.08512782664662068,0.9888013856956499,0.8932175038324831,0.3911032847025275,-0.9310296568806096,0.9646757946933783,-0.09388504584186651,-0.05535119822903208,-0.6298639692018804
CCONJ,0.999919736024702,-0.9421471317186143,0.1186553928090397,-0.004422358895263582,0.5710288130359455,0.4824303652533965,1.0,0.13427875799819913,-0.8416741949165761,0.6475426493871315,-0.9833346877005206,0.9378001428794102,-0.3226778884335583,-0.9863304009547679,0.7894115542147317,0.9994763254157795,-0.5585731227141902,-0.863805755754187,-0.9243592288858014,-0.9154004599962412,-0.9809823877558527,0.2790824227311711,-0.9330876860013099,0.8314347195982476,-0.004422358895263582,-0.8195216593606254,0.7768934477331182,0.9877724006557822,-0.5432003623522587,-0.004422358895263582,-0.7867034380984304,-0.005236294616229351,0.8079148655071449,-0.14017159852629704,-0.21268647577147518,-0.1401715985262971,-0.2658009732300541,-0.7548119928264603,-0.3874885952529333,-0.8354886482445818,0.34273574294969583,-0.982034463012488,-0.9138229659613628,0.607750028062153,0.8247570718569326,0.9948434485150531,-0.12949041511158563,0.6961449973569076,0.8267723655139315,-0.9012945708505076,-0.9842084828901567
NOUN,0.14682294657981465,-0.4586742597999163,0.9998759714034628,0.9903400793928253,-0.7368183063895878,0.9327816627658314,0.13427875799819913,1.0,-0.6481143321094051,-0.6681767449253947,-0.3121990088997729,-0.2181047924441504,-0.9812656598587765,0.030844139436727643,0.7143061169459076,0.16627392497223487,-0.8969479080428543,-0.6152529084211374,0.2539462463716361,0.2759799641604917,0.06061385195695291,0.9890454271288531,-0.4816856843709609,0.6622345315338585,0.9903400793928253,-0.67790280483811,-0.5196096033169254,-0.021854035106703848,0.7590590475942179,0.9903400793928253,-0.7173778730010214,-0.9916331361815384,0.6924480937875096,0.9623381676695767,0.9397120241932067,0.9623381676695768,0.9196058776278884,-0.751355948174227,-0.9655571187890453,-0.6567195212540101,-0.8849018530988707,0.05512632601563235,0.27972784275635004,0.8685443655335829,0.6711132752341046,0.03308241714947725,-0.9999883329537317,0.8048770907240207,-0.44642410202224303,0.3082587496230561,-0.3075683599226978
SCONJ,-0.8484481000251223,0.9739839255216443,-0.6360401446190016,-0.5362582281868089,-0.03732975100162171,-0.8790411938682071,-0.8416741949165761,-0.6481143321094051,1.0,-0.13353506624931955,0.9258192840716293,-0.6018523270406897,0.7826908836027132,0.7411901808696834,-0.9959052828146061,-0.8587065787263114,0.9180305699359119,0.9991012986028142,0.571992194722577,0.5531007254420872,0.7208580840958433,-0.753426997334409,0.9795611169757691,-0.9998253225004194,-0.5362582281868089,0.9992080676316749,-0.31389884523390155,-0.747197255925004,0.0038240648504082693,-0.5362582281868089,0.9954979511816583,0.5443855450251395,-0.9982142419355768,-0.4166757196455526,-0.3486183705995079,-0.41667571964555256,-0.2968434685502812,0.9895046394356896,0.8239381914923668,0.9999355351515129,0.21880793166396845,0.7246568735587864,0.5498461199897148,-0.9403454865151537,-0.9995317420881246,-0.7825673876680781,0.6444281190128289,-0.9735836614714064,-0.39211123477621423,0.5246709296253833,0.9239674616743967
VERB,0.6378359872338955,-0.3546485515628974,-0.6798114238301357,-0.7648854245756286,0.995338163836471,-0.35509330544233453,0.6475426493871315,-0.6681767449253947,-0.13353506624931955,1.0,-0.4982107763621766,0.8718235316617545,0.5123196874714399,-0.7642579239678672,0.04339510961033965,0.6225453971701963,0.27036923449533745,-0.17542171161267087,-0.8892939105841107,-0.8995114339861088,-0.7831353403400041,-0.5510338472746407,-0.33015106380510706,0.11498890429814355,-0.7648854245756286,-0.09399575241123395,0.9828696869846938,0.758427248422427,-0.9915474893427171,-0.7648854245756286,-0.03899968970697585,0.7586280391009831,0.07409611367931716,-0.8452729560528434,-0.8823179235991637,-0.8452729560528435,-0.9067349056988024,0.011073395583217321,0.45157990342752674,-0.12227360981284151,0.937810525676271,-0.7797053687851373,-0.9012091424519312,-0.21160496822726535,0.10314761564151799,0.7214904302809201,0.67176287115146,-0.09627811364877664,0.9640397088551698,-0.913742879158841,-0.5024277627418914
