,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9450015102282356,0.8461615518932276,0.24498513375712708,-0.7034998696425162,0.13051401407554364,-0.7257787531032495,-0.5322287443531291,0.52678043085587,-0.501758418760169,0.6437540455210219,0.38771279123630176,-0.8612722751766496,0.8028377871561184,0.43602757658739105,0.8436180212256212,0.6674853437131634,-0.3507272430116316,-0.4851113889474947,-0.9634722778718633,-0.6702500743186028,-0.2640717494485708,0.8406755729673893,0.24498513375712708,-0.790022559640233,-0.12482288259238786,0.44520903995100175,0.9133372459229242,0.15560944978058558,-0.5680638201527322,-0.2527058212792473,0.14487835737261773,0.2779809249382345,-0.39476340990995706,0.24498513375712708,-0.03917871431145275,0.8682796166847814,0.497479091655345,0.6970556461160994,-0.8243942053566753,0.41456274263041154,0.7698841120115337,0.53518048779499,-0.6802055811439568,-0.6353042634347454,-0.19669098937160406,-0.7241160330793122,-0.8355403649085554,0.7259165519403016,-0.9964972154378955
PUNCT,-0.9450015102282356,1.0,-0.7023628070314047,-0.41948244465507684,0.6986429106455307,-0.40636669837804257,0.6165154175599309,0.7196697140377147,-0.3863655275108374,0.1947763206809887,-0.42801837837286916,-0.3168436686974323,0.7462608107970238,-0.816388215967248,-0.11796107231262601,-0.791220340876668,-0.7778571275632414,0.1259926269684745,0.3790291077254324,0.9636432121997965,0.39090930257927103,0.32672600407227465,-0.6719319581945381,-0.41948244465507684,0.9464698643589049,-0.20130960716419202,-0.1880089606518314,-0.9935777725469922,-0.31259977110307396,0.4076230161716161,-0.052319347668591795,0.11682440838754052,-0.2238570928570513,0.4238610864714912,-0.41948244465507684,0.3478364462240018,-0.6583690829263158,-0.6204623960484117,-0.4459086413342707,0.6371568994397505,-0.11020237179241726,-0.5642536093262869,-0.44993528649043985,0.7938508442143448,0.5734873432219215,-0.1345069279673393,0.48945499426195543,0.6232638060412781,-0.8610978446227315,0.9286034334604045
AUX,0.8461615518932276,-0.7023628070314047,1.0,0.381702298164081,-0.8754642391893246,0.06707927110489609,-0.9665983238929972,-0.4863613933629297,0.8914500169258356,-0.6183633096308929,0.9433544394831531,0.7752238202355154,-0.585009739252069,0.37500916441289867,0.6528004785190931,0.956613453404459,0.6935371852509201,-0.17639922264169125,-0.11115806034858229,-0.8610476696521024,-0.7727379214351866,0.2603063887767386,0.6497691800919253,0.381702298164081,-0.46543967576448697,-0.4744428768366359,0.3478931434879371,0.6903450285708765,-0.3939967653391061,-0.9174357710215251,-0.3108059828280555,0.08169489884506456,0.69208137337264,0.112638129436544,0.381702298164081,0.3860295686134337,0.8895602326352238,-0.04109390286412629,0.9165372107055626,-0.6658197613014759,0.737265112999383,0.6241079174280487,0.8694715005685378,-0.6899560291547625,-0.22241780766577843,-0.47637608099772677,-0.9435673439175387,-0.9502179349090394,0.6459727386172202,-0.8226234160063265
X,0.24498513375712708,-0.41948244465507684,0.381702298164081,1.0,-0.7808158408465151,0.9071164123895237,-0.5669482681071204,-0.922664696548768,0.5412653370810834,0.4743522191928394,0.25517421648740957,0.7178814379584819,0.27028177748323756,-0.1465890538896877,-0.38088031487631424,0.6151424914131737,0.8853859949121731,0.8174163713120367,0.676628751385243,-0.49564299407989487,0.2881304689487531,0.529906503957576,-0.3147017340257809,1.0,-0.507201874677723,0.39176922557429666,-0.724327662888955,0.516833039660568,-0.33333333333333337,-0.47588045749026464,0.7457861724585451,-0.8898961182979542,0.7441530094458576,0.5210823852372619,1.0,-0.3146049215706776,-0.05912523444900734,-0.18836895036314652,0.03203922040774658,0.33122382447852283,-0.16282361629456824,-0.408715246873155,0.679030580357504,-0.8765351775569654,0.49116083621100054,0.4818602562856619,-0.1064037285169731,-0.07485207051915162,0.8226546566369163,-0.1637930962406381
ADV,-0.7034998696425162,0.6986429106455307,-0.8754642391893246,-0.7808158408465151,1.0,-0.5215462959239315,0.9488044174226664,0.813494564816134,-0.882878623085634,0.16886123817305845,-0.7689554419269848,-0.8964007630431544,0.2581528414385251,-0.1826222837714599,-0.2399019661950897,-0.9689062246346268,-0.9333954482171735,-0.3066122631552105,-0.2745185717680597,0.844273361512313,0.37118873175238126,-0.44737278584990836,-0.2776690341467078,-0.7808158408465151,0.5851472594660581,0.11170002388762831,0.1426374312249049,-0.7412633599561627,0.4346173390845711,0.8664144736779503,-0.18096533078707366,0.41014538304186166,-0.8535099079714578,-0.342932451338377,-0.7808158408465151,-0.09128685197008246,-0.5713422648325726,0.11974136936613597,-0.6348832962893783,0.27947658857316354,-0.41003803980930087,-0.21045580103042588,-0.9405591664776586,0.9265376669516885,-0.10147905704196032,0.06668667819868429,0.6921591005973187,0.6814541178354836,-0.869643080640666,0.6452653137597818
PART,0.13051401407554364,-0.40636669837804257,0.06707927110489609,0.9071164123895237,-0.5215462959239315,1.0,-0.2278962858877024,-0.8978259057608834,0.15067759301561987,0.7396187897939521,-0.13635043408938702,0.3594542654939353,0.29114453383173255,-0.018090433700061644,-0.7031834290956832,0.35387890672338224,0.7634339770898884,0.8338671726993119,0.5532438368580915,-0.3693857724264004,0.5703465529955181,0.21383002169559095,-0.4036536820887245,0.9071164123895237,-0.6087043978334699,0.7425102056229694,-0.8206514716316413,0.5039556623411384,0.047879679323461266,-0.08163698534095856,0.9207944002838477,-0.9495813928706188,0.3947461737162697,0.2522000343419239,0.9071164123895237,-0.6780371114909223,-0.3075990551710879,0.10675648656244903,-0.32632556314497907,0.4437331539988727,-0.5481009320264608,-0.5238965381990407,0.32248374806685703,-0.7638643547947442,0.35973315984792464,0.8016001898611953,0.2528352392558714,0.23036708069461803,0.7669473765687822,-0.05989890449899603
CCONJ,-0.7257787531032495,0.6165154175599309,-0.9665983238929972,-0.5669482681071204,0.9488044174226664,-0.2278962858877024,1.0,0.5906626847891567,-0.9641941897367039,0.4561552922752741,-0.9314010434451064,-0.9085592812299089,0.36518491249788865,-0.17257554671590628,-0.5314671016114089,-0.9673612768948416,-0.7775008775429911,-0.06681758242942595,-0.14622175400827037,0.804099145501218,0.6216426119018907,-0.4704001160311029,-0.43360643174331914,-0.5669482681071204,0.41227962972291843,0.41378712296085246,-0.11821587327082596,-0.6317837332009616,0.5495313972627336,0.9685381461528592,0.12393876904820375,0.13227474714933474,-0.8507521984553298,-0.33905686628028303,-0.5669482681071204,-0.375174512810011,-0.746279394174642,0.2178558487776481,-0.841014010117463,0.45241031821148436,-0.6764910359722647,-0.404463603771876,-0.9660353255595968,0.7682757430650196,-0.024015555775362428,0.37804174529104384,0.8793012916370329,0.8503701231509335,-0.6958948948871109,0.6836653939425
NOUN,-0.5322287443531291,0.7196697140377147,-0.4863613933629297,-0.922664696548768,0.813494564816134,-0.8978259057608834,0.5906626847891567,1.0,-0.4649599791691606,-0.37072025213586507,-0.2569325982892682,-0.5851258103051156,0.07676315072187796,-0.24409077338786137,0.34409952097372637,-0.7196312097239002,-0.9659785626785726,-0.595556768519888,-0.3453648158247554,0.7326472192145046,-0.15222113713111138,-0.19591961363785138,0.006856581049572068,-0.922664696548768,0.8000641472183535,-0.4867777986667647,0.5209722312344357,-0.7934932624490415,0.02881943314322479,0.42106477304303663,-0.6551459177698843,0.7605579373738868,-0.571592978434246,-0.16416347272792106,-0.922664696548768,0.4877687605211518,-0.14245492514118374,-0.18167333775695918,-0.09861416515932496,-0.04026677442094511,0.19428853441158414,0.13053216918857263,-0.6077471369251131,0.9680093335595874,-0.12096994266972234,-0.5221467588086742,0.17382813813971038,0.21736396211481496,-0.9686175970383218,0.46515424247556464
SCONJ,0.52678043085587,-0.3863655275108374,0.8914500169258356,0.5412653370810834,-0.882878623085634,0.15067759301561987,-0.9641941897367039,-0.4649599791691606,1.0,-0.4493260322323705,0.940207973214242,0.9639033419938848,-0.16272771401201588,-0.08067267274228787,0.5650545627087892,0.8685360135830642,0.6605505449304063,0.14208444359233613,0.3159159109782253,-0.6179020423379792,-0.5795069381748228,0.6695465658607291,0.2659165554482645,0.5412653370810834,-0.17041716712254243,-0.536658124098553,0.05363747644331877,0.4088437195726563,-0.7510691685055717,-0.9960649403478857,-0.14108288569061544,-0.13757862199956838,0.9291828221810601,0.5501506384819531,0.5412653370810834,0.5436664531644836,0.6393908401128385,-0.4674464151472829,0.8234859735877917,-0.2990184798650102,0.7414616741539154,0.26611149011917934,0.9843176655190975,-0.6442146473939189,0.23529509493879877,-0.47021851455294206,-0.8550689356164438,-0.7754028030476439,0.5361883283821187,-0.4813886676484753
VERB,-0.501758418760169,0.1947763206809887,-0.6183633096308929,0.4743522191928394,0.16886123817305845,0.7396187897939521,0.4561552922752741,-0.37072025213586507,-0.4493260322323705,1.0,-0.7217208391576971,-0.20010986968663214,0.6720300671316315,-0.3296766764631097,-0.9817936104358892,-0.36587979333773907,0.13005535722518133,0.8071472289445099,0.5651970826483493,0.3156006207455589,0.9741778250457781,0.05829278762065119,-0.7950420165633406,0.4743522191928394,-0.11912623404324614,0.8722965518192167,-0.9052180096052257,-0.10638049682106958,0.23876887220097423,0.5241397367551193,0.9388020640293911,-0.8190275243206662,-0.1110899251217815,0.18870105419593383,0.4743522191928394,-0.7500498376479797,-0.8568963701900857,0.042858187144628565,-0.8645367320033247,0.8337561286518429,-0.9031982703309608,-0.8669045252742974,-0.3016244812508282,-0.1307446378267487,0.49353993041009897,0.9297066688945393,0.8248646441104146,0.8253074472727889,0.15189992712758013,0.5441838886929458
