,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,parataxis,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.6303108405108013,0.5982605248948857,-0.0677759447676166,0.24412921153909434,0.4260655769392214,0.266091489743248,0.8052379234543251,-0.6700746512821093,-0.18299911124468496,-0.6711174082036105,-0.04385269214245457,-0.328439188461795,-0.21396141909178287,0.6662919548464636,-0.4688652320152397,0.747108456439925,-0.3905590602815015,-0.1981274563619934,-0.8671408180556492,0.8641336973533575,0.5828456360350951,0.28418436731502567,-0.5669271993166423,-0.9515153259273172,-0.5009814384239443,0.39964241927046706,0.5158569781766169,0.6264575235822744,0.2963282030254803,-0.5441051372647682,-0.3326239784048517,-0.011471706361559168,-0.17829143098318243,0.6677113225247917,0.747108456439925,-0.16648040911398115,0.7892669435050043,0.7441442612121654,0.7846409190415622,0.42578666460477294,-0.686593096950177,-0.594525381384505,-0.47669381666314176,-0.4322209241464637,-0.10088683590103963,-0.2850679846682843,-0.9995950613543015,-0.5690102068463044
PUNCT,-0.6303108405108013,1.0,-0.9960517166973951,-0.2023669855167255,-0.07799756614261065,-0.11256986051259325,0.5239439567097317,-0.5557007261965266,0.3268861808022716,-0.5691483545106336,0.8225524352187216,-0.7471636365883793,0.8725901252365537,0.8761538808259377,-0.15473914696984892,0.619412607025884,-0.4066508888824627,-0.3468981427646598,-0.5420030591523028,0.9321604711803962,-0.6007029979791626,-0.6393902890544118,-0.6004824618427267,0.9764865012849057,0.7987397754780557,-0.1614678800553102,0.42595790699987907,-0.07747706594251268,-0.17234416637927263,-0.7678514371319278,-0.023535720113539785,0.2126559391408532,0.7834635887939146,0.7474155073263553,0.15705539799798038,-0.4066508888824627,-0.5348919904574881,-0.24086880387749135,-0.9531785729319103,-0.9141586849706621,-0.95010017442208,0.7007519487108368,0.027517009881634785,0.8957376305935315,-0.39396513994958704,-0.6307743583365325,0.09560158225773178,0.6308668813404589,0.9806039003081851
AUX,0.5982605248948857,-0.9960517166973951,1.0,0.13525019853630418,-0.009244399524974382,0.16544668584373565,-0.5806381958225049,0.5784812636102427,-0.2441307861941739,0.5585967705824836,-0.7690249336745407,0.76584476962383,-0.8482230064834027,-0.9058154669458439,0.07307739799588202,-0.5506857977244978,0.4338629663630025,0.3342147170500523,0.6041942279469809,-0.911789751563773,0.6144595430719646,0.6868402726021842,0.5393554221697605,-0.9915572283018687,-0.7599718272493929,0.1415404372486844,-0.4794305498909999,0.11802314795323593,0.2043931574316356,0.7264469537004085,0.10648095728347381,-0.12644929045765985,-0.805016832917347,-0.7149674270394781,-0.19427122740788988,0.4338629663630025,0.5140696615124801,0.16715266182962912,0.9231783217589405,0.8759716307762447,0.9723359587035438,-0.7372868625085535,0.05448768744699588,-0.9309895223378484,0.4036278969048782,0.6177898964377171,-0.16057169315623734,-0.6011318325394512,-0.9642611699867577
ADV,-0.0677759447676166,-0.2023669855167255,0.13525019853630418,1.0,0.8657250281793596,-0.9271581694776094,0.049021850609505056,-0.5931090215444977,-0.608590027735619,0.7023466826993898,-0.6220161361183694,0.36074818379823614,-0.6235615082065583,-0.09187161450045045,0.47430793285783474,-0.8367621223299374,-0.7009690020563089,0.7538113087894414,-0.16217272980316666,-0.1331604786029573,-0.5071661836210429,-0.6227794525401225,0.9001049172774648,-0.018093749920074335,-0.1773791863778164,0.804590220325575,-0.038557681121500306,-0.8881480151789608,-0.8189629053114837,0.777703253972364,-0.470551020494914,-0.8712150588830022,-0.3032109529268294,-0.7637675869447652,-0.2775414094733911,-0.7009690020563089,0.7838126589028571,0.3319308949274144,0.37310263708187985,0.40487023557599644,0.041847328547337644,0.5431579891275193,-0.45093255612595223,0.19714153114661853,0.5618218477617164,0.7015893316422178,0.9548688406738979,0.09433174429415343,-0.38993568496291114
PART,0.24412921153909434,-0.07799756614261065,-0.009244399524974382,0.8657250281793596,1.0,-0.7274000686023193,0.5071161710656512,-0.37842441096479373,-0.8818764371292981,0.2887348736432774,-0.6283709114823768,-0.06471573398647815,-0.37884045963378093,0.23994626500817345,0.8355488155234816,-0.8248229552004721,-0.445834840976489,0.3255941282423025,-0.5877836420802511,-0.1989644809996266,-0.2766247492829277,-0.5993127683649173,0.7788699172524577,0.13858842651771158,-0.3713153472469189,0.4053701187164016,0.45220590287879475,-0.609956507420879,-0.518380625058115,0.5715816348522367,-0.8481713106599177,-0.9906861062009573,0.10681278335072149,-0.4912401458424384,0.23854044580931988,-0.445834840976489,0.40109600846019566,0.7242699866633115,0.3517816445321513,0.4317325260652118,-0.1924001033903519,0.4834715409096595,-0.8335493954166429,0.37336148904982497,0.07720120794450683,0.30834814092413837,0.838671098626209,-0.21649277586640514,-0.2396065531767175
CCONJ,0.4260655769392214,-0.11256986051259325,0.16544668584373565,-0.9271581694776094,-0.7274000686023193,1.0,-0.03225971806646865,0.8507956464912808,0.33552517832657447,-0.6387389661561884,0.288162883407349,-0.25901160108439164,0.3819846162309516,-0.08111880646830032,-0.23214876281930255,0.5708009392149197,0.916717282141479,-0.77301645897565,0.1594042663972887,-0.23692051319212723,0.793015342431667,0.824651014009075,-0.6851417675788337,-0.2632903112264337,-0.20389841302739092,-0.8743374918778039,0.09949101486296491,0.9852062296477007,0.9638843067475521,-0.5474571483449729,0.285159257288011,0.6909215736487454,0.18513697759566275,0.5708178514539718,0.4315218781686412,0.916717282141479,-0.7140412178103016,-0.053787445822073406,-0.019501137176618204,-0.042171065515248414,0.19745330304540412,-0.787607254634048,0.2462606676543938,-0.4282790959766279,-0.6003838197161541,-0.6070485128103769,-0.9833017704630245,-0.45076668773153944,0.0821810148920076
NOUN,0.266091489743248,0.5239439567097317,-0.5806381958225049,0.049021850609505056,0.5071161710656512,-0.03225971806646865,1.0,-0.05801688660124167,-0.5572718993984418,-0.674163045731019,0.08354544253771998,-0.8842225893809462,0.5305222494558242,0.8696220830764687,0.7256116821734647,-0.03960046003717362,0.029817425030218427,-0.5954781128457239,-0.9917688076461137,0.1981025487660059,-0.01766207722465234,-0.4268984356993863,-0.11705415086028516,0.635599624435054,-0.0874183621549634,-0.4567836686614666,0.9869718977047717,0.12888940861919795,0.15529275018297814,-0.36964206339107103,-0.8206337995261536,-0.43213691310814645,0.8922820097797016,0.48004229312687857,0.8419489914541848,0.029817425030218427,-0.5793292778667238,0.6949592860755109,-0.2694402461614934,-0.16096588198784859,-0.7493457875668089,0.3603324306144651,-0.8025860122791725,0.714511457515195,-0.7780629674631314,-0.6633312105589648,0.17815603220463996,-0.25458734135506184,0.49405874273683603
SCONJ,0.8052379234543251,-0.5557007261965266,0.5784812636102427,-0.5931090215444977,-0.37842441096479373,0.8507956464912808,-0.05801688660124167,1.0,-0.10026106172913574,-0.3491294084992799,-0.2576570627397844,-2.2349041842529393e-05,-0.08388493492092858,-0.3530532482302698,0.12446749511977577,0.05567910659131665,0.9853896944594457,-0.5700330715257959,0.1721173152258126,-0.7071690132620408,0.9940153030324381,0.9234047333369483,-0.20357460780105696,-0.6276321343176325,-0.6818090863924451,-0.7245264884161909,0.10305347371611348,0.8644448903530818,0.914109611935596,-0.06481743690995764,0.00016672331759193297,0.288035703560802,-0.07851653569766426,0.12821365370082033,0.4898009818946005,0.9853896944594457,-0.402170786816887,0.30988144951807917,0.496660847831939,0.48625635061235,0.5259944827184054,-0.9516114567363376,-0.05695073714337324,-0.6849343605982509,-0.45776125787941974,-0.28271597847335095,-0.784441641869968,-0.8217455082722874,-0.3984715688984669
VERB,-0.6700746512821093,0.3268861808022716,-0.2441307861941739,-0.608590027735619,-0.8818764371292981,0.33552517832657447,-0.5572718993984418,-0.10026106172913574,1.0,-0.08731042866587875,0.7770362202241607,0.11908105070346645,0.40483475966564536,-0.12492886664905678,-0.9736893854071715,0.8327887924132189,-0.027998242932425945,-0.020391226369467476,0.5839676259521713,0.5471457400058394,-0.205560435116574,0.18923735555428242,-0.7022520172386024,0.13078881699495398,0.7305567496489418,-0.03466587578087401,-0.5794924199156116,0.19711605522072664,0.07559131378302444,-0.54081952419471,0.9303918693445661,0.9127561151735616,-0.12428791925987172,0.41923869750143533,-0.5410636708366809,-0.027998242932425945,-0.18338098107256387,-0.9483394410729271,-0.5972641445062727,-0.6816190766658852,-0.017594024613048508,-0.05078908072263429,0.9425317979779435,-0.08959109999699028,0.192884656593864,-0.1413828735443563,-0.49283393192509944,0.6488584163274713,0.41857439748436404
ADP,-0.18299911124468496,-0.5691483545106336,0.5585967705824836,0.7023466826993898,0.2887348736432774,-0.6387389661561884,-0.674163045731019,-0.3491294084992799,-0.08731042866587875,1.0,-0.5630076265903445,0.9075933575344212,-0.8681776820468791,-0.7130941960655317,-0.13489681782988608,-0.6206099998967537,-0.4965240728650916,0.9684213633300124,0.5883371404223361,-0.29537442775592204,-0.31110533880010977,-0.11657790284633877,0.7702508819824435,-0.5096959794631122,-0.12582345504139772,0.8986183950550818,-0.7215856662069838,-0.7214477335013413,-0.6825845551235182,0.8637067327590656,0.21414752271411763,-0.35266313531472177,-0.87410867985117,-0.9264311097730037,-0.7772843286669947,-0.4965240728650916,0.9925423748094409,-0.2108179169562353,0.5178098751101136,0.465014138527376,0.6014187939613158,0.09957131130607393,0.21253250936175663,-0.4018441720289901,0.956103559327598,0.9965476230179273,0.561835189327565,0.19437037495961704,-0.6829040138550204
