,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.6880919783661028,0.5298130625380315,0.3715612356929404,-0.3205851482229098,-0.03924952238635154,-0.8665736219062684,-0.36393242367648376,0.6760618277396935,0.3065763650579209,-0.6259847918867014,-0.47164561812829303,0.7040274954091722,0.2709305728092384,-0.27000557600494013,0.3321394087279797,-0.351875524003804,0.040918839249196974,0.2463543786103446,-0.06592427310623691,-0.7669918845318676,-0.012851147960276829,0.6088796346446887,-0.2782062358909438,0.606377709108083,-0.21796146221971605,0.26997836183327684,-0.6127110466054666,-0.899540148572675,0.9493830352586352,0.023461903734813768,0.8538021978026309,-0.97476709022104,0.022478395384205457,-0.003016113316603575,0.1412780142546492,-0.8090329439941804,-0.5659361896487237,0.6740265545677839,0.32874403548220504,-0.2991155573812649,0.36433800055326887,0.21004235356902326,0.7978442492888904,-0.39761228392452935,0.8310196382517275,-0.48386734507923085,0.1313155238651949,-0.5862456755262281
PUNCT,-0.6880919783661028,1.0,-0.47676741248097293,-0.7899391646167514,0.05592640493615004,0.30384821439744514,0.5427819609208165,0.6297530755164291,-0.9812401647591708,0.0420244618883027,0.14419759056744877,0.8178135463063051,-0.8533898465254238,0.3034124934212475,-0.23620229256922867,-0.7178491603452876,-0.017157174934253113,-0.22838454770123776,-0.3897322815126832,-0.3941603039297909,0.8315829879937138,-0.3033321920018815,-0.9715623216490585,-0.15833770456882645,-0.22338299507472092,0.33129114312354685,0.006495635243504771,0.8884552563977302,0.48352886358785047,-0.7084484869527339,0.21544081751322172,-0.5102083781696098,0.7582961499153279,-0.5367338046505384,0.5558237521997968,0.1867843634474559,0.7573807133954946,0.15382475650968355,-0.9039521200109804,0.3165431247934089,0.47322503198112387,-0.6540244126066705,-0.08700466353345038,-0.23686988888758434,0.8544078962160665,-0.74798047361837,0.8865449870017736,-0.4088282583167144,0.977915899976934
AUX,0.5298130625380315,-0.47676741248097293,1.0,0.5904155906013031,0.48930097166559805,-0.48624621255318967,-0.26447850316873617,-0.6305479033413673,0.5961623649486328,-0.4500054537075203,-0.14938083701300886,0.019283039766432284,0.8583181523753464,-0.17255683509432546,0.5463537662009986,0.7764274813016547,0.5780909482789824,0.698247474349158,-0.5555211463856322,-0.1258727051533681,-0.8412410691810173,0.7333911164317442,0.4335221686444289,-0.3172772056762898,-0.026480004444776595,-0.7919802230594934,0.15558096036315638,-0.6091865450678555,-0.2953620936615078,0.43208025367670816,-0.4508222368176537,0.7977519981583918,-0.5296894865313494,0.6842106142460959,-0.2941469540816611,-0.7071841721543827,-0.42263753976671636,0.1407132796132417,0.27433125910047995,0.3033510686890841,-0.0864268539306175,0.38906180678999824,-0.5466127354463294,0.41772276631830557,0.03867594474123989,0.8684133615353353,-0.4762730048366896,0.7893124424517983,-0.5515345391514823
X,0.3715612356929404,-0.7899391646167514,0.5904155906013031,1.0,0.05561895973344119,-0.1018165691578483,-0.39522542323888726,-0.955620343384471,0.773211556644657,-0.10355979322803337,-0.19203422922758737,-0.3715188973045449,0.7589206313499675,-0.19125137344850526,0.6912491537212693,0.9490134539374708,0.48974645447777176,0.2061641242944938,0.14454420329610915,0.6939198445826562,-0.6517712271403411,0.3996325356559152,0.683171131485644,-0.20073119588908295,0.2024834393160171,-0.2700879573496289,-0.49372288525836255,-0.5929039940456868,-0.2949511667074848,0.5067186298092938,-0.7601894573526031,0.26273126515933964,-0.3634074630385597,0.683491370300757,-0.35483527399857456,-0.39853162764748085,-0.25,-0.0855753609100798,0.7920327850223476,-0.556044673015546,0.06394495735550966,0.9237679841129479,-0.5094436267529903,0.19385723890447942,-0.6015190817813366,0.7249020441426559,-0.5954214344691335,0.441478981851699,-0.8921990341823479
ADV,-0.3205851482229098,0.05592640493615004,0.48930097166559805,0.05561895973344119,1.0,-0.8580281526390325,0.695211270910739,0.020450492440175768,0.12186689336138523,-0.9883926802548005,0.7499989759474769,0.1523964787292801,0.30235063527729505,-0.770793124164104,0.613009006536611,0.3397836704187848,0.7457534017310032,0.9320185494749544,-0.813896325671335,-0.41405268647923554,-0.28739096211961074,0.9215239401849824,0.09009561774718962,0.3947357651160551,-0.8788363652997597,-0.8544262091738435,0.3949286287985348,-0.33038801935553813,0.6546227265425839,-0.5153340225026516,-0.020065488881173824,0.16965116304171282,0.18965797876061075,0.7528182850282065,-0.6556346795986459,-0.9311170897524592,-0.03506499544809796,0.9239600216412631,-0.4317392234442432,0.2098328443319058,-0.3350582400437179,-0.28496564353990467,-0.3484642542428889,-0.5204683758291391,0.2976918185358129,0.04497477060199788,-0.3291327969835457,0.8686735306692753,-0.046734772412541425
PART,-0.03924952238635154,0.30384821439744514,-0.48624621255318967,-0.1018165691578483,-0.8580281526390325,1.0,-0.4479073890544656,-0.08061368817195096,-0.4641763369973932,0.902045170343629,-0.7119655259283969,0.3239103519951534,-0.5293262415230787,0.8707532133384968,-0.35105351057299083,-0.3371738495008647,-0.41284053277277827,-0.9377011691880216,0.5172374324486437,0.4766731758555673,0.5618965947788672,-0.8732296634807708,-0.48452208311399403,-0.6399311453658805,0.7691621337388961,0.909904252489441,-0.6651778062813317,0.6928174459359745,-0.3996292224671744,0.20811653817772088,-0.27025772206525284,-0.41394616985345895,0.22835616636956824,-0.7399953564315213,0.8728875696881777,0.7849140058513078,0.5129979324883925,-0.7973153895344612,0.13128414848244663,-0.25990667971992903,0.7566049057217065,0.2862002941337209,-0.06479617969625578,0.4230783289123833,0.07791928096499214,-0.21524622698821536,0.6919971453926728,-0.8855461062892147,0.31899620824006325
CCONJ,-0.8665736219062684,0.5427819609208165,-0.26447850316873617,-0.39522542323888726,0.695211270910739,-0.4479073890544656,1.0,0.46615486861985306,-0.44814284957333317,-0.6946867775708183,0.8936932120059456,0.30802354661530346,-0.4260002059976393,-0.6221015693497999,0.3161601982047159,-0.23308234751940057,0.4481717720534084,0.4112673585606596,-0.5049775930516553,-0.28337266223725144,0.44852323553737183,0.398322791556246,-0.3752163253529256,0.5557955713362152,-0.9143426155171093,-0.2416910769041493,0.1687431058388146,0.2572052074591761,0.9881812452978659,-0.9662607731170823,0.2037264060366919,-0.53431076026676,0.7542901832606408,0.25856543165481244,-0.3698584937952141,-0.46503178226992126,0.46579699604893304,0.8806208407387676,-0.7470128442368927,-0.05619450133301782,-0.11690979807874478,-0.5707736440104964,-0.09647251498477596,-0.8907053991952075,0.3979403576218603,-0.6772322795426591,0.15457770878617322,0.2773522580554538,0.4608768666039365
NOUN,-0.36393242367648376,0.6297530755164291,-0.6305479033413673,-0.955620343384471,0.020450492440175768,-0.08061368817195096,0.46615486861985306,1.0,-0.6087335739156271,-0.01425138682336409,0.38014381348330417,0.11847937543634489,-0.6735430500541636,-0.045804743013010886,-0.6855808638655466,-0.9104453940604458,-0.524303703484246,-0.10824188083062598,-0.047264585194646984,-0.6861051488214936,0.5607138619895237,-0.30782283193138565,-0.47391844008120654,0.47314350394118004,-0.3421741561001835,0.18324592374502108,0.6048922640212785,0.3967358050086683,0.37610514194349415,-0.5276213888249341,0.8881476330599806,-0.2694797575526558,0.2947220459349085,-0.5597697344092448,0.09761253455243699,0.34414881672193687,0.08358712684988852,0.2180143795597005,-0.7055185569257265,0.46388992322943157,-0.3202727297874628,-0.9512082194280235,0.6757633056615433,-0.3637422111411302,0.39207696648815976,-0.7428474774447268,0.3637707925084177,-0.34048430493239,0.7496737139662532
SCONJ,0.6760618277396935,-0.9812401647591708,0.5961623649486328,0.773211556644657,0.12186689336138523,-0.4641763369973932,-0.44814284957333317,-0.6087335739156271,1.0,-0.21108233839603519,-0.04347889805171488,-0.7727982039319179,0.9228433724434538,-0.4102502723582604,0.3100802850622637,0.7622658818846378,0.12831234090907676,0.40903347169786713,0.2156032633817794,0.2634119678458449,-0.9075912015959717,0.46823960694728056,0.9778615508331905,0.2004039535393414,0.0874226192622299,-0.5068843208525355,0.11164568625178461,-0.9527144686496961,-0.40651660279292434,0.6470953931132509,-0.19317553043377086,0.5992454325464031,-0.7657199212061134,0.649763216814517,-0.6482040734376587,-0.34826677774966797,-0.7947809863405195,-0.010340669736575272,0.8120579499352504,-0.2067441267898681,-0.5416149737273624,0.5760940482664656,0.03579654575015841,0.1963008152930145,-0.7656666244726562,0.7858100695739164,-0.9363976327313097,0.5702553953193945,-0.970034033537175
VERB,0.3065763650579209,0.0420244618883027,-0.4500054537075203,-0.10355979322803337,-0.9883926802548005,0.902045170343629,-0.6946867775708183,-0.01425138682336409,-0.21108233839603519,1.0,-0.8074457817688387,-0.01257020316207767,-0.33978685633241074,0.857924815122011,-0.6114092471490347,-0.36692525131962644,-0.7103303509874497,-0.9328698443626887,0.7167360978146446,0.35816324500940344,0.3231531314749066,-0.9283518663237131,-0.20195063074849037,-0.5075627562636617,0.9033786819839874,0.8526540589758741,-0.403024627579974,0.4179305919036275,-0.6661531787981145,0.49797081049487163,-0.016786978439780678,-0.14658059743065793,-0.1523496083241368,-0.7955386382298688,0.7596494083826464,0.9213730137445671,0.10787216244814767,-0.9456081531772866,0.3482537421059765,-0.12268787560447747,0.4352974717584605,0.2557230638027941,0.26766153525114733,0.5861785088639838,-0.16097607165140385,-0.04140891582613263,0.4376698243293569,-0.8815559705853356,0.13581303900318817
