,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9844537303418102,-0.3066541490286811,-0.46659997515846524,0.1615569660700436,-0.7244392216386506,-0.21613116507753638,0.7517149528175484,0.21198337764836858,-0.5525210186141256,0.22136721729635908,0.6737094154930076,-0.5016611108746626,0.3657277622104732,0.5497161957836207,0.5523054341663265,0.8080061027599751,0.8159652247836934,0.4973132124254549,0.7989787578377697,0.882621596517138,-0.9632612504775467,-0.6657992772773518,0.27519017697916726,-0.364029490320441,-0.30199248809690254,0.6085389289714479,0.2763068356241745,0.402897641666159,0.4135274474686226,-0.0768407698851216,-0.08483920499301074,0.7321332833072823,0.6803222659366905,-0.9142530504236452,-0.7984701595770256,-0.7344353229063614,0.22508350329468968,0.7638247396484686,0.37047191541518154,0.8159652247836934,0.22312949074985833,0.5130073281689356,0.48647057277617684,0.09422691453888922,-0.839100572593043,-0.9383564104208268,0.390128526068617,0.8159652247836934,0.40110764272603927,-0.4603304037948596,0.48175771172822557,-0.9720922157806248
PUNCT,-0.9844537303418102,1.0,0.32413547085163413,0.5786964210945137,-0.03985633465609422,0.611648742802194,0.15695038736728908,-0.6623502342858276,-0.2329507090568767,0.6635534046139412,-0.34340179018120515,-0.5534721302043446,0.3716685839252698,-0.25268459755383066,-0.6769912094512427,-0.4695032734722514,-0.7753583631525595,-0.7335097767455626,-0.5848272673028048,-0.8403492034847916,-0.7997645581865958,0.9682116167222421,0.7317990752467893,-0.36317564158189874,0.33512054569479083,0.16336933657379718,-0.6624517903120007,-0.11103777358798185,-0.5391521189087985,-0.3248624649331469,0.09803925067173237,0.015725054312116165,-0.7677470709329156,-0.639963572018261,0.9549515695178276,0.8487937500634407,0.680344407996963,-0.32646169905083045,-0.6526449897314276,-0.24389160720279784,-0.7335097767455626,-0.33676603768880253,-0.6390807388543965,-0.4680344429119474,-0.2552038746184491,0.8836314234910562,0.9676947978650953,-0.46471468046901154,-0.7335097767455626,-0.549114287065062,0.5450075063270173,-0.4909307173628881,0.9454999908928418
AUX,-0.3066541490286811,0.32413547085163413,1.0,0.1730193837324527,-0.5716376830531313,-0.11149456530920689,0.8262751275624222,-0.10692055015437048,0.7501795417760371,0.27618689646017364,-0.7801526459525796,-0.10893878520471208,0.016301844288160044,-0.6335232201300356,-0.0336545387885169,-0.7738201166556233,-0.11302455425809911,0.022823001994493733,-0.15579754629601078,-0.6946880535980892,-0.28232499793301247,0.09485391455866198,0.17559854291026308,0.2945328610946445,-0.0913330814005697,0.535314092113018,0.35693036794943755,-0.22794293556055104,-0.39026918131074695,-0.1535237593998831,-0.21268565438369683,0.7537245785361603,-0.24184339982064015,-0.6822096429028016,0.23038199579772312,0.6527803429554333,0.49586758263529435,-0.3933912099269571,-0.4325951580346914,0.39067320855315374,0.022823001994493733,-0.8190408892231852,0.09927684927864709,0.5603075057015219,0.19601734787841993,0.7000014524942545,0.38321099938965386,0.2939123491434473,0.022823001994493733,-0.3185404996318154,-0.24381233764578647,-0.6748719408517148,0.0819657605780303
X,-0.46659997515846524,0.5786964210945137,0.1730193837324527,1.0,0.24784185447213516,-0.18170962859749212,-0.37066191700297585,-0.32699221548809904,-0.02230918923993934,0.9895624675219873,-0.5050486282965035,-0.11270418539436097,0.052457458804737477,0.45112368247130336,-0.6855435074199275,-0.02650767647755415,0.010511898604130454,0.07072434787401655,-0.9839450013689137,-0.39760067505338514,-0.0005245057277556514,0.49178732116382595,0.9490888946177928,-0.14621826858092962,-0.4153983118219056,-0.3976006750533851,-0.7524640668134825,0.5610799601944476,-0.9464104146768223,-0.30605345097108383,-0.39760067505338514,-0.501155777326695,-0.8770272620447115,-0.4427792947675289,0.7795546626760643,0.42626337900504424,-0.14954092727602117,-0.08776534058076067,0.11379691799805623,0.5162584312602267,0.07072434787401655,-0.4679232273183094,-0.8471929389422579,-0.4849276693187106,-0.6569514751132227,0.6380985120135511,0.7326013600704903,-0.17356562549653615,0.07072434787401655,-0.9164321465984094,0.2974262511368796,-0.6389367607315971,0.395757350510795
ADV,0.1615569660700436,-0.03985633465609422,-0.5716376830531313,0.24784185447213516,1.0,-0.2516323940354074,-0.683359975673161,0.526847491429928,-0.7523933322012949,0.2086417319994911,-0.04886143095754414,0.6435699510755948,-0.6794560777111693,0.7892213187172672,-0.656781391269394,0.8796818559300444,-0.050479494013616,0.14046754318132998,-0.12145509227049134,0.11451840162585031,0.3739227179640733,0.09505053370787586,0.05678223247859618,-0.8204925819609806,0.26045630638381806,-0.9422616290159648,-0.44563627610893947,0.8154194524716103,-0.25264114382001135,0.6860338994608558,0.5445157763325622,-0.6786852004144104,0.12138856752557266,0.7143153980387721,0.05066845241216806,-0.042079869506909486,-0.3181840331667573,-0.4252816350120873,0.6531723870644639,0.10373338168733576,0.14046754318132998,0.01255165631298755,-0.6391570794170868,-0.21664265824685713,-0.8666504706436359,-0.21454512770099274,-0.09710167644178991,-0.7655546190695373,0.14046754318132998,-0.3968444442556765,0.7560870145097259,0.5778747561821576,-0.0446385320518275
PART,-0.7244392216386506,0.611648742802194,-0.11149456530920689,-0.18170962859749212,-0.2516323940354074,1.0,0.19884356195716843,-0.6967377481576705,-0.41825814754702767,-0.12163964025517243,0.4144265998579814,-0.7543729654698328,0.6497599651177477,-0.5193114528792729,-0.06964746578303586,-0.4077367331451887,-0.8302110789247096,-0.9743691627960314,0.10559345913394455,-0.3527277688410286,-0.9122276849880685,0.7169914749265814,0.1027655424758889,-0.19217575344168097,0.62405763503481,0.4955414193387846,-0.3205209440361779,-0.677060829114078,0.3234521001286712,-0.34753396129760367,0.29826708116624123,0.16109596080529767,-0.22111158608124326,-0.32305947754952086,0.4468185200465283,0.3409832599852946,0.7236429344178698,0.07065679568835684,-0.8323483507547502,-0.9002529957843343,-0.9743691627960314,0.3973409197387377,-0.003593674937899587,-0.47786109461453463,0.34947913129477226,0.2787747702695114,0.458278711045438,-0.3136572927804615,-0.9743691627960314,0.3040602994886113,0.2994877259163969,0.029436375129193334,0.8148226593585272
CCONJ,-0.21613116507753638,0.15695038736728908,0.8262751275624222,-0.37066191700297585,-0.683359975673161,0.19884356195716843,1.0,-0.06598065023529183,0.6026176009154328,-0.2534405835233708,-0.40869005504166867,-0.1840856845858323,0.0987890291871228,-0.9208706612493389,0.2644862658229788,-0.7823145405406691,-0.3081564902048445,-0.2288353705087231,0.36902321339730626,-0.5466507309563953,-0.46172187742483867,0.010139037515681468,-0.2879598558633359,0.2704880806874225,0.28131814184882215,0.78373614627933,0.6334556049429677,-0.617082881740591,0.1640093741515882,-0.033048430994736276,0.09585994544340246,0.9878039455268243,0.16975562793977553,-0.4702934422694973,-0.06956290192808609,0.4926674471100959,0.7063251984921631,-0.34603586564660055,-0.6321758513935263,-0.084007551997292,-0.2288353705087231,-0.46591768845014264,0.4926511202907962,0.6715729311141982,0.5572014195491989,0.4061368088885371,0.09733038933189866,0.2592290293708822,-0.2288353705087231,0.20577822991287192,-0.27763437899776283,-0.2899650319527786,0.061117849379093085
NOUN,0.7517149528175484,-0.6623502342858276,-0.10692055015437048,-0.32699221548809904,0.526847491429928,-0.6967377481576705,-0.06598065023529183,1.0,-0.03017653940161135,-0.34489863502412094,-0.2349379725049984,0.9748705878741604,-0.9360564292792892,0.3547856543877594,-0.006545838597905929,0.6358136538793322,0.39427797007176113,0.637845314506366,0.46500948809605025,0.29868885608617235,0.7125779445911693,-0.6487227166824882,-0.6049313179608506,-0.30724977574888784,0.08950124599862598,-0.5349869812639104,0.5026545362170268,0.5495724354795888,0.11844378174242674,0.8867092744090229,0.44016428488000436,0.02173989278354131,0.7363179086305396,0.7824095881879921,-0.6717324443682868,-0.2719261783218312,-0.3717995661275529,-0.463839848899901,0.7444135538100087,0.4011939804797367,0.637845314506366,-0.21828410538805043,0.13249330673968582,0.6661633876614398,-0.3440189444592942,-0.49757160896550795,-0.7006849136255129,-0.17501757752958735,0.637845314506366,0.02527268962140925,0.10972352897299775,0.6095683881784626,-0.7526286652138928
SCONJ,0.21198337764836858,-0.2329507090568767,0.7501795417760371,-0.02230918923993934,-0.7523933322012949,-0.41825814754702767,0.6026176009154328,-0.03017653940161135,1.0,-0.0019222339987190443,-0.4049246774010432,-0.08222696895775715,0.14609099548237287,-0.44854108067838205,0.5193756683862384,-0.6254714686553052,0.49128457484170085,0.46407803595027325,-0.025286355048803347,-0.06208076191878624,0.17361419918006243,-0.4549299272092741,-0.0418448717215551,0.8060073513568712,-0.5897679611182401,0.5555035657945467,0.5992271398814879,-0.2748463134376957,-0.10883057046487923,-0.36465412846880024,-0.647091895345372,0.6005710832161304,-0.04033542928691239,-0.5336034378701277,-0.22593410524940494,0.003898712054422444,-0.056825963231247924,0.1839528351981157,-0.12026860384908984,0.5482923417249738,0.46407803595027325,-0.45071918018356033,0.49762044479053047,0.5711992995364816,0.4938275633324353,0.18677460142730745,-0.08314717755249633,0.8338551145562215,0.46407803595027325,0.030460715544603313,-0.8037786224625034,-0.6355896210193225,-0.4101774609193524
VERB,-0.5525210186141256,0.6635534046139412,0.27618689646017364,0.9895624675219873,0.2086417319994911,-0.12163964025517243,-0.2534405835233708,-0.34489863502412094,-0.0019222339987190443,1.0,-0.5852626651176795,-0.13532271112979544,0.047765595658708894,0.34421668412244044,-0.7303011822277853,-0.11559654745919525,-0.0951834388807549,-0.00843286869590612,-0.9659532544593016,-0.5253080531481118,-0.10168719533794855,0.5633472149696254,0.9499597689806942,-0.18646822407713218,-0.32559019515426546,-0.3284079911430404,-0.7271203956411291,0.5089251011416162,-0.964340404676719,-0.2838782444704722,-0.33349731968080515,-0.3937593499213665,-0.8869347784905972,-0.5035211402123476,0.8309904141519855,0.5511451802989946,-0.015425695309067206,-0.18950239806610766,0.015623827976814539,0.4848363043198833,-0.00843286869590612,-0.5524442585207057,-0.8521621364626843,-0.42850678562438366,-0.6424846387501233,0.7379970060025264,0.800104670157513,-0.2188241116150586,-0.00843286869590612,-0.9391808792482066,0.34333527017700893,-0.6684756286655497,0.4651936962420753
