,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,vocative,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.8754041774291513,0.7684595289638767,0.2368253307347108,0.2857868239719253,0.41130211709464853,-0.30262191092825264,-0.33901602185554286,0.40384938972593193,-0.07358582487954035,0.009779652497916914,-0.2541683469033557,0.12899471841944976,0.5159402281991876,-0.35480085411594475,-0.2988184713642153,0.3599331698532053,-0.18712351894777532,0.4674462123529102,-0.9649032672169795,0.14293089865446404,0.5144681909268664,-0.3124387752620043,0.6567702986009437,0.50531319161842,0.6284658006751618,-0.2581932323340937,-0.10813829149556628,0.6567702986009437,-0.5419770922353918,0.5681445222024422,0.4958261886631168,0.3907367137839131,-0.6773985728544332,-0.5674228671161454,0.15276556111539474,-0.6610542733225271,0.3914004338949708,0.5903054303638283,-0.09734869400582516,-0.18197385943318725,-0.3076914189699363,0.5209805652706393,0.01874885800461945,0.6649813520090938,-0.9589881718300074,0.3078755711773595,0.2784146502685655,0.09172383413899776,0.6028517433847258,0.5583927279470597,-0.9010399146909099
PUNCT,-0.8754041774291513,1.0,-0.45712987337458627,-0.5110912061575523,-0.15117134881449387,-0.712701353052427,0.310727130326928,0.6985861426821642,-0.704932436712785,-0.32397697644858103,-0.2572288924913715,0.5017756382328931,-0.378958368891938,-0.1323199108236152,0.4310880791437157,0.6111499068584706,-0.31603331342354773,0.22127525635085912,-0.5610754844911234,0.9589006975116493,-0.4210036375801469,-0.7769455293873978,0.6277505435010349,-0.28288145191761105,-0.42112193338287823,-0.7361518360351409,0.014279094968595488,0.5505017993082983,-0.28288145191761105,0.4435850159498184,-0.4435129724803529,-0.1864859568872288,-0.36252313980720274,0.8593302025951851,0.7330785412754472,-0.2611083505314447,0.5544018581820044,-0.08290121019729876,-0.1933792512915442,-0.1526343080718082,-0.07952058010985262,-0.054625834598784576,-0.5612972537925665,-0.2446341098633055,-0.24345101811091177,0.9301535275765674,-0.4917132796508043,-0.5559544873668926,0.08833150763247308,-0.7129008522828737,-0.6250493752708287,0.9804209443111763
AUX,0.7684595289638767,-0.45712987337458627,1.0,-0.028338107140176313,0.3476474069772619,-0.008485626854833455,-0.15599956700714004,0.02065121566528661,0.09786814984813581,-0.1854939694328426,-0.4259499962925496,-0.25748470470219115,-0.36978872377290206,0.799575453673915,-0.32880944152565866,0.2146466216522758,0.20853700337497236,-0.4314939636118694,0.017246305074049596,-0.6433165934505213,-0.3106427830624555,0.16181081340169978,-0.009008935204674317,0.825309565258146,0.5244002547980383,0.6161610462341589,-0.4287946229740152,0.3043829089376053,0.825309565258146,-0.27261634860544726,0.6440180986969511,0.5949857088879975,0.4951027509777956,-0.15544112232428317,0.01793509292445685,0.07978828830126658,-0.8130016997196226,0.6073086662679933,0.5967325326933268,-0.2340814708841937,-0.5383861168614157,-0.3280317685825568,0.597336089973677,0.17899652267524988,0.9320664890639995,-0.7047910866859401,0.39280445637028166,-0.06397239233266348,-0.17016404302820778,0.2950794087502176,0.13040958918598286,-0.5826138126030197
X,0.2368253307347108,-0.5110912061575523,-0.028338107140176313,1.0,0.6015100409257531,0.21138936946744574,-0.41719296078598794,-0.544405048467381,0.3659470099278785,0.3494115679830284,0.3602889600122607,-0.5051262081807818,-0.10223740022067473,-0.22923742824742085,0.20158877945129305,-0.36310097925161516,-0.5949345301158645,0.07381042241776206,-0.2651899934477062,-0.4277961330535175,-0.1039228483646506,0.33635189221050094,-0.3525900449903276,-0.31263918093132376,-0.39754181729793325,0.5195413992141289,0.8051811606932747,-0.40708339176151703,-0.31263918093132376,-0.28414336061744105,0.5915943222320487,-0.5707192920628167,0.7118181411711434,-0.17603386018561068,-0.3126391809313238,-0.43307596710881807,-0.08980152854475947,-0.10277815909500433,-0.40911176159973067,-0.3126391809313238,0.39025213280148463,0.4566405859238841,0.5121554735305412,0.1882103817941103,-0.25931174160576614,-0.3375230479226166,0.2845939431458638,0.07948531741070632,-0.10368228585227443,0.8914879012633061,0.6225720454887178,-0.505666112281403
ADV,0.2857868239719253,-0.15117134881449387,0.3476474069772619,0.6015100409257531,1.0,-0.5271205023398794,-0.21085357807270352,0.07036368235844136,-0.1901625424498266,-0.4384803566523729,0.17278744917625424,0.10679355273082394,-0.7081262777844113,0.21049144558511487,0.6529418858277473,0.37208433493309934,-0.7631521258636317,0.16953687983417515,-0.6029413524281771,-0.3119823583033221,-0.6256029661978528,-0.16666740935046764,0.18440612765251935,0.08432583919980376,-0.38148855573077906,0.21878166246547842,0.5217161734697539,0.429634089686856,0.08432583919980376,-0.28142509255473674,0.7118013757067703,-0.32909871448101546,0.7002570729337984,0.2759183342810828,0.1472180324582358,-0.8687465088089291,-0.1878318772971929,0.19924561032620505,0.11185432897382556,-0.8974674270947686,0.22357003489404095,-0.26800626624095264,0.224925589735844,-0.3282841967422024,0.36329523387221646,-0.16888536872259519,-0.18215400754536945,-0.42399967694792173,0.26484449604439675,0.7149239889786,0.6462182850713483,-0.18980298560470416
PART,0.41130211709464853,-0.712701353052427,-0.008485626854833455,0.21138936946744574,-0.5271205023398794,1.0,-0.2280354060283921,-0.7025768734811992,0.7377294843024941,0.7265195143067105,0.11750811873529765,-0.6344519328830612,0.8168469289035084,-0.15546308314579801,-0.7775971797030324,-0.8746628984786226,0.6220341792921067,-0.2388082374529373,0.7639762248763292,-0.5128052638728925,0.7412548704175765,0.7513860932574147,-0.6730072560184737,0.009819600372627498,0.4191673967307075,0.48994218297790804,-0.12491170995811814,-0.876506694868248,0.009819600372627498,-0.1882710297434496,-0.06558457469624793,0.19992487497791592,-0.05987926264537692,-0.8455600521423343,-0.7334187806296675,0.7461224153217777,-0.21671592438157877,-0.1170858056207915,-0.11997669637747801,0.7395423343892729,-0.026683487302822443,0.47175410783425326,0.40089923778227665,0.5182451342145972,-0.2567306850943629,-0.5953014034828276,0.5874027419677182,0.7226484590729724,-0.3212124247487492,0.20190949526219548,0.06948473657973749,-0.6716534694955777
CCONJ,-0.30262191092825264,0.310727130326928,-0.15599956700714004,-0.41719296078598794,-0.21085357807270352,-0.2280354060283921,1.0,-0.20321669271427673,0.287913925784396,0.012100831776121132,0.4699804420727543,0.3543430060958188,-0.20863358721070296,-0.5089034556983472,0.2103747843362398,0.5680905699372704,0.12409837190086358,-0.5615424588466691,0.04643592062200899,0.26239296032424053,0.3762110273468056,0.25738323577317923,-0.38537831077892853,-0.424765821571122,0.4960934214742343,-0.09072963575274698,-0.4902022036027416,-0.014171393540229634,-0.424765821571122,0.8937750620409092,-0.6969279522871731,-0.3187463412579763,-0.666286009983821,0.03200341947096403,0.5788158441298933,0.13531166441455753,-0.25313721038549036,-0.7325218569242483,-0.33536598694979963,0.2961788994522688,0.4839854051160631,-0.38408526775181423,-0.6219624993655023,0.11668021601831458,-0.022243195787940956,0.4367744324966134,0.05000077474369463,0.4675221348751784,-0.32847041845608266,-0.5272627060257328,-0.04753364881261393,0.3909966509614746
NOUN,-0.33901602185554286,0.6985861426821642,0.02065121566528661,-0.544405048467381,0.07036368235844136,-0.7025768734811992,-0.20321669271427673,1.0,-0.9736561828522412,-0.7354805863025276,-0.5974684630999181,0.5791511580192397,-0.33714648088772003,0.5169094055583396,0.3106356081577778,0.4688207960543786,-0.1486187628504857,0.5352604203229099,-0.4027182331789225,0.5530044054558932,-0.6768995136784707,-0.9513549327792381,0.9737616205655687,0.3951691944547037,-0.4170919105496893,-0.7028527868856462,-0.08128034923075551,0.8740630203771792,0.3951691944547037,-0.2341314785461379,0.04153838613948032,0.3883101870420802,-0.046014491226239906,0.7208934174111796,0.3520585897369832,-0.33580341429084554,0.46948382363955543,0.5738965745108625,0.5142773097325739,-0.4846601874113702,-0.5109246160896256,-0.3467454985140957,-0.2783811305305823,-0.5855718795230783,0.2699143379110214,0.44033286326251636,-0.6802948546665127,-0.872841931302264,0.5276413812562742,-0.4292658868093872,-0.45829622162305766,0.624781879035656
SCONJ,0.40384938972593193,-0.704932436712785,0.09786814984813581,0.3659470099278785,-0.1901625424498266,0.7377294843024941,0.287913925784396,-0.9736561828522412,1.0,0.7245754790591401,0.5084312050326852,-0.5697597327798284,0.36288802084048183,-0.41839454898058265,-0.44617208413241893,-0.42243722591248534,0.3322154722703365,-0.6576357147509415,0.5089167548954265,-0.5807139639107627,0.733481395595777,0.9878977863154632,-0.9908506961916221,-0.263804098251009,0.6093678542444954,0.7304340321968659,-0.14382556684416292,-0.8436277433755833,-0.263804098251009,0.2867819752533489,-0.1046143367187036,-0.21915995447443531,-0.05065679727334247,-0.7714021506006553,-0.3192448059065906,0.49377715970795655,-0.5870548781631657,-0.5282072492208313,-0.40738139709033366,0.5921203005420747,0.39366633361651165,0.260305696645861,0.2727765797219233,0.6378135818903834,-0.13734514087157337,-0.4917709480230459,0.7415673964570464,0.9342315550202916,-0.5879803025870621,0.29741703030044825,0.35874399096972365,-0.6419796693991298
VERB,-0.07358582487954035,-0.32397697644858103,-0.1854939694328426,0.3494115679830284,-0.4384803566523729,0.7265195143067105,0.012100831776121132,-0.7354805863025276,0.7245754790591401,1.0,0.07040864156821294,-0.840628641824188,0.39358667193947283,-0.40864083997068446,-0.6088401140317171,-0.5344045955359641,0.18689938703161688,-0.5264775157494146,0.20904326684605543,-0.09700396690349282,0.4837359393860541,0.6308922800761056,-0.7045377875782652,-0.39026473867080275,0.22801356173181225,0.57065941806173,0.11017769495487015,-0.8755940981915418,-0.39026473867080275,0.3100881248300694,-0.11555016999459645,-0.2628967693564893,0.061687339235929055,-0.37114815676679697,-0.15952079239636197,0.580092923151423,-0.22940569485186282,-0.3589774236780209,-0.688294415279273,0.7261534338273,0.06451406106224562,0.8251328390538643,0.44559406270232305,0.8870355595994082,-0.49965058404718016,-0.16545739356144884,0.8184144250882599,0.6213773639333162,-0.7924439001937879,0.0624473101572873,-0.20340951028017148,-0.32692688524331515
