,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,punct
len,1.0,-0.8125992205007933,0.0019638229198940082,0.9522750011038393,0.7338253910836262,0.2961937063459504,-0.5893018627097109,0.13355041288234118,0.6493594267079088,-0.05555020503183004,0.14460968870286375,-0.6405621044583755,0.1622983357423847,-0.25885189299813643,0.6987500226454563,0.2622001459345662,0.2375101051866514,-0.46926360977204173,-0.7000370548600928,-0.93483766472716,0.13806885682016637,-0.20489255245012358,-0.8941721570050041,0.3855708785917122,-0.45430231859139375,0.03928181282518804,-0.8364455606517066,-0.2785612344781713,0.4731783617025514,0.827078575769047,-0.32528185450618957,0.9620654310020799,-0.2775603838661921,-0.909275679421954,0.28561775979425874,-0.12732975339070216,0.513543828838011,0.09609519388425733,0.7343341782565768,0.6339915883009898,0.8599099150422357,-0.47118021708679303,-0.5527640446462131,-0.5791866687623298,0.8726136600409286,-0.4529826676675096,0.8678663671803493,-0.9642509366592324
PUNCT,-0.8125992205007933,1.0,0.0821760325212801,-0.673751792827498,-0.2781675889810643,0.0638601580596032,0.25382655705097673,0.1629532390295234,-0.6711368414270212,-0.42150440777585424,-0.16480815065169918,0.0755738223659313,0.3850168575448278,0.6248393762165809,-0.7561542340029015,0.16616440025683027,-0.7121166648547484,0.7741913362978021,0.3751165369849884,0.9631099631057088,0.2479022240950629,0.493795640862428,0.979564662131037,-0.7129152795321312,-0.1449751642651608,-0.613205221845196,0.5354151251300315,0.1593312012119905,-0.16046564019383278,-0.9095147167348832,0.20005861574155503,-0.9401408870176261,0.6861552547333324,0.8933008731995249,0.11750392702242893,0.5910415203435911,-0.1876434644960284,-0.570453448938612,-0.3405135603762046,-0.9489483167300996,-0.7855718951625047,0.6805505610826335,0.9166598964835456,0.6592772986209077,-0.8837210230151596,-0.12637844799003145,-0.44202372942024326,0.9352673466148532
AUX,0.0019638229198940082,0.0821760325212801,1.0,0.27630404088802646,-0.32030065474536557,0.8668995547505608,-0.7589578189559032,-0.7984583723083559,-0.7461733580880691,-0.7055312969415318,0.9645326379859613,-0.029086692762091314,0.5558351857405185,0.7485369735095384,0.5865017532527129,-0.6112117855834412,0.25604502181771216,0.6604899376983058,0.5763079284976996,-0.01586889306520245,-0.6769625127022362,-0.7130130402179575,-0.04812268995116691,-0.7088308980258465,-0.004842152189402899,-0.08285636068275402,-0.5211005716914152,-0.9606824022148991,0.84062569085531,-0.44018265480572477,-0.9459001254041003,-0.013009548529921231,-0.42751230449531635,-0.28132716876497627,-0.6528702408984717,0.6473148382058637,0.8119623427120851,-0.6421595406351103,-0.4472148551165701,0.10219106953477058,-0.5028807293015227,0.7841383835107237,0.33787027730780067,0.7858052538138854,0.340337010327581,-0.3938702326374286,0.27150084896279747,0.08456616623816934
ADV,0.9522750011038393,-0.673751792827498,0.27630404088802646,1.0,0.6904617422933186,0.5735525506975727,-0.806576122995682,-0.013618224629221075,0.3945097116882302,-0.34091816880631587,0.3726575022129535,-0.7201794446765474,0.41598590647269806,0.040563589156366535,0.7709856010646424,0.18154531450711206,0.17107825757938652,-0.18716625759208982,-0.5641905964150886,-0.8466606233468262,0.04219968036410422,-0.3010147279881359,-0.8047130907906224,0.09362160081525003,-0.552751101385305,-0.11842289976329412,-0.9624299317999215,-0.5256557582109198,0.7166482540662261,0.6199229543444754,-0.5657133788447585,0.8756586252323424,-0.26648112134703456,-0.901391676614709,0.18634424055377874,0.1568601727021999,0.7490600172638744,-0.18638421826298518,0.644230274362794,0.528977175284065,0.670079371809756,-0.17951371261197055,-0.3316280016285877,-0.3071500304066552,0.8768638194639949,-0.6461500007407386,0.9562350169453779,-0.8610306076670025
PART,0.7338253910836262,-0.2781675889810643,-0.32030065474536557,0.6904617422933186,1.0,0.17926166993100145,-0.3562196627660431,0.7060125457318228,0.6331300658416724,-0.23657311501735417,-0.3369818366735673,-0.9202559623730918,0.4282989448035996,-0.06606536925358186,0.0782642916859797,0.8357818237581316,-0.4686573926805968,-0.20709611532430414,-0.9507416469626178,-0.46921123907586,0.7516143810668644,0.4803753398689637,-0.37480839149353534,0.15838327960044257,-0.8651108915279289,-0.5402822672956716,-0.5512008093697478,0.11840743695515643,0.236500638067824,0.5411727017336742,0.08090993000524928,0.5477933536047649,0.4486127739259663,-0.392823862931274,0.8392703439885318,0.1477250255060642,0.2837005270109765,-0.17774964033455903,0.9879905488937841,-0.025982398027308257,0.7471607040600127,-0.35778666788868085,-0.05919769716457163,-0.5509247260856909,0.3208101977353097,-0.684763481765893,0.7996472352635623,-0.5855379709084589
CCONJ,0.2961937063459504,0.0638601580596032,0.8668995547505608,0.5735525506975727,0.17926166993100145,1.0,-0.9437030960353224,-0.41642818032729456,-0.5115744187317879,-0.9117682080402967,0.7888719267592517,-0.5224832723862509,0.8573211071127662,0.8175238548473911,0.5483541111026877,-0.1521120964393642,-0.0851575025289662,0.6693194698949477,0.124272494628274,-0.14635265767438788,-0.2551429511352688,-0.40817705388402903,-0.1259133851200437,-0.7377256282393783,-0.49627314410771606,-0.46070863585030436,-0.7680318913560856,-0.90494603703328,0.9747742077249505,-0.27752812243980485,-0.9048413969717717,0.1624882664172696,-0.10596845309064402,-0.3874818162936161,-0.19953169545733218,0.8254512858083681,0.9674300049929475,-0.833830544542758,0.033690151000997794,-0.03313520701756283,-0.2134785458585534,0.7022674894084371,0.4361048337467001,0.5957595203690088,0.41026128923407856,-0.7964665798702462,0.6585637185167393,-0.10995797589644894
NOUN,-0.5893018627097109,0.25382655705097673,-0.7589578189559032,-0.806576122995682,-0.3562196627660431,-0.9437030960353224,1.0,0.36223580566041613,0.22301604105067419,0.7652318511868154,-0.7537303910472717,0.6135271559361869,-0.7450448730309635,-0.5859117068482497,-0.7399111721324675,0.09999602525307551,-0.07113930642836395,-0.3885679811266314,0.09235094055469932,0.46215476583528603,0.2294141274921791,0.4728190765379047,0.437338433218031,0.47570631557200643,0.5202439364813576,0.3186227025417748,0.9355014078077505,0.8852403895032673,-0.9898112904377843,-0.0552630214780203,0.9007649905206003,-0.479352344567089,0.24606048892825563,0.661307255786538,0.1304933896108603,-0.6261337911083736,-0.9957176749658041,0.643127171464944,-0.23542883132462789,-0.23534578101919415,-0.10275096871297654,-0.42987941396744866,-0.14435863098430746,-0.31462407165667966,-0.6722553146539231,0.7888957107925497,-0.8327354173977685,0.4325518041161768
SCONJ,0.13355041288234118,0.1629532390295234,-0.7984583723083559,-0.013618224629221075,0.7060125457318228,-0.41642818032729456,0.36223580566041613,1.0,0.6014839365809971,0.14145892752008027,-0.8811341677166781,-0.5135482181411155,0.056424857216597644,-0.275052427217145,-0.615489399895909,0.9614956154711664,-0.7222409337029496,-0.24769069287025133,-0.8011905424777691,0.09451760350561134,0.9833616088841886,0.9354691370470659,0.17888028093881703,0.27225017088082865,-0.5801650677196261,-0.5127291483610447,0.20069877175304904,0.7433166622804469,-0.4511531290569254,0.2594708124042801,0.7267391911807635,-0.019437360588775852,0.8088763500918373,0.2827432209430136,0.9713461281360868,-0.09345142210443584,-0.41463580260891475,0.07979330560724554,0.7552677095384362,-0.44578831381234624,0.47254588251056806,-0.45408305813253613,0.10208783696254516,-0.5810830073813551,-0.36042338930140966,-0.2161029199300009,0.14515187951145977,-0.0508736908445755
VERB,0.6493594267079088,-0.6711368414270212,-0.7461733580880691,0.3945097116882302,0.6331300658416724,-0.5115744187317879,0.22301604105067419,0.6014839365809971,1.0,0.5902497251295932,-0.5956972687492117,-0.2875790144676136,-0.4241511350411905,-0.8134533697868183,0.07407510363436204,0.5228736876531853,0.0945690812543191,-0.8811117478343098,-0.8275177357240104,-0.6462926743069731,0.49454712031243625,0.3055352925437899,-0.6084072252310861,0.8634301837422819,-0.16717414094625574,0.22708658577556537,-0.13039408094535956,0.5335101595379552,-0.3577244455863714,0.9160115994863683,0.4916855546646364,0.674049463721247,0.018258681587601074,-0.4247266146777687,0.5756048120089858,-0.672023701791007,-0.3119809193988539,0.6491132168215618,0.7407917497369836,0.4437164120258554,0.9463572194237682,-0.9491252857277279,-0.7190139834700874,-0.9941250453113447,0.36287425606505,0.11176304584562836,0.30342021084044724,-0.725883817680637
ADP,-0.05555020503183004,-0.42150440777585424,-0.7055312969415318,-0.34091816880631587,-0.23657311501735417,-0.9117682080402967,0.7652318511868154,0.14145892752008027,0.5902497251295932,1.0,-0.5313318721948461,0.5974651168961507,-0.9771362492828194,-0.944943931179029,-0.16077952203944373,-0.11041408739214865,0.4687172315186971,-0.8539331389660069,-0.071993528456757,-0.1888726417312443,-0.04059358336414977,0.039962600084387775,-0.2322831516560792,0.8958710490959125,0.6574948858098576,0.759945582127086,0.5363496445868097,0.6763547899621798,-0.8069213570947453,0.5112532695392583,0.6666000576676517,0.1495547880924809,-0.2915038368857587,0.029830680071361287,-0.05027416360134331,-0.9806051262603459,-0.798726680346489,0.9850677156429745,-0.0842235753132534,0.4353428909265515,0.3627350272502605,-0.8117356863582328,-0.7463327100065379,-0.6732838974199502,-0.038646885911175745,0.8678306751903351,-0.5332948380866327,-0.18442362897793366
