,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9602998242617481,0.21384727159378733,0.12821229536714562,0.298406060159831,-0.7075955008432374,0.06926487712263536,0.43695510871970594,-0.13545126350629544,-0.5676799924660562,-0.42773126748661894,0.0427005686221128,-0.447251725935394,0.8093484553531141,0.18995082169615668,0.8237577281236527,-0.10027867208932101,-0.4547574279235411,0.27773424415724546,-0.9911463437847446,0.7704670973564063,0.3575372218993261,0.09608481970073209,-0.4947523808679568,0.32661772180782894,0.2007632326973548,0.4104854198370673,-0.18769936563417694,-0.5479727430068376,-0.15008891477031952,0.021970345458763498,0.048728031157684155,0.019858780439091152,0.09536764282171872,0.8434143932805719,0.2978955543167343,-0.815259081686232,-0.6102637480114922,-0.24411243329473364,0.5203462545273071,-0.14641751171126283,-0.0009270343511784755,0.1925421962807044,-0.06079039902910547,-0.7507869159153598,-0.6743444186177893,0.055355635967295806,-0.23256324489900965,-0.9628704270483811
PUNCT,-0.9602998242617481,1.0,-0.22303189322877617,0.0034861593696061204,-0.48574251759998266,0.6829794917047635,-0.19446005015509513,-0.4820524785857406,0.17256416797401694,0.6099316367365804,0.5502843649519794,0.03919954710759619,0.21053618404120686,-0.6865221988994819,-0.1677447721150837,-0.6343360660135627,0.17187441980216245,0.3489948920308827,-0.13142401112636917,0.9603987933843321,-0.6108255878209149,-0.38228632769907606,-0.094332847741853,0.6608207233056662,-0.48211543971917503,-0.013290770205247004,-0.5437092559453508,0.17428250841453521,0.49851473892980724,-0.12262271646857889,-0.06204519489067075,0.07355553179037705,-0.177380966904308,0.09082669426925362,-0.762012608382727,-0.4276080622481608,0.7671610557467917,0.6877175392842115,0.13091556242656233,-0.5406526380302539,-0.011969501753727813,-0.06788258733224904,-0.19641632994923186,0.1961720281249297,0.7994503740493782,0.5315471967089413,0.03158357367282318,0.06998365907494977,0.9938790872653321
AUX,0.21384727159378733,-0.22303189322877617,1.0,0.4554857811446395,-0.32611498455595894,0.28991080166017325,0.1443023599991149,-0.45118345616489847,-0.24213055118051038,-0.6561360414705755,0.34643092926990254,-0.3511118321571727,-0.28968181550529054,-0.06924232385450219,0.20743272850578748,0.14721676279767434,-0.059296448825175915,0.588129828872905,0.5460446374547603,-0.14209116146290912,-0.15656181946373204,-0.52680592242204,0.11242871709445834,-0.0996597890996532,-0.3451408375513394,-0.031076463526029458,-0.14269286959877836,0.4405239798664786,0.4261682831519155,0.16207121422647486,-0.8057353027547337,-0.0948297695705545,-0.758269900467462,0.20297029947019657,0.07493963218098112,-0.6835829948557519,-0.020003442440167333,-0.6822278577332993,-0.7663798740457682,0.8389842611760086,-0.5446351652772914,0.8447592606678592,-0.334643255766159,0.5369246561613031,0.38366277016158556,0.16396713104523056,0.38025768036119023,-0.6890924195712951,-0.2725869171806188
ADV,0.12821229536714562,0.0034861593696061204,0.4554857811446395,1.0,-0.16316018727703122,0.027381849930982624,-0.5840389528250814,0.10407593372323243,0.6573812114924754,-0.633790829784424,0.8283466317364169,-0.4651844322714158,-0.3834605952695543,-0.12987041932790416,0.5078392249046595,0.369511835161729,-0.5549936259011125,-0.23734838166392808,0.199878903775859,-0.06618690095105992,0.39016725672940633,0.07261520241369962,-0.6262056054591834,0.6600608401881115,-0.03254741488891368,0.8114953957884089,-0.7231508916942698,-0.21018554113083396,0.039014404955978556,-0.5226807250069361,-0.7035388548061762,-0.3181910247288955,-0.6049183105622163,0.7854142347564709,-0.20704402642417213,-0.5761288825813623,-0.16364769035058102,-0.4940565748209494,-0.523535673469948,0.04741917479697122,-0.7951618160301999,0.6294293071381107,0.4195494068729318,0.9625430602487787,0.3374409266847683,-0.5295163675781859,0.7873046572752562,-0.5747089273575151,-0.03007192130907479
PART,0.298406060159831,-0.48574251759998266,-0.32611498455595894,-0.16316018727703122,1.0,-0.5173929595690763,0.08928367909167208,0.8179230450207542,0.3510718811546726,-0.33332607956101906,-0.44737967029468306,-0.34091802940748545,0.6455475365853806,-0.036923377569610276,0.11047991172809027,-0.14981376063449262,-0.6293499405461364,-0.4258518938507556,-0.6483511667083691,-0.33623649012057694,0.1733638549313414,0.7449617894689547,-0.43837285812561966,-0.3975197363143043,0.9848142049630243,-0.06221037773016657,0.41349811136048437,-0.4581314193979244,-0.4411993619657796,0.48976729105706485,0.31343254225667466,-0.5869041598712349,0.8015074129990446,-0.2868213223969376,-0.04670918038675685,0.8106090739894234,-0.37132291829556013,-0.3884235375376825,0.5804454800430446,-0.25104870002952145,0.47322507513103435,-0.004948853124788245,0.5861604015009607,-0.354015187177836,-0.6508190965608853,-0.27377606412737293,-0.06546443492540523,0.6762049942985551,-0.43184901952508725
CCONJ,-0.7075955008432374,0.6829794917047635,0.28991080166017325,0.027381849930982624,-0.5173929595690763,1.0,-0.2778634269235494,-0.8263224553495081,-0.035210031419855466,0.1487934083399411,0.47774112195214097,0.24497906670599773,0.01609760640749911,-0.7427052940015871,0.3089134657430884,-0.6135518206647329,0.38336750469561254,0.6759084485959621,-0.1522954232813043,0.6779003979560091,-0.7781450646888584,-0.839359172297524,0.30313580961758313,0.22561210220987238,-0.5268123148451092,-0.3883456868702716,-0.5677477957068786,0.08583071819311648,0.9729823055834872,0.23869274265966064,-0.1428913326834645,0.3479792688414249,-0.4341325121472135,-0.29245828974484034,-0.4807921791436248,-0.6409184090193025,0.9470982953667973,0.19961322168708315,-0.4314354059608248,0.056092814609009604,-0.36666127391672065,0.3586134233241145,-0.20000355646475207,0.19389190544627127,0.711066139289332,0.7402112871862933,-0.2578218145001503,-0.3736103483877471,0.6113556187905007
NOUN,0.06926487712263536,-0.19446005015509513,0.1443023599991149,-0.5840389528250814,0.08928367909167208,-0.2778634269235494,1.0,-0.024548207977182337,-0.7574651058085655,0.2340438307830963,-0.5782508184976957,-0.2704410124831342,0.37905976727162227,0.24814581343030837,-0.829974573468954,-0.1542543733366043,0.12140800231294252,0.47892003919586346,0.4119990886814982,-0.015455815873238979,-0.2822253414763005,0.01699561232782086,0.28586655395834554,-0.5377492289850336,-0.06924481766820964,-0.49439633909519654,0.8387083981255474,0.7952009217762831,-0.25605545510225214,0.4725283884366332,-0.09410600759954252,-0.2400384539821043,0.19568837255252652,-0.21384879842052354,0.11908109263003264,0.25755541591785913,-0.2876941504162925,0.050970402812640446,0.36773257234495715,0.3620530825053332,0.7110569789415275,-0.1116340092704536,-0.7467523507673678,-0.47868293350824836,-0.050204097358731554,0.39154939246739023,-0.043663403144287787,0.41050658916136296,-0.12892426058465725
SCONJ,0.43695510871970594,-0.4820524785857406,-0.45118345616489847,0.10407593372323243,0.8179230450207542,-0.8263224553495081,-0.024548207977182337,1.0,0.49655186351155933,-0.24873873012932204,-0.27029681484190876,-0.40135230336804517,0.33218609555849465,0.2836409199536697,-0.02633412994723492,0.2604531984731854,-0.7143844357229211,-0.776718887014574,-0.3523775184051657,-0.43713942474709677,0.6122057009925632,0.9859504418323939,-0.6539139886604011,-0.040557421624665455,0.8590392679804933,0.44133059419445286,0.29433883162327396,-0.44103118103594796,-0.8179183813743306,-0.06826915804548042,0.20250699261354763,-0.6040764408966595,0.653807956588098,0.21656145218951287,0.06287324293206356,0.7360362690261772,-0.6951750913455463,-0.25036046172745097,0.5965862930525144,-0.4107028575857453,0.3488951659887149,-0.19989210849642092,0.6194125846462193,-0.10171696157025313,-0.6434269623861497,-0.7032648964195206,0.2790121305136388,0.5777726946013741,-0.4108704679014361
VERB,-0.13545126350629544,0.17256416797401694,-0.24213055118051038,0.6573812114924754,0.3510718811546726,-0.035210031419855466,-0.7574651058085655,0.49655186351155933,1.0,-0.3295703600148453,0.5850072925428434,-0.3270027763828362,0.13086236167409226,-0.3971137555298248,0.5596376127068543,-0.0328616812744456,-0.7025565754462565,-0.582863576767149,-0.5404380290141134,0.12163606610070685,0.28816883404103694,0.47239886825435784,-0.8239443804620652,0.6332849106169209,0.4864587590383225,0.6735448044604223,-0.6619305545904962,-0.7025936977158748,-0.08547491126538082,-0.30388806875364494,-0.09200368590174786,-0.42869956586022917,0.11334894971640262,0.417155097208548,-0.4757329380632053,0.017446029430510334,0.025717549827309786,-0.17676915426850762,0.09338648378793671,-0.6101504040929246,-0.3614797701091447,0.22875879776298436,0.8694566917843162,0.5340674359715973,0.044282450233175896,-0.5023412917522277,0.4283006584429478,0.06057871892638088,0.1703127932964548
ADP,-0.5676799924660562,0.6099316367365804,-0.6561360414705755,-0.633790829784424,-0.33332607956101906,0.1487934083399411,0.2340438307830963,-0.24873873012932204,-0.3295703600148453,1.0,-0.22810258423339083,0.4423886202833137,0.14354974234502607,-0.01907192264938826,-0.6092784552938169,-0.33232220342873436,0.5554468372345733,0.09178596875206588,-0.01829721208396083,0.5389520772209473,-0.31539186576824285,-0.11306288103834762,0.33403894693668235,0.1388358199788602,-0.38842717230992607,-0.27935833831052237,0.16054950786384103,0.25299140915350654,-0.03058786248732788,-0.1289335620258506,0.5173402693933861,0.3704613680856798,0.2799784616437063,-0.21292228312305786,-0.15837090618895114,0.1668062968016701,0.3557716509718476,0.9803944653817581,0.5137468556521124,-0.5126067937076431,0.5358175259628171,-0.7781585033201451,-0.4267782201879542,-0.503701978579951,0.1824906985065649,0.4012763588005333,-0.4101772875501838,0.42020280465145793,0.6437709039170896
