,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,compound,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9747601103491709,0.271856409307505,0.1051735071829472,0.10170180447442667,0.13894952983843162,-0.07045925619060768,-0.274820071640455,-0.10905040304801122,0.1542480000384251,-0.3301786520921271,-0.017160825598926243,0.43257686839276044,-0.27019694093596286,0.24440562003034477,0.09448510785116344,0.424889669284406,0.04661565941683885,0.047173411309998345,0.2660168139022421,-0.9876426728481853,0.32864707870081245,-0.0660315429435344,0.14340609055984901,-0.40364074554580026,0.19493301965543622,-0.1412585765108187,-0.06657576155265914,-0.4194826038438306,0.0099567805274728,-0.010589498006292655,-0.5739417849339149,-0.1283053411503946,0.26020072229756314,-0.3873449541111979,0.10806689311998405,0.016926611628116383,0.07013365074764485,-0.491532960986729,0.10874237499287309,0.02425420174458516,0.0007733346116393229,0.32993924398521607,0.1257852684148704,0.18576100842342128,0.10821152202772617,0.2841065784553243,0.23692148827572915,0.09030149242737419,-0.24823674565756307,-0.980398926167448
PUNCT,-0.9747601103491709,1.0,-0.28615644391818473,-0.039767184950517454,0.002104335698034884,-0.13360950650618456,0.10088909574145609,0.22845136925060286,0.20169319479379447,-0.1102014938233795,0.20515511959391142,0.08193005464709818,-0.49134981054498666,0.12574568822882193,-0.17062499020585958,-0.14199102986206907,-0.415453274409758,-0.04072964470374636,-0.034151587283345254,-0.24831972721965434,0.9692717887586465,-0.17766783471066702,0.11130248433031777,-0.20024963436077803,0.46521074109261296,-0.160143541194449,0.027958252945222778,-0.005069575919250265,0.46004374318632024,0.03198161628023809,0.0005100265495362652,0.5630118701209205,0.14429178587948593,-0.27268961666915187,0.3671723888409659,-0.07471277040489607,-0.14463789350767023,-0.0749994559853145,0.38728745298903083,-0.1436667122227635,0.0007528006361186141,-0.10108034315331497,-0.24517762255252376,-0.11118308594494164,-0.14532067312878702,-0.14722049114738373,-0.2492231577465417,-0.3188815939191613,-0.030130654620404738,0.18820001264844544,0.9905831133706042
AUX,0.271856409307505,-0.28615644391818473,1.0,0.2634901346028815,-0.4025118351971202,-0.2539022599120028,-0.0998709586118765,-0.19117397491857022,-0.43267096177043346,-0.28619336401717527,0.2123195367230426,0.07352501629025567,0.4030671512272841,0.12417211866566615,-0.10491713315963533,-0.48431411108210787,0.22473690532674567,-0.12988549349537032,-0.24729216178239707,0.5917082355311856,-0.31100613685288087,-0.16355378134769197,-0.2822421762965907,0.10367043033559568,-0.13052250574645338,0.09323828812325652,0.19340587788644334,-0.09268054765170039,-0.4156050092658812,-0.1249088132108634,0.21529611962942394,-0.22156067823035253,-0.49449499363796445,0.23764887139731444,-0.3937638447906744,-0.31657302190536823,0.2552005933570417,-0.13523162266846295,0.20147231965699328,0.26781340307392576,0.7452269460925306,0.4549493640016123,0.24864541793862618,0.8730624518420549,-0.45810079241291535,-0.2001274520121438,-0.3831555834981683,0.393745946076375,-0.38491435729879614,-0.03636319407402361,-0.28797203141103783
X,0.1051735071829472,-0.039767184950517454,0.2634901346028815,1.0,-0.09475445700099559,-0.3349093365352077,0.1830409947593605,-0.32015343048258543,0.2050942876915365,0.06579895071775468,-0.042224779050833564,-0.2195288131627664,-0.14824410980671504,-0.36247852647293616,0.3807950735932973,-0.11922400569093065,-0.17935845641413406,-0.3223788308464231,-0.07142857142857141,-0.1601693862010261,-0.15486932891759872,0.13956739544161084,0.18814078365279174,0.28621128878416074,-0.2464453651798522,0.36888691007779845,0.2026873365441116,-0.5693877578768742,-0.1334143808374156,0.25996932078147,0.3003441403142257,-0.20697602375213237,-0.23520949359261056,-0.29617261729282757,-0.1743386871015656,-0.029950618629995276,-0.37650147944462226,0.016891010463614912,-0.027261505439981213,0.027702169971384093,0.6101097528298021,-0.07142857142857142,0.29125010417686087,0.08923971252446335,-0.1896236292287247,0.12542396550547752,-0.19876614695523875,-0.2199925161347555,-0.2578675339266069,0.1451617476494821,-0.1274064197771911
ADV,0.10170180447442667,0.002104335698034884,-0.4025118351971202,-0.09475445700099559,1.0,0.34844146379425556,0.17952186548688928,0.23394943118567435,0.47369393362985157,-0.07198073559992268,-0.3830706765122962,-0.065353098044104,-0.28870406557716677,-0.5653269694133953,-0.07053026319771498,0.35826139497386106,0.27290498672875196,-0.3290347826407861,-0.11179086825073047,-0.16750870535227425,-0.08314190386963187,0.31653808845918346,0.4591642705754758,-0.6457763990262313,0.16567569869797963,-0.12875372831615295,-0.5527450230372192,0.2232823481198937,0.4811359080817384,0.23781119530764372,-0.18133267452828505,0.0014928030974506053,0.7471986462375639,-0.04392490756877372,-0.024373859273924554,0.06986048638735841,-0.40257036843985433,-0.043563252869086896,-0.41612712535794266,-0.30213745760734606,-0.3691380201618458,-0.5920606478780486,0.2175137639400305,-0.2882655133956718,0.26194282803691765,-0.4202164889147562,0.2618212361142124,0.09175621077942205,0.8596602527481878,-0.009066241812854509,-0.02092093920722111
PART,0.13894952983843162,-0.13360950650618456,-0.2539022599120028,-0.3349093365352077,0.34844146379425556,1.0,0.08205649807694801,0.1750300508599235,0.41998735481249533,0.20355061899953586,-0.4731151606768755,0.19860417362932437,-0.25649930924720077,-0.2960185852660585,-0.37834255636484215,0.15150181555179787,0.2028296082417379,0.06133925751898748,0.13774543827911812,-0.19105756664620635,-0.12067633096925892,0.5380431516644454,0.2442085706852704,-0.3091988406756848,-0.027760993903608408,-0.23514418123160324,-0.2924345589993988,0.2006245124412615,-0.13053708542410808,0.09949721759215772,-0.2721268362416672,-0.2077118489248186,0.36988449408222296,0.036445166150392026,0.18394201607835634,-0.07428495333763947,-0.3516988890872163,0.07352333506596678,-0.5223401047279969,-0.10607430506249227,-0.3819844749433281,-0.1386268540792831,0.2443928920961984,-0.24520162812756527,0.3050631202561179,-0.11678348624063814,0.48778250061910394,-0.10932795216848722,0.726908871736672,-0.2640550133023343,-0.14110735627332593
CCONJ,-0.07045925619060768,0.10088909574145609,-0.0998709586118765,0.1830409947593605,0.17952186548688928,0.08205649807694801,1.0,-0.47184664187515457,0.2552933447096472,0.16706175502174023,0.25890299067390465,-0.06008932083375068,-0.40673156574309766,-0.48106678855531476,-0.160537645250179,0.08535149057100928,0.02945591000582297,-0.6666966654831209,0.1884828558158184,-0.3246205119296811,0.010298504696215313,-0.18895028075314524,0.4897853222282013,-0.5690625090883171,-0.18404829936848024,0.24621549846628235,-0.06301112558034759,-0.2717097385177949,0.13097451856117928,0.98158158610813,0.03428334721231227,0.007196720397629044,0.16526061512563053,-0.6716339103224372,-0.06509280767659738,-0.580253384336508,-0.4267998575041659,0.8670984464786162,0.21468885809188984,0.020846079246786886,0.09006056824389112,-0.07949182689744458,0.21969502188755216,-0.23258484433168486,-0.41750915864489513,-0.29617566746453916,-0.17411853077880096,-0.052660188584013334,0.048195884331849535,0.03246490770479527,0.09632469111742867
NOUN,-0.274820071640455,0.22845136925060286,-0.19117397491857022,-0.32015343048258543,0.23394943118567435,0.1750300508599235,-0.47184664187515457,1.0,-0.021558146887704136,-0.6623951565615679,-0.027320015520990608,-0.08031865255488586,-0.12332900385971787,0.31960084358255125,-0.03738056065812001,0.44629278661363375,0.15187916074697516,0.44654595343885944,-0.07152298930988005,0.23060998917626147,0.29898462069599313,-0.029744803088361717,-0.2474046927124844,-0.12256910130092138,0.4393466393086705,-0.6531310277606197,-0.01793144086452938,0.8085348889386225,0.2861534180494629,-0.46443473259340656,0.3204555711195298,-0.12928272113743458,0.29079394902694583,-0.024030288019669964,0.4047261577925713,0.30261767705951453,0.3344792430702719,-0.4260503358193322,0.06155131235971652,-0.2930331250253947,-0.3485681507924506,0.21908772149041172,-0.4012561470114286,0.0926697717906069,-0.14208482817341317,-0.4710658654198583,0.2645684484948348,0.18048786246917276,0.39306224793219713,-0.16448192910741105,0.229487200411837
SCONJ,-0.10905040304801122,0.20169319479379447,-0.43267096177043346,0.2050942876915365,0.47369393362985157,0.41998735481249533,0.2552933447096472,-0.021558146887704136,1.0,0.428428595926355,-0.6163032176633726,-0.16605620795379286,-0.5088935904671454,-0.46976969269830116,-0.14674488734451735,0.3584519082879882,0.2771701492729102,-0.08017719499412282,-0.16668900207589787,-0.24740798372020026,0.09173935396189835,0.564498982056706,0.8202170151349485,-0.4068003062497951,-0.1607349847019864,0.319526131936217,-0.6837523099408044,-0.24704051477701827,0.1392595438208123,0.319049886827166,-0.30191728290504516,-0.2037851543021697,0.35678018889600444,-0.37327025733889235,0.4095504618631652,0.0988054825700184,-0.4889899939757458,0.11972727581464769,-0.5949627012515051,-0.35092862061439706,-0.20667052193252303,-0.5159999460939126,0.08073183321226236,-0.36225364553363126,0.21915341531221297,0.02970415438043146,0.003919652585009886,-0.40032263247393507,0.4844940080470526,-0.20486397445462884,0.14844476517363242
VERB,0.1542480000384251,-0.1102014938233795,-0.28619336401717527,0.06579895071775468,-0.07198073559992268,0.20355061899953586,0.16706175502174023,-0.6623951565615679,0.428428595926355,1.0,-0.5041550286566334,0.014081057674377515,-0.014044400790240047,-0.3718970084087488,-0.0433525005050043,-0.07001051425856687,-0.15723460488648683,0.010542406269824351,0.0706127072190939,-0.2545006971937866,-0.11304203575213724,0.3568783713763456,0.366701550199665,0.06993846467564217,-0.5085060196227588,0.5914084615019444,-0.3499921619053389,-0.5630706172107092,-0.21482114591737508,0.17544572221354213,-0.5361387204144973,-0.00988426619815586,-0.2255969801894501,0.08644645136541607,0.15135103092213167,-0.004027233906354119,-0.4814640900122315,0.28656995265299856,-0.5550290194616322,0.22794887281763043,0.031065248201919533,-0.4983274659391713,0.2422698409661327,-0.47675952190654536,0.46878077552402003,0.6871204049450278,-0.11246008701058809,-0.26695467099476994,-0.08533558241124929,0.09686083161826457,-0.10051742036973269
