,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9755718423029967,0.21200805744868473,0.4135199537960751,0.37668776857394076,-0.7104512241552514,-0.7782112681858014,0.6166168760901037,-0.3033209834722954,0.9111149603482527,-0.4204378899743438,0.6992335829931473,-0.16582249220973216,0.413828247120035,0.6078903417429267,-0.22321806304521088,0.10377959447790167,0.29315549977468686,-0.9984380612525334,0.7660928443021642,0.6403191975194661,-0.2695988258308886,0.3037721645719178,-0.7415258452037572,-0.3662515191483466,0.588332788338051,-0.6401892086533587,0.10377959447790167,-0.7544772757127711,0.30804800213373107,-0.589475271387904,-0.1427266605575272,-0.5309636408494354,-0.10547609121973468,0.28518827559197973,-0.12509596806940923,-0.3135542172519641,0.25512483642484146,0.8796834901249828,0.03707637246090426,0.8413387628245997,0.5121405111401349,-0.48587726923959035,-0.28067376139456174,0.12545942892950165,-0.1468802901927591,0.666995178991013,0.15574214883404533,-0.15746844801083,-0.9816806891172215
PUNCT,-0.9755718423029967,1.0,-0.1647426144530237,-0.44640231187332596,-0.5329146676898484,0.7511947791579981,0.8273755509484157,-0.6569974998022119,0.4526611854664729,-0.9425348969777838,0.4990533789186443,-0.6570362185498894,-0.017472664504740984,-0.5707461534215039,-0.5675891737062517,0.264253515343262,-0.20933419878391518,-0.4043138776575247,0.9789435836354622,-0.7974120868068431,-0.6600318618513886,0.38354350811655674,-0.25610649126611845,0.8057787422155297,0.44315772066082554,-0.607546653208323,0.6978328843354935,-0.20933419878391518,0.8031493480428945,-0.2593475061199953,0.5946039682309943,0.008276401665646206,0.5310261652617129,0.1836257915449286,-0.41182695443058714,-0.05508860729820504,0.3495595173640405,-0.21068289120625677,-0.9074756560848072,0.030917956410678075,-0.7341828801181413,-0.4146974416808328,0.4363084992883637,0.31445929710804055,-0.10576262747764219,0.15230955007455083,-0.5853942234137391,-0.3262213810796761,0.18731194490605316,0.9866585105878014
AUX,0.21200805744868473,-0.1647426144530237,1.0,0.27264275359809925,-0.21570747732311418,-0.5496948379420943,-0.41682607465294846,-0.15518908973231105,-0.29319459019355704,-0.12481156539371567,-0.05994426767316787,0.7773970039818691,-0.30116073761087153,0.23933010928806,0.024783699797338445,-0.2451473436764236,-0.2830239608005996,0.3581894587919783,-0.22114722711416476,0.3296286951198176,-0.14783849465406884,0.39401741932502715,-0.20852784658921503,-0.1983541981623528,-0.4373354581002714,0.3616119628219094,-0.4766930118307366,-0.2830239608005996,-0.5357330632033412,-0.6721659436079952,-0.3120650246206816,-0.20764695458979485,-0.7901686711816543,0.8641398873916838,-0.36203043438605265,-0.3557178237509,0.0828602554444645,0.959786912189076,-0.14434901636374092,-0.25722833210896806,0.358817631037498,0.5241895686170142,0.6061020986361885,0.43026928500911293,-0.24513963736450844,-0.3794370350261189,0.7240638295400655,0.06506878443474476,-0.07618774071571523,-0.25494088455199576
ADV,0.4135199537960751,-0.44640231187332596,0.27264275359809925,1.0,0.291916082114361,-0.21875154182758227,-0.3528852110344732,-0.26632677738473537,-0.5422927248122601,0.4292253812354665,0.2228404188133247,0.21508916353249577,-0.27916381985459643,0.5353634871531338,-0.039739894914925335,-0.5142506741409449,0.6270772454301183,0.8421919283729191,-0.44448311266541596,0.46000323703130935,-0.2455474130585984,-0.46785151739922226,0.6840215767777365,-0.789901637254418,-0.01699363461333961,0.7241689874698188,-0.05438309320813286,0.6270772454301183,-0.35393603206816415,0.23660401172377016,-0.10368712763079,-0.17771707938275053,-0.1310301609590846,0.011477940591614881,-0.39408502519617505,-0.21244368588455081,0.2680457407712145,0.3288619435415265,0.4621647560678274,0.5206239707959439,0.08362334744330133,-0.06318307007011893,0.11798887156535016,-0.6083143879839501,-0.7177370074104972,0.19825309880607384,0.4170813351434761,0.690632791870928,-0.27337761791760645,-0.5025177383767866
PART,0.37668776857394076,-0.5329146676898484,-0.21570747732311418,0.291916082114361,1.0,-0.38984539659987943,-0.46281314789408645,0.33357976239989634,-0.7030365837194977,0.6029306645030023,-0.515019448411791,0.12418068729478718,0.40154771633782754,0.7874566646017616,0.3964103753427945,-0.6391540306490667,0.3911471699572878,0.5663285385937423,-0.37089197187474615,0.2948072739330798,0.2254704660925795,-0.6371297215099578,-0.05116904442649818,-0.5348706518715184,-0.08425273319542997,0.6097300238494024,-0.24664832513018436,0.3911471699572878,-0.4784023686208508,0.23809537558066105,-0.45384846265236434,0.03375007686690908,-0.1552010244879171,-0.5569225688112339,0.5714034920384462,0.4006997994997937,-0.20146514142875557,-0.06717237146679031,0.6702846035281718,0.10018536312157827,-0.032402008783524575,0.05384817749875665,-0.006412595408651603,-0.4940495070620663,-0.24459665993479918,-0.31402388922906327,0.13039299912558663,0.7691895608542846,-0.5860071326482073,-0.42316534781487786
CCONJ,-0.7104512241552514,0.7511947791579981,-0.5496948379420943,-0.21875154182758227,-0.38984539659987943,1.0,0.6692870415113535,-0.6593212339336063,0.67042884692285,-0.6084738416908235,0.7879784198666512,-0.7642884303681271,-0.07830304644963755,-0.702672764100147,-0.22255241112493282,0.17979594919714517,-0.1189729288635501,-0.3027628911011181,0.7164512641668491,-0.8676391033931213,-0.6273682688087744,0.26995133061742954,0.32666619534545815,0.6696274597545208,0.7894343819940565,-0.4503356300282353,0.8277816147069776,-0.1189729288635501,0.9865599846037131,0.2780681001878416,0.39020903246107286,-0.004784743114719967,0.9283593165895536,-0.3507619184547065,-0.446497116740062,-0.023553571361363386,0.6297985558461883,-0.6097197755558055,-0.5452229936345334,0.451863994695015,-0.7008343659292753,-0.6735718931918389,0.01238474247087819,-0.28548256409652295,-0.14508455417589727,0.20097272983552417,-0.6922171392603357,-0.28234992158348304,0.32596536667064746,0.7741326382512264
NOUN,-0.7782112681858014,0.8273755509484157,-0.41682607465294846,-0.3528852110344732,-0.46281314789408645,0.6692870415113535,1.0,-0.4272286587598423,0.38074830119271696,-0.6219563481281929,0.30078928298782626,-0.8162266698257835,-0.2264875322815459,-0.5109496329510068,-0.651257330089261,0.32593842001268386,0.1371749208341104,-0.5461761218147977,0.7828795306210649,-0.5281694920192418,-0.41596954351635473,-0.030072224702007037,-0.13201760760004233,0.547912766121135,0.4706813921589477,-0.554393951115084,0.8327729041911411,0.1371749208341104,0.7085544296290585,0.17391789242087635,0.8380779824958137,-0.1942448547168717,0.5711297730471714,0.025956513414459745,-0.32261514710057476,-0.2561483807460414,0.00207493863623109,-0.3600020600835902,-0.5888955791243452,0.23123105284846251,-0.49565795875699326,-0.2514751847505797,0.04088409950541539,0.19175002438656635,-0.08132916939785916,0.5308031693190263,-0.5194712287119208,-0.35802457688934736,-0.05468584379075419,0.7944787346349009
SCONJ,0.6166168760901037,-0.6569974998022119,-0.15518908973231105,-0.26632677738473537,0.33357976239989634,-0.6593212339336063,-0.4272286587598423,1.0,-0.21970011327217448,0.6758469239998723,-0.825549690253817,0.30726432867120196,0.375281698926498,0.3164221450793092,0.27713934553157327,0.31911214335802174,0.058714610767698926,-0.2554624996835496,-0.6117452833764347,0.6464859466079944,0.9895082160556962,-0.31502801756847715,-0.30978353564455086,-0.3585246767190965,-0.6410458032687372,-0.08023641252155915,-0.6784202330522402,0.058714610767698926,-0.5973018944220474,0.08886808294690181,-0.20490461653386466,0.31301075557683683,-0.4303940514332309,-0.1903513908721103,0.8532105530327125,0.35399790324699804,-0.8216131159207616,-0.1397183551742017,0.5708832076770756,-0.5504420560661244,0.6261521049538116,0.361875778372403,-0.6289412536999635,0.2332107228089086,0.7186743154197438,0.04374481080268003,0.12178350956186206,-0.09705816146822747,0.015912863686443606,-0.6181406766309956
VERB,-0.3033209834722954,0.4526611854664729,-0.29319459019355704,-0.5422927248122601,-0.7030365837194977,0.67042884692285,0.38074830119271696,-0.21970011327217448,1.0,-0.4296904900377813,0.5668154709937508,-0.2704812515943921,-0.2564163084719081,-0.9828079573487858,0.13553060641279097,0.5006528144532054,-0.6239787050041639,-0.7147755517272876,0.3250589515075646,-0.6381467451069289,-0.1369681211619529,0.6758537482181413,0.17293720197637522,0.7516770588203665,0.508304011507856,-0.5893955113624075,0.3984031593644662,-0.6239787050041639,0.7353038411243529,0.17368953035149534,0.1023746807568005,-0.06225186765560894,0.5481440095935189,-0.08678923560524568,-0.3080643409127906,-0.2139892277329101,0.37337815325425017,-0.42303442062541113,-0.43510772777383566,0.11787758548250352,-0.049604097326817004,-0.1982239363306228,-0.3122321481599056,0.09288192542866777,0.4056028617029227,0.010427380910116564,-0.35819251580382344,-0.8531022050226043,0.5961700673517135,0.4472512257056298
ADP,0.9111149603482527,-0.9425348969777838,-0.12481156539371567,0.4292253812354665,0.6029306645030023,-0.6084738416908235,-0.6219563481281929,0.6758469239998723,-0.4296904900377813,1.0,-0.5089933822031124,0.3912171953057125,0.002157393940352008,0.5417596127450327,0.48797339303346543,-0.2388072633313816,0.39678186984358715,0.3095048531097033,-0.9121556207884844,0.7520222696759866,0.674839586634221,-0.6018739029236042,0.32552413465617075,-0.8120654292497778,-0.2884377289161161,0.5561891604883072,-0.4798646065224256,0.39678186984358715,-0.6726603440029634,0.5225091861827867,-0.4129483393083189,-0.059138354438784325,-0.31723800732434176,-0.4041477597358346,0.4647702470268577,0.04940269961959633,-0.4309440116688678,-0.027727228293124483,0.9814766058705867,0.1270868728735011,0.6509997702599126,0.3273281345809371,-0.6098642621897343,-0.4530421113539803,0.08782269235946329,0.04500382028331772,0.4302095032663807,0.3382138002368905,-0.29177950361539867,-0.9161978388642215
