,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.8728804159540933,0.1676143614137444,-0.04853736467577977,0.19604720256968466,0.043824699385415306,0.5851659624562722,0.27646243428211714,-0.21493932139118002,0.3915438773750718,0.4779534377270092,-0.5723320090677967,-0.29978347445310116,-0.36560539464107855,-0.018095897606625326,0.31604770216752937,0.12326919932879331,0.12783472522985972,-0.1620761694878579,-0.47491991237749304,-0.9152722517207978,0.35324443003496236,0.012460171450274863,0.31490641872179886,0.10340673017266264,-0.09112731035225692,0.5819146509732201,0.6211593916103578,0.13284387339540757,0.223314768884229,0.04751208197757578,0.2984188445676567,0.01786647696205848,0.8870746019757341,-0.24424389633261784,0.022236562240920372,-0.5912351721603203,-0.36816735532617606,0.34936832399873186,0.12783472522985972,0.5499613588631119,0.28660996289164603,-0.15323197784326628,-0.27458539044977986,0.38208830817602957,-0.8269486718149534,-0.5050581275337024,0.29327672116174514,0.10500228451272077,0.16426292895411593,-0.09639537413051442,-0.8882733546078608
PUNCT,-0.8728804159540933,1.0,-0.02287871714547184,0.11582505126543692,0.08148823343495595,0.05682510357228486,-0.7615794124846715,-0.21269411834383178,0.25581503211523426,-0.38054130376133316,-0.3271205329480897,0.23868528587264046,0.4906616061191445,-0.005041484614584716,0.22504922818987771,-0.48004582899511644,-0.3119029434164534,0.004422765036644634,-0.14266225276248004,0.1750073361998869,0.9702006062269805,-0.10655319350455313,0.13991374622935246,-0.5439230965537568,-0.3824492079649725,0.012038740234665059,-0.4682921359684065,-0.7499786241637945,-0.19739959873182678,-0.40232425535725286,0.10510656027366864,-0.29099869040423487,-0.2637394778330833,-0.6342764630225548,0.23486126916517228,-0.13078561123813237,0.4684265348624549,0.45543903956079723,-0.3296545711390015,0.004422765036644634,-0.5817499923080813,-0.36644479651674405,0.1256904699350169,0.270736310481865,-0.019762425792744474,0.6995252927152945,0.6291499471676177,-0.33575313240677196,-0.40257955419216324,-0.04191019137915994,0.3797606657629164,0.9952405915450734
AUX,0.1676143614137444,-0.02287871714547184,1.0,-0.1277252241815112,0.5202985029901337,-0.27689466486116104,-0.44880029172342545,-0.38013907042413303,0.22852761859449008,0.2992003950132294,0.10861573122929714,-0.16142034609013145,-0.08692666152184879,0.0829975342626694,-0.2364246487774588,0.5247091131683133,-0.6653230879509863,0.13435926032382117,-0.36814331825200286,-0.722577251192173,-0.058284545883207056,-0.057980184269317295,-0.19228657258659573,-0.6250530327070029,-0.28016266865675854,-0.3945076986493977,0.3715817140009283,-0.4882361873902965,-0.3177616421217392,-0.1883576227558307,-0.23570046892009347,0.7186766630157169,0.35021698418385877,0.36916154979074983,-0.014326781413347697,-0.1612312094840655,-0.1657575695371845,0.0672407490780138,-0.19561923629560057,0.13435926032382117,0.20130430894103996,-0.04632583617668223,0.8456454427853226,0.36450639514074407,0.7834074795614479,-0.27899753591820753,0.5148161805985975,0.1600490904670578,0.2301952164852512,0.008540041741335784,0.10316289861612572,-0.04183167081783995
ADV,-0.04853736467577977,0.11582505126543692,-0.1277252241815112,1.0,0.3146423750641161,-0.3438762166318274,-0.10698610163482779,-0.654157105786219,-0.151412351474301,-0.21446977804904063,-0.43929508267928563,-0.6484466403734966,0.4333043985585734,-0.1910782368073054,0.8823602750395235,-0.42483238310012705,0.2911882460275075,0.6686397988137186,-0.2222746998214098,-0.14589966254591122,0.06757143395220852,0.08619910898132654,-0.5035697495753411,-0.028855857446110057,0.22916374799436298,-0.3282863577136338,-0.4193741941900381,0.2687074942258168,0.03169777709294527,-0.598021384066882,-0.14433472123214117,-0.0789729922353394,0.18929676967316672,0.16549294541009585,-0.1777717357667979,-0.4778732007964004,-0.3117239925604676,0.11429414090926936,0.13866710187333878,0.6686397988137186,-0.28745538495622386,0.31460848619639903,-0.299062509952618,0.5938382893723857,0.011972105483341058,-0.16701618391768613,-0.20188416371781903,0.2523974763355599,0.19338303093021617,0.8989889262201874,0.24568683718007592,0.08985579851272311
PART,0.19604720256968466,0.08148823343495595,0.5202985029901337,0.3146423750641161,1.0,-0.0472896625941665,-0.2715130265532409,-0.38918272013101896,-0.4952414998026948,0.48513746119287077,-0.07664972376703008,-0.6038113998808544,0.6453969297077763,-0.4279491725543598,0.1703205459252478,0.028197899386353937,-0.11532763852988714,-0.045351931216709246,-0.6360238495432453,-0.898717582755047,-0.09138596230811742,-0.321506257175513,-0.35130677538038846,-0.4936059090376816,0.01768717149057677,-0.40474660141340507,-0.2763054479881154,-0.3840189288735585,0.37078118606897786,-0.556416406556199,0.22835915382121766,0.4300103524893051,0.1992486218532573,0.3285545860416247,0.4576101173595694,-0.2574468083189254,-0.39222369073319274,0.6105813648036421,0.12435477747958949,-0.045351931216709246,0.34920201789381244,0.249101926534588,0.03625943701601264,0.229741426143381,0.8126605777331053,-0.33923675488942984,-0.07517289056512169,0.04664081468529067,-0.27936633501724073,0.5388193957823173,0.7547925689264111,0.022439075075422716
CCONJ,0.043824699385415306,0.05682510357228486,-0.27689466486116104,-0.3438762166318274,-0.0472896625941665,1.0,-0.1618162489191974,0.4045522469093283,-0.3012402052626863,0.42671206667309464,-0.12339886054392923,0.13931918991378137,0.4057403386214583,-0.3555755711762759,-0.20606134328053755,-0.48186248609181526,-0.21030319859627072,-0.21416970295492793,0.37147229376967755,0.045663683152541434,-0.06420943257688859,0.11453120309608832,0.6693377771716271,-0.2682532485988314,-0.5063455115569883,0.02496566713507436,0.20146252238613327,-0.06666756380146426,0.2471736056713262,0.6526062398579292,0.9494184589868454,-0.705322653129729,-0.3891951829309818,0.037703709217147774,-0.14536702345205957,0.8684924865501814,-0.4026243117740985,0.48239793455027413,0.7516508997873581,-0.21416970295492793,0.322169958267341,-0.2879441026914737,-0.29125176665564473,-0.7456976898562777,0.10250390528255061,0.06452692619571554,-0.2946211966920561,0.29488743549063495,-0.768529459217569,-0.4728213387385434,0.33107442343122784,6.92883419358037e-05
NOUN,0.5851659624562722,-0.7615794124846715,-0.44880029172342545,-0.10698610163482779,-0.2715130265532409,-0.1618162489191974,1.0,0.5037039829242439,-0.23206864220426585,-0.04351979794934028,0.26350407425068656,-0.09983558347123811,-0.4306683008314152,-0.1011352618040838,-0.17558282904823327,0.23478334014722113,0.7802633847690832,-0.21139694682878465,-0.011707714338784505,0.23098241997737456,-0.7140763160398,-0.0626508567323965,-0.048667931629161165,0.9327696885782105,0.7081434919316512,0.47386933462956754,0.039381466411222185,0.7356155586568738,0.4638106399250903,0.16617548757501993,-0.2014286181190565,0.08687047772273544,-0.07373597306324361,0.24912161477633457,0.046008854735641334,-0.11205949472009702,-0.09816178950283411,-0.4659846929946089,0.04941655577710296,-0.21139694682878465,0.21251261482163822,0.21553799958684358,-0.5133038132417138,-0.3949370548197391,-0.3994753877950358,-0.2657390158836691,-0.6431372360395828,0.009216136626577469,0.2504975716675162,0.10628881622817067,-0.4642246186453401,-0.7310679227126582
SCONJ,0.27646243428211714,-0.21269411834383178,-0.38013907042413303,-0.654157105786219,-0.38918272013101896,0.4045522469093283,0.5037039829242439,1.0,0.16423398363540248,-0.1810657632319021,0.3760210766777795,0.18473889747889333,-0.2934821227318786,-0.4040078339017596,-0.4206712069330154,-0.10877904989560852,0.2317200487931338,-0.36187400799405145,-0.06430642691196571,0.3254809963241021,-0.2256156760741162,0.21234704276806587,0.7590453843512612,0.4761568590465436,-0.021644756854147035,0.7375498544778427,0.31965914316789473,0.15317485320501034,0.23957418020186064,0.410362673928859,0.24453668347332544,-0.3019944595393967,-0.7433126187747647,0.09159721501753572,-0.020950628574557758,0.24941719807789778,0.08739744211197464,-0.2514193768118099,0.02339114192126627,-0.36187400799405145,-0.03873723233441588,-0.4698510646241734,-0.32009734072833923,-0.8362084602667224,-0.19165717986805264,0.18457215118478834,-0.092652997573014,-0.1307486401815563,-0.45450403742031104,-0.4990289649069591,-0.31027999952012836,-0.19690906902162975
VERB,-0.21493932139118002,0.25581503211523426,0.22852761859449008,-0.151412351474301,-0.4952414998026948,-0.3012402052626863,-0.23206864220426585,0.16423398363540248,1.0,-0.7384229136504308,0.0506954250785593,0.17305540311740839,-0.5263023645136463,0.07786016513790085,0.02389565823938996,-0.01714909084959518,-0.36105514398779837,0.4819676108902622,-0.11536038889702818,0.3414868628746858,0.3485735330611059,0.4884566286367851,0.39926194225514755,-0.049296946747006874,-0.3164746832851952,0.3483297334003007,0.4512490212537752,-0.15998172171250521,-0.677875904921514,-0.02477986633291405,-0.49934050767389915,0.015924949328335783,-0.3831617782062858,0.016094649857319603,-0.560554232557883,-0.2593377534402656,0.3091743708064906,-0.5584602122265638,-0.48155714523571935,0.4819676108902622,-0.7257694595084263,-0.6273083892309462,0.5479234767042238,0.15740202581330273,-0.10801973955266989,0.3740534970292069,0.7928908823564762,0.0448580587649615,0.23621557510039765,-0.2340611127536361,-0.6271712293152557,0.2937677519856373
ADP,0.3915438773750718,-0.38054130376133316,0.2992003950132294,-0.21446977804904063,0.48513746119287077,0.42671206667309464,-0.04351979794934028,-0.1810657632319021,-0.7384229136504308,1.0,0.16343136507434158,-0.046845405861594594,0.24976361220741794,0.0819408687807978,-0.3381961042841612,0.3546475968704311,-0.2508701093402262,-0.4246232448526459,0.25512018284839594,-0.5946084592601449,-0.4569478433688034,-0.2707738677986421,-0.22797157574371396,-0.3360139385813758,-0.1379273966936365,-0.5944063811718717,0.1302851258626326,-0.01499639420663693,0.2743200636895364,0.36994222850756303,0.5175605499174255,0.20593750011530954,0.5154319738084576,0.24206299997061867,0.28985194029611044,0.5376932182371904,-0.42572795512065176,0.4380428834401083,0.532262868205087,-0.4246232448526459,0.9543845116040708,0.5035023868699818,0.025742066113836413,-0.1807399113342077,0.4756705567461361,-0.5858887749609553,-0.4882484391311572,0.12456789661576419,-0.14493706226080472,-0.16046882250778727,0.5255657879743375,-0.4242325567075978
