,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,compound,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.962213320528852,-0.18315129501394273,-0.6846418383871975,-0.2487663556283261,0.49103971891484777,0.644593514067303,-0.07755059027915566,0.0015940418716276939,0.05939699044198034,-0.45345655610047064,-0.462227737029024,0.3217761506668773,0.035367497962341746,0.11699698142172812,0.4371410840415169,-0.04663823009443966,-0.5543428222738496,-0.9763652198109911,0.14264376087879196,-0.21168338252518543,0.46776818686426774,-0.21297912905944408,-0.044521088844594034,0.42759533631646757,-0.21004886150748822,0.6491661189952902,0.5041295676524796,0.32618780156227944,0.05997531384969639,-0.06765156692258052,0.2024791989436513,-0.22337357665424923,-0.02122700319551736,0.5277601617118243,0.6324129228312729,-0.15571175055480013,0.1125350954722464,-0.2408656540307907,-0.3803445803767393,-0.46602389779242037,-0.13590668061897487,0.021135941337306955,-0.12341696237434988,0.11974218859243443,0.01915313589607927,-0.05535976311628444,-0.6789874283755449,0.17890516741345244,-0.9624173233497841
PUNCT,-0.962213320528852,1.0,0.2300022456858377,0.6839648922185895,0.2325644956814568,-0.5197339631410534,-0.702515582524392,0.07723707428937263,0.004013088999352064,-0.016412264840564798,0.4476537744049944,0.5080377391150612,-0.34098449684873466,-0.07851948740339605,-0.15990217498874984,-0.42907706218930775,0.04086241755812895,0.5360759611936855,0.9896592631492018,-0.14595218047746397,0.21270901024167693,-0.4423203076088416,0.15949509758946356,-0.1386530211349893,-0.35747268712236596,0.2241713184626987,-0.6991982448944851,-0.5237691868810368,-0.2439058892552393,0.03335502029104082,0.1130073390077818,-0.3058634367006862,0.235310810928402,-0.05182955397496048,-0.5754362535949398,-0.7038219328121865,0.14036867538152423,-0.07440158162554254,0.1971542556132864,0.5085205955819893,0.5655432736081751,0.12519541575488455,-0.07429978503952779,0.11997087548556178,0.038404793727961184,0.10717573277168009,0.12322705035426654,0.6733056810199302,-0.2289999029548507,0.9935723954239789
AUX,-0.18315129501394273,0.2300022456858377,1.0,0.31344565362151006,0.1904751284018841,-0.3302074093777053,-0.2628828217509155,-0.21908178614347817,-0.6115752599233368,-0.15706905861365106,0.30966885796987814,0.4092072968896216,-0.04880480567911803,0.41728270476035506,-0.3487024380181423,0.2143077366663506,-0.06979932657513695,-0.20185778904807503,0.19568406132074112,-0.3875337429549612,-0.24937319807007513,0.19443363839438263,-0.527945760279523,0.03803121287075872,0.1265845616526979,-0.4587177379657928,0.19853304662753143,-0.2910452424752469,0.21601614553918974,-0.1266232560191818,-0.32990487718477735,-0.5165173848337167,0.1868653447343658,0.28043014227622926,-0.07021073560985056,-0.3733068820055418,0.16093017384239383,-0.05204297334697926,0.4275139001154214,0.5752989333203425,0.130179802738459,-0.27132900683407474,0.8165372999566842,-0.33434778331370174,0.029443861571301945,0.22399590258795596,0.567546756062243,0.4367977707553544,0.4130624975774436,0.23560387285284518
ADV,-0.6846418383871975,0.6839648922185895,0.31344565362151006,1.0,0.15485465898100217,-0.39059142431107546,-0.7651144595230166,0.03049652569668248,0.04552540804845074,-0.33897999086545577,0.6122334338721309,0.37034436121967446,-0.2778518780488222,-0.05208067787972293,0.312375204753396,-0.5662031641052695,-0.03567730697885785,0.3253111072676666,0.6882844575253727,-0.0478163750184842,0.16192453158288103,-0.06543682838542844,0.13018207985107685,0.2286989108564314,0.12382392298656734,-0.2130492677469472,-0.39122737971505966,-0.41080173784914054,-0.3985728884051933,-0.11040657744554487,0.2695059153230539,-0.586725807433381,0.3429662335075615,-0.06592048237415224,-0.3598816044285246,-0.39873895272550586,0.3316912259347194,-0.3958337694685178,0.26793381000388045,0.3891310436926309,0.3605264132029891,-0.14968637932148113,0.13798054823072947,0.14998657119237602,-0.1644837694570887,-0.10728544998418153,0.011422458572568949,0.8430730237951303,-0.16712616199561578,0.6599454171678785
PART,-0.2487663556283261,0.2325644956814568,0.1904751284018841,0.15485465898100217,1.0,0.24582270725471592,-0.38041528894534005,0.2940575581206181,0.21619365586937564,-0.21400838968896221,-0.36330133918570756,-0.03495095961568809,-0.46611402508721994,-0.23111577634335265,-0.48425484413378606,-0.54183917264402,-0.4106270666092055,-0.14989782049870912,0.20612780582232537,0.33937624323633037,0.3435393342857391,-0.09762774608643925,-0.20694781751511893,-0.3031084585221604,-0.03924527695422073,-0.1869192719482019,-0.2984157735837508,0.22974904280927,-0.07944017005478003,0.16713792003470987,-0.40312206408490486,0.20442788092362776,-0.4549171213850249,-0.3081895875033535,-0.32090214980240955,-0.0020231733562235447,0.10913356962232115,-0.2805536220300541,0.24074619469686734,-0.02033814846404607,-0.17710600658862966,0.2246884849163759,0.31727186947486624,-0.08822126056122524,0.5009970723203513,0.22177240159600747,-0.22746819348150304,0.5927749555339729,-0.38617971118494454,0.2294986118725164
CCONJ,0.49103971891484777,-0.5197339631410534,-0.3302074093777053,-0.39059142431107546,0.24582270725471592,1.0,0.12085633177284118,0.10652586067165902,0.010833910393261112,0.06829847888635071,-0.513046310815577,-0.26458764889829534,-0.14376133465075644,0.06665490693413394,0.1587668995472569,-0.013650924127418486,-0.1421525300312642,-0.2089860735405766,-0.5114297873477688,0.08871040430499287,0.08639544596665094,0.3986514308810837,0.18845747189922482,0.08307554009294223,-0.18813775274163874,-0.1257702126127855,-0.014734653549494506,0.9962941419422333,-0.008756783731282074,0.07397403898159935,-0.2150805475705717,0.16669553758571098,-0.33695476037872085,-0.13505050167332536,0.09598779687855699,0.8954238457694037,0.1044347884964568,0.02731689820987271,-0.05495465497842357,-0.6592342402936985,-0.42245912978123384,-0.00516831444048734,0.025123679740095602,-0.23231216757991904,0.18849411021939544,-0.12971678251677224,-0.3246640251874619,-0.2889627775490711,-0.23550569850808353,-0.542414230280279
NOUN,0.644593514067303,-0.702515582524392,-0.2628828217509155,-0.7651144595230166,-0.38041528894534005,0.12085633177284118,1.0,-0.2688253138594103,-0.23019846844640982,0.16684040356895086,-0.4189670167078355,-0.43478947871009127,0.3891996651277168,0.118992194169962,-0.07684376520392132,0.4240360105581643,-0.07574952767443932,-0.4466579522996619,-0.6545970322900059,-0.1254872337553639,-0.4172713202456514,0.22195048724954394,-0.2461987735128741,0.016465859229356446,0.074010535423737,0.32634364122202214,0.7221102302345627,0.14494180895930783,0.29888631963489154,-0.1830365717823282,-0.08517968013917732,0.44658269853191424,-0.07604466376848369,0.23184511845874295,0.4736431225768279,0.27603316132496736,-0.06338153883105063,0.3137816980156271,0.05240052733515259,-0.5088140325647567,-0.32854777000683866,-0.09889462878704047,-0.0012133102360726317,-0.022967542894984927,-0.19357166098824136,-0.12892263526650347,-0.09907639848589866,-0.7363419988076505,0.42116578549542694,-0.6479563470150759
SCONJ,-0.07755059027915566,0.07723707428937263,-0.21908178614347817,0.03049652569668248,0.2940575581206181,0.10652586067165902,-0.2688253138594103,1.0,0.35610916018687233,-0.6608740286157867,0.09474129448886613,-0.22408631762999107,-0.14024792478598666,-0.07503269071003461,0.1028778300405125,-0.0757934982762883,-0.4150509715874663,0.19421535743874999,0.04230429418469103,0.7272098334766887,0.9715276335132362,-0.28270292148986637,-0.0574873998882512,-0.2985996976619956,-0.013865362119399661,-0.40587098064069954,-0.4043559690311913,0.0851610690266675,-0.2866570142299425,-0.327627432813373,-0.3752532182673024,0.12200185311064689,0.011464682619066071,0.11611042049141514,-0.2809417843949928,0.07447054655308914,-0.42192899819765445,-0.7501045976567889,-0.36359499207866997,-0.025679554637192327,0.48190139352595524,0.09562576385134516,-0.26036078408210706,0.5673979814027182,-0.013488391628097661,-0.13323776717143937,-0.4698100665926108,0.11457730738089794,-0.541376592224804,0.05549736867488267
VERB,0.0015940418716276939,0.004013088999352064,-0.6115752599233368,0.04552540804845074,0.21619365586937564,0.010833910393261112,-0.23019846844640982,0.35610916018687233,1.0,0.10095359856704797,-0.24844526063006367,-0.4234544810904455,-0.07376355349558351,-0.7696877898650983,0.16150659686522978,-0.3157776608359405,0.030907364687599023,0.10045143186445245,-0.0040525868599946835,0.7653014638347525,0.4491772065811633,-0.30786109737647,0.37703072586158165,-0.20588167047494127,0.25613475100218325,0.12837468891375267,-0.3835324591245284,-0.053294805153088425,-0.29935078950652166,0.38109693622898616,0.29696491984510137,0.5228655901898067,-0.4620554815184397,-0.6177392473386222,-0.08064455466191438,-0.03482595359281234,-0.3237658606465123,-0.10506011462756953,-0.6061125279176819,-0.008571232070268041,-0.16140300091405657,0.39141451739609445,-0.6413318121384864,0.2782753627122818,0.2969329084111894,0.22179422002138663,-0.5087939770082511,0.04839930678023704,-0.43862444264997613,-0.041129722744698935
ADP,0.05939699044198034,-0.016412264840564798,-0.15706905861365106,-0.33897999086545577,-0.21400838968896221,0.06829847888635071,0.16684040356895086,-0.6608740286157867,0.10095359856704797,1.0,-0.3124535086876449,-0.06594592617031829,0.21391038012374453,-0.33362455953197667,-0.19668226830338997,0.25778972610846873,0.40026292455122064,-0.08044575870724323,-0.006619872271118676,-0.33517095537038033,-0.5927677886162537,0.06966459049703365,0.2580859470322232,0.0147853633535227,-0.2554316606535244,0.6240847491312411,-0.07477174305839007,0.06210110823096095,0.18186204441236864,0.5718288005894983,0.258652635118134,0.294034776569358,-0.33999176683561805,-0.37017053476052747,0.18280584427377675,-0.08312244352090453,0.10241446440070612,0.9580234303042242,-0.12179625055591158,0.11566906820623298,-0.4473938445700468,0.27437298357649337,-0.23022620962226314,-0.508776068512268,0.3134477578190056,0.531274452451822,0.18626262262249133,-0.3941887723892658,0.34901739937206117,-0.022291979967973333
