,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9879703497676666,-0.2261710644503379,0.5138059400280656,0.9085166429574055,-0.6296191088850398,-0.030435252410680878,0.7198203961336727,0.20268578509651466,0.878385477525531,-0.7042235368347108,-0.24768853655716458,-0.40882682415254873,-0.32002628210886813,0.9204721069016798,-0.21166398136123823,0.3054694492286027,-0.8763712458806776,-0.9842811336835913,0.9438943434628406,0.8049730706478198,0.6362437148892635,-0.45143304990407823,0.7997038671013881,-0.6532482003913115,0.3744394488267109,0.7621711431184587,-0.756464218595596,0.5725120766872814,0.22901812911098826,0.5691135675220975,0.06630911888612943,-0.4615088445057851,-0.1874856094827151,-0.3925210242454439,-0.9297103106502022,-0.45143304990407823,0.43605420750926505,-0.4288923095107303,0.4094723390113915,0.944325341065622,-0.7249893180181206,-0.38673435650939686,0.5039124734825874,-0.620498305621297,0.4920894518539981,0.8873087940327322,0.9668487368024354,-0.9298856869408961
PUNCT,-0.9879703497676666,1.0,0.07928705959322077,-0.49878234810114463,-0.8592261059269646,0.7192650916802468,0.11873278132374934,-0.7684505513887321,-0.25761422753775554,-0.8221164279662073,0.695907819212159,0.3863673380831626,0.5373031331328806,0.1905946606272929,-0.9336873951047532,0.15321178985308562,-0.43883935339965596,0.9311087852368312,0.9996755257639127,-0.926634601375198,-0.8485849378106566,-0.7463293461857898,0.4529660505107727,-0.7780490007870173,0.5671932117025145,-0.35959994456141603,-0.8002876802874614,0.7975814737600433,-0.6542107662211589,-0.1021866462036312,-0.680899279891648,-0.13589202559277425,0.4301731915578734,0.0764930374698048,0.5150338257503357,0.9753268978254729,0.4529660505107727,-0.325523107769305,0.28741856049091385,-0.5427648001197256,-0.9443034123349225,0.6152219508852083,0.5181956930547847,-0.49395899957128586,0.7217472698409855,-0.4334233092115397,-0.8452423288613501,-0.9191494237146929,0.9240153652225704
AUX,-0.2261710644503379,0.07928705959322077,1.0,0.07228671857051926,-0.5317148145294612,-0.31472759261542704,-0.2963247178012247,0.01672609089177621,0.043981042693954996,-0.36806353854116824,-0.04221747907057803,-0.7088137709006156,-0.7958439894021162,0.691577719307485,0.03931897392675177,0.12839126346892826,0.6586523643162531,-0.2608213079884514,0.06216635504068188,-0.3417405438643158,0.002792593244869617,0.5306681228380303,0.3118581334688538,-0.08525069027687614,0.4599476394587016,0.11425664097030065,0.27385200344292554,0.02873791387622185,0.5702303142506413,-0.9554589499358898,0.5028122975558879,0.15844580154684632,0.013681092648195312,0.5041532172062817,-0.7943485850177596,-0.13976098997673164,0.3118581334688538,-0.56707304614751,0.8629177578683636,0.7922886918234128,-0.23583288452859813,0.8346298277513873,-0.8107921010116741,0.10645818067636954,-0.6131844944118897,-0.6555142855498167,-0.2729526420605482,-0.4067412358674998,0.28172217844529573
ADV,0.5138059400280656,-0.49878234810114463,0.07228671857051926,1.0,0.19315889966267763,0.10317048486094299,0.7179957343694687,-0.15384184038123178,-0.6928278182820141,0.7897582848628031,-0.969516514509574,0.19517607903374912,-0.4158064577316115,-0.6285729050939651,0.7702903771727956,-0.9066922607601001,-0.19190263903673696,-0.6246531720153884,-0.4843569421197625,0.20636648297227245,-0.019515563674894498,0.17671738399669482,0.5334645784015398,0.924943986322603,-0.8469461823060563,0.9878723751338462,0.8625686991966994,0.11586525186340692,0.7635228774378695,-0.30826227874379714,-0.004829956799290417,-0.7520467056519227,-0.9925144379579246,-0.7236509651646024,-0.5065208636859114,-0.47979591225497814,0.5334645784015398,0.766731641366325,-0.4399322944863072,0.31590201079587515,0.2064544219493931,-0.22341978290250425,-0.38393151261619424,0.9994112380538261,-0.5761087549112841,-0.4132638837100664,0.821976880989607,0.5990852250225815,-0.16231512444962873
PART,0.9085166429574055,-0.8592261059269646,-0.5317148145294612,0.19315889966267763,1.0,-0.5695500218243025,-0.16072776917125414,0.7594617168286982,0.39684845687350917,0.7450342739519801,-0.4008210486825348,-0.1038778212544293,-0.057252263000354686,-0.32811486561607744,0.6769743285529317,0.02334079155050264,0.17481993861413883,-0.6135064416407061,-0.8549878122950925,0.9773159159328552,0.8082323932956326,0.4310667547879746,-0.6986166457357753,0.545671401391334,-0.5294336325514865,0.04578855745523355,0.42472778342458195,-0.7976028998775339,0.18079790495195186,0.5924314290990708,0.4262817672273024,0.2459192561447856,-0.16766745059187194,-0.11413391428005902,-0.014288825667640195,-0.7444662267413072,-0.6986166457357753,0.3671702736456002,-0.5418690716794035,0.08877400609030663,0.9475959393131594,-0.8939914479245394,-0.04048591885926583,0.17374380378503332,-0.27248776954967835,0.8009966210365842,0.7172533457938846,0.9013047706877483,-0.9594361284506046
CCONJ,-0.6296191088850398,0.7192650916802468,-0.31472759261542704,0.10317048486094299,-0.5695500218243025,1.0,0.753329470231897,-0.9540687694367284,-0.7744939679446243,-0.19579580223455723,0.11995380464585025,0.875841357741872,0.6636783104790516,-0.5317720919936789,-0.5149394629647043,-0.5084778753580814,-0.9084599274129151,0.711311139070044,0.7364673380029189,-0.7200201018586749,-0.9439354448501548,-0.9361096049409524,0.7193174738773407,-0.18284327885360888,-0.16382576141398716,0.22840832424775448,-0.41164696318581123,0.9395737212538993,-0.452842302877528,0.10862464750291538,-0.9757117329729775,-0.7331812265123178,-0.21196533986525912,-0.6370784377944858,0.5767452587278185,0.8039533127482287,0.7193174738773407,0.4220922912699737,-0.3743242290163446,-0.7361943817271422,-0.7870608572613661,0.14510568171552402,0.6712310372141448,0.09264476619064749,0.6739957628547595,-0.4609922216726342,-0.24203132220763687,-0.4146715009694685,0.7742558105682411
NOUN,-0.030435252410680878,0.11873278132374934,-0.2963247178012247,0.7179957343694687,-0.16072776917125414,0.753329470231897,1.0,-0.714949021984358,-0.9608567968635232,0.45025627908040894,-0.5592833370618119,0.7910474897540918,0.26303062070012906,-0.8553860928447637,0.17493369566193254,-0.9442737893369427,-0.8025973751050071,0.07883047562883207,0.14174110182340235,-0.275411497784695,-0.6175126273410095,-0.557896703652218,0.7692011453804385,0.5077059822733814,-0.7314316447639031,0.7841342769144068,0.26868304955231836,0.6740300958872019,0.13441127278413764,0.0017638398495813845,-0.6995033967281913,-0.9899726851097362,-0.79494690930627,-0.9590033778565439,0.14709536265934942,0.21678285078048218,0.7692011453804385,0.8589093139143266,-0.6541338906614603,-0.37510330861860075,-0.33338261023376614,-0.1742303958955497,0.29110883314178687,0.7059906072200306,0.1373953733010566,-0.4751907031841393,0.42842272530861947,0.18940215146075057,0.34786822975666226
SCONJ,0.7198203961336727,-0.7684505513887321,0.01672609089177621,-0.15384184038123178,0.7594617168286982,-0.9540687694367284,-0.714949021984358,1.0,0.8153355745100662,0.30228515963658453,-0.09050173769731004,-0.7028518862468619,-0.4389107752984028,0.35694160358896326,0.510680866325183,0.5146138552292154,0.7526761169085816,-0.6510783380576253,-0.7815001358079474,0.8578570753917338,0.9906240482571204,0.8131778214393158,-0.8647848664174959,0.19733001781073,0.047926067058555906,-0.2981484864885766,0.3269279409403474,-0.998096387927347,0.27996923363980875,0.1911836450652504,0.867618138411953,0.7376022084464307,0.24106853193774888,0.5281729900104625,-0.3460222683373968,-0.7894477559490198,-0.8647848664174959,-0.28381212674886186,0.1338367923259821,0.5184498687291068,0.895193386036253,-0.4076628776079363,-0.44290791880874464,-0.1534404493126809,-0.5030606209677814,0.698043902248735,0.32040908611784275,0.5485331306956548,-0.897082632520937
VERB,0.20268578509651466,-0.25761422753775554,0.043981042693954996,-0.6928278182820141,0.39684845687350917,-0.7744939679446243,-0.9608567968635232,0.8153355745100662,1.0,-0.27201450198079136,0.5003140460219779,-0.6759323194202096,-0.13280208051706804,0.6786150961694067,-0.07948388497627358,0.9141109695497842,0.706347887248491,-0.12406067665258814,-0.2767971510190787,0.47443159301159904,0.728685126748116,0.5243078796680396,-0.9158329843672144,-0.4063036415308481,0.5658884703836371,-0.787043388935581,-0.24921472268593378,-0.7882935332872765,-0.2030597094222983,0.24829690599590168,0.6681831537196622,0.986992299262447,0.7579576604242892,0.8444256753218864,-0.012221834914640855,-0.30022867917564655,-0.9158329843672144,-0.697510876972765,0.4191561311101627,0.24873776066625397,0.5092729160196072,-0.10194868126604807,-0.15551152036682842,-0.6896529825136076,-0.07159091289118856,0.6990725138988563,-0.2707372204050271,0.0152447193890706,-0.5331339651155316
ADP,0.878385477525531,-0.8221164279662073,-0.36806353854116824,0.7897582848628031,0.7450342739519801,-0.19579580223455723,0.45025627908040894,0.30228515963658453,-0.27201450198079136,1.0,-0.8849714898915545,0.1716610030348797,-0.2161135647406751,-0.7044003496178167,0.8965359537166735,-0.6338440268526214,-0.12442978186566443,-0.7321463326632375,-0.807570820444701,0.7171687637592298,0.42381265000583535,0.2870576676897244,-0.04847401871659743,0.9490716725367568,-0.9349257494140477,0.6960517767976651,0.793455214185541,-0.35524318460020643,0.5539334241793636,0.2312432846467889,0.16199949472316916,-0.40980238751824766,-0.7819546969240295,-0.630126717874505,-0.2560467759925273,-0.718234397395649,-0.04847401871659743,0.8052896201056859,-0.7114701947047115,0.16425866652810012,0.687334071224227,-0.748108764120087,-0.18294614291722072,0.774381791913851,-0.46782380052023703,0.23218735349347944,0.9949390906835536,0.9572397028610722,-0.6690683856134159
PROPN,-0.7042235368347108,0.695907819212159,-0.04221747907057803,-0.969516514509574,-0.4008210486825348,0.11995380464585025,-0.5592833370618119,-0.09050173769731004,0.5003140460219779,-0.8849714898915545,1.0,-0.04864050639360915,0.5003358578076915,0.5710031869931508,-0.9024485698737779,0.7933701702843257,0.03130364417705353,0.7822307452855028,0.6839572806295607,-0.43177832729851184,-0.22434099415067207,-0.3603655904704598,-0.3147542011343863,-0.9857625879176416,0.8596237718513099,-0.9202372368009106,-0.942170182264177,0.12997445675310157,-0.8202179454685952,0.23085610717465327,-0.1914005841060982,0.5832767099667706,0.9434598530580186,0.6182830747397212,0.5691123889527957,0.6742600766794298,-0.3147542011343863,-0.7242142303320764,0.4414524044220087,-0.4191640321757556,-0.4373716516359333,0.3552542985697709,0.4686068460634453,-0.9678278502119201,0.6844212820041456,0.22245418558743701,-0.9186572201852343,-0.7544404630826559,0.3948605825430208
PRON,-0.24768853655716458,0.3863673380831626,-0.7088137709006156,0.19517607903374912,-0.1038778212544293,0.875841357741872,0.7910474897540918,-0.7028518862468619,-0.6759323194202096,0.1716610030348797,-0.04864050639360915,1.0,0.7974141268945736,-0.8185708302523239,-0.25896063362435345,-0.5652061912142295,-0.9973460074674221,0.5305914599738947,0.4092873422510173,-0.30230475097521503,-0.6674468743478894,-0.8943299981257019,0.4342194392199402,0.06103161893171998,-0.4791887334245019,0.2602548216703199,-0.288851798733988,0.6639427475558135,-0.48148066781173743,0.5043502315320676,-0.9370674268229507,-0.7134681003091681,-0.31331664823639027,-0.8140576375221138,0.7212059593415227,0.5582214454244995,0.4342194392199402,0.7013208111954893,-0.7635750658867265,-0.8624346898840163,-0.4022499656294125,-0.35025805553352835,0.8152434072474259,0.17062992648792,0.6880105478973899,-0.06213085968300773,0.09682073730517204,0.006968112854196559,0.37735590413330367
NUM,-0.40882682415254873,0.5373031331328806,-0.7958439894021162,-0.4158064577316115,-0.057252263000354686,0.6636783104790516,0.26303062070012906,-0.4389107752984028,-0.13280208051706804,-0.2161135647406751,0.5003358578076915,0.7974141268945736,1.0,-0.4242454178025296,-0.618428221792284,0.0452684840247167,-0.7855117518119328,0.791514783858553,0.5503812955500725,-0.2552033442740744,-0.48246137806323613,-0.879730893800453,-0.042152275115214514,-0.43720938234735673,-0.0011863583771422814,-0.3710183794483604,-0.745383530184313,0.4201996066081143,-0.9029784687889645,0.7627064926468476,-0.806187991745659,-0.1550914307444077,0.30449648200976737,-0.32550071585033513,0.9926778055651756,0.7049659203330744,-0.042152275115214514,0.23364421410690928,-0.526124781570117,-0.9928990761518052,-0.35373312031151394,-0.3321386209863934,0.9993414026559139,-0.4415806467790655,0.9636337947094501,0.3317049420118068,-0.3110432712413566,-0.225059167017669,0.3006810145516874
