,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9158374816425482,0.8637688980569026,-0.18110529180703444,-0.07168675838413217,0.2423254019164626,-0.32003569412606064,0.05664195778614566,0.5442847421466964,-0.19268023232861226,-0.03742246850823071,0.7760225914143712,-0.30607303957258053,0.035121419077945824,-0.06489621201401405,-0.49816639145949704,0.46405180927231987,0.2461284215315813,-0.6838752063758169,0.1875491851594769,-0.9275298285818783,0.5765337333668906,0.3685649411019001,0.4273018649986055,0.6006208334257173,-0.5660157249221394,-0.1898659678571094,-0.3878777511867191,0.04053444781958602,-0.23363394586668837,0.1878336271213803,0.2706904564155714,0.19433016344931747,0.06290747151882044,0.15367872549593564,0.26737497734835747,-0.4003393596234759,-0.4787125341745489,-0.003773533132693893,-0.23443458478194992,0.7187378948835522,-0.5652345043801502,0.39606750317278566,-0.08023018833176312,-0.29355030488283834,-0.1742443940661296,0.037565034430997776,0.08873249698484686,-0.05972124399716893,-0.7021700266693858
PUNCT,-0.9158374816425482,1.0,-0.6795453834265145,0.31170890779616506,-0.1733629217261856,-0.5449250388055621,0.18982618935878473,0.08517413731479569,-0.6607099048696505,0.2173545888856636,0.2309512220269837,-0.6943105882831017,0.37166057009134,-0.04120966274407607,0.09094797783924538,0.5283019214703852,-0.3635184687821499,-0.09238858647528576,0.4955736986670639,-0.016930193268767532,0.7597927813160057,-0.6336622575904427,-0.4299515301087144,-0.433588631301356,-0.6366580219306732,0.44999500895326494,0.24596987055920316,0.23780883798461666,0.24417535023381579,0.10013629428389237,-0.24027219262890248,-0.25763276798417284,-0.025060550353391386,-0.023696445406421164,-0.21773435393172014,-0.07412983504938178,0.4110310201894341,0.600236558178515,0.0911094695583801,-0.03237863495275284,-0.5833279026526756,0.22193905058498756,-0.17806613293738874,-0.12656911485903366,-0.026104518523535257,-0.13204725982407545,0.16912310709238365,-0.388427073312063,0.044586595045837195,0.8496768347396332
AUX,0.8637688980569026,-0.6795453834265145,1.0,-0.27856460837315755,0.0737438607161947,-0.11417612766248576,-0.5144702253847907,0.07387723046371447,0.45519899635082556,-0.2758677315940663,0.06383272056398193,0.9337213114945963,-0.23785356340574804,-0.039947501322151226,0.06805379534423317,-0.16944759340062676,0.31438956458202166,0.35899939129268876,-0.7005004616558719,0.35764844284351344,-0.9362162762377383,0.4606403492077081,0.3437509725359454,0.057158223914330446,0.1993758206043615,-0.47674065099570034,0.18752308359496966,-0.42875182614210083,0.26196888886247544,-0.41414640928205565,0.38781152684629494,0.3877272619427666,0.5623943495001932,-0.32328239236835604,-0.1269983047459354,0.17167563944235467,-0.24508911966195066,-0.2958583072517144,0.001547294467407104,-0.17540225469109177,0.8087938344887079,-0.6674391137935738,0.5263916039285874,-0.4247114772259003,-0.32296037117348503,-0.24938791169224606,0.0631536187781499,0.03555015887279338,-0.07658475968789208,-0.6342882426923409
X,-0.18110529180703444,0.31170890779616506,-0.27856460837315755,1.0,-0.662753038924328,-0.016029188745955564,0.7838399085925862,0.15574587682839167,-0.4814801968010934,0.13465908259285184,0.2919060734668438,-0.5079049184669762,0.07622598374372745,0.20962031153726993,-0.057548329306739886,-0.2648311686182847,-0.14327137837968795,0.6539547008578398,-0.19999999999999998,0.550036253621274,0.285054289871496,-0.32263680557018104,-0.49671286678157683,-0.12156660708519505,-0.19999999999999996,0.4208763564082381,-0.6729570550436621,0.48009996495605123,0.003461771063223763,0.7577257739536406,-0.8363425062514876,-0.3713315221382235,-0.48505785678970437,0.7296615551941394,0.46097183263497826,0.18121111303499632,-0.0919051982149709,0.6066760488260884,0.24661196656506582,-0.4689863267334086,-0.6664122484785044,-0.4497614481137598,0.5484540842161534,-0.31550499370927554,-0.7282636122345328,0.09244483360815914,-0.17076358506435463,-0.3772443038979409,0.75136603577634,0.47517017024786623
ADV,-0.07168675838413217,-0.1733629217261856,0.0737438607161947,-0.662753038924328,1.0,0.40377839665747656,-0.1721880578027111,-0.6340412709514696,0.6159381805650724,0.04438840560106328,-0.6594106411553692,0.41687982064915596,0.14993319938981012,-0.44942780659142756,-0.2013428481278969,0.5329174611430155,-0.055924898571933855,-0.13345925382864446,0.43873241704776245,-0.014179257819080452,-0.007914716030724614,0.44735466524442163,0.5752197053781228,-0.2804746047615311,-0.3249808055316761,0.0047129010467771675,0.6044307464443386,-0.08196642744500567,-0.5587211869316062,-0.14992521077181936,0.44515150326847786,-0.01271180057248855,0.1109639672060357,-0.7471051972333642,-0.5418650774834864,-0.8013891110356647,-0.20175513509159582,-0.4516244096164166,-0.565671412786201,0.9253577437137995,0.10410775644884082,0.6058007174465943,-0.39814146417575075,0.12847937258610806,0.655535681442107,0.5878830170026291,-0.252625786990198,0.8776800980538237,-0.047961974307289566,-0.6304204813948939
PART,0.2423254019164626,-0.5449250388055621,-0.11417612766248576,-0.016029188745955564,0.40377839665747656,1.0,0.4647296672916019,-0.6170731064874082,0.642767630864798,0.28441654794311155,-0.7159929013224957,0.06046937964788899,0.10031638954857673,-0.2860898584965537,-0.5229782999504108,-0.1697805472082736,0.26471768852325034,0.08754327601057653,0.2629533372502136,0.07030413328845633,-0.04843637186509263,0.6179139614332259,0.4787993364720925,0.3622417729664372,0.32590812566191857,-0.08332406689130407,-0.3443449616145452,0.09336099064085186,-0.9123628788344714,0.4570911451096625,-0.3090174202340249,-0.40343856456422394,-0.7091251379520213,0.2700969417897435,0.11025953061578775,-0.5287589310457735,-0.6291055235976962,-0.5527456554051855,-0.5060905143746355,0.5536975039844044,-0.23727936804060673,0.4098694796520409,-0.26342250068052797,0.5190110163277466,0.2243630424748816,0.6830766238950603,-0.3025413755979276,0.7746454148053152,0.352544001579461,-0.6170138071909167
CCONJ,-0.32003569412606064,0.18982618935878473,-0.5144702253847907,0.7838399085925862,-0.1721880578027111,0.4647296672916019,1.0,-0.15341680392887577,-0.24037841990338119,0.1049588830001219,-0.07249093790657321,-0.5553809216158805,0.016970116057931393,0.1466839117207303,-0.12700917974311718,-0.21062209090246772,-0.3220962119534257,0.5123541718224777,0.10692174396001483,0.3998646651905081,0.5262337446069266,-0.1840123032320248,-0.34435341123237767,-0.21874982446914662,-0.26985471376844916,0.6350408403191432,-0.6753142451222938,0.7233053987656783,-0.49111570628256923,0.985307475826871,-0.7421474459052885,-0.41291687485316886,-0.7128087378929512,0.5648855074741748,0.4724520320871582,-0.24065376571895436,-0.15399757464412278,0.42290060053326733,0.03830618772072355,0.0444938625971801,-0.8870905565040764,0.0780175747627615,0.2551487566900968,-0.0798086145706929,-0.23943517222504393,0.6519687876418988,-0.5403815163276995,0.1840144758489625,0.8555351925803696,0.17538431405593846
NOUN,0.05664195778614566,0.08517413731479569,0.07387723046371447,0.15574587682839167,-0.6340412709514696,-0.6170731064874082,-0.15341680392887577,1.0,-0.7634974435588517,-0.7483381938980489,0.970703424762079,-0.1938474625297639,-0.7535191784046893,0.899979628094333,0.867949688594918,-0.6381086378829929,-0.5169417631219987,-0.16945949946666303,-0.6512866032532327,-0.36554693242717945,0.07402714945525937,-0.76665912106035,-0.8262475109226953,-0.1846976262895529,0.13821220646993004,0.3150587704275701,-0.38026817478526226,0.3555973051217401,0.8478276112319686,-0.07267458752038804,0.32079866680954217,0.7549550478619372,0.5107559777284238,0.11970638641679464,0.6759699979149926,0.9133765101857839,0.8083586003026082,0.6187829784037296,0.9711008015481453,-0.837164807630809,0.160550410023962,-0.4001958108755662,0.42845656950989297,-0.4175163101501812,-0.07157762554364244,-0.426509486332557,-0.19706370044295649,-0.756012822897627,-0.24932422366419926,0.4552166109969418
SCONJ,0.5442847421466964,-0.6607099048696505,0.45519899635082556,-0.4814801968010934,0.6159381805650724,0.642767630864798,-0.24037841990338119,-0.7634974435588517,1.0,0.41870931021220437,-0.8391986864739538,0.6741392105318219,0.3623361133706763,-0.6959166399375439,-0.6733830063847409,0.24792232424116614,0.6714533308302117,0.06106722247184186,0.1861913044966818,0.1965185555740676,-0.6115990442341861,0.9744136342588295,0.9469592366197856,0.42648954715433374,0.3062106766688831,-0.6446573740229415,0.3248149657415741,-0.5822542655716769,-0.6468494381263643,-0.24774150470304981,0.0747909926329383,-0.32466968411328195,-0.1872120056038236,-0.2224271365969017,-0.5131183090525078,-0.5891600642124577,-0.7998892303167839,-0.8990397710129794,-0.793149118673315,0.6360369786742243,0.4245629987917534,0.15006822698880315,-0.27937180679701035,0.3937279915060789,0.11888603924589045,0.22889008759331078,0.19198285997610723,0.735770964241417,-0.04512271133667926,-0.855771211193483
VERB,-0.19268023232861226,0.2173545888856636,-0.2758677315940663,0.13465908259285184,0.04438840560106328,0.28441654794311155,0.1049588830001219,-0.7483381938980489,0.41870931021220437,1.0,-0.7056553168244216,-0.1738429147532241,0.956778455152409,-0.8664832648371317,-0.9396957048231301,0.5720610615243021,0.7414856372321388,0.03212341829998949,0.6798555769847876,0.24281742368457937,0.011674594861847652,0.5408926861133881,0.6239452844753314,0.5098801727046123,0.08648908925801294,-0.5052431368792091,0.23725320558898824,-0.55168004239868,-0.5141942093344075,-0.04792285178717826,-0.6227492060031466,-0.9473773077853364,-0.636905792706471,0.3213510900841495,-0.6134463019617734,-0.5006112757038884,-0.7416972519648991,-0.4814323212609295,-0.8220152507673422,0.36642676579225647,-0.2118369444169823,0.1906601656460495,-0.4888077247935246,0.5768346970184708,-0.27089486194444407,-0.12257818422928218,0.6768355555075853,0.15960845779927568,0.05850164924209459,0.08789151044488747
