,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.864349688775949,0.15928959182286315,0.09392764902714547,-0.19787744981127908,-0.2015845646843625,0.2963205087780758,0.02638017349910804,0.2062690476451167,0.03966038615117542,0.35723492574149807,0.08931132388551191,-0.007145663891056798,-0.18719281000293572,-0.020711796737056275,0.04449275531248177,0.0958310237593222,-0.03278094381613439,-0.26781270141937313,-0.03278094381613439,-0.3564184726643529,-0.9745374860305943,-0.1357076923177957,0.190463489453009,0.662574834937853,-0.06624482396177157,0.250439660915551,0.3455750692181917,0.3727413219928586,-0.29200730766084626,0.27440040661468035,-0.10998028405417411,0.5372085139676139,0.08942184914004134,0.11621580039189983,-0.04269503380725529,0.08732313804145442,-0.020999466256497273,0.34050744078398376,0.4246732838010719,-0.11526273437384625,-0.32518079321395604,0.36781513003296507,0.37375529553653825,-0.33376064800026195,0.10321466514366467,0.23132377997357967,0.4149294645460826,-0.19102541420079996,-0.09294070401255058,-0.7320272458210414
PUNCT,-0.864349688775949,1.0,-0.12196483066396047,0.2398590312881877,0.06845856158922792,-0.14520764152343554,-0.2979207459999951,0.3972102331006062,-0.23559543384275403,-0.41852507043430237,-0.2424165224574835,0.33158638435548937,-0.4124357796834847,0.5016763411998854,0.23226714345619975,-0.3181242195517404,-0.5306820511827411,0.03322697042508926,0.5197715044678671,0.03322697042508926,0.0758408864746146,0.9336551823103701,0.27557281672548645,-0.1587836767521487,-0.7971990999585706,-0.05801303382264779,0.15430518589906753,-0.6406286915801526,0.009922671082624226,0.522858174268667,-0.31210146438669645,0.17319728830807282,-0.30522025943535996,-0.4902844067368328,-0.3637444881429811,0.2116033772701392,0.2219118855276928,0.4008896618758325,-0.34802077069553383,-0.2908716990781651,0.09388948166037385,0.5367552852098547,-0.6761463591469773,-0.3191402070236364,-0.08576471023686372,-0.33672536547398413,0.046726858828149614,-0.43965825529382047,-0.03930681686310109,0.4023727351412479,0.944397016112865
AUX,0.15928959182286315,-0.12196483066396047,1.0,0.055086877658980994,-0.4247816000237893,0.2966799997415925,-0.16678213112859053,0.05900768992047512,-0.4108244981139733,-0.21057297093228775,-0.14471937393691447,-0.31497675815435167,0.08192634221009869,-0.5344857089422818,0.5665335103234094,-0.22557080746692026,0.2219372959479512,-0.37555600281623647,0.3917860046690449,-0.37555600281623647,-0.06440725340234439,-0.0835632676089734,-0.6717535858272219,-0.4684331816210005,0.3169852161097878,-0.4392729674710309,0.043700368684848896,-0.42191514088662274,0.22247271365062135,0.016688841297736696,-0.21964782551255327,0.8602799493840197,-0.09747558413206384,0.3661808137731307,0.7258123212795399,0.911655897780604,0.5290468293939399,-0.547160841553806,-0.06029692140094933,-0.10957057523963204,-0.2513229125625696,0.6625553346128573,0.26950826497130603,0.6948569340838051,-0.2519676120073159,-0.3979198285615644,0.2644566867671569,0.1692537389847797,-0.0230225629804983,-0.22794511571165205,-0.15648250669535832
X,0.09392764902714547,0.2398590312881877,0.055086877658980994,1.0,-0.647410216629534,-0.28557115060956173,-0.6918020379321057,0.7502401258207915,-0.6901776346657976,-0.9217105840336351,0.699996024812155,0.6000272238234089,-0.441265795236778,0.7286068298252625,0.6952502923402408,-0.06444930138059807,-0.32840536431559747,-0.3985999882478877,0.0920441872730142,-0.3985999882478877,-0.07434625741416602,-0.006268033425882399,-0.2060627007926546,-0.5833710904835242,0.18822471924892367,-0.3985999882478876,0.838089578552698,-0.38814018945774387,0.9101335931270998,0.668881227931219,-0.7020564748666592,0.3857752585527306,0.49485099323909537,-0.5340027099753991,-0.2760284627970186,0.16033899338122698,0.6575250820140115,0.3870467069257391,-0.7211251093628034,0.6846876165525252,0.388163631907547,0.059041827133923586,-0.6356465872834745,0.5530827623576291,-0.8229934298288679,-0.30080348916794736,0.8445809511001153,0.1469588012263148,-0.6551469657353555,0.34835347282397433,0.20230496784232613
ADV,-0.19787744981127908,0.06845856158922792,-0.4247816000237893,-0.647410216629534,1.0,0.10581610191944986,0.6291717167628671,-0.6436276734807569,0.7488686173895668,0.7273670824049613,-0.5471773012066907,-0.17026766489410533,0.3662876036980337,-0.27519485690011736,-0.8777562225503474,0.3622139297784144,0.012347262346152047,0.7548364095968036,0.3119503273557602,0.7548364095968036,0.38766503933554225,0.10360209219037776,0.34309681100395895,0.6385929948198806,-0.5628229490378678,-0.04142970223244862,-0.24455282522606459,-0.03478182492357269,-0.7368301824290076,-0.7212972194218804,0.6233980350285057,-0.4764617426637033,-0.6700447761783384,0.12419054725338637,-0.19242555013853338,-0.44363341318228133,-0.818160800788798,-0.0014911827998364815,0.6177201674244309,-0.4347757266660212,-0.6733491261600618,-0.16796214409237453,-0.0026139289422177528,-0.726844019824111,0.7457059451181723,0.41744599430368784,-0.8095829801820789,0.14280959472398605,0.6877892186074279,-0.3281769727390448,0.09721425651991907
PART,-0.2015845646843625,-0.14520764152343554,0.2966799997415925,-0.28557115060956173,0.10581610191944986,1.0,-0.39497280292480985,-0.6636349491571062,-0.10176754818249424,0.38568271481974137,-0.37416698017089656,-0.909313446472129,0.7880722415183351,-0.513007178725625,0.044265962533695316,0.5175877681913218,0.7827014253932597,0.26240351330202255,-0.09961359344872601,0.26240351330202255,0.6843672781294303,0.03879373790206529,-0.7481565089194825,-0.20424427574079793,0.30327453916680625,-0.40507498336977876,-0.41914915393298946,0.08953486005880427,-0.48866948606019683,-0.501381648586509,-0.40521791390421275,0.30328045463611036,-0.6762724533159055,0.8932503260279648,0.8220279669240035,0.06996879317283347,-0.1426886418687924,-0.8475233410807443,-0.30060050899581403,-0.3463294559533985,-0.0386259165906604,-0.1685209170587408,0.11878930098565296,0.20096994217886371,0.6005677545222592,-0.1314565975896611,-0.0329106136505345,0.5891227971570867,0.686906790196558,-0.4325668530847132,-0.205584227692482
CCONJ,0.2963205087780758,-0.2979207459999951,-0.16678213112859053,-0.6918020379321057,0.6291717167628671,-0.39497280292480985,1.0,-0.31017887542942674,0.8058341308191999,0.6195635716463634,-0.37838174297922217,0.07767469972248467,-0.05080637223769676,-0.40638766127011894,-0.7316493488984358,-0.16857399374761356,-0.21249666802625433,0.33994483359319727,0.13253415484791758,0.33994483359319727,-0.3364536562909194,-0.2681533915839042,0.5784551566025472,0.7428045662960004,-0.3015825240393113,0.3872708387899307,-0.297256113552449,0.19414344886595442,-0.4371951629374658,-0.495711018446258,0.9924484163584518,-0.5088730769490064,-0.04230637202235317,-0.07039373985794337,-0.2455992539672175,-0.170242024643442,-0.5396518896554221,0.17801819342951147,0.9889477819412336,-0.31377459819774295,-0.5785877881654872,0.030685955668004056,0.47407460599212903,-0.5521520128834816,0.3190165639649564,0.3854703391067803,-0.7323744586585247,-0.24723940819096804,0.22797257905695256,-0.14314106314172848,-0.18729982642159076
NOUN,0.02638017349910804,0.3972102331006062,0.05900768992047512,0.7502401258207915,-0.6436276734807569,-0.6636349491571062,-0.31017887542942674,1.0,-0.4007495982803004,-0.9103865640787169,0.3930841515807241,0.7789883861959565,-0.9096549838728493,0.7424306451963488,0.6823079234689124,-0.6850185960202757,-0.759939131093155,-0.4069855044932651,0.1417401752132517,-0.4069855044932651,-0.6499052426570177,0.16177835823932973,0.27829757816177325,-0.223984827623466,-0.13185606715663928,0.08979259776570062,0.5749324193346245,-0.35797376367267913,0.816783421432712,0.8674205973787236,-0.33870815481387123,0.17237034620268682,0.6736086508296161,-0.7900843606371927,-0.4616135853661715,0.35168717635532815,0.7925216931983126,0.7119824462532564,-0.35174991036654785,0.31353384252565286,0.45949456436780367,0.40267128117828904,-0.5000764318059342,0.2110526063119161,-0.9154484964745963,-0.5124951364446324,0.6993593050521897,-0.40185584731672924,-0.7289544823598353,0.7499320199002029,0.4738801917290708
SCONJ,0.2062690476451167,-0.23559543384275403,-0.4108244981139733,-0.6901776346657976,0.7488686173895668,-0.10176754818249424,0.8058341308191999,-0.4007495982803004,1.0,0.6752827475988494,-0.5992403819771648,-0.11380676233881401,0.020126360829678717,-0.22577428386399373,-0.7299840251313622,-0.08328731050030076,-0.19058908249493423,0.7822911191047455,0.004112797941029616,0.7822911191047455,-0.20556306342356995,-0.24016647291542373,0.5431068381076579,0.9769262771610343,-0.35541788380442524,0.3244279783579096,-0.39362625318076505,0.29332779569587086,-0.6074302491448581,-0.6414461810744763,0.7725520642212782,-0.7390510543852178,-0.23967656076304902,0.07830677444150294,-0.17200715084526755,-0.3836072751181897,-0.535946637480262,0.20057115174161222,0.818598478868451,-0.5433202878268498,-0.37164222767701816,-0.2151958523965785,0.16847191095922598,-0.7758334591694481,0.5073660943241252,0.1109186193649474,-0.580776834199872,0.02240333271831423,0.5973250984416809,0.10319520306917755,-0.020261770260476642
VERB,0.03966038615117542,-0.41852507043430237,-0.21057297093228775,-0.9217105840336351,0.7273670824049613,0.38568271481974137,0.6195635716463634,-0.9103865640787169,0.6752827475988494,1.0,-0.49915507096192085,-0.6325122451738818,0.6708678793818477,-0.7039956492312555,-0.8313566932179485,0.41561207583473236,0.5218467374684853,0.4670060848456109,-0.21332220032468927,0.4670060848456109,0.3205143946819003,-0.18762387425379817,0.08768302570669917,0.5350745313820451,-0.01488884515398812,0.24843957530314714,-0.7137135242112121,0.502457606375123,-0.8902174685842319,-0.8332910761414041,0.6470316283861831,-0.45907192248349804,-0.5109278656387536,0.6174554513162175,0.2542956875837295,-0.4232897741249686,-0.8426375903677538,-0.46483862347592914,0.641085391054592,-0.44742740965898603,-0.42793473119964454,-0.3788097764581679,0.6089798046332776,-0.4809250116480756,0.8998559333566647,0.5206932437182425,-0.8417537954428689,0.12588918565304896,0.6836717346413516,-0.5457637123378444,-0.41700799671389877
