,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,vocative,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.8697085793434932,0.6782828387168732,0.36392319016016517,0.20545997940558827,-0.673140389692543,0.39601286613857384,0.4408945725103633,-0.7891590366266545,0.1658437425027339,-0.0874850473353395,-0.8607068169198092,0.3370387911129167,0.7806964459559698,-0.251393676929626,0.33401232919338847,0.5802004206993764,-0.34607226273184966,-0.9587608605687061,0.8445522790502115,0.17194854869843446,-0.4863386127089377,-0.8638344119308494,0.10630913496512046,0.1011126156465717,-0.7786402766089705,0.7051700363249942,0.5783914929352814,-0.6331450859124724,-0.5842115444978361,-0.24828775548275475,0.7071864406895743,-0.17038423993752655,0.5783914929352814,-0.5758462482809233,0.9317094968387439,0.46632049286160804,-0.2829187362881683,0.2158837037325318,0.2320991440878675,0.25287453646681646,-0.22816072295161013,0.42350468809194697,0.7220988963738273,0.21594586146590242,-0.6905362238446765,-0.08968616808284309,-0.7259197527639255,0.3783789268667164,0.15191037423774958,-0.8905278757554143
PUNCT,-0.8697085793434932,1.0,-0.37564083253606406,-0.10895942018806855,-0.1871946059844563,0.2556460161361983,-0.4595499534917403,-0.10219509769620481,0.40726254825651803,-0.051365880543988544,-0.07809890687812153,0.7495937767257745,-0.1763381073423797,-0.4914917940830711,0.21022190531275597,-0.19220799744613698,-0.2481514436863159,0.22291504457378922,0.9417987279765667,-0.8425488613687722,0.10078239874468113,0.19212924320530927,0.5552730037241164,-0.06349687057513496,0.1224386897374188,0.6545796707049173,-0.7291261905507147,-0.37167376245738604,0.18263609234452294,0.3049271671401094,0.30582831810385397,-0.8458636010154749,0.3601239778556236,-0.37167376245738604,0.6323939843321373,-0.7894824503743952,-0.35162573952837106,0.18130696978855054,0.14788616152582454,-0.11758434862858969,-0.10178679416428231,-0.013387733229839523,-0.5370611437736625,-0.3290278562778328,-0.5969154231649656,0.710767978461198,-0.2644598209707013,0.43233545009793334,-0.08889667911255035,-0.24537777417327478,0.997416828206804
AUX,0.6782828387168732,-0.37564083253606406,1.0,0.554406707054062,0.6953407239317864,-0.6064272189475745,0.022043019439450362,0.6884666398792468,-0.6991999838760928,-0.18303521041356668,0.3357738228170595,-0.7024234782696089,0.10411954864920032,0.6882414574066331,-0.27187803330370436,0.2292293995810282,0.794522664555682,0.17993664341744975,-0.6498250902873491,0.6351989926335257,0.6092441965721968,-0.9202435510617096,-0.8151460200552084,0.5573168729305821,0.3951253160430445,-0.8754947635983357,0.37560651206418844,0.209889877849691,-0.659537701846071,-0.24784095113867718,-0.18334621821439626,0.5182730287342671,-0.3501533068590355,0.209889877849691,-0.5832902112707612,0.6191522553242326,0.051215320967008336,0.12567221776155277,0.5933577226538868,-0.15879726962148807,0.5184019626307588,0.17003955926679715,0.6171692422984669,0.6303423629382621,-0.13702730457136209,-0.7286836543413159,-0.1038539586397965,-0.9774570124348428,0.702205972766621,0.43128323917368727,-0.3785452311018294
ADV,0.36392319016016517,-0.10895942018806855,0.554406707054062,1.0,0.30935449893905503,-0.5108859239726337,-0.6533957328374411,0.7070168283904342,-0.409916651246573,0.06793357500924715,0.11482015663327419,-0.15867635196999494,-0.2495166348243247,0.6503472190977325,0.29340476453973474,-0.3102747825020653,0.04745810478315644,-0.3496678237345307,-0.34390491521741257,0.5660965152794374,0.4560234325868316,-0.7327775218082856,-0.7229884917925045,-0.23619154634283263,0.8854758247217968,-0.36900176565034465,-0.3545554306631236,-0.06952353551285445,-0.5278768465874257,-0.5473145025344095,0.6063285210151699,-0.1257621317625602,0.03344074310858173,-0.06952353551285445,-0.3497930394920362,0.1550337533049152,-0.11348916337942626,0.2618547539953478,0.6720107077140647,0.24014567344196341,0.9049933051796252,-0.11584677072490865,0.21487288553216274,0.29873766589665085,-0.4614413621761601,-0.1402325759755009,0.12046808693508615,-0.6981754039757571,0.938280207987551,-0.170448240279776,-0.12685444084603267
PART,0.20545997940558827,-0.1871946059844563,0.6953407239317864,0.30935449893905503,1.0,0.14262683796148595,-0.25304878844378387,0.45365528923481435,0.021232452009719183,-0.7345308663970882,0.9085753461772116,-0.26542146366120484,-0.17234503461036804,0.06133873604224915,-0.355066365595737,-0.25479976757665396,0.3637814497031916,0.7197590342595531,-0.3429065142284979,0.4067116608790187,0.6277814923425634,-0.7735509993181408,-0.29976009264394987,0.6763759897095375,0.3701877677755936,-0.7462098963414129,0.16115119881064086,-0.27637569889574304,0.061990089463310354,0.45164912568442656,-0.05670800985010312,0.5195886330178169,-0.8324026763262573,-0.27637569889574304,-0.5031850415906487,0.06804301943485117,-0.2741033307473447,0.7021862149849767,0.16249602137445185,-0.7115271430010763,0.550881524975417,0.8087568847707225,0.8106908708210036,-0.03631926707055819,0.07184669321787165,-0.6457821093614191,0.5112846077127409,-0.6523172666071232,0.5321306932045663,0.8233555560941853,-0.14886315948213705
CCONJ,-0.673140389692543,0.2556460161361983,-0.6064272189475745,-0.5108859239726337,0.14262683796148595,1.0,-0.19196483977055023,-0.5176131495470122,0.9709243705319588,-0.5409458807129321,0.5333040259088028,0.6020204829560399,-0.3165538881854931,-0.8803028238426657,-0.04377713365647917,-0.5056920118891116,-0.6430782364497688,0.5804544169455045,0.47598016375138247,-0.41332602065512697,-0.20575871241559668,0.45494586000325465,0.8144168288917214,0.050487597217837125,-0.24771654750048738,0.36206715292221836,-0.2484476548403763,-0.57482187231139,0.9902012384652966,0.8665041263480817,0.06935418187829488,-0.055818495102961795,-0.45207090962573787,-0.57482187231139,0.2062718890880492,-0.7125570257228752,-0.36622812687822315,0.5387023250752156,-0.6706839468297705,-0.569681791703441,-0.20017371466083578,0.6743242802808894,0.08573634960553445,-0.900005830701249,0.364172281209361,0.22299484942651274,0.6818205966803382,0.6397600787525388,-0.46461708754497827,0.346316583877582,0.3049668993131894
NOUN,0.39601286613857384,-0.4595499534917403,0.022043019439450362,-0.6533957328374411,-0.25304878844378387,-0.19196483977055023,1.0,-0.4339608227488312,-0.3470142905945556,0.31945155903862593,-0.350872085819915,-0.6009657933075114,0.37544144526242423,0.1331139482121703,-0.25920291614549895,0.7992959718854021,0.48064251125902585,-0.012769536656543104,-0.35395727728313114,0.07685114992372324,-0.44390314194913233,0.3563034819051138,0.02556861760112947,0.36683163471767904,-0.8504758756755688,-0.131469997099164,0.7901423424619203,0.445871279724745,-0.13583510616405833,-0.06398013617828432,-0.8889501876791469,0.5668419435985167,0.08969012685979183,0.445871279724745,-0.17294074997601355,0.6383107422084808,0.32433670114450885,-0.6966470743866897,-0.2289964431432629,0.17000729828111874,-0.7746496107278081,-0.2058756390032624,0.07891427589675311,0.32960478004937466,0.5846402058879634,-0.40117868095473297,-0.435103927144963,0.09324055110704559,-0.641756031535933,0.06947031849413789,-0.46072127289792847
SCONJ,0.4408945725103633,-0.10219509769620481,0.6884666398792468,0.7070168283904342,0.45365528923481435,-0.5176131495470122,-0.4339608227488312,1.0,-0.5095906436196399,-0.3587102175978153,0.1947577185898003,-0.12258801444299033,0.41583556143067735,0.4011773165808232,-0.440383484045913,-0.3521085705812115,0.4483794542347325,-0.09209609846857249,-0.3256455119953366,0.3238114728070512,0.905547715819275,-0.8416405950412128,-0.7775588398843245,-0.04710793755533327,0.8157925888132602,-0.6449113807031689,0.08944663530542862,0.4361297025550921,-0.5974073230000536,-0.32534004535003935,0.48117801857417913,0.025707726294865174,-0.2728311946692913,0.4361297025550921,0.02497797618524035,0.19533815110909478,0.42233455564403904,0.4136488173165772,0.32072364563247496,-0.23148217841167631,0.7779015850652119,-0.074568421557498,0.07078374074226132,0.6276485186361451,-0.6708436059792174,-0.10591392450094086,0.012427695983763334,-0.7442538828345493,0.8779033117978212,0.2980671667502585,-0.13729054029560758
VERB,-0.7891590366266545,0.40726254825651803,-0.6991999838760928,-0.409916651246573,0.021232452009719183,0.9709243705319588,-0.3470142905945556,-0.5095906436196399,1.0,-0.43596003890420537,0.42757925688295756,0.7421407333920872,-0.39433833167354865,-0.8741837912808138,0.11197113527191879,-0.5724890121187027,-0.7695786153490887,0.4557970633611538,0.6131502349730793,-0.49728445777632413,-0.2326915226346997,0.49513115095229315,0.8462862145598045,-0.10967664296676698,-0.14004898281170736,0.5237115785780609,-0.4585267888856092,-0.6376301436829814,0.9626444519931407,0.7747531715412754,0.2352961353165636,-0.2765318414078158,-0.28393706082252007,-0.6376301436829814,0.3026807123273469,-0.8356810460603656,-0.4246383288006281,0.5235982118261302,-0.5800061323807628,-0.44568818245220126,-0.14190626080558835,0.5592794803120976,-0.06256487739021582,-0.9399672440118167,0.21777434362675316,0.40104600482340974,0.6289482208114621,0.7060739842891325,-0.4117338642329494,0.15898161875345393,0.4501199454355228
ADP,0.1658437425027339,-0.051365880543988544,-0.18303521041356668,0.06793357500924715,-0.7345308663970882,-0.5409458807129321,0.31945155903862593,-0.3587102175978153,-0.43596003890420537,1.0,-0.8407097176937373,-0.28428284197019377,-0.17866879824500012,0.5344767968987556,0.6735067642166503,0.6296499451711562,-0.039900265901412886,-0.7476089810045475,-0.06227034804963092,0.0920379840034244,-0.6688133870198529,0.37437126276082944,-0.10226546908607141,-0.3440395156491871,-0.2832675038968211,0.4270687624640664,-0.12410241843160717,0.10132124265120193,-0.4441545087253115,-0.7376448645018889,-0.18228179590754634,-0.24471542140965313,0.8916078738761458,0.10132124265120193,-0.122259462925304,0.37081571479484043,-0.057464791690812804,-0.8908104037022905,0.43968248793400644,0.973734683862634,-0.3477847552550619,-0.7696501007704171,-0.34034496247057183,0.2418912615748676,0.08087632758759483,0.1222489323710747,-0.647844262361167,0.1317547403725622,-0.22100989060672996,-0.8888780846523889,-0.07838486384766745
