,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,punct
len,1.0,-0.9840189702731171,-0.37621026093446164,-0.7540043791182913,-0.5963303652884389,0.6585731894545227,0.6656416563295691,-0.5517820958036911,-0.21487578543234015,0.558993685630365,-0.07070285920155858,-0.6719170323216613,-0.5886570260352485,0.6709372632083758,0.06608825623463344,-0.4823112149561815,0.03682314989015188,0.04383457633287828,-0.9595922961688313,-0.992297349831426,0.07870713368801813,-0.569225446274867,-0.18273354843859502,-0.3234033164265512,-0.551813669240642,-0.07946274501994081,0.8216655020134729,0.34560273403920705,-0.5595517776786119,0.7162785980340906,-0.032715509235613977,-0.09786627485542966,-0.06442370610490027,0.8035779978557618,0.059699414164475745,0.6546908156241505,0.058039675694745184,0.7023751399028655,0.3217862204332118,0.6423413690757513,-0.7304869859445616,-0.22615012464264117,-0.7482127545067715,-0.2256864081640957,0.40966325300839573,-0.43921607284174896,0.1519572002425359,-0.3688597954513497,-0.5953150344943537,-0.9873801483592981
PUNCT,-0.9840189702731171,1.0,0.41094079674019524,0.8390518698809845,0.4949829269689793,-0.781653887659245,-0.6695497835876199,0.4869819647506821,0.03985058371494607,-0.44750099325475823,0.018313756434555357,0.6628968318439973,0.6481805573276044,-0.557710383818938,0.08104010307388035,0.5726405615767809,-0.14730783682889748,-0.14737544968240412,0.9038703638822303,0.9922921358552832,-0.22712384543284453,0.498426341644823,0.1048177625852659,0.32168733442364134,0.6640419343522058,0.05341189812998555,-0.7310374637915105,-0.40952116656408444,0.6707477227562141,-0.8189500292056039,0.09613741390490889,0.20723715543976493,0.061628325224264556,-0.7699377569251676,0.03032328841780559,-0.6214419468016144,0.07906643011420078,-0.8161353471266366,-0.37306795883763016,-0.525230508365126,0.6878908048977255,0.18503884542583718,0.675643370760677,0.34051355958535195,-0.3200217655079777,0.27316163958364054,-0.2904566191145038,0.4554689918044333,0.5575361504771529,0.9956469443198109
AUX,-0.37621026093446164,0.41094079674019524,1.0,0.7335910208085109,0.09934150717846839,-0.40946985280709775,-0.49545033703001773,0.7930589792386962,-0.16548999428620792,-0.05822900643916422,-0.7297974679294655,0.46555187767841183,-0.31895502563089034,-0.25164213599052787,0.3403920952563769,-0.23508482568812686,0.3675944634701324,-0.48636390941888313,0.41323015904792515,0.42756126590612525,0.1018082741510226,0.7541179265077743,-0.7987031037533879,0.46866423716905775,0.09039813867854939,0.4268076453041031,-0.5305650236304162,-0.9773241460689005,0.28263895210528567,-0.4124433808667707,0.7891320458156855,-0.5160054490105334,-0.27518228224921665,-0.6958268579573003,-0.6235161202931446,-0.7927230659050546,-0.11140062086210382,-0.3608035926395801,-0.9894299073937838,-0.18705342224618404,-0.1815912423811611,0.6856642704338489,-0.26516856324992444,0.8685582411677778,0.6563346415053752,-0.0960747743268409,0.2293711875775006,0.26749357554625086,0.41459861680277915,0.4755121636956792
ADV,-0.7540043791182913,0.8390518698809845,0.7335910208085109,1.0,0.13208311812552048,-0.8986207889765444,-0.5996988080805731,0.5232028090262246,-0.3823913330158882,-0.13172864976370058,-0.4130735869733161,0.5585207757409513,0.39504977961546456,-0.22059021805234608,0.49814987198221244,0.46222706967323474,-0.1282127240120655,-0.4486322452455784,0.6483744122064354,0.806186419826902,-0.36549315863250376,0.5054714099999408,-0.39051706005514364,0.3453930739099617,0.6972250808932117,0.20407576456497242,-0.5164614851368727,-0.7722166197949245,0.782401493198709,-0.8730177243489884,0.4722861104180925,0.13033310140038623,-0.12802204889439428,-0.7307286014625658,-0.04268737371959618,-0.6353976968515587,0.23547282110352175,-0.881366087250445,-0.7419762361323547,-0.21599301594875872,0.26239906525543955,0.28366207082882494,0.2018537950200947,0.7935459908833803,0.23007659559105756,-0.1748297372973667,-0.37287193714433686,0.523357012936024,0.4131822323519109,0.8484158481719234
PART,-0.5963303652884389,0.4949829269689793,0.09934150717846839,0.13208311812552048,1.0,-0.04056299555950525,-0.7820180587729756,0.33405283810100034,0.7213103971231676,-0.2638431382725776,0.5449424657894403,0.8260054215249668,0.22660845068704846,-0.9689683327329246,-0.7915479909240584,-0.18525089382740687,-0.023752130885889542,-0.16298194690372816,0.6147377392148569,0.5931709366556345,0.13975002508727813,0.33852562043209267,0.1930505880534029,0.7124408250317248,-0.2501728825933421,-0.4160164860844346,-0.6579740244633919,-0.07517659458127578,-0.3042062185996672,-0.26651148465337854,0.14874388405161326,-0.22647131805108023,0.6252385012765379,-0.321298214040353,-0.4923833945164947,-0.6847089798104873,-0.07599346293823427,-0.11551086164471713,0.04084497268103576,-0.4039381985903872,0.81788943450396,0.6181993253710056,0.48589519331891395,-0.281330866492188,-0.49848632678888294,0.6778704959793903,0.4865925159514717,0.4261005782239436,0.8937954535423579,0.5097056923689397
CCONJ,0.6585731894545227,-0.781653887659245,-0.40946985280709775,-0.8986207889765444,-0.04056299555950525,1.0,0.5361596669415214,-0.10549785982619748,0.572425424290325,-0.09734664262454253,0.12899705827382313,-0.4867039110152804,-0.6922990285205727,0.03331853899059179,-0.5398043178933728,-0.7197242290041466,0.5279713158275404,0.5043985204702969,-0.45375907205664834,-0.7242427691233556,0.7088712117829143,-0.09126393774501804,0.1989323981833369,-0.27205399224541854,-0.8556937656961612,0.10605091649923903,0.20568801252828234,0.5178669761103194,-0.849145356683642,0.9681855930995651,-0.3117409080980707,-0.5432924710281232,-0.09168596214588852,0.4167398159526218,-0.32607633705085626,0.3493848666885968,-0.5709842695747308,0.9953325767022492,0.434118736970683,-0.05456955126694007,-0.3824040050075447,-0.01773261551212563,-0.23033743011159874,-0.633698457149985,-0.0709633888146232,0.3843092990589085,0.6838462372488626,-0.6759991629274814,-0.3121640089555423,-0.7498742584775073
NOUN,0.6656416563295691,-0.6695497835876199,-0.49545033703001773,-0.5996988080805731,-0.7820180587729756,0.5361596669415214,1.0,-0.35451799719425103,-0.1659792938117491,-0.09648111677148039,-0.22468315285330506,-0.997219358490399,-0.3259059230010665,0.7461344309129241,0.2986277460575713,0.005958627805623609,0.28991417882419834,0.6721530668080287,-0.5660496426713826,-0.7313205857956815,0.30678101087842363,-0.32690625202596385,0.2878214022159291,-0.9169924777378106,-0.0842071808486019,0.44075700291475695,0.5406969762340718,0.5618219778136145,-0.0748162423864604,0.720679407685651,-0.6095694231010393,0.04477625955811641,-0.6153887134454362,0.40012933254837774,0.4323516685892315,0.8515813155020158,-0.3472297337123724,0.5727091360847223,0.39276482785304145,0.07539562173699348,-0.6829212906326941,-0.7468864926933434,-0.1799716514522969,-0.3053688477037332,0.04542335348625875,-0.1522824288935083,-0.1618891346373549,-0.8283860963597425,-0.9674556981860712,-0.6788001340604339
SCONJ,-0.5517820958036911,0.4869819647506821,0.7930589792386962,0.5232028090262246,0.33405283810100034,-0.10549785982619748,-0.35451799719425103,1.0,0.3620404126801718,-0.6196588269918423,-0.5729679588979514,0.3665808290943444,-0.3377413014049936,-0.5487136182293484,-0.018533305404229882,-0.2719219411324078,0.7308335945247804,0.06256841549465494,0.7151235349035142,0.5281155966248698,0.5824429073100458,0.9977405847180726,-0.33967176554678363,0.2386863582782378,-0.039238264940093984,0.6498448908820474,-0.8734742869926477,-0.6556104194780511,0.14584138889762893,-0.1228210116284796,0.3434747805442796,-0.7211133159321879,-0.4353266800324643,-0.9086300892554096,-0.6916856009850665,-0.7776477209195259,-0.6284890276822163,-0.09143600874196889,-0.7519505016584601,-0.7256444000993596,0.0022106758170774387,0.5679147261118828,0.19353302090077715,0.4573816111831552,0.20408704186817783,0.4947353677930401,0.4770719202239945,-0.14140550330208224,0.3799052848639373,0.565550213531333
VERB,-0.21487578543234015,0.03985058371494607,-0.16548999428620792,-0.3823913330158882,0.7213103971231676,0.572425424290325,-0.1659792938117491,0.3620404126801718,1.0,-0.5827376133135924,0.40313486385607505,0.2380077583942332,-0.20870345899023932,-0.7640399244972967,-0.8935516299048314,-0.4586955658460065,0.4954668529594085,0.45339857534354167,0.40275711666422404,0.1384324820897783,0.7208170303997702,0.3921749184134121,0.4343578716872076,0.17499353811401963,-0.5864202104342114,0.002567553355856121,-0.5720560773796943,0.3063545473982516,-0.6010768092793145,0.4204636725935799,-0.27996033885167493,-0.5493400299403502,0.17990241605409632,-0.21732596435334306,-0.5239713922353058,-0.3047591311173105,-0.6519704160016098,0.5086908191047459,0.2775610131890077,-0.6405616571179785,0.41103815058186194,0.3272756514330458,0.46831527544478735,-0.6298067978167885,-0.5621607470882672,0.9454328511595032,0.7589911387591306,-0.3013471544296998,0.39008334772748604,0.07744526434655212
ADP,0.558993685630365,-0.44750099325475823,-0.05822900643916422,-0.13172864976370058,-0.2638431382725776,-0.09734664262454253,-0.09648111677148039,-0.6196588269918423,-0.5827376133135924,1.0,0.11479751097151127,0.05395011403556203,-0.05437260065616465,0.4386415972290143,0.19649563385348506,-0.1538143958421019,-0.6344731248481862,-0.749034279714216,-0.7356787896531404,-0.45640302811074246,-0.6683445117671643,-0.6709888607693688,-0.49959246352794795,0.3550136564998484,-0.14767520710595844,-0.6286965874958229,0.7538687207726572,-0.12489060722872543,-0.2079135418930205,-0.13317295818600353,0.5165219669170875,0.3160494281151568,0.5119134541286532,0.7136969004199554,0.10476474195122863,0.19911758782971958,0.8060376550784173,-0.0662828659029073,0.03780999195126315,0.9814395928720119,-0.2387283889396559,0.13719299246103528,-0.7616413968125523,0.20746768435564691,0.5082807106540878,-0.8050552855930627,-0.19134835922942525,0.5526345960709438,0.026153506520189357,-0.48087209840576045
