,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9675421769441571,-0.005482586957912486,-0.04203229171283977,0.0992479078403653,-0.3575782475191617,-0.05891689429978242,-0.3225318555915945,0.2653464097577126,0.13788326880801685,0.1384181021626782,-0.2384177571856663,0.01140428582363428,-0.20947211487773051,0.46408876225622964,0.4015554931964563,0.1763612772606744,-0.08672574713333224,-0.32924794524456685,-0.14941364650493527,-0.9685970725574096,0.19663906525162062,0.22875529819626536,0.40913541184914765,0.28132492017406513,0.09653035856087848,0.4354611487191411,-0.2648161224492819,0.1430996421611835,-0.19455835142957825,0.03960368957276339,0.2710282438629984,-0.18970277242669267,-0.47623358925486114,-0.11302849327999506,0.2161756229304073,0.28785820864351963,-0.200197730047464,0.03875058623932499,0.06479159041440069,0.009181656747039555,-0.4415682646232776,0.04553206301723783,-0.28067080992386306,-0.10329994372687545,-0.2893942922810936,0.01945442066699412,0.43760539659721,0.21851879710426425,-0.14020833242172082,-0.4730969588068544,-0.9631282051438421
PUNCT,-0.9675421769441571,1.0,0.02190789852681279,0.07505657275490442,-0.02094447914932968,0.2771968888612811,-0.07982705269991917,0.244153095587149,-0.12909647925645065,-0.1714210174136193,0.05000782661098104,0.2845737687763091,0.013670034814448102,0.19826939381083747,-0.5379668300685889,-0.28001197538331496,-0.08884600384405444,-0.03992610671181695,0.41652071009221653,0.058835120690337465,0.988265228812277,-0.05731226413958483,-0.12637769844398097,-0.44505660854849605,-0.23480943218945993,-0.10674121487819789,-0.5654501033940629,0.3395225934282616,-0.2551212834124473,0.2425872523275667,-0.1805271857052945,-0.17408396816912644,0.2903125172752045,0.6093166952220151,0.08905506883154134,-0.10846588315639617,-0.34140384631615706,0.21098204668002682,-0.10899539353142401,-0.09213110195318908,0.14992968696410677,0.4593108732908568,0.019121863415211084,0.2285446189989133,0.07611183430784398,0.27465785415021327,-0.1379726338667599,-0.3577221896567246,-0.30096342792628106,0.14491173634720259,0.36959794598112167,0.9925860087252709
AUX,-0.005482586957912486,0.02190789852681279,1.0,-0.08964938173457886,-0.5038368246462644,-0.2649145171568471,0.4677783245670203,-0.021350462105245816,0.44680022358152677,-0.34497003924143027,-0.18979053085360215,0.29418590589721316,-0.13301574042180442,-0.2647987894235121,0.17423496538422817,0.09197429761204311,-0.37588058117156925,-0.26328273940642716,0.17155355028376842,-0.7414445825640582,-0.02540493770748416,0.389339622696721,0.49881130106461097,-0.47404419645830376,0.3984834262810566,-0.4814498872431717,-0.040010092121852865,0.26501410449014234,-0.5806101953358558,0.47067627357853786,0.40373511672848544,0.6963853061796085,0.26614771729274095,0.23659667407819393,0.11470304110659743,-0.45888943073024346,0.2733084604391068,-0.39107677144793684,0.30549115324623094,-0.0651070769562577,-0.2217758226041933,0.058841146339741156,0.7926071007947766,0.13122360886725767,0.6092193150559223,-0.14932852764655957,0.19734832225745108,0.11468371497394286,-0.43250445283521904,-0.826445750852728,-0.2748055580300608,-0.018755056382902136
X,-0.04203229171283977,0.07505657275490442,-0.08964938173457886,1.0,0.1756640656955961,0.0661978422487003,-0.2922153146701094,0.25838285021794516,0.37403257858245137,-0.33016449844028034,0.031598619818202354,-0.025464111399423006,-0.3944473622964553,0.36437763791334904,-0.3446174966489651,0.15411620286792713,-0.17367180738950672,-0.2692571496488144,0.324921227279524,-0.137454744352036,0.06438446801829112,0.3330325866436409,0.44205531784028684,0.2878652153730092,0.6645831392900651,0.025083096268437497,-0.09263472519204893,0.012715907374585597,0.13248809071866086,-0.2694998138350039,-0.29523861779656957,0.06703581173577715,0.030975215135850335,0.32136556893134316,-0.1554555974877269,-0.011823832146071751,-0.5037752220919671,0.47942016981166813,-0.2512888554389589,0.05560281012507379,-0.0589803095485197,-0.2982013774213075,-0.002513075038860312,0.04320761762154877,-0.24652694323626534,-0.1600781756146297,-0.14913550512012316,0.13332034475423288,-0.15172075783927272,0.05795197848772654,0.27724085836475615,0.08403419424354716
ADV,0.0992479078403653,-0.02094447914932968,-0.5038368246462644,0.1756640656955961,1.0,-0.4721596560799065,-0.6467212286840496,0.05272230140956103,-0.14688507389915087,0.11631178916619667,0.38389796586278224,-0.4175099355480941,-0.13113180156719575,0.05227941273939514,-0.3933975625110255,0.5183734019364893,0.618832491929766,0.03220270156232747,0.3881679767317042,0.17723100811319284,-0.05410593562427299,-0.32664926287815105,-0.32315776464971985,0.681197654969356,-0.011827585649550549,0.40196173562629656,0.02882340544685684,-0.2660525770831073,0.2272864204502304,-0.04861857581267079,-0.6213402065461981,-0.24542759802409914,0.2474746285337779,0.10388582178895253,-0.18640273670989504,0.2347399987209825,-0.17100543959816303,0.05576507669375137,-0.394538648033267,0.11502235430026767,0.43969172985294247,-0.015341963897979337,-0.3322069841466169,0.059010367354606685,-0.34236563335325587,-0.13929766789757672,-0.3288274406175445,0.3423980304355239,0.059477842966148546,0.7119552451328591,0.032794641266945465,0.005523728940827919
PART,-0.3575782475191617,0.2771968888612811,-0.2649145171568471,0.0661978422487003,-0.4721596560799065,1.0,0.03711552418331783,0.44431145218469603,-0.30104296057434105,0.08578897189112014,-0.15080348871607493,-0.056306973467061566,0.04730255115164194,0.20004599235986717,-0.1109768319478015,-0.4636923441234274,-0.010319861263406005,0.05095281628223174,-0.14884401476053594,0.37640374250169417,0.3048964376487728,-0.09340407333543148,-0.18676963906434185,-0.4351257966726306,-0.15214749932661614,-0.13855157465430867,-0.2699684356395509,0.21391098535670738,0.3600696682628304,-0.3753299002712634,-0.019151244508858474,-0.35110394133298484,-0.42346771119844745,-0.14793114987033684,0.27597411900030244,-0.17647331102371971,-0.14881083580743942,0.1661307849635873,0.05094800121436455,-0.0016276424128232026,-0.11084655801329692,0.10800540486642526,-0.288761776034532,-0.0036951876763244135,-0.009240656464915975,0.08251835945927571,0.13202693257044418,-0.19218313594697092,0.26097719642180445,0.16990666633226872,0.13073623485616107,0.23570620526745822
CCONJ,-0.05891689429978242,-0.07982705269991917,0.4677783245670203,-0.2922153146701094,-0.6467212286840496,0.03711552418331783,1.0,0.053623191152804145,-0.04013396486867607,0.12681561732664845,-0.8363693714863829,0.09383517878163547,0.18876551713313464,-0.3162795496260836,0.381803987053675,-0.40588042708480276,-0.5265044594219213,0.041711569157561704,-0.3729289737106077,-0.15723045914735817,-0.0022475323684519074,-0.06915957606869584,0.1319346361704424,-0.27246508568229116,-0.2276864154031814,-0.15044596525952192,0.2742064136989781,0.04061128498136825,-0.34241604318127816,0.4472841052565786,0.9591700739538062,0.25757092833809403,0.04454528186698922,-0.31518573630518243,0.030424960695457425,-0.38918288476119267,0.34263594022981864,-0.35203468268377314,0.5577935778555012,0.1964099619101687,-0.8556084277127982,0.09509478628710297,0.4629228793650823,-0.16292726833531684,0.0539069954977076,0.27625146964199504,0.3793383570657269,-0.3304808989824442,-0.2225770124961252,-0.510663233673592,-0.031929570187469176,-0.06925803319107682
NOUN,-0.3225318555915945,0.244153095587149,-0.021350462105245816,0.25838285021794516,0.05272230140956103,0.44431145218469603,0.053623191152804145,1.0,-0.36458697005869517,-0.17219294249846293,-0.20751087791675377,-0.1322288398449583,-0.6226868821666988,0.07249720944768767,-0.26225742969327226,0.18391928659768308,0.23018797130856403,-0.09015971417095735,0.3108674931460046,0.2285583846982628,0.2223861018908014,-0.30797541013877944,-0.2214883566601534,-0.1306763961139694,0.09981807872222337,-0.11310427718263656,-0.05157685090461619,0.018160283613037984,0.34470500232339096,-0.1610040070916087,-0.06997058361367584,-0.2559626853791769,-0.06595879394360775,-0.001579624467585554,-0.06474662817608812,-0.3327871262423826,0.046166367378980444,-0.12230777262869655,0.28853744520973695,0.5641851190406235,-0.16642610786262066,-0.07469600115219158,-0.015459605342860606,0.3500512477507998,-0.027834622192148675,-0.41502355460457585,0.08543816398696256,0.4324203552511887,-0.21744817700921623,0.16452208791205322,0.12317158632618952,0.16890652375611181
SCONJ,0.2653464097577126,-0.12909647925645065,0.44680022358152677,0.37403257858245137,-0.14688507389915087,-0.30104296057434105,-0.04013396486867607,-0.36458697005869517,1.0,-0.1500193083420518,0.22610696455146528,0.04080999432868129,0.1993571592391408,-0.4414817284398595,0.21605948784403725,0.2645972600151438,-0.23671769889750255,-0.75955705819247,0.3891678783544664,-0.5890981967734675,-0.17080113570132946,0.8269407472658347,0.9285627751148308,-0.22393299370318528,0.39532931183759845,-0.5522209115692646,0.027503695566783063,0.5545522443366985,-0.6944255127148139,0.20377675799181327,-0.11781285577113607,0.6169858436406477,0.35087924838289536,0.5189243401051536,0.10823738482260216,0.1826380910243554,0.03175108370913174,-0.24832408335549877,-0.30490107074992673,-0.08619642507479627,0.11209076442182879,-0.2882010981663187,0.5942523435308898,-0.3484338960472635,0.03071600502798533,-0.20868144490764878,-0.29202630351748804,0.05668049928631796,-0.18651930729328756,-0.41798457078143064,-0.24658265074790753,-0.12169974435273107
VERB,0.13788326880801685,-0.1714210174136193,-0.34497003924143027,-0.33016449844028034,0.11631178916619667,0.08578897189112014,0.12681561732664845,-0.17219294249846293,-0.1500193083420518,1.0,-0.2263803030834684,-0.5441597353592172,0.48952426596217563,-0.23731088318256505,-0.10018081126287622,-0.24133754239335403,0.1545774753990369,0.22566498033126237,0.041175042179499424,0.06326796874606941,-0.08591081144857954,-0.3054483947154104,-0.20950891851956968,0.1462485336195777,-0.5236025238195501,-0.05352712758312299,0.06864676256407701,-0.140757206011094,-0.08592179948581469,-0.014727482710842794,0.1627550693659043,0.08587790050562254,0.04070400135680284,-0.16705208046699424,0.4822872780304037,0.28377527284342347,-0.018420660988369652,-0.3424345427562319,0.2571954987503899,0.3123975182281695,-0.2364075111086402,-0.03796851660139825,0.015535743722670997,-0.014872980329377604,-0.453537841411232,0.1923143071648058,0.17725414547060603,-0.05498129200112627,0.07881536975481863,0.3655614854739115,-0.13282046934012565,-0.1392597162135694
