,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.8978563124298437,0.2791454443189288,0.40650071258958964,-0.5835459126238967,0.27554804444224257,0.4361370675943904,-0.6225432636817534,-0.446753132385355,0.3964015943119738,-0.2618207010315356,-0.1589766872637264,0.24959349395920502,0.6574953580497903,0.2716287542287797,0.006031598878590622,-0.7362217903321183,-0.5141610334992192,-0.9937634522151629,-0.07493220058217195,-0.3718608178848952,0.005519264460658027,-0.7605281963232076,-0.3875492214338037,0.44997258069726337,0.6342135332123819,0.3325426286001272,0.17399977326774324,0.46001724943295813,-0.40432043737798257,0.1263701071349984,-0.16338410884723717,0.6784055191191419,0.039820616472880065,0.3927228996409535,-0.7072473876610844,0.10338048811950233,-0.5565194181726736,0.6839056263515695,-0.8120943082071445,-0.0902111369462102,0.1821107197907275,-0.5627173111317585,-0.3134908749400055,0.34648026182724095,-0.5833808522933196,0.6845976046154643,-0.9009640249107301
PUNCT,-0.8978563124298437,1.0,-0.26324696618631044,-0.6373315826515787,0.6963550185263084,-0.4714524350293953,-0.21326445776286942,0.4335443609431827,0.15441774130418381,-0.036992958633517245,0.09836762497895113,-0.12670889794189902,0.11448167812542828,-0.34201548929813663,-0.6080231729481218,-0.34543179980423827,0.5973908536388154,0.5226101000538015,0.9269306553026896,0.17404661259382068,0.2175556563084089,0.10538816783961544,0.7445205364563013,0.14536338240412075,-0.11594061280063568,-0.2983716840446024,-0.45859013667517884,-0.5483578160283061,-0.5275468823652187,0.39549776481383586,-0.378939944319841,0.33466505984370865,-0.37418718200211637,-0.15085312697952286,-0.6639426281184038,0.5213076293879026,0.23445791247428946,0.48829799438819926,-0.7644630115291448,0.9124202625627241,-0.011772310785035623,0.05897663570812082,0.3117472816886993,0.060497601460682816,-0.35054690957990053,0.7976325988105955,-0.3355835205193563,0.800428416104369
AUX,0.2791454443189288,-0.26324696618631044,1.0,0.31435566426815725,0.17394125591642484,0.2917096561572209,0.035528090720982175,-0.3127288441749835,0.17245338054054643,-0.23272598609459622,-0.8126883981715858,0.4120301094302196,0.5043744981094825,-0.177196065366216,-0.23729835696969936,0.39283927647516587,-0.21285495370241989,-0.47106803453001633,-0.2792637108442579,-0.011479304357170423,-0.31786806994916256,-0.434947909216574,-0.11566792786264035,0.06473909426947975,-0.3990807995220861,0.016436225662787057,0.4307237692121388,-0.2903356339807349,0.9191145828963652,0.5214943015411371,0.507035543590641,0.7499334886058021,0.03479656492999322,0.5962756278315698,-0.0007992714382672636,-0.5840191609580024,-0.3744542768957988,0.04908724089305194,0.7133243780060897,0.13646860438465813,0.5294641545161304,0.4528445085821278,-0.18512663621373768,-0.11937227602167125,0.15482288934288968,0.026591680500984805,0.039477358702038196,-0.46141211637417084
ADV,0.40650071258958964,-0.6373315826515787,0.31435566426815725,1.0,-0.7125777357577446,0.4195599867746064,-0.4109980258816753,-0.19992707695222328,0.40083018908789586,-0.15907349340964577,0.1600559742211372,0.3010856005151275,-0.30819770260508644,-0.23457085622012688,0.3609294003225638,0.6151863627809553,-0.24490219023728235,-0.08469870141350652,-0.40995197369019304,-0.14796121333565312,0.063357968535114,0.23095062223176815,-0.7235710402260863,0.009260427407249557,-0.16226972215088037,-0.20247884464689495,0.32192241772858765,0.566196226466805,0.4487616631086414,-0.4215480305752141,0.3007261340955388,-0.309468684940631,0.025744786037105682,0.10284738494258185,0.29046063581592874,0.1095485116870593,-0.4094886982319585,-0.3822389727654756,0.7048847127783905,-0.577206601145845,-0.28696993055147685,-0.5440326671945303,0.2843669616574341,0.33381065386997066,0.37249330215998017,-0.49961845770627283,0.06092388807523325,-0.3461012662807191
PART,-0.5835459126238967,0.6963550185263084,0.17394125591642484,-0.7125777357577446,1.0,-0.5589953845381711,0.30753401235691535,0.3681759922437048,-0.19569833116696392,-0.07664216994632798,-0.3522815221523164,-0.019954217870291613,0.45541358139011356,-0.1873545442444629,-0.40214290868574404,-0.1067111493270126,0.3196590454081754,0.09819847765507239,0.562931012739611,0.37105042144835915,0.040518207763760895,-0.2318874761218073,0.7033572086171557,0.03663145558704953,-0.38197350470630925,-0.14780289385441617,-0.44409987242224386,-0.6442724187599947,-0.031172251584612082,0.624251710379374,-0.12154470228521896,0.6284793215234912,-0.2477832212064368,0.48423761859923364,-0.4958074644861455,-0.025517896914808855,0.22425377132979493,0.43679642689055753,-0.5377421487294146,0.8445067273371399,0.6088771339400821,0.4309638838062471,-0.19031662508799302,-0.335901393697366,-0.3055140991685089,0.7685886537830056,-0.385527880236297,0.30389194535467157
CCONJ,0.27554804444224257,-0.4714524350293953,0.2917096561572209,0.4195599867746064,-0.5589953845381711,1.0,-0.46334831045886743,-0.24616699939379277,0.6239562727922362,-0.6149301360027838,-0.2211504291286878,0.5898108798950068,-0.43588111557931586,-0.25524841452655994,0.31211682063658436,0.2648239408067781,0.008533946497308906,-0.45316033210794543,-0.2848397532182537,-0.6274411652512862,-0.17512568038117016,-0.6235439611738953,-0.04439099058775289,0.5269906165272706,-0.20141407435571793,-0.16602164583612453,0.9697058668341807,0.505781694648417,0.4319165938916376,0.2793737375797825,0.7364914280107081,0.012515092788758944,-0.2612165609819748,-0.21123748148862417,0.760338485043185,-0.26884211371394817,-0.8385906444360341,0.13697067098500937,0.6905668472686171,-0.3858272690402415,0.10552834101757978,0.12354426501322394,0.33667282766476997,0.5251378102530703,0.06051457319337673,-0.7736198959894582,-0.11179858038780381,-0.08983387767737457
NOUN,0.4361370675943904,-0.21326445776286942,0.035528090720982175,-0.4109980258816753,0.30753401235691535,-0.46334831045886743,1.0,-0.4105830913144477,-0.7882245282228594,0.49137687331593294,-0.3812507406930468,-0.21771985588020762,0.46606864361294364,0.5526487187468934,0.04722274090106946,-0.4110146489387615,-0.21036137175564232,-0.037807136265382055,-0.45594167873131464,0.08311628968704601,-0.5295776340528286,-0.030945925412337403,-0.20751138348710876,-0.25856223099531245,0.2933985587960424,0.7371845026989486,-0.30434244722167686,-0.27278847569216114,-0.0024863092284368744,-0.05554440839358666,-0.08693557092875849,0.033751230016399854,0.3732821534248444,0.23897688259837954,-0.0906125536440136,-0.5298512039179221,0.5380787333403292,0.008539985830414298,-0.0757064431792055,-0.12414256180079498,0.33872236654013693,0.5393357975876443,-0.9682826241676503,-0.9224789143920241,0.3536893339041177,0.19645695200905833,0.3847534112645335,-0.6470772420532616
SCONJ,-0.6225432636817534,0.4335443609431827,-0.3127288441749835,-0.19992707695222328,0.3681759922437048,-0.24616699939379277,-0.4105830913144477,1.0,0.09522998266596452,-0.3205999286848977,0.5473825973418195,-0.19473056594614382,-0.2374003043379948,-0.27148873641650006,0.20620557668050002,0.48435693736675134,0.05138964462146927,-0.09086899107450055,0.5746720789717003,0.6078046457872671,0.9050510351317175,0.05783735534193572,0.5853251343297347,-0.12154378055348311,-0.4709645644239727,-0.8188111938628904,-0.3968909183876891,0.08078344032629545,-0.18200947914764126,0.048727743926181386,-0.28375154881821013,-0.04218602836353045,-0.2597209019798496,0.33603169003104566,-0.020379493871537886,0.45700629292167877,-0.054212903077819244,-0.141466587712991,-0.5857413446667455,0.3240703793187586,0.13470018382661736,-0.5029822445578856,0.6093758779036229,0.5685123149186811,-0.7920249672385365,0.12646614484782653,-0.6951737840166423,0.6950712627166812
VERB,-0.446753132385355,0.15441774130418381,0.17245338054054643,0.40083018908789586,-0.19569833116696392,0.6239562727922362,-0.7882245282228594,0.09522998266596452,1.0,-0.7898787515064039,0.023626455790051445,0.7527202465157181,-0.5997823956737132,-0.8656428158360202,0.06492513874864943,0.35132357157078903,0.6043952981730252,0.19339622535037687,0.4418121364250026,-0.5543406435171128,0.03221984828402329,-0.32721759156546315,0.2193339293076532,0.7649158654280684,-0.558433345517374,-0.6139911206044457,0.5470006611280687,0.40231324218341435,0.1122496979606509,0.380952315584405,0.5894327627744611,0.04755227363896918,-0.7682220944102304,-0.17057361494100765,0.2478608981670674,0.4413487676671269,-0.8286772489187902,0.5034814560866209,0.27030748313751063,0.19821835558550666,0.025526116929638222,-0.21294591850298034,0.7207307902952012,0.6290561837360348,0.09986518973937256,-0.1835538642176765,-0.5524599201827176,0.45840319030743476
ADP,0.3964015943119738,-0.036992958633517245,-0.23272598609459622,-0.15907349340964577,-0.07664216994632798,-0.6149301360027838,0.49137687331593294,-0.3205999286848977,-0.7898787515064039,1.0,0.10508983237439941,-0.831230799608052,0.5893470702360272,0.805228197441178,-0.40648967244429307,-0.5451182081037428,-0.5046893418488339,0.15832885057108104,-0.3318858774228113,0.40585476758793027,-0.10369317910900121,0.7063053429619836,-0.457257504227793,-0.7973046517487374,0.8448791266672634,0.6982886163471979,-0.5612801267186665,-0.4858882750046081,-0.29088539929939966,-0.6006846929059639,-0.7857313902371453,-0.1290525564997635,0.8368856999130393,-0.23238138154446833,-0.5610576775047595,-0.15474439622416336,0.9265602097988352,-0.5395816649863323,-0.20878391520626483,-0.16750685072516158,-0.5468147035748775,0.010106160970185981,-0.5162601506393686,-0.526428435102333,0.10680780350279842,0.3155417544969989,0.8348007968348127,-0.3439735609749858
PROPN,-0.2618207010315356,0.09836762497895113,-0.8126883981715858,0.1600559742211372,-0.3522815221523164,-0.2211504291286878,-0.3812507406930468,0.5473825973418195,0.023626455790051445,0.10508983237439941,1.0,-0.3768707717102582,-0.5866812559205403,-0.008451859652025976,0.3804836449784536,0.13360717068738656,0.018721257087239943,0.3477456874445127,0.2513383190526749,0.25585365609916877,0.6784295983531364,0.6147071901342996,-0.08180877501119886,-0.2069389407189614,0.14742442931433283,-0.39448188775494075,-0.44397646761311194,0.47890803275493954,-0.6415958499866078,-0.698092831548878,-0.5007257725288069,-0.7916688260323184,-0.02444376923806381,-0.32586693698010377,0.03041099061691186,0.7375209456012598,0.1976879830539829,-0.3639289648842734,-0.5066823005587686,-0.2616958881787123,-0.6140562582027586,-0.8801700249971122,0.5173446562915204,0.4577227660804918,-0.26332184460348845,-0.15231846040926844,-0.19190077469346892,0.4771887512206029
PRON,-0.1589766872637264,-0.12670889794189902,0.4120301094302196,0.3010856005151275,-0.019954217870291613,0.5898108798950068,-0.21771985588020762,-0.19473056594614382,0.7527202465157181,-0.831230799608052,-0.3768707717102582,1.0,-0.4742445286774689,-0.78679185693006,0.3033121548912086,0.3326476413188421,0.598986660193664,0.0653163263724583,0.11235793888602892,-0.7067076799621325,-0.40525571890670736,-0.6418623478059865,0.10712802464075055,0.9010782457243356,-0.6995201897619376,-0.29857435785705533,0.6203459790542625,0.4455310464599058,0.3533349413888007,0.554624938917917,0.9321729011589832,0.127564208265797,-0.8007375561244302,0.15426781673157827,0.45054144896295933,0.040137918096788065,-0.855713696765986,0.6938754929670196,0.46055033187101013,0.07982175224993676,0.5136876521011138,0.1914679185329686,0.15166268661575838,0.11295627784670463,0.44185384438831876,-0.2293035611816516,-0.5492735746752873,-0.029073373427436863
NUM,0.24959349395920502,0.11448167812542828,0.5043744981094825,-0.30819770260508644,0.45541358139011356,-0.43588111557931586,0.46606864361294364,-0.2374003043379948,-0.5997823956737132,0.5893470702360272,-0.5866812559205403,-0.4742445286774689,1.0,0.5244504824520174,-0.6774911812098909,-0.2540544189804442,-0.47843538684307874,-0.27955485615240405,-0.20195495560935553,0.4977620748385128,-0.18830128846513733,0.09424753449913373,-0.026176688944978137,-0.6087402271638734,0.3059101005901706,0.4740430117670082,-0.26302220303615426,-0.8822915724956559,0.35295282989691246,0.17934883680088543,-0.37375779113745466,0.6997420969945783,0.6384202386125122,0.33781407855887263,-0.5847587835711088,-0.5840166891132654,0.5582526150311409,-0.25979412815889086,0.0508262613365981,0.3112276913289975,0.15261049746547947,0.5300663817575699,-0.5300430810688579,-0.5087135602339773,-0.12400865921171399,0.5099767962389175,0.5413689632875077,-0.3624383359709465
ADJ,0.6574953580497903,-0.34201548929813663,-0.177196065366216,-0.23457085622012688,-0.1873545442444629,-0.25524841452655994,0.5526487187468934,-0.27148873641650006,-0.8656428158360202,0.805228197441178,-0.008451859652025976,-0.78679185693006,0.5244504824520174,1.0,-0.10457645922214685,-0.425785072391524,-0.7661750579540305,-0.3651690493779727,-0.622870421463215,0.36723228869011965,-0.0592535721313761,0.2847624635020585,-0.34393373117057024,-0.7732625837292861,0.8004875882093501,0.6959725655174055,-0.20290026612423673,-0.3093840349895059,-0.05937247472889968,-0.46325912973236594,-0.5443005332066865,-0.10418314999942736,0.9231320305590209,-0.14890903377805595,-0.059457755341960794,-0.5512158458586384,0.6915104250791596,-0.6489725375823249,-0.024600321605658428,-0.4351357863395577,-0.28795435750081794,0.2060222974733237,-0.5634327576356591,-0.378226214654917,-0.13740185114245124,-0.1351233646104342,0.7876367873478065,-0.4823612156821715
