,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.5630509902806288,-0.18002297566513117,-0.7235397154112264,0.20047970242253305,0.17738525074451567,0.0925720637076656,0.06613982895434141,-0.45607291537067174,0.9195303775262701,0.14340531768277204,0.03084406636443769,-0.08178968983874199,0.12214914920606412,-0.2986015790783289,0.09446471183809844,-0.27810178623488324,-0.21242590788944765,0.24526926761529202,-0.9880989916149487,0.26945872173172053,0.5280767481608731,0.53734599519321,0.6454664728956769,-0.28141065273663574,0.27097244006203514,-0.3120508968611475,-0.16193268565575475,0.3724796742242844,-0.20119223199817837,-0.1720161016205802,-0.8026497244275339,0.18273741960165996,-0.9818437797930345,0.05217635553009073,0.06348588487945951,-0.8032532434323838,0.5953489507261134,0.8118331269224475,-0.5796106223218155,-0.13550657988449788,-0.3279705817631635,0.27356658539718004,0.795538652341838,-0.30487782663780283,0.8941323707538272,-0.5589066883763134,0.3251971419916578,-0.7252348881719298
PUNCT,-0.5630509902806288,1.0,0.9096686425758911,-0.053859089837995214,-0.12186232884180935,-0.26876820563078124,0.36316390053172154,-0.395565101368603,-0.20041481805332653,-0.3041978901160966,-0.7966537404777897,-0.36150092278584217,0.2462981489585289,-0.34458676446347813,0.3004326915287782,-0.4993899491570096,-0.17484274928710877,-0.5777937569813372,-0.04684967203141059,0.6582026854227939,-0.20685759187075803,-0.5412840352579148,-0.00795694076433269,-0.2735091187657775,-0.34750973095940746,0.21514558705765985,0.6502048043702366,0.2038146423223326,-0.3507596867407209,0.31432202876745086,0.6118186023179193,0.36394601587745185,0.06429164330949137,0.6946659369220418,-0.6371886745594065,0.19146964963767987,0.41898221422248966,-0.04380891631184667,-0.4030992958365414,0.35467482171114906,0.6634536278542755,0.9417870455250139,-0.16872284789726422,-0.4715347558538568,0.772345949088653,-0.6008347019465533,-0.26475181178011153,0.2988607699165657,0.9138153447406698
AUX,-0.18002297566513117,0.9096686425758911,1.0,-0.4393005887631684,-0.14243987511879885,-0.2467973255897349,0.4740981325629533,-0.36890016821525573,-0.5051978410092399,0.0935893728776588,-0.9177274187301964,-0.3379709229789005,0.3412697005368765,-0.2890873466461844,0.17873291428503416,-0.4733756579038096,-0.2727787358501763,-0.7692407588260869,-0.005740970737230848,0.2951234726985846,-0.09313559880184027,-0.3493876320733272,0.17686892033335166,0.005490600294631843,-0.5536453477890283,0.40777873285757865,0.6913905246807719,0.14738306806426635,-0.2777914591583654,0.2312671872314756,0.6469904309274626,-0.008370292171096607,0.1306291706377518,0.3472486206574467,-0.692422861047768,0.32813818218487856,0.0751132952021378,0.27784489312507304,-0.0801870335156016,0.06875999690208792,0.6598866713766298,0.9730403230995779,-0.03856109344506948,-0.11089593022235124,0.7333803288086191,-0.31826366448404253,-0.627681760318204,0.514076184023602,0.752916430872048
ADV,-0.7235397154112264,-0.053859089837995214,-0.4393005887631684,1.0,0.14053179392191514,0.13575668510674044,-0.5929885761653177,0.16700808913079251,0.9196877724902456,-0.9200237374294751,0.5047295894454729,0.012234786649931682,-0.1423516585052323,0.05971755376428865,0.48368440720719413,0.22892843879652475,0.301013543626054,0.442144449690451,-0.27045828008811834,0.6362464783197137,-0.32760031301722947,-0.04756529678521279,-0.48613784855682096,-0.667104481418027,0.8056831322936945,-0.7185253279708989,-0.2305496247322936,0.38436342103131893,0.006810097234192558,-0.07574231915480419,0.01864738403376526,0.833757684705686,0.0735387435256388,0.5984236185092757,0.2821904958289605,-0.1232701134868252,0.737559844831057,-0.9045431597983197,-0.5895612407614016,0.4332143598627806,-0.29376314714346,-0.3288194710612474,-0.4205026959492806,-0.6610144898207114,-0.2754941511270917,-0.5011593836947049,0.946284431577442,-0.46727440368954887,0.08538069165478754
PART,0.20047970242253305,-0.12186232884180935,-0.14243987511879885,0.14053179392191514,1.0,0.48917740664781606,-0.013718101575286018,-0.6382795963602674,0.418860956990085,0.051897979041698475,0.3910405833609498,-0.818967188728557,-0.6524206904115233,-0.6250008047346185,0.330074068221312,-0.5536297497782098,-0.7971243067753981,-0.3310418459457074,0.41752932868052206,-0.20090800543151807,0.033635981881342675,-0.02098023336629527,0.7748769198373225,-0.2591039643799178,0.16550168017048292,-0.4157875702736737,-0.7724215245000772,0.3778061858399635,0.7276331350990872,0.031496533655797215,0.07751414157892521,0.3898720411807241,0.6406079569375275,-0.20894744101850463,-0.46688822705278793,-0.4420809431216302,0.2788573827332936,-0.4224794773993528,0.32630922174856514,0.5040954026004395,0.44488173107082546,-0.2832928335520312,-0.08671323471403046,-0.3943205297623672,0.04591059810593514,0.5841573316558728,0.2974279154266091,-0.08730567116174655,-0.34559476977867126
CCONJ,0.17738525074451567,-0.26876820563078124,-0.2467973255897349,0.13575668510674044,0.48917740664781606,1.0,0.05795416389963837,-0.3340239055012984,0.23420109399434405,-0.036777898720766866,0.11588962764976388,-0.5362707480720883,0.1625101296342838,-0.5127301692218167,0.03536187749052635,0.031253499037043206,-0.5335540508129969,-0.1960933941875128,-0.4634994105138585,-0.27574179537863425,0.6688997823188433,0.4060547500697521,0.23447476262789393,-0.633357065782661,0.36668480905454764,-0.7329650519993698,-0.489052335650201,0.5459289123621008,0.931298442480018,-0.8074775517705963,0.1377972348089788,0.25263903213131683,0.7702729331842052,-0.16152912204094252,-0.4150143921726531,0.15742313466626887,0.4018174751741132,-0.42795994496501655,0.6713908578461703,0.15559519272039232,-0.0894463186146968,-0.4163484530345241,0.5186271456678906,-0.05251651987495056,-0.5349750375257587,0.36706985427872124,0.13982761527497753,-0.5694739652051801,-0.18498389193415318
NOUN,0.0925720637076656,0.36316390053172154,0.4740981325629533,-0.5929885761653177,-0.013718101575286018,0.05795416389963837,1.0,-0.7078303825617805,-0.7348059353786249,0.4048410556633951,-0.5711032947804545,-0.3804973588462212,-0.057280864116077565,-0.6678665341279375,-0.6837107712141068,-0.6728726173150478,-0.5411601988716658,-0.21277084085270087,0.2781265209053352,-0.023962203151624197,0.6507231012254926,-0.6076766759710626,0.4526253150053568,0.04209860029410705,-0.8588491886040549,0.5259775023924665,0.0826060747029849,-0.4873212332778793,0.110181175396713,0.19014690009891994,-0.23886297525490358,-0.20679143701830754,-0.1661098274709711,0.04957577609821158,-0.6012921382623744,-0.3253919280445319,-0.026820322952542188,0.5358714132911186,0.27960256130767497,0.36855012165202483,0.6809291839230301,0.397681013164958,0.7341621212745754,-0.0819096192311309,0.5803076479529716,0.11995001914787108,-0.5403969426986716,-0.19844002852274722,0.4138573689841827
SCONJ,0.06613982895434141,-0.395565101368603,-0.36890016821525573,0.16700808913079251,-0.6382795963602674,-0.3340239055012984,-0.7078303825617805,1.0,0.1427631655094354,-0.08933579952598157,0.24616380758070394,0.8921055147614373,0.44088780243942316,0.972942924660442,0.1464447213800191,0.9266627132385988,0.9021692895070699,0.4059497014714548,-0.4139680774531509,-0.11981498067301072,-0.4093497906216165,0.5983966155554221,-0.7431369172340216,0.33097586070321733,0.45417520334734623,-0.028326976994287687,0.3472712111806155,0.0049498118101315965,-0.4834961337652425,-0.21278233276593506,-1.1878793918586142e-05,-0.3415157213015831,-0.31681464510926144,-0.17092578994742028,0.8355716328074436,0.517430871232268,-0.39947899354161603,0.05980506976000584,-0.2200111261761631,-0.7691288850225717,-0.8835953441345092,-0.24882734731715075,-0.38388622108534654,0.5508336983008552,-0.575120711984575,-0.24012236631649617,0.08102763550795197,0.24281700499401454,-0.3010297555265175
VERB,-0.45607291537067174,-0.20041481805332653,-0.5051978410092399,0.9196877724902456,0.418860956990085,0.23420109399434405,-0.7348059353786249,0.1427631655094354,1.0,-0.7407124798461454,0.6584506586636728,-0.12689573733791829,-0.28553840773992845,0.05972752536780011,0.6537553102398693,0.20261597320062938,0.12787495757043021,0.26909956143703345,-0.14437659088271423,0.37312840708545886,-0.41945083848229986,0.16277673727894096,-0.232626799201189,-0.5515375556883901,0.8838539801545199,-0.7962979904350678,-0.4342100525949384,0.5402118239582553,0.20482815416314284,-0.10865951389679555,0.11104921605619379,0.7577049814546741,0.30892472676184624,0.32120777818175034,0.2422610084605757,-0.11900941892763127,0.5990123813637395,-0.9256228069161448,-0.38445222350128855,0.3338659899316264,-0.28512034578301115,-0.45043720231855633,-0.5487206445313229,-0.5462568988992045,-0.3685871116857786,-0.19100122779722714,0.9169388290358741,-0.2865650171698233,-0.19150945424372823
ADP,0.9195303775262701,-0.3041978901160966,0.0935893728776588,-0.9200237374294751,0.051897979041698475,-0.036777898720766866,0.4048410556633951,-0.08933579952598157,-0.7407124798461454,1.0,-0.13362543661647724,0.018984633187662085,-0.07895050469724114,0.014394553810906362,-0.48597604922722865,-0.13134979233090016,-0.31644240461965223,-0.27305931608611,0.38689587795923164,-0.8611658258160497,0.31149656068529463,0.21986414352980302,0.5853820445841377,0.7499949718699028,-0.6324799019569742,0.59099482287922,-0.1035598744868301,-0.3990473398146669,0.16612138649076136,0.03332362357075425,-0.21275556051035432,-0.8795390842858986,-0.03079835588613768,-0.8510722683403122,-0.08551582787979167,-0.026620805656714135,-0.8458235838723459,0.833807136262871,0.7070489869755167,-0.4799481391390631,0.12307775162358012,-0.03439861258026979,0.37582449846893823,0.7420337092678618,0.03510038210402507,0.7696046264773977,-0.768636786087508,0.39726375928698054,-0.4631083037024128
