,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,acl:relcl,advmod,orphan,punct
len,1.0,-1.0,-0.9999999999999998,-1.0,-1.0,1.0000000000000002,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0000000000000002,-1.0,-1.0,-0.9999999999999998,1.0,1.0,1.0,-0.9999999999999999,1.0000000000000002,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
PUNCT,-1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,-1.0,-1.0,0.9999999999999998,1.0,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,1.0,0.9999999999999998,-1.0,-1.0000000000000002,-1.0,1.0,0.9999999999999999,0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-0.9999999999999998,0.9999999999999999,-1.0,1.0000000000000002,-1.0000000000000002,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,1.0,-1.0,1.0000000000000002,0.9999999999999999,1.0
AUX,-0.9999999999999998,1.0000000000000002,1.0,0.9999999999999998,1.0000000000000002,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,-1.0,1.0,0.9999999999999999,1.0,-0.9999999999999999,-0.9999999999999999,-1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0,-0.9999999999999999,-1.0,0.9999999999999998,-1.0000000000000002,1.0,-0.9999999999999999,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0,-1.0000000000000002,1.0,0.9999999999999998,1.0
X,-1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.9999999999999999,1.0000000000000002,1.0,-0.9999999999999998,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0,1.0,-1.0000000000000002,0.9999999999999999,-1.0,1.0,1.0,1.0,1.0,-0.9999999999999998,-1.0,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,1.0,-1.0,1.0,1.0,0.9999999999999999
ADV,-1.0,1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-0.9999999999999999,-1.0000000000000002,-1.0,0.9999999999999999,1.0000000000000002,1.0,-0.9999999999999999,-0.9999999999999999,-1.0,1.0000000000000002,0.9999999999999998,1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,-1.0000000000000002,1.0,-0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,-1.0,-1.0,-1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0000000000000002,-1.0,1.0,1.0,0.9999999999999998
PART,1.0000000000000002,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.9999999999999998,-1.0000000000000002,-1.0000000000000002,-1.0,1.0,1.0000000000000002,1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,-1.0000000000000002,1.0000000000000002,-1.0,1.0000000000000002,-1.0000000000000002,-1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,-0.9999999999999999,1.0000000000000002,1.0000000000000002,0.9999999999999999,-1.0,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0
CCONJ,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0000000000000002,-1.0,-0.9999999999999998,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.9999999999999999,1.0,1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,1.0,-1.0,-1.0,-1.0
NOUN,-1.0,0.9999999999999998,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-0.9999999999999999,-1.0,-1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0000000000000002,-1.0000000000000002,-1.0,-0.9999999999999999,1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999998,-1.0,-1.0000000000000002,-1.0,0.9999999999999999,-1.0,-1.0,-1.0000000000000002,1.0,-1.0,1.0,1.0,1.0000000000000002
SCONJ,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0,-1.0,1.0000000000000002,1.0,1.0
VERB,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,-1.0000000000000002,1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0,-1.0000000000000002,-1.0,0.9999999999999998,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0
ADP,1.0,-1.0000000000000002,-1.0,-1.0,-0.9999999999999999,1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,-1.0,1.0000000000000002,-1.0,1.0,-1.0000000000000002,-1.0,-1.0,-1.0000000000000002,1.0,1.0,1.0,-0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.0,1.0,-1.0,-1.0,-1.0
PROPN,1.0,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0000000000000002,-1.0,-1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,-0.9999999999999998,1.0,0.9999999999999999,1.0,-1.0000000000000002,1.0000000000000002,-1.0,-1.0,-0.9999999999999998
PRON,1.0,-1.0000000000000002,-1.0,-0.9999999999999999,-1.0,0.9999999999999998,1.0,-1.0,-1.0,-1.0000000000000002,0.9999999999999999,1.0,1.0,-0.9999999999999998,-1.0000000000000002,-1.0,1.0,1.0,1.0000000000000002,-1.0000000000000002,-0.9999999999999999,-1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,-0.9999999999999999,1.0000000000000002,-1.0,1.0,-1.0,-1.0000000000000002,-1.0000000000000002,-0.9999999999999999,0.9999999999999999,1.0,1.0,-0.9999999999999998,1.0,1.0,1.0,-0.9999999999999999,1.0,-1.0,-0.9999999999999999,-1.0
NUM,-1.0,1.0,1.0,1.0,0.9999999999999999,-1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,-1.0,-0.9999999999999998,1.0,1.0000000000000002,0.9999999999999999,-1.0,-0.9999999999999999,-1.0,1.0,0.9999999999999999,1.0,-0.9999999999999999,-1.0000000000000002,-0.9999999999999999,-1.0,-0.9999999999999998,1.0,-1.0000000000000002,1.0000000000000002,-0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,-0.9999999999999999,-0.9999999999999999,-1.0,0.9999999999999998,-0.9999999999999999,-0.9999999999999998,-1.0,0.9999999999999999,-0.9999999999999998,1.0,1.0,1.0
ADJ,-1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0,-1.0,-1.0000000000000002,-1.0000000000000002,1.0,1.0000000000000002,1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0000000000000002,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0000000000000002,1.0,1.0,0.9999999999999998
advmod:emph,-1.0,0.9999999999999998,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.9999999999999999,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.9999999999999999,1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-0.9999999999999998,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.9999999999999998
obl:arg,1.0,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,1.0,1.0,-0.9999999999999999,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.9999999999999999,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
