,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9690991628015785,0.4905606990758649,-0.36129074342905454,0.2969891393433278,-0.23628544131377263,-0.23303607748630856,0.020923688838937117,0.4051857814010109,0.27104878239595087,-0.1516561940740907,0.3344190399997857,0.2547498611429388,-0.5278339454375881,0.008429713754959241,0.1807766927695191,0.21888015009704814,-0.5014487667868808,0.3057193714306182,-0.03979808440641871,-0.9624870966208052,0.5401389612424591,0.2647222063423204,-0.03301070514251826,0.5324320941343489,0.05488773108015628,0.6884840280910847,0.16138351210053348,-0.40021598695267463,-0.10140956243893383,-0.2013616253778504,0.5031274785179165,-0.38217840870721176,0.4473120770480556,0.18135401950417404,0.027562487536030328,-0.10557887003941041,0.11902963153631602,-0.2815430824497651,0.3343828588988738,0.1059508022655196,-0.2010642618352492,0.2274440425814009,-0.05578457026033308,0.5928058237974733,0.1678975872052191,0.04945380389292841,-0.003788932622189359,0.10362082411703753,-0.31200324898258647,-0.4049689295415584,-0.9615977657848187
PUNCT,-0.9690991628015785,1.0,-0.48654789852879726,0.374600667380701,-0.24181263962264415,0.27793493454074575,0.28228699759148446,-0.07489320377465052,-0.4662924002029863,-0.11721893610053583,0.2828258678878057,-0.40491544979488614,-0.2800826709277603,0.5213453849366771,0.03147018397306538,-0.20377761828156407,-0.0957135347719889,0.5191723238381939,-0.3194857141574558,-0.02825456010994532,0.9781086125008818,-0.5437851052590396,-0.3098749114059856,-0.13881817187668913,-0.4649896639603235,-0.13334926334546063,-0.751666306050164,-0.09759304302230096,0.426020085720668,-0.045618970001410734,0.205511216959203,-0.46825446034882073,0.352386415779709,-0.5370606052939694,-0.38440900990013993,-0.06740810011811244,0.02158349535070916,-0.17843327440458318,0.37093507771772044,-0.23037932954222778,0.06371088031152289,0.10497539887613552,-0.2680391304720989,-0.012223985739149176,-0.631075215587391,-0.08015128653677722,-0.06850393318147144,0.13634926866202784,-0.10727030504951696,0.3592528818098342,0.36128697838543733,0.99613880581744
AUX,0.4905606990758649,-0.48654789852879726,1.0,-0.6727666557122447,0.1255483738877931,-0.042828409944344954,-0.15298252244253094,0.2799500250278747,-0.10983321308782325,-0.15900262986967725,-0.11267459626166737,0.4918349116706879,0.12356701392411854,-0.2961557974573329,-0.4920196706385054,-0.3245347419091068,0.09250404335315565,-0.589069077972811,-0.007418391786808154,0.14759412452938808,-0.5966737763410545,0.13769560501492392,0.22660623153792264,-0.0629391858584954,-0.15039606243982748,0.05706447549943758,0.3923062856659407,0.037592019727666036,0.06282250410597842,-0.2538041483647445,0.08961519921104912,0.3943607067233248,-0.2696979965996596,0.214911435106497,0.2914830828520027,0.4679904203598623,-0.11564378580632716,0.011765243506781719,-0.33915247653725383,0.43917112908864675,-0.17558438223447892,0.4656140853183678,0.7406057061236081,0.6042433881560504,0.8285233476118417,0.19596625191550124,-0.0165611350788372,0.24820025593496142,0.08277375170416515,-0.684597715961001,-0.41579826386484575,-0.4884335996211909
ADV,-0.36129074342905454,0.374600667380701,-0.6727666557122447,1.0,0.055409596991249005,0.49550594418243,0.31998616755315074,-0.39607135827649514,-0.21694001766082407,-0.18619958132608738,-0.00830003813619287,-0.4515020323745213,-0.34353173984432017,0.3046470084069835,0.5513506320496199,0.27101863969403434,-0.10545333156833438,0.8348790702445565,-0.3963358305543016,0.041792417268519295,0.5390576165712284,-0.209515529930347,-0.5500442503084223,0.07010403999656098,0.11435247345981825,-0.19449342889278715,-0.5071573856520732,0.18996263988669798,-0.0994173353796328,0.07592161312135645,0.4772390575169457,-0.5555115894114828,0.05385207994752725,-0.5320559062380172,-0.43855391342406086,-0.6840310796459466,0.3941789030171032,-0.6015530018996593,0.5911856452111949,-0.41718854416022266,0.018197989043307012,-0.13330973075951819,-0.4352334837723745,-0.44895695075866204,-0.5957674388180334,-0.2845980371381703,-0.407178329712203,-0.19417281209920345,-0.5878807575520943,0.8838456519884288,0.1559182627746543,0.3494699319723915
PART,0.2969891393433278,-0.24181263962264415,0.1255483738877931,0.055409596991249005,1.0,0.32632157933730105,0.692601757189094,-0.4432680140121659,-0.5863969316605023,0.348206547584444,-0.19445074598293102,-0.4362190824996522,0.11674275154039641,-0.15389983003879829,0.14324234486845086,0.22780778188869572,0.7195699820519926,0.010951039160625694,-0.12480031240724565,-0.3572487826109093,-0.2203177880651832,-0.03394634638761857,-0.43745067863535847,0.04677001436344413,-0.08731568322181323,0.13069754591434812,-0.21676080871900272,0.433865767622354,0.5319374535390686,-0.11106298158189352,0.10782121561401332,0.24887657593866636,0.6408013223495582,-0.2100732792379696,-0.1656657881985592,-0.10407658399783692,0.13969994056507812,0.1206556719278147,0.3075380155746252,0.037736800950576244,0.4955987023794573,-0.2690598305949873,-0.022319905733889298,0.13473851963711964,-0.1632961984366291,-0.4450161192371778,-0.6527630360224786,-0.5760493008358909,-0.3117551482665706,0.32350804023964963,-0.24639533721294107,-0.1938398158521206
CCONJ,-0.23628544131377263,0.27793493454074575,-0.042828409944344954,0.49550594418243,0.32632157933730105,1.0,0.6949757724143707,-0.2322969814844673,-0.42671643741259285,-0.39713817197960805,-0.12964879885297237,-0.7128989866592003,-0.7552157978614733,0.24088767981107023,0.0400720546947542,-0.4486785894008149,-0.1685989706923838,0.48130529568103037,-0.07827198723494934,-0.010211736690301905,0.3110937194495659,-0.48147187528672125,-0.42890981094086866,-0.01751068333663774,-0.5490277218832769,-0.3302719330438302,-0.4926562824764579,0.060567895828459756,0.12376777723546213,0.19145176024381266,0.9230671690679808,-0.36072193471601655,0.27293000301491116,-0.24656618194121607,-0.15550081087591452,-0.6284818934922255,0.23346648822595603,-0.7833517930239455,0.815037625801487,-0.6220560335461167,-0.17646283594477224,0.23958032950815264,-0.08644223696081255,0.23646977292913196,-0.19075931835664478,0.08436000721114392,-0.4160706819182179,-0.03710226628844795,-0.7328028545827482,0.5459998988519446,-0.5297276900572391,0.29583196033270137
NOUN,-0.23303607748630856,0.28228699759148446,-0.15298252244253094,0.31998616755315074,0.692601757189094,0.6949757724143707,1.0,-0.12819216662603214,-0.7094681786135774,0.07203199223985263,0.13158964891187167,-0.8555623789713285,-0.4514312835729362,-0.10961540756203399,0.09596278505949146,-0.21583834221549306,0.3490220492199296,0.4267833947754727,-0.2612517447825789,0.06660693879265145,0.3102959343539373,-0.2688544531598484,-0.34332494344624837,-0.2389732021384889,-0.4091912778870224,-0.39002796341222284,-0.3969565200767069,0.07679358975789356,0.5956721247273431,0.23925960765331455,0.5399538145562506,-0.4056142200177158,0.7738221227320754,-0.4778626897736159,-0.30479045500121815,-0.1916819867332203,-0.08965343725816284,-0.2462292270803346,0.682068260460716,-0.3337732601806573,0.28542703565258837,-0.03969947009747205,-0.38042003989922046,0.3866833699982165,-0.30357336901944776,-0.30510025628887194,-0.6008399947211904,-0.37988103688556696,-0.5692653759513253,0.43840712294227996,-0.17408723330733333,0.3404750610669201
SCONJ,0.020923688838937117,-0.07489320377465052,0.2799500250278747,-0.39607135827649514,-0.4432680140121659,-0.2322969814844673,-0.12819216662603214,1.0,0.1974077000282266,-0.3182167215401555,0.17839817589209686,0.17410606151476646,-0.35370081250706314,-0.2659574114550934,0.01167511641693268,-0.20811657145890505,-0.1878838472655485,0.030920122358309723,0.13761169262482636,0.7955722725908393,-0.09918680425733983,0.582889320109601,0.8889841305926455,-0.501367664051999,-0.1086007124866425,-0.31819060644482916,0.45575180188050635,-0.845980287521447,-0.264107520248101,0.5322342230247438,-0.05663079497466977,-0.4675526557427497,-0.1589821431683821,0.17092588195690128,0.12567866635415081,0.45065399504629605,-0.33709698822967016,0.026175501047319197,-0.08206730177560377,0.18538621426551774,-0.45483577692589466,0.0905300607964722,-0.23154601479700587,0.4516284279850377,0.6603815075986212,0.005817966894965911,0.5685781413880696,0.16789501416556385,-0.09821045540383634,-0.7242426600342612,0.3316544991433946,-0.07801370840645827
VERB,0.4051857814010109,-0.4662924002029863,-0.10983321308782325,-0.21694001766082407,-0.5863969316605023,-0.42671643741259285,-0.7094681786135774,0.1974077000282266,1.0,-0.05277867253824482,-0.13820661144451085,0.3793994710267397,0.06823134784723886,-0.10364359771243882,-0.026212164869856103,0.020935977046846087,-0.5527320280031826,-0.3520550678416957,0.645015953055522,0.004875140005266866,-0.4570065740529945,0.316237975040508,0.5208552738472968,0.1958377115143859,0.38836263970590734,0.09249879390801659,0.6003349272899748,-0.275335806822712,-0.8088866965953913,0.2590922736795743,-0.33682861828281097,0.23502209090680218,-0.6060234979173935,0.7540555721627066,0.4509131107761701,-0.14852181732895106,-0.07693367766790418,0.1289965252248203,-0.3844100000273614,-0.15547280003478403,-0.36267162984269985,-0.13707071453315955,-0.04385162226898151,-0.3736860982081322,0.24602158233165908,0.488209168942491,0.685968164540984,0.23876814974406327,0.4015616134952552,-0.27852327382051967,-0.11462603010176867,-0.48567540667694203
ADP,0.27104878239595087,-0.11721893610053583,-0.15900262986967725,-0.18619958132608738,0.348206547584444,-0.39713817197960805,0.07203199223985263,-0.3182167215401555,-0.05277867253824482,1.0,0.5584584000458184,-0.08259224868357147,0.5280742404663593,-0.4135789036742389,-0.024030348953748833,0.19056987447465912,0.614723926547115,-0.31990202052002703,-0.06634958121395712,-0.3668216634284361,-0.1704089127587285,0.06860734172348779,-0.14497259060970463,-0.3646469250655517,0.5801883155043901,-0.1314427710458383,0.1264579134385286,0.46186255954603206,0.3317695552133256,-0.5240651027422771,-0.5464168303166701,0.38693646591271424,0.13870941673598017,-0.2096550776176686,-0.46300809781168945,0.24798701879574161,-0.5515712605450739,0.5010976112944294,-0.21558409754611632,0.5082658650130311,0.9371939948357988,-0.48476297702241977,-0.18731336937570348,-0.2841834178086137,-0.2851183042768101,0.13084167234659833,-0.17408694807584896,0.13940816021173988,0.522478917291686,0.06341036243430007,0.03935674981304528,-0.07620281251175101
