,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.958056687189919,-0.1534160865944001,-0.3353464602861355,-0.14203117967496715,0.11113152960031444,0.43867416377640245,0.14232724456618678,0.1612432893876402,0.526976109908544,-0.34583742000774015,-0.2650649267441903,-0.40554832583645983,0.08726573806699611,-0.7373210245617633,0.2852324668393088,0.28539102158528457,0.04821324144329058,-0.49370804226736975,-0.979311507112564,0.1853019034681233,0.2339761807480002,0.31872782480272926,0.3832243676485083,-0.009779993149714023,-0.1325776047644888,-0.14348428114288717,0.44285056818946383,-0.1924984566449028,0.06095513679993774,0.2734299706602568,-0.052708081324406096,-0.03118151177290839,0.6006391702988956,0.24541272843246062,0.43804316829148215,0.16391835775190983,0.334807951817229,0.2690724283489525,0.5555642907321005,0.16914129394974858,0.3167018379074151,-0.014960042589021134,-0.41935445681275785,0.18283851097230233,-0.25069363168370834,-0.17040386664677779,-0.188901788286657,-0.14120584634036334,-0.5147658346587501,-0.9200487369133883
PUNCT,-0.958056687189919,1.0,0.2084572500743345,0.4406645202355688,-0.016893236033110864,-0.12096091510815891,-0.46578658057743627,-0.0821694865764477,-0.2908495246103565,-0.49997378309610346,0.42827455411381826,0.295936876782149,0.4428550614030955,-0.1010704232279092,0.7742675994180049,-0.26239835391012745,-0.3223134251316616,-0.09565090992827444,0.6378320473523221,0.9874050861379084,-0.25007426259682586,-0.19887567041549975,-0.38129300905349056,-0.345400944308871,-0.0015983647889756497,0.10345437821583883,0.17310338838147052,-0.5436977103611653,0.11567772372619035,0.03212069041296033,-0.3083036997138787,-0.0668485938292587,0.128751688013651,-0.5568948666825659,-0.26434247331494537,-0.4817106233964035,-0.1876705702755462,-0.3002205769384475,-0.24902756775584495,-0.5265704844996986,-0.2653909339914572,-0.3782481940403591,0.03391492923276897,0.5227489775551131,-0.302156882964387,0.19382128043735616,0.2203065760219525,0.1343431943189471,0.109795709328051,0.5868360606742927,0.9395061589412432
AUX,-0.1534160865944001,0.2084572500743345,1.0,0.6419922832642372,-0.058464957996622886,0.4782430922707062,-0.5534527036476036,0.21562390965745407,-0.21823392255184035,-0.4040356741981295,-0.10881712263622241,0.09531083037255676,-0.22993583605163445,-0.030724498456024145,0.039214513661737914,0.21957439379536442,-0.29422456710840256,-0.23800853705785527,0.29201885043758063,0.22655877310561748,-0.17122397996144442,-0.027155837294566228,-0.3275371142089051,0.072553519904649,-0.039309328775003115,0.18446422768509574,-0.34658478187561115,-0.5199254647667453,0.5954906531836115,0.5478999560647847,-0.2654258746456037,-0.6419684281572783,0.43771195662660606,0.038747887298761614,0.28956412560304157,-0.2813707077271873,-0.34520503383571594,0.14064144971837442,-0.3479247415116003,-0.2967888810941422,0.15273614164149096,0.24880845829794707,0.03396217000799071,0.45833680007763433,-0.563270966560011,0.18252776632649828,0.28173021353359234,-0.07949739688673955,0.5999553858224396,0.013181813528879262,0.29107132277848363
ADV,-0.3353464602861355,0.4406645202355688,0.6419922832642372,1.0,-0.27612171618298875,-0.0736845531809431,-0.40067809268091037,0.1985102775579809,-0.5874598416407241,-0.486997263616647,-0.06357866478106429,0.14269458353829148,0.16533259450969526,0.0462685343445416,0.49502451119415564,0.16505962940220037,-0.2924264535700474,-0.4646688318171198,0.3871454247369171,0.4618891170962181,0.1816723980156287,0.0066770569246629,-0.40760140960633984,-0.04277174376519599,-0.050477194954090115,0.05748345964000066,-0.30542804085257425,-0.3799437621097658,0.1881435875830092,0.18539271250260003,-0.13826782373952254,-0.5578948862003814,0.5906968118127878,0.07627714128072369,0.134880529638891,-0.33932696770631915,-0.052719460091616745,0.046787921213780316,-0.03582285055022335,-0.4473588112000175,-0.0756965695164144,0.17249751608244038,0.14151439780260125,0.45888255865901284,-0.65974001129247,-0.22036152322513047,0.3533056611906884,-0.2627437714483311,0.6159947787611252,0.5918750364550539,0.3502542714468538
PART,-0.14203117967496715,-0.016893236033110864,-0.058464957996622886,-0.27612171618298875,1.0,-0.2154240681458347,-0.07530165478720381,0.28293757970421807,0.5003613198398211,-0.2597655127553098,-0.3020963861888897,-0.15864880837917628,-0.33239029115773466,-0.0567183945701389,-0.13273160964797248,0.11589578944707264,0.02456600874534882,0.025407651769655818,-0.14156888768867235,0.041131415462008304,0.22746550022226567,0.20692596684745987,0.075281154941483,0.060309796412194284,-0.1204959924733621,0.532297989389159,-0.14078429083984642,-0.0033722999161356934,0.49902295544981645,-0.5134558066859185,0.18807173560933532,0.26641749148009214,0.10875408700826053,-0.2772683653567385,0.09501531033968522,0.08030209615053722,0.08048474307950702,-0.40152140342447085,-0.026446963127829796,-0.24882132730777357,0.5721955630528851,0.03772537999257375,0.1538434985367827,-0.1983353231335457,0.036862475064807255,0.745921777310051,-0.2790404213491447,-0.25625102167921,0.39397959529195437,-0.45564557292354124,-0.029114418491932227
CCONJ,0.11113152960031444,-0.12096091510815891,0.4782430922707062,-0.0736845531809431,-0.2154240681458347,1.0,-0.3555304627710775,-0.1016239306361377,0.22487555043027532,0.06440338483728211,-0.24410692297486777,-0.11393025173544327,-0.3249198186705029,-0.11779517668498551,-0.16641504359615752,-0.17684586828068094,-0.12222209562501575,-0.07479877859537117,-0.12087469419919623,-0.143922340300335,-0.5922870225652216,-0.15159444277106787,0.2574514805393873,-0.2875505499927855,0.05224536259598201,-0.1781756724835254,-0.3287612059478566,-0.29161758839051555,0.38273474851590017,0.8862855888022798,-0.6417182674114571,-0.08908589043798586,-0.0576486128499631,0.16833607845247864,0.2711046222536243,-0.2055509822076601,-0.427827996087198,0.727970560009966,-0.14184782170243496,0.13031527518987454,-0.00445574475369545,0.18681868556671635,-0.00026180634479373757,0.10319213312517754,0.23671003679636463,-0.08985740830081562,-0.21313765621637434,0.3544826981581334,-0.062165113409329335,-0.2874655346619363,0.07032176682738432
NOUN,0.43867416377640245,-0.46578658057743627,-0.5534527036476036,-0.40067809268091037,-0.07530165478720381,-0.3555304627710775,1.0,-0.3529502569285881,0.004790979813257239,0.5363675915201177,-0.009168879411890811,-0.567572465225288,0.18796236143335318,0.15788529937732682,-0.2543287628741742,0.27502684416067413,0.6059039380740374,-0.04266239954329765,-0.08495027766955307,-0.4600846175027636,0.11072753578669904,-0.11168508330207083,-0.17270848909319314,0.36795710745454724,-0.0188525772530025,-0.3223076150753976,0.11867611917974717,0.6439199850078743,-0.2630613291405763,-0.3580423430305204,0.589489872166863,0.12101668724655494,-0.12241583681517709,0.3931538699517853,0.1380429787245837,0.6413694860442626,0.4982059798656604,-0.2667501668487611,-0.02559769275897149,0.4260099203277845,0.10885573877497655,-0.19857038805255112,0.05242208095512972,-0.3590886455862825,0.0010106510704622805,-0.08266171330987047,-0.08592074834676892,-0.346151665955211,-0.4374367918434434,0.06255991447142482,-0.4947908134987961
SCONJ,0.14232724456618678,-0.0821694865764477,0.21562390965745407,0.1985102775579809,0.28293757970421807,-0.1016239306361377,-0.3529502569285881,1.0,0.0536000527913857,0.015296363148209249,0.07058347071860653,-0.04857242956245819,-0.02109487373887317,-0.5387850475654982,-0.04922022837754555,0.0599627472871281,-0.025672040753267834,-0.15722326416718463,-0.2929047352348735,-0.07788768430197274,0.43703351204872315,0.9145109434595884,0.011557170046457517,0.06875524461393942,0.2644873512496258,0.21594089202258818,0.15690236903031768,-0.5738904814635643,-0.027920347714827525,-0.03516444886947474,0.16857189829195163,-0.050627979596429375,0.15391991069466388,-0.3689229603319986,0.3433099328436312,-0.39050308461053335,0.2251068949776941,0.06647010315877697,0.0855824941956918,0.039326250178119276,0.10348740059794317,0.4010937734237204,0.2609420245516037,-0.14463169491668823,-0.24191275799364073,0.07268154452836437,-0.24637928798681485,-0.44942392068096954,0.3567000648460058,-0.4213828696929102,-0.17613477797794194
VERB,0.1612432893876402,-0.2908495246103565,-0.21823392255184035,-0.5874598416407241,0.5003613198398211,0.22487555043027532,0.004790979813257239,0.0536000527913857,1.0,0.1933924626152444,-0.4125145791834582,-0.17297290380435368,-0.5474246072090198,-0.46543679395005344,-0.4656564283609749,-0.1721666434504731,0.09202022877543828,0.41016305912989903,-0.2619186216350911,-0.30504627293748326,0.07666297577653598,0.14596445465116145,0.278051285290703,-0.39542447010881265,-0.07080948780860452,0.35022049149037154,0.24508202260685083,0.0512340668370172,0.22848059935171253,-0.10629191656008369,-0.15354301962061115,0.16142305774461066,-0.3930740926759796,0.0844893435408048,0.1699653116454358,-0.17037689298212286,-0.19016217121491405,-0.040548141035165956,-0.23304638719820284,0.2380283282353727,-0.017052842309432804,0.06556223184075954,0.4804738990127098,-0.4251627530648565,0.4384045833254835,0.31001669861903636,-0.32028722535639936,0.13069763260787756,-0.1247074809488619,-0.4624308226314846,-0.29806761279934313
ADP,0.526976109908544,-0.49997378309610346,-0.4040356741981295,-0.486997263616647,-0.2597655127553098,0.06440338483728211,0.5363675915201177,0.015296363148209249,0.1933924626152444,1.0,0.015935312872819865,-0.5652000063603666,-0.05013219890945372,-0.3796567913316958,-0.5046459669204936,0.08919913577909377,0.15132096864888933,0.039986441070388304,-0.3447683029410919,-0.5302926124658413,0.13485935268653856,0.09455605780732028,0.1885764178192492,0.15317466704846536,-0.017584468142114108,-0.16270912664469367,0.2855719554773299,0.10393485934179955,-0.3403584551452627,-0.003518010914290208,0.17282664516858723,-0.07826511409325251,-0.3209470325623249,0.27813447521625606,0.2819439609621922,0.06985446977936434,0.08211130181097129,0.11958475307079777,0.03350072454051515,0.977911043633556,-0.02322357742648121,0.35218200634391594,0.07979584873808543,-0.7593180072832026,0.20400491736525572,-0.40830604116735214,0.007596711396221546,-0.09567665040629329,-0.3727886653960042,-0.25805944312512175,-0.5297955399344275
PROPN,-0.34583742000774015,0.42827455411381826,-0.10881712263622241,-0.06357866478106429,-0.3020963861888897,-0.24410692297486777,-0.009168879411890811,0.07058347071860653,-0.4125145791834582,0.015935312872819865,1.0,0.33293960126939326,0.6871194614792788,-0.14421986600069142,0.24637043487789442,0.03051367066302231,0.0012588716510573577,0.1389787145064245,0.18415002882014797,0.3913129697527042,-0.18400907877862935,0.13706060106216944,-0.22815125581647483,0.23723724138045918,0.5118131322605445,-0.2851724374919647,0.5832374625889645,-0.29904767145319155,-0.5577635669640016,-0.017530438907228923,0.3402878575328825,0.12467902792555842,-0.43053909184977535,-0.6787856015943812,-0.3374669524791548,-0.12788683308768117,0.3020899724519755,-0.30137016539476014,-0.348740882522874,-0.03281789912088287,-0.27069177565278174,-0.38023158929636147,-0.33686544050668565,0.3133086151123008,-0.21648168233300366,-0.0038477725275268444,0.06493530563558926,0.18894101181910317,-0.38935265280078263,0.13709132076129657,0.3979968188075641
PRON,-0.2650649267441903,0.295936876782149,0.09531083037255676,0.14269458353829148,-0.15864880837917628,-0.11393025173544327,-0.567572465225288,-0.04857242956245819,-0.17297290380435368,-0.5652000063603666,0.33293960126939326,1.0,0.15563203682486254,0.2511594372101924,0.11068130682448414,-0.22799685910472917,-0.4313114599241611,0.41700951687244864,0.17373677805084195,0.27353284116794624,-0.054707992355369765,-0.08767879550667013,0.02481784918657152,-0.028407963623425573,0.15212910031978114,-0.048200131646409176,0.14127913570785952,-0.04748341216586945,-0.23151762624707192,-0.02649175510025259,-0.1080883732675643,0.05730810029998988,-0.21520048177739803,-0.30704587764773394,-0.49769261477277477,-0.21734377927357626,-0.1812299454524628,-0.04900287210500199,0.08969061465071605,-0.4990471205466495,-0.4458989709362528,-0.16864566495073843,-0.4121074098709353,0.4428473162661772,0.20828773896269728,0.0023425223338564994,0.20821465178285248,0.6258099255248272,0.019293745512312752,0.11126844469469442,0.35746900034665813
NUM,-0.40554832583645983,0.4428550614030955,-0.22993583605163445,0.16533259450969526,-0.33239029115773466,-0.3249198186705029,0.18796236143335318,-0.02109487373887317,-0.5474246072090198,-0.05013219890945372,0.6871194614792788,0.15563203682486254,1.0,-0.049370223174814785,0.47890175977152494,-0.05445121805105532,0.06991842996228574,-0.24405230441520046,0.22569672305992952,0.4383741332215223,-0.07149730387829006,0.12197991953103014,-0.46347605220474375,0.15345366947579045,0.5267193184252669,-0.6782303980482807,0.24082650555866866,-0.1335481637063443,-0.46922870623485774,-0.10353978242610844,0.3523329253385783,0.18363623922879824,-0.21890151156516802,-0.4145261305639319,-0.032549277146052914,-0.10349086052387567,0.5657765424426058,-0.12840099857437834,-0.05755326102574301,-0.16365480122525863,-0.41378801652219216,-0.2401201989271798,-0.2765166825095192,0.16633208080402861,-0.09044027252420786,-0.2575403155576733,-0.03330192642461588,0.09662494054438153,-0.2607992091447809,0.4438669282250884,0.44254146956294
ADJ,0.08726573806699611,-0.1010704232279092,-0.030724498456024145,0.0462685343445416,-0.0567183945701389,-0.11779517668498551,0.15788529937732682,-0.5387850475654982,-0.46543679395005344,-0.3796567913316958,-0.14421986600069142,0.2511594372101924,-0.049370223174814785,1.0,0.15581820104668168,-0.028629451666318063,0.1386219579509599,0.01893504152282568,0.13804410251919252,-0.06275445249234612,-0.2618264840001488,-0.5437820505173334,0.03804759795954508,0.286570620873356,-0.3704167895816209,-0.10013332383144867,-0.49677337310047986,0.6289312366324088,0.14990964896261574,-0.07110833838754982,-0.012841356753235047,0.210235273562583,0.39255329878202494,0.2529136169320242,-0.4128974284941849,0.7371849087565353,-0.12644839740886163,-0.012319267463544602,0.46772590878553927,-0.41812700154948185,0.2533232790515402,-0.3229328436118958,-0.5735865258147607,0.39028507987060423,0.10794846410640319,0.1377351012190026,0.20474798687209303,0.06727442999541829,-0.03937093425237018,0.11796779185914934,0.04536935175404277
advmod:emph,-0.7373210245617633,0.7742675994180049,0.039214513661737914,0.49502451119415564,-0.13273160964797248,-0.16641504359615752,-0.2543287628741742,-0.04922022837754555,-0.4656564283609749,-0.5046459669204936,0.24637043487789442,0.11068130682448414,0.47890175977152494,0.15581820104668168,1.0,-0.4688488207520409,0.1311798209914527,-0.2262131170376444,0.38575169584392655,0.7954074190797659,-0.18992662206948246,-0.035870808756466505,-0.26908111719296135,-0.4575073344034794,-0.07993887392958654,-0.04027449094526633,0.037646199206699,-0.24750001557644002,0.029135135717798927,0.07652146304868528,-0.33219266035397,0.24729765342568247,0.36540992440577086,-0.4101452847918899,-0.27906252539331633,-0.12997890769675238,-0.06798406601759537,-0.06376051076140973,0.16037864627382262,-0.6168705840018244,-0.19970116203017824,-0.4425931834031728,0.03557754130773674,0.5641059834664975,-0.19313245937471912,0.0034009184188641193,0.07419226675207755,-0.1735055872276662,-0.0593476657030817,0.5890914822290888,0.721046835840614
