,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9351126866602846,0.2243500290717627,0.037038071631561455,-0.09509911655246561,0.2366431677024767,0.06862890255628243,0.10893579912979062,-0.26103460175887067,-0.14863881322231023,0.06320070663759278,-0.28843036828078444,0.3793405527058483,0.40086349142128685,-0.07596606804172061,-0.23757310942216117,0.051619124429167176,-0.15949563848473153,-0.1450028120284747,-0.9849263012988259,-0.10728406449715194,0.07544413015215969,0.20556019478198426,0.19104048372255283,-0.16136519929445037,-0.33076390132953143,-0.001525012914010542,0.32893229588672723,0.6173894796818022,0.17765126245315338,-0.026104295573067853,0.31239604380702135,0.7706874554073757,0.23648391030672547,-0.2385230672241325,0.425923028204432,0.4500401729073028,0.26585363208650536,-0.3186547882806766,-0.026728018270246585,-0.4735866359090978,0.5552634726341934,-0.22462240240301512,0.23611141823126625,-0.5327113603975184,-0.00800317640268576,-0.4989626237493694,-0.06066372245119609,0.20297862100993938,-0.3626543381327838,-0.9617124319397643
PUNCT,-0.9351126866602846,1.0,-0.14445460449181535,-0.026839704331453912,-0.0018713402196751637,-0.29673351640895373,-0.1857212339082231,0.017024306420075734,0.4257465955462294,-0.056436569450010014,-0.054986799055216994,0.398450960425208,-0.4241437247589037,-0.40798517399392364,0.033759196121149214,0.29509398767191075,0.02779125305517762,-0.029006130750592145,0.22934497699393072,0.9238029603158697,0.3525796438348555,0.062206476532048534,-0.21255289028010713,-0.03752555917763483,0.08375935115633464,0.11657573857806722,0.012651147203480756,-0.5697973371609941,-0.5277833017807063,-0.274172856091875,0.08016298571830892,-0.22198014123588575,-0.7164793994655837,-0.24347858843041686,0.3776909983402677,-0.4207740025659367,-0.4460432955850392,-0.25079233234432635,0.428197510876457,-0.16358548787210547,0.6070480666152358,-0.42645213621927286,0.12579040282770104,-0.36956247845600326,0.5593037325165907,0.09754319397533448,0.5994851660594749,0.20046670301576733,-0.20040945767117574,0.41129725127480665,0.9828296585096119
AUX,0.2243500290717627,-0.14445460449181535,1.0,0.19153723863374927,0.1508911394292851,-0.4493300018743401,-0.5567448714733699,0.1768685381579068,0.16008295886897259,-0.39259161428401573,-0.44611289056873454,0.4026559460921136,0.03668361525684728,0.2597003955828276,0.2890700330581992,-0.36651311672568393,0.120005433309946,0.2025614076168794,-0.35191168099874426,-0.3194428044604199,0.05959411123230484,0.16980650443045522,-0.20549382889803663,0.5247433854747122,0.3766563365849575,-0.3229285903280038,0.5761975436941879,-0.3299585594580859,0.3382919414243418,-0.43432013177351597,0.23671967050544435,0.24240899811523578,0.13126883938354714,0.16023825436221337,0.2163467212473842,-0.22389819427491178,-0.1305617997902128,-0.027785931257873986,0.1686620338542361,-0.3184577580475276,-0.07436694156290677,0.671133280564412,0.13866887691058227,0.6365057499094585,0.4084090564144801,0.36171752511005895,0.13513848814082935,0.21233359768906082,-0.00338118869026768,0.2288623396182614,-0.17236819089526048
ADV,0.037038071631561455,-0.026839704331453912,0.19153723863374927,1.0,-0.32699264925950855,-0.7116637157300794,-0.5418788441860878,0.4952749403405961,0.33762088163301035,0.025278421534938478,-0.24945263256685068,-0.005311237474495716,-0.17340778922267838,0.47569833316283266,0.47196789542186945,-0.04532239028483197,0.27329035243319383,0.5116248499795529,-0.7454108698768143,-0.05101900364534945,0.27773203009186515,0.46508363359283417,-0.28208164330966085,0.03488408157663477,0.7455894627421943,0.43006047583331547,-0.04688053847776734,-0.39126544702020344,0.4666326671447896,-0.6733961257115938,0.042553719631910035,0.39985495850317443,0.5162914675676555,-0.35600332929769113,0.25170655952751575,0.2124188929973808,-0.13847618872983486,-0.1651492539755224,0.08540886605644632,-0.09307922857076259,-0.27958614220539807,0.08914964299569474,-0.1792297991767429,0.15135335858503016,0.3677536881047937,-0.4381615561604662,-0.20669007547832705,-0.27883390136555397,0.7589072580619581,0.2436955909811395,-0.002044432855867808
PART,-0.09509911655246561,-0.0018713402196751637,0.1508911394292851,-0.32699264925950855,1.0,0.0076165239469311585,-0.13491623103349495,-0.2010332782995525,-0.027720079392523713,0.49315877804956626,0.44919813505507367,0.2691460965979783,0.5428694772754177,-0.5395394152207031,0.08893950592795084,0.07221774369554361,-0.45517183326537103,-0.09538749448989442,0.13253060152451066,0.06554429653129194,-0.3624742520583031,-0.21031132851296291,-0.5784043936919111,0.13608401471060852,0.23120707761542397,0.08173865804495266,0.7355520641536804,0.1739098146138254,-0.13810142212619111,0.04539134542127746,-0.27954848761952883,0.05944856136626557,-0.3729748483257157,0.4698248085645207,0.19599244888123177,-0.6992441729400156,0.36290296976364694,-0.46888591503059524,-0.47085943666671254,0.5569343342092452,0.18920444491192615,-0.2693011270161646,0.82867863092635,0.5176547717756332,0.08494211717225167,-0.043420902326613414,-0.09761540333209485,0.3427102301522965,-0.2748414838382261,-0.49204334792804577,0.014877612488058148
CCONJ,0.2366431677024767,-0.29673351640895373,-0.4493300018743401,-0.7116637157300794,0.0076165239469311585,1.0,0.6543070836602195,-0.48953410383589363,-0.6606309088302468,0.28898151613300155,0.22709340143461368,-0.5533650807371764,0.12956582526657084,-0.0321744491111978,-0.28213523292251974,-0.27925155189343215,0.022719346831504932,-0.21834706785522026,0.4464253304829067,-0.177673840004003,-0.3743198475725361,-0.4313753243325898,0.5907222903140191,-0.5018370591079098,-0.7605531552138609,-0.31490008287220883,-0.2161070320947806,0.4429495599387145,-0.3216482425238139,0.9894378748422232,0.017601358863265897,-0.3868655626356844,-0.017902023089943122,0.22133362462655584,-0.26375098498533306,0.19451444061851547,0.14092947452073035,0.6226214033722947,-0.0474958895598707,0.3315962235009022,-0.12484093474942566,-0.22037000082128225,-0.028359223562108845,-0.16735401910984934,-0.7080108267857687,-0.0042033570255361535,-0.39472197194043707,-0.23542597730574744,-0.5097000796489142,-0.114846021620451,-0.2749847426174501
NOUN,0.06862890255628243,-0.1857212339082231,-0.5567448714733699,-0.5418788441860878,-0.13491623103349495,0.6543070836602195,1.0,-0.3106130209887761,-0.718620140654876,0.11459576770024663,0.12182412971305773,-0.603007685204033,-0.011728898564192198,-0.059153627450205956,-0.5948621686500347,0.15571616435217098,0.1705320204357252,-0.2073861389892379,0.15282993693545893,0.0036088608473675747,-0.2502887531666201,-0.28794625858476447,0.5520247826951218,-0.560949606368484,-0.7083855561174422,-0.2789307725748952,-0.40584126946724147,0.650685783313163,-0.12938015208345072,0.637921951386623,-0.017637636322100726,-0.047975162826491384,-0.07461352045591427,-0.07444227696519921,-0.6041518270473821,0.45961171720247607,0.2822904589406818,0.35647649154979566,-0.0974596559472577,0.09081985299961186,0.07286666273863461,-0.13684801923354412,-0.10202002860338949,-0.37139289072368353,-0.6147578548771531,-0.16124020736000888,-0.02561915854433211,-0.41108786810669873,-0.2990324267804347,-0.1604706653005445,-0.1471755197437134
SCONJ,0.10893579912979062,0.017024306420075734,0.1768685381579068,0.4952749403405961,-0.2010332782995525,-0.48953410383589363,-0.3106130209887761,1.0,0.43454487333462294,-0.24187208135406849,-0.00861012495719023,-0.15724499119721458,-0.15093928642851837,0.2562541758255269,0.051606375186134666,0.5225610347865803,0.11424868360295516,0.1602581640504637,-0.4271025511811732,-0.11216599024601093,0.7963267710455717,0.9683136845496045,-0.5491099697925826,0.316657027975617,0.3218372687567408,-0.10621096285708578,0.0004332826106142301,-0.47892241225915977,0.45955148160491294,-0.5163875837566002,-0.5205475345433913,0.6315742189599773,0.39603826930200176,-0.035782338752006336,-0.20801428740114514,0.4284432088558329,-0.251618965520659,-0.3561553753382929,-0.3441605002151017,-0.5054807688400638,-0.19352795510884765,0.1673519083314672,-0.026554179667252882,0.17965005118800598,-0.13059460431878817,-0.25536353524358246,0.24564640393561904,-0.2551408510362739,0.33388514317310547,-0.2877905826979147,0.016838531718966224
VERB,-0.26103460175887067,0.4257465955462294,0.16008295886897259,0.33762088163301035,-0.027720079392523713,-0.6606309088302468,-0.718620140654876,0.43454487333462294,1.0,-0.37200844659385407,0.006951384131166219,0.6418263950357235,-0.21705749769041932,-0.19438558348193188,0.03762164902534756,0.36812817551675475,-0.42539931828232536,-0.08950243743089428,0.20427778509304084,0.18749504543706802,0.5404955277689444,0.44301713591656283,-0.5692216615506903,0.6330848567077123,0.37923048394257186,0.24881669044202817,-0.0640047604634013,-0.5541007325581686,0.022431120438893164,-0.7129184713732484,-0.16980791974305712,-0.053011817808685135,-0.22207833697177645,0.18562046256043907,0.2760499869136208,-0.32668796775436326,-0.3599791159745615,-0.5749425780795218,-0.09109097260307245,-0.42542626946800416,0.11787791928277822,0.11161125587713672,-0.20988298771415267,-0.12483693947925234,0.548713322670121,0.18362030949553865,0.43600301892150306,0.6223063738814371,0.3860260921873802,-0.11738743677395844,0.34028018101473534
ADP,-0.14863881322231023,-0.056436569450010014,-0.39259161428401573,0.025278421534938478,0.49315877804956626,0.28898151613300155,0.11459576770024663,-0.24187208135406849,-0.37200844659385407,1.0,0.5812906107682465,-0.32809001111715597,0.49508005428026464,-0.29619782045074744,0.20115237984612566,-0.060107670293015864,-0.21947044583732814,0.4351154747925904,-0.1241881503107731,0.1727036200764113,-0.5365089253442853,-0.21568065596426622,-0.24581950563500019,-0.4553718084155244,0.14370379373584227,0.42753498233041953,0.2845394125571644,0.25074500905966135,-0.3771679644953544,0.3770410292466541,-0.04893970488338799,-0.1736127925135968,0.03779693738360018,0.05190396381062882,0.05511143320851364,-0.2823187437989552,0.33463954818552377,-0.08293542739565132,-0.3381221558519915,0.9120173626461887,0.00478661943318311,-0.6068744026250328,0.5667397479399574,0.20653995803207328,-0.2625869368157787,-0.5228775473543632,-0.5240571544872619,-0.31620057593808953,0.027496720226321672,-0.19598743348459943,0.0018107180568337803
