,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9597430119750947,0.3132692677335012,0.03596509086682395,0.27808662759908664,0.6994599399765536,0.073075483116903,0.15890867299066072,0.35892167878905523,0.2046560657406081,0.3199954217448379,-0.5126443269074679,-0.44275588532451143,-0.616159195858736,0.16754713593996168,-0.11506085881294303,-0.17907594965599094,-0.5467548782023154,-0.6729130893111896,-0.9863653281414029,0.2591607296673905,0.28513148285503925,-0.3232672955618096,-0.4553568003537387,0.3145698088559714,0.1566689761102829,-0.01797967160367171,-0.20537852718810087,0.6675301919367125,0.3879323143933189,0.06992797215067424,0.1523493101641891,-0.6576465904021704,0.01290894185770148,-0.3062021443577803,-0.625821059369572,0.7000293508384575,0.04298134027629876,0.19983167806155241,-0.2523920218983296,0.6239537230917673,-0.09374128236500652,-0.04781382335184746,-0.5874370008743114,0.43351193422889295,-0.2074725146401651,0.2557386216267584,0.016409309155073375,0.2331209026913871,-0.9776030385864879
PUNCT,-0.9597430119750947,1.0,-0.3228044604804741,0.06135760865725157,-0.2904465887648499,-0.8441895563680999,-0.0847394811701591,-0.07440647606299686,-0.3700331157920694,-0.23391755349459095,-0.2368531992339436,0.568340797036919,0.4084124593893634,0.6071018770779151,0.06249452958914097,-0.001724954534880193,0.18185918066428214,0.6317913459669595,0.7521170107011821,0.9637648063291974,-0.07134639361188033,-0.19792555249137062,0.2749920965706227,0.44585122084081413,-0.2930420117581478,-0.28813183105543994,0.03994999307434769,0.17231030635421826,-0.8157366787283192,-0.36987272028046286,0.02152919115330351,-0.34000378989923336,0.7741892023410659,-0.030822368971857375,0.3250786902048677,0.5823497363208362,-0.8025290082906905,-0.05757464658254847,-0.23607304757800404,0.33127880750277633,-0.6934349595335867,0.09858931927879563,0.041254721782646414,0.6617740008394497,-0.3935219576320599,0.1496637074398678,-0.2668796692871271,-0.016696883855088815,-0.4396220740819753,0.9842482503564352
AUX,0.3132692677335012,-0.3228044604804741,1.0,0.3962167225910383,-0.644429295818657,0.47675128566853353,0.5141745232387636,-0.05056815249258137,-0.055572548749604204,-0.6739338796983371,-0.23716704579678763,-0.3928057636137584,-0.27523331284327646,-0.3709424058108766,0.316131731974955,-0.32371955274767095,0.5164155905832148,-0.22759006161895493,0.028847830432034427,-0.4204455036572251,0.10204453345318268,0.13246348361459576,0.06930378216442591,-0.3356110517556162,0.20268235618609357,-0.47670586104263285,0.3253398402375594,-0.0996774877485137,0.5349387690783078,-0.10417832260536629,-0.0467187456438524,0.23446189316866742,-0.13990799184476846,-0.22467639864164005,-0.5839100886488784,-0.5811277497625169,0.34811453654759605,0.5533495171575481,-0.6189560318389907,0.12336521934119787,0.3652375162712405,-0.3049723486661095,0.6547884407085451,-0.40844049893120893,0.5730651496355792,-0.05683698523105217,-0.22255305492299599,-0.27077845443548565,0.38924405949453045,-0.42137283767418565
ADV,0.03596509086682395,0.06135760865725157,0.3962167225910383,1.0,-0.30979658193916343,-0.1099916032158785,0.006554915241549696,-0.38246277378976606,-0.4901421763913547,-0.4433315392801398,-0.43376785958076197,0.3843268184640811,-0.2654189309731093,0.29164841403503,0.6535720322732662,0.07274595387172854,0.49598704808679633,-0.20523194067512396,0.1058038123723924,-0.07714074024280673,0.0064757759378256995,-0.4154013712218822,0.18746747446109432,-0.002084319634860685,-0.3793292587311256,-0.4414185792320909,-0.11821087402396711,0.09254369280021248,-0.1452042193832139,0.02035298986906691,0.17368208766461393,-0.1500331011591167,0.2831663754228184,-0.4065027905178914,0.435571435419794,-0.31523031431228227,-0.15199956871526654,-0.15644937962742625,-0.3379749321910324,0.016113943873821097,-0.04820139874193048,-0.12793625644833545,0.5615106571057609,-0.03401370259489141,0.28865511786582343,0.190223134679865,-0.3016242645493578,0.5500133925211234,0.011799313191788749,-0.04388655122948658
PART,0.27808662759908664,-0.2904465887648499,-0.644429295818657,-0.30979658193916343,1.0,0.08492321583057626,-0.36784981259809557,-0.008779521161385017,0.516579370207002,0.7243444411539453,0.15580462675578707,-0.042674354345745354,-0.4038356030510559,0.03882981151614551,-0.2910607486345912,0.19071448606274313,-0.43331741135764196,-0.37064865813569703,-0.40095335311819646,-0.2331039238750157,-0.3680060534636765,-0.1522984399545505,-0.2827093315405927,-0.18988925100740195,0.21756652920153763,0.7778498286925922,-0.20015945534436885,-0.06034010859247968,0.0464210101592148,0.00033848858074361966,0.03929321310369795,-0.06234557122424384,-0.5508742281234196,0.4095147967086473,0.35788450907369584,-0.13299741982049415,0.2556543570929074,-0.6877378506394596,0.7244127432988082,-0.6635025277153442,-0.1920976766226214,-0.00018529018249707066,-0.34610548146734377,0.09085861176740226,0.044954653259191485,0.03545630993939637,0.3487530704913093,0.4834610134802769,0.07385231610812736,-0.2136793560199134
CCONJ,0.6994599399765536,-0.8441895563680999,0.47675128566853353,-0.1099916032158785,0.08492321583057626,1.0,0.2583106411970203,-0.2542816013140033,0.23350584421924214,-0.04710683743636344,0.08398651996831732,-0.5075681595454501,-0.3067061828219624,-0.5575958276073846,-0.33364468170547634,0.059684818988535414,-0.02617846231625007,-0.5745819552505572,-0.5878747718038092,-0.7593687370182249,-0.2850231673574343,-0.08082342164285782,-0.05482178633766691,-0.4872967522112604,0.3585216426424583,0.19276052432622096,0.05405568852769354,-0.13008897479580286,0.9909632677378744,0.14236891957384537,-0.27699019752028514,0.43566906252933985,-0.7782565496302694,-0.10286014642953654,-0.3726554509438234,-0.49755040411123996,0.8766108138973019,0.3379767580394457,-0.018634828296041874,-0.35671763632103043,0.7310759086523902,-0.317777461150493,0.0826012034433243,-0.5276917155467841,0.2265605996348774,-0.10693730165049346,0.31486228614164163,0.016057016859609616,0.7180598807972934,-0.8056735252184731
NOUN,0.073075483116903,-0.0847394811701591,0.5141745232387636,0.006554915241549696,-0.36784981259809557,0.2583106411970203,1.0,-0.2653034131526324,-0.1931428582264343,-0.5162634578188577,0.003913614796762306,-0.36781545928377263,-0.33859432327477856,-0.5617900407932632,0.07651647264619955,-0.5981933614765911,0.17437503737064086,0.22778559706582238,0.30496402195818356,-0.15572501363979802,0.0044074468729485465,-0.049328140386918344,0.6322435460679104,-0.1681578218509902,0.02436108645821868,-0.2824290657890394,0.8992093454814483,0.39905006832534723,0.33239723221703116,-0.47493937727209784,-0.4856742466405637,0.3810678152133402,0.07428534624497499,0.10174915101790133,-0.6122387911342511,-0.5404658538049142,0.4180939912846345,0.38492017410803525,-0.5658921423270897,-0.15188638944045038,0.18599934854601977,-0.3657784956293931,0.034640140697486964,0.0221705894008618,0.019346432829177404,-0.007362820068593077,-0.4847923619931365,-0.16227749315542017,0.09201617977828189,-0.17998697802845923
SCONJ,0.15890867299066072,-0.07440647606299686,-0.05056815249258137,-0.38246277378976606,-0.008779521161385017,-0.2542816013140033,-0.2653034131526324,1.0,0.5654050306907822,0.2829499872095867,0.3532337339412373,-0.48585692157153393,0.07819959701301235,-0.14520992549992198,0.24005007212563612,-0.2006141932505961,-0.10107209343838452,0.20292705988381962,-0.14081913371409108,-0.10914903221056446,0.6858082873925673,0.9491915746792836,-0.6556652060086261,0.09319913527389376,0.23405853244901415,0.1995892716698278,-0.19695216731786125,-0.12756202138696304,-0.22754699087653565,0.3817485383706178,0.635169690740933,0.04940528617365127,0.03767638917725021,0.4354546321838672,-0.4246145890917889,0.09087003203114574,-0.3288424208111044,-0.050787921145045475,0.21557206267885365,0.498777707546456,-0.03988700571308694,0.2710066868160701,-0.1750053893221718,-0.21663513223657307,0.3281438381200213,-0.18650638262752087,0.04027677880106176,-0.7129046563635238,-0.4501499649007378,-0.0804487051735441
VERB,0.35892167878905523,-0.3700331157920694,-0.055572548749604204,-0.4901421763913547,0.516579370207002,0.23350584421924214,-0.1931428582264343,0.5654050306907822,1.0,0.24422109532619146,0.42339046256541313,-0.5688397646376699,-0.44203849935419787,-0.3564769037251048,-0.04064503233525832,-0.04686461607577088,0.048315123334453376,-0.20671713687565063,-0.2352830163667409,-0.3746889511427958,-0.005386522032804198,0.5134567870390345,-0.7712540746616409,-0.26634326090806,0.7292926670456865,0.6300330737652224,-0.17914454074634253,-0.2912696482234182,0.2585153168040003,-0.01836393900042303,0.4950561284580855,0.053296033795726644,-0.5454691544328379,0.4751431414795988,-0.3399800008352551,-0.3007433251014224,0.13383398631191457,-0.141263297460911,0.22245973055745144,-0.1467137025315954,-0.08547887093825064,-0.2887447217575173,-0.06224506763411762,0.013178618931514249,0.4698797940044094,-0.011734590760309326,0.4315966848584813,-0.28001132867631584,0.05847969055064869,-0.33209164039942013
ADP,0.2046560657406081,-0.23391755349459095,-0.6739338796983371,-0.4433315392801398,0.7243444411539453,-0.04710683743636344,-0.5162634578188577,0.2829499872095867,0.24422109532619146,1.0,-0.03385765385745087,-0.1124398546264135,0.06584785134454944,0.24842963706067078,-0.45604765515113704,0.15433711745896647,-0.7937909112598214,-0.26320837942658454,-0.6115442312043043,-0.11295452793790305,-0.04667001051660443,0.14818614254153425,-0.19391061269800158,-0.06642396964457388,-0.10451335025902551,0.6304577469834304,-0.26871226381531454,0.020873630099326454,-0.08188078716314397,0.4201533216356272,-0.05340092366028028,0.10052595033832484,-0.42374063035066184,0.4680582063206943,0.23914654166245317,0.2253088452371593,0.15197871841937233,-0.6177093294225975,0.9832099909866447,-0.32814985173050487,0.017876784911980668,0.5461057793578692,-0.4698472679405584,-0.3340847246993105,-0.06833315092557492,-0.22551410196343524,0.18056385532288574,0.12837364439401744,-0.0329252631296688,-0.13666809468943475
