,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.7388239927274824,0.007685322292924218,-0.07705449538499491,-0.1396263324622523,-0.4371541749369755,0.49570518896444676,-0.14006903765744017,-0.34372109731091505,0.32698783870983844,0.38112447445196584,-0.34656989029459134,0.4012608093756083,0.2279936027351918,0.3378518876868269,-0.40047433983868586,-0.49288019692133184,0.20847791330572532,0.1918847082533238,-0.9945026325799919,-0.3051506547661144,-0.21961345803227134,0.12528320997987274,0.3401257971192723,-0.26064581122188696,0.19653856157000696,0.5343828752850573,0.2314275874560775,-0.22085308532403553,-0.4381727551954162,-0.20818990897210804,-0.44722793605213845,0.4650036244782686,0.5956046310134431,0.025362004378264334,0.47739298581611544,0.4788256129702663,0.02718559833344852,-0.12142383860015317,0.30002685078444763,-0.18971944899737078,-0.11226904467097097,-0.44912908516395245,-0.018623967382854906,0.08930247348804878,-0.050079075117133005,0.27622013461345346,-0.5060642796982441,-0.08494094188100819,0.11359007139286013,-0.7023232128825572
PUNCT,-0.7388239927274824,1.0,-0.24654383090104096,-0.10809174447435548,0.055711074555177986,0.38118768819135607,0.009395272715552011,-0.1951068692477356,0.49342627914214693,-0.26009285471599,-0.4002819621693197,0.07080972161841072,-0.3239343816089145,-0.32351813782823313,-0.3326192320086742,0.46363803106653834,0.3724017179344494,0.01250724657574083,-0.40359895052854056,0.7543485137688842,0.12268266048383712,-0.12791532446745632,0.16746569805275432,-0.33454563224263817,0.32310773766112655,-0.4847780347866763,-0.18045409591945125,-0.034118364163190126,0.2389568793218697,0.37986071848699793,0.46684943938879386,0.219178830720295,-0.3753592136668575,-0.07050716462118356,-0.10937968072106426,-0.33664341532442205,-0.293324055937328,-0.09603155579138994,0.19039364728193928,-0.1704717627011879,-0.10656080611308902,0.05752082084072652,0.16640711023331903,-0.13127477971047927,-0.2302472497600223,0.1487510790241389,-0.2449098681006826,0.5385758226732489,-0.1179773052276164,-0.10371462114137721,0.8511533598678385
AUX,0.007685322292924218,-0.24654383090104096,1.0,0.4362375373867737,-0.3315679062175254,-0.13770471718408558,-0.5560805006197026,0.4009803429509518,-0.40193734944326653,-0.25641263864036185,-0.38856946704898243,0.5397886722595946,0.31095394404327725,-0.11559708105936801,0.62670388699956,-0.28111730845533883,0.1972144447115777,0.15374219483604057,0.6993444185988036,-0.03018592806244102,0.11421419139938331,0.47930370869745426,-0.5285409188119441,0.6343015947809408,-0.06343117007726273,0.4512957967679391,-0.17567963567488898,0.013858186301764113,-0.1344885728228932,-0.11034838054261453,-0.34082298175609355,-0.5033139263857848,0.31692782953523296,-0.36709715321217845,0.5583012680882314,-0.2569962049794781,0.2509684930006448,0.13335627743858447,0.04775104309675785,-0.3090684957666149,-0.046628401261480414,0.18096727393719683,-0.2894925456926839,0.7169738373766419,-0.3976388248935304,-0.3509905404554056,-0.3963778255019285,-0.2024538250667488,0.370998568034929,0.3800508797207903,-0.1948981935706715
ADV,-0.07705449538499491,-0.10809174447435548,0.4362375373867737,1.0,0.1389805217802852,-0.13726414365660175,-0.5380654468268494,0.5003410444363356,0.1948670323468473,-0.6048219564053254,-0.24153066246409496,0.1262205465147813,-0.030989643765527028,-0.5730484014288131,0.5669324884692601,-0.3065690177667279,-0.26853741689592714,-0.021499930628931237,0.49064027045476716,0.02056754590160715,0.39582041081342423,0.5217041535279299,-0.2584814090011052,0.22600567197657256,-0.275374431856937,0.5011558148492234,-0.5433311490110605,-0.2046110847499418,0.1438954585778904,-0.047526664495566175,-0.3644611349364086,0.176877493701987,0.13349463238704573,-0.3434317038533445,0.137054168618227,-0.7322503101029324,2.9914938528045067e-05,0.5239554606485534,0.2413390636287519,-0.6278767853624597,-0.4535692179691908,0.12249077227390712,0.44780489271346974,0.3808042377890074,-0.17214106172794139,0.08328256790244512,-0.28780043559952684,-0.39334977880734245,0.9066784060501778,-0.12267215651759435,-0.18193632965198053
PART,-0.1396263324622523,0.055711074555177986,-0.3315679062175254,0.1389805217802852,1.0,0.09845785371684725,-0.05316450116327053,0.24634876745790055,0.43628154050122747,-0.4162625016650649,-0.11188151625773825,-0.11596493755027058,-0.41426991344345526,-0.46376895840098753,-0.1433168069869546,0.397540902751252,-0.45409727382424003,-0.4914075297487908,0.059963731906020126,0.12269999433307671,0.3924154455189184,0.20986734530540863,0.23109554182792985,-0.44203130393543044,-0.14068698017289408,-0.08159118075372394,-0.5052545845275114,-0.03556453591233615,-0.20828075577531807,0.08737221957950125,-0.2585057498335725,0.4607928719373067,-0.27559729417914514,-0.263899503470402,0.022052005020316786,-0.46220967415005937,-0.3904251801654676,0.24178294935819408,0.45520711540493175,-0.40715720871780026,-0.0711705268899165,-0.13846190207394063,0.5838060683409468,0.0680291066907328,0.09508331015899485,0.41989043169858914,-0.03237167442736152,-0.2509330179117265,0.2717984205610713,-0.15954347575880812,0.2463286336570976
CCONJ,-0.4371541749369755,0.38118768819135607,-0.13770471718408558,-0.13726414365660175,0.09845785371684725,1.0,-0.15165921642269542,-0.17874024966291868,0.03549423482480627,-0.4553508695269448,-0.15877287781495455,0.07270572628986721,-0.6255771664582982,0.27827586477337946,-0.18280170732204706,-0.15693779286094311,0.7139094895530438,-0.5079554037078964,-0.31558264166815997,0.42778015968846167,-0.022185582404860564,-0.13532375631581017,-0.007137503248966331,0.10895235026887592,0.20106806737482114,0.2957542612397706,0.12065154783396495,-0.31180007190726305,-0.15684506811475088,0.9721624664208797,0.6282168885944915,0.1809925966927001,-0.4217260799208159,-0.32448935791504757,-0.20436764103040345,-0.17072823364861908,-0.6597539176361223,0.5016418989414987,0.3185448261359831,-0.3632396989114198,-0.37848912115704875,-0.24851077932895752,-0.0650517876353718,0.1679430423584768,0.06228775942003525,-0.059773358860397766,0.03140627318475813,0.17284479094218538,-0.09718252798953456,-0.6426105652773909,0.3194024532927983
NOUN,0.49570518896444676,0.009395272715552011,-0.5560805006197026,-0.5380654468268494,-0.05316450116327053,-0.15165921642269542,1.0,-0.781854442994418,-0.029265540640754827,0.3142132304062243,0.07864425485956777,-0.573383733084735,0.13190485617771533,0.3669708821456424,-0.04875356704886808,0.2631776002705442,-0.13923664501963662,0.4085356653342071,-0.6431009483031401,-0.43042564962151214,-0.6058302763725479,-0.8482458766984547,0.8053940777892616,-0.1336222786225808,0.2327474648113763,-0.5086541512927688,0.5401232811473871,0.5187366801944453,-0.25463090692663953,-0.12083476555500808,0.3148716598512807,-0.014354364928419069,-0.0990749873834936,0.7547804597665462,-0.5839812971224212,0.5006531674166466,0.20768987664697863,-0.19041399066803932,-0.33280903424672426,0.37172992735517085,0.09798475264340675,0.13020431355943066,-0.35766669129273787,-0.5609423543548941,0.23840464404345468,0.4206711546911076,0.1429174600724033,-0.13590777438691926,-0.5724256277883518,-0.16212725271394854,-0.09961074535428932
SCONJ,-0.14006903765744017,-0.1951068692477356,0.4009803429509518,0.5003410444363356,0.24634876745790055,-0.17874024966291868,-0.781854442994418,1.0,0.2706845941479141,-0.1889978358493556,0.22997550671624792,0.10756976187628968,0.23025875876933816,-0.5724037786969329,0.20746421331527398,-0.24621803794326072,-0.2802457875192196,-0.4138662482250933,0.773775615262234,0.07325664837098783,0.7915409745110624,0.982568140297818,-0.7569145783830553,0.15260483235751146,-0.7104998881495158,0.3383774187541632,-0.3885996340997271,-0.6739245207616498,0.3490799125325771,-0.17786592529502393,-0.5441792521545973,-0.016890727230837174,0.5577439080627274,-0.6439180250857298,0.7767542442404157,-0.3413319580888444,0.19541593249313338,0.05875865228363819,0.2315678180558129,-0.3064139642719792,-0.06831530397328715,-0.018076164240306166,0.4974069076534537,0.30398287780148436,-0.2699618334516288,-0.13415067880113857,0.19269338040687134,-0.21071147419729738,0.45859425174753826,0.23334806644450523,0.10385708782010054
VERB,-0.34372109731091505,0.49342627914214693,-0.40193734944326653,0.1948670323468473,0.43628154050122747,0.03549423482480627,-0.029265540640754827,0.2706845941479141,1.0,-0.3438264224586765,0.09203128898067824,-0.3778604877450142,-0.17437691347281015,-0.6766360169390473,-0.08376181788131902,0.16363089332681505,-0.31039291546749204,-0.4179243084155701,-0.1497044397645221,0.30657579142867597,0.661790831262713,0.25538810880867224,0.036035171091604375,-0.1826861028955972,-0.4056041404342689,-0.13793317296879867,-0.28939594599533136,-0.4420433087791167,0.4861177371366933,0.12941924658277787,-0.1985462771781148,0.31531188512017483,0.15289420782914126,-0.11179931983039373,0.030661404532217898,-0.5134909714267694,-0.11472204637138471,0.02718838223311245,-0.07825133579658292,-0.4107916340026962,-0.07244513725833208,-0.03671397711927272,0.5215145520374891,-0.331951372411727,0.20064219853115833,0.40390773589088763,-0.1016712916019456,0.0889194787540228,0.23003978505860523,-0.18317890547315757,0.4770555654213943
ADP,0.32698783870983844,-0.26009285471599,-0.25641263864036185,-0.6048219564053254,-0.4162625016650649,-0.4553508695269448,0.3142132304062243,-0.1889978358493556,-0.3438264224586765,1.0,0.3785199268397551,-0.043561909660059954,0.2979843325500647,0.37284803854126686,-0.4604448303898426,0.16212752011931866,-0.12556172844753238,0.404089429996529,-0.05093727573551979,-0.30578878536836324,-0.4223154390652729,-0.20845858966722952,-0.08617290773909175,-0.3406118034080259,0.14236476318326013,-0.3889381066378029,0.5307964046887625,0.1025295545801238,-0.026918116392139698,-0.5247849660168704,0.10309080166648067,-0.30981230876643245,0.1459667735986172,0.4994232381749191,-0.0016983106282807772,0.8345859063069115,0.28185957815807033,-0.8227927597574561,-0.3465981034702513,0.9768966752829005,0.48776996744682666,0.07357926438327925,-0.2921058038423088,-0.4330689068186103,-0.08158842425041911,-0.25766398186067613,0.41102294480768753,0.2887513542106277,-0.5908725959925892,0.34933930581285594,-0.2712340307786689
PROPN,0.38112447445196584,-0.4002819621693197,-0.38856946704898243,-0.24153066246409496,-0.11188151625773825,-0.15877287781495455,0.07864425485956777,0.22997550671624792,0.09203128898067824,0.3785199268397551,1.0,-0.4427032840149037,0.38346104309694135,0.23678006621466566,-0.2428765453167911,-0.5207179744485794,-0.27409409068512786,-0.34804904145886645,-0.09142330531815912,-0.38420094599799565,0.29562548500435215,0.09748160228475206,-0.18364177107341445,0.10365543181661772,-0.6290606164799523,0.08417815553908707,0.24635103560066793,-0.3678620927269019,0.5907291343440446,-0.22260784689556815,-0.21728745778964903,0.08889470191854526,0.5145212900403928,0.0487196332000828,0.1424589755549354,0.46632134942312614,0.39897256874414316,-0.010802184777453802,-0.20523042894865184,0.29173153718160155,0.04560503364691089,-0.40105660004565863,0.09054607966464803,-0.3789530240511426,0.4769421697138015,-0.17128806620126089,0.6695947002284708,0.011518553222497369,-0.23153316322216203,0.0808365064026616,-0.17231090905221402
