,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9559183007702806,-0.4695613521213485,-0.12015682529233486,-0.8152766666761542,0.3573597922635642,0.23574697013583648,0.35164692526566044,0.6618950932642795,0.42799631472988403,0.658032351897839,-0.33645461332066473,0.3015228493585312,-0.3450108006918855,-0.524107198397825,-0.8470923354420378,0.14630947796999424,0.52388375827458,-0.2637775801113311,0.13372527289880626,-0.9880347151459543,0.7370450645149802,0.5678831957459805,-0.12859061019072301,-0.3580334321491598,0.5198303528557522,0.34512313945730755,-0.1227436419924848,0.5571087849191158,0.24261362537768455,0.04396028604760264,0.30166157377786196,-0.333236838606089,0.3023883973937309,0.11092739352109768,-0.41328144852480614,0.03676036444024429,0.17027109418754868,-0.1649402448886614,0.7050991340233024,0.41826802107568856,-0.3657022427338841,0.7442017044024085,-0.24417270449534387,-0.19433548200350492,-0.5446070573266032,-0.35085792985361786,0.5133845753821171,-0.6913296733729019,-0.30402003775138936,-0.9676904738838191
PUNCT,-0.9559183007702806,1.0,0.4627182676251719,0.05317634322910854,0.8123753343967495,-0.30813232377413813,-0.3590310484553156,-0.3838740397578082,-0.5777737672909671,-0.5274403654586385,-0.6578349875121025,0.4119801193242763,-0.31241087787440214,0.4538597792336407,0.6321744459217313,0.8316319650926597,-0.1941764049586975,-0.43608702306555386,0.0811743154554369,-0.23984637832571443,0.9545272795429058,-0.599572570424308,-0.5120076334137966,0.12102086578919466,0.32843110014925936,-0.32158901269800366,-0.2764426224211369,0.1311052232217205,-0.5689637551673522,-0.329676198805604,-0.00454827565753136,-0.13470791477394395,0.2754436484794557,-0.40944712940775013,-0.225358738080128,0.5290790549701649,-0.07101032347404194,-0.3926306064326179,0.12859882318915697,-0.695953775310272,-0.2646652586806871,0.2770462783639914,-0.749028972670551,0.2505826656304417,0.34137212398949707,0.3525438413608193,0.46072450443884255,-0.3711700538817075,0.6762846540437326,0.45703170192675274,0.9555514581579743
AUX,-0.4695613521213485,0.4627182676251719,1.0,-0.30259332603539774,0.4601212767502426,0.2909558352975434,0.42972052838811725,-0.3750469966574527,-0.14782363699323142,-0.5340331379607881,-0.7181097183714596,0.11225730178618058,-0.6737891287141772,-0.08399690020032756,0.6089839173218851,0.19914396482592758,-0.16098021654496547,-0.6903663970364599,-0.16818567260124614,0.009517222832875987,0.4817046376473654,-0.6064504035118647,0.009637649319606884,0.5898151928339737,0.40817734379041176,-0.0536335820481055,-0.7184969615535901,-0.4433794445855036,0.06982580319970677,0.4259376391334866,-0.39928177585915775,0.22831737315769232,-0.41695288712562756,-0.1656267888236264,0.12976713913993118,0.674437967437569,-0.08681791128508583,0.24596429578932916,0.11424565996341261,-0.7682929699677957,-0.4202369730957472,0.18713753075763417,0.05298017466181513,0.9406767525373457,-0.13272902473182674,0.4703468435419829,0.7061127435196042,-0.7096337737626329,0.5272362667466399,0.6064779734862226,0.5387131580093554
X,-0.12015682529233486,0.05317634322910854,-0.30259332603539774,1.0,-0.2568948691828044,0.26470615475306297,0.21343420345925423,0.18237598039162292,-0.33202139382757206,0.15270542192771022,-0.045131476445926126,-0.5667203201190787,0.3867574460078777,0.7611597969910471,-0.1875408811621031,0.20043064757710372,-0.2314223591772965,-0.14285714285714285,0.11460197863132673,-0.23881094119785795,0.055952257408872344,0.2293735623409196,-0.46374576520512795,-0.10579311769655064,-0.6296483623391369,0.23549555660062624,0.4436064035982844,0.2210214389211285,-0.17733862691912752,0.2066400288336189,0.673583902826809,-0.45003636188327445,0.8533902438214429,0.05383127299703536,-0.2809634753561781,0.02703985934234744,0.8179475431376999,-0.30616154849786387,-0.21448623991495838,0.010653503342124022,0.47271877271560664,0.059684332504259904,-0.20540815134051874,-0.4975687978884493,-0.5381395705483218,0.08647627185894782,-0.14285714285714285,0.2184626841951871,-0.18890522416559807,0.08899989726557145,0.02417224944107675
ADV,-0.8152766666761542,0.8123753343967495,0.4601212767502426,-0.2568948691828044,1.0,-0.4329067783416251,-0.21422783498909753,-0.3860815782563205,-0.4704705314003815,-0.3096416789928583,-0.37589072673169494,0.48107201672990413,-0.6059094100916161,0.016823141868813434,0.30234739890366125,0.8270667747227668,0.301997229411369,-0.5448295322509863,0.22245772571557373,-0.382284837968521,0.8515722599479837,-0.7201563585473933,-0.32369819878418,-0.059992998912250996,0.7311384186884727,-0.46131163474425146,-0.5174089949381826,0.09766005216285806,-0.18512667594199855,-0.14690827773609713,-0.24623177641055122,-0.38044387160705206,0.018542274710336665,-0.5147619264404323,0.2835627431625837,0.10736202706108261,-0.46476267083167405,-0.183743167988186,0.5793210248245336,-0.4733187820067401,-0.438797615904091,0.6530687528441907,-0.6143513973216762,0.2639364385529973,0.5387332097655513,0.5182164140697308,0.12546780487754183,-0.681903800517534,0.9464708800888252,0.10216135163499813,0.8409914752492431
PART,0.3573597922635642,-0.30813232377413813,0.2909558352975434,0.26470615475306297,-0.4329067783416251,1.0,0.5627683329213783,0.3879044838615434,0.061134980008523764,-0.26791564354688996,-0.14395551688462446,-0.7223422195342846,-0.27047569587861964,0.26110820257417405,-0.12498243785306593,-0.2755049067862993,0.015635663318696136,-0.24810170909751905,-0.13303671879890785,-0.2836667110105175,-0.38989463715619016,0.15097068769788288,-0.030344666457991692,0.2844590648435536,-0.17860699509597136,0.6875139869586061,0.012816664800232538,-0.001290336949811882,0.18894740203380161,0.6072626512832192,0.44460874243540616,0.2697140079709368,-0.02137318636532449,-0.26473327530785634,-0.2820242729756761,0.40284126420084326,0.5376805517830354,-0.041882356812339004,-0.2861154172600099,-0.09724793381298404,0.48307487038582975,0.021916763241414,0.7290968102840774,0.2561598267439668,-0.6292854539647381,-0.3357610896513026,0.19158799142035124,-0.018853230002172417,-0.21648233628814603,0.2997584224782097,-0.28449602567065785
CCONJ,0.23574697013583648,-0.3590310484553156,0.42972052838811725,0.21343420345925423,-0.21422783498909753,0.5627683329213783,1.0,-0.1436495684351069,0.07211404167584826,0.25805891337474646,-0.010499605785554988,-0.44698179330955856,-0.23682851214872977,-0.14425793286038915,-0.1340023682072774,-0.2731856873698431,0.09063674205644909,-0.5990495833427301,-0.09052509757750644,-0.07158233108549446,-0.2599989487586017,-0.024171536186832612,0.1574450644169768,0.22139128485588097,-0.11471030791708571,0.2587922683354492,-0.26262745160523604,-0.5646656863033755,0.6798167012065169,0.9797966580034844,-0.18219609936773334,-0.14055834404859482,-0.13046703404666563,0.25433835338123095,0.4693004081867064,0.0014224063480434085,0.2560419607630592,0.48416284263911785,0.10895368273849908,-0.03571190450123333,0.04886367208044615,0.21743072535079502,0.4897684402546554,0.4138624515579406,-0.5974760673524493,0.47060652865658237,0.046399741752731476,-0.44299833762562274,0.04375041009782993,0.15323752808112046,-0.260684865795791
NOUN,0.35164692526566044,-0.3838740397578082,-0.3750469966574527,0.18237598039162292,-0.3860815782563205,0.3879044838615434,-0.1436495684351069,1.0,0.18345760470730152,-0.29479532853169216,0.032445031073320335,-0.7537236915086768,-0.1132720622895433,0.020981467821546602,-0.6620103679141124,-0.2254596918011479,0.21778286925405255,0.43902302201560633,0.2892891157594171,0.027335286822833472,-0.3237285390192332,0.08568301368131138,0.02194611043296824,0.15045961037672703,0.012882791042660584,0.11779198983002753,0.014492410675549627,0.7792394570209018,-0.23680035893705648,-0.11537671994639867,0.7314508156235681,-0.16907495729819352,0.09832072151715071,-0.39342025270740855,-0.2751589276099204,-0.15999881601637636,0.44777373055362124,-0.06623092791608849,-0.011411843357538094,0.09201136180456074,0.08140603481682895,0.09487946925471342,0.4226022038330922,-0.4150633556179593,-0.4671398584760661,-0.5376728880049286,-0.3418134961328341,0.1516804252091512,-0.30517608504552574,-0.4789063817902671,-0.23952107712153053
SCONJ,0.6618950932642795,-0.5777737672909671,-0.14782363699323142,-0.33202139382757206,-0.4704705314003815,0.061134980008523764,0.07211404167584826,0.18345760470730152,1.0,-0.03506071905323446,0.11767075420726295,-0.12645688082209114,0.026767632475313934,-0.32465397408418084,-0.11277223433914255,-0.8216816668760059,-0.24101497350529041,0.6034156236470317,-0.7239761994285544,0.3930269583120436,-0.5534638399278888,0.6214257308740101,0.968322650998328,0.4334287921246164,-0.26815351145541133,0.4144866302881026,-0.2062350330508826,-0.22608505282657973,0.5274392822613971,0.09841600997861198,-0.17013567702470953,0.27560899681691375,-0.6727618713315056,0.2649590239421982,0.30549335407698136,-0.11717959588201148,0.02323629912025507,0.02260684989516621,0.21484806886130048,0.14855895497760863,-0.07011836115438548,-0.4581399473964274,0.30106507527540244,0.04502551522443923,-0.0642495619825739,-0.2823367199286581,0.17130799486930118,0.3075629225134577,-0.3816364749357015,0.06662763819566273,-0.5126755747647884
VERB,0.42799631472988403,-0.5274403654586385,-0.5340331379607881,0.15270542192771022,-0.3096416789928583,-0.26791564354688996,0.25805891337474646,-0.29479532853169216,-0.03506071905323446,1.0,0.8421831284526649,0.1556105822829556,0.5655540526836081,-0.2798387310490896,-0.4233648613670098,-0.19747820838154875,0.3125208287486688,0.020188465813036866,0.20625352096942537,-0.03377261472105236,-0.4873193194610106,0.36997402085987463,-0.005858912512704361,-0.704449223256663,-0.272563479864436,-0.0830905258124572,0.5379427102913755,-0.3428041144963785,0.48369176749940107,0.2090442543752826,-0.2823932757058823,-0.2346679031217297,0.22193905145895781,0.5733543344595672,0.40211893357941647,-0.7546200729449347,-0.2523244997721875,0.3194717555133051,-0.038420478926272754,0.8207617332641938,0.28355670413734524,-0.0016081812705868292,0.09900021945475969,-0.4249684702462617,0.12065791656891395,0.17716062837594296,-0.6732906448069019,0.23852573306460867,-0.2884704538056102,-0.4800972789105504,-0.6095502090174453
