,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9641706750621313,-0.06981473432455976,0.11281005869385625,-0.15406335624223344,-0.05405378970417855,-0.4051363245092148,0.5888314899096301,0.2991192029213022,-0.24557775339183652,-0.16247100947326068,-0.03759734519352503,-0.4792932966436332,0.41391100224744454,-0.014505615989980857,0.5068286386885004,-0.1211562609668152,0.259124444639576,0.06951422348094193,-0.9946857030750927,0.7426711281608595,0.6341075967541447,-0.11250315720539888,-0.2247163414638529,0.6924040956545664,-0.3123791798077456,-0.41652846600481797,0.5253565602250011,0.037053788727520916,0.11345286064481354,0.7826783972844551,-0.6616943772563155,0.19871847493432412,-0.045696585035991784,0.16633337053726593,-0.2925761811487339,-0.209789038987514,0.2866286541343798,-0.26558094011855377,-0.20263718530003544,-0.1328085516675659,-0.0444314188690269,0.08069682572312117,-0.10967909941050108,0.0888674253578241,-0.2922491158680672,0.49786905173737517,-0.06707357928330983,-0.041796862614263415,-0.9737400806812622
PUNCT,-0.9641706750621313,1.0,-0.004183360346143562,-0.17009787025669587,0.1922566413865696,0.12841041585807286,0.3599055428289821,-0.4940998615960298,-0.2127974039504107,0.22063115971618608,0.07343435663927862,0.03360241524018076,0.3868026371180865,-0.38327728087290186,-0.029775918885269256,-0.5285720156895531,0.18058552406669204,-0.08366987395903452,-0.05054336640781864,0.9681815539081114,-0.7623347573954081,-0.5530979193186045,-0.010369861117272679,0.2852518648287995,-0.6464869362610456,0.33399829409270226,0.28145620767546076,-0.4381259684712148,0.02301018147533329,-0.14149228551117204,-0.692564275228326,0.703493784740816,-0.11750209352339964,0.11766495534785014,-0.21565719483146345,0.195106909690472,0.2654476442603625,-0.15121563813574113,0.25388708097343415,0.12527873395801625,0.01566279088340023,0.02745708653146712,-0.08660392066323816,0.08411470602888427,0.049886632973622336,0.26624162704392895,-0.5152273934717746,0.09024480363430788,0.15415319987722934,0.9636171390565358
AUX,-0.06981473432455976,-0.004183360346143562,1.0,-0.21664576309116043,-0.453630868117527,-0.5781814027629242,0.4102627609444076,-0.19355833867570957,-0.6075727288443934,0.2275475093834229,0.2742637341074566,-0.1739528206073772,0.5930913803248762,0.2189528565934183,0.152839079708994,-0.2679172614461611,0.1706527827532746,-0.24437364548369245,0.30400579702558583,0.07856675750976316,-0.2132168992405509,-0.2616305566150972,0.3937257502980824,0.3086640364731884,-0.2555794673137088,0.521521300287939,0.34347915339358326,0.060536386297089004,-0.620422018840816,0.026295090852063083,-0.09075089589097446,0.031165702487707024,-0.220773636251648,0.12557233843863475,0.351736981054263,0.6138959166714393,-0.4282399062826661,-0.09991740664611143,0.22071535442716886,0.6441218543173701,0.7207686737911587,0.22632993145774094,0.4652281270663553,-0.32285520342837226,-0.3692500081862882,-0.10791497934348931,0.19493633612254477,-0.46999375760465173,-0.18807431006911987,-0.028262415256819117
ADV,0.11281005869385625,-0.17009787025669587,-0.21664576309116043,1.0,0.34174280060205264,0.17440768930925077,-0.28758326477697566,-0.37891266775726234,0.3029230367508743,0.05342245873010785,0.27547079837263044,-0.06189511304729916,-0.22222289937384454,-0.3777917125797893,0.48232075941183006,0.23916053850910965,-0.13890758567338457,-0.239844861085354,-0.4703632232077716,-0.08845934412830349,-0.24493669914776456,-0.13300078560867348,-0.19399327346227097,-0.43816430566414166,0.10354899313006978,-0.19939313648775778,0.28863967136001584,-0.14036860062432674,0.05947532645493517,0.12062431233267593,-0.24667091766188987,0.13660616432345143,0.11196840551136523,-0.11036060003859485,-0.2540116012656584,-0.3166522629470737,0.19204166745028767,-0.24177911537284424,0.10134875773344144,-0.41865588646249746,0.05803525992978434,-0.2757785315808857,-0.38843087999136783,-0.15617477532321694,0.06304447078693201,-0.05583947338959996,-0.0138648988190951,0.7961484223263846,-0.027571300148773605,-0.10094260156713271
PART,-0.15406335624223344,0.1922566413865696,-0.453630868117527,0.34174280060205264,1.0,0.5565464107835438,-0.28067900317482414,0.09567683095737463,0.21300052276853648,0.039895629956191066,-0.07145165972428304,-0.5762758397984805,-0.41701599687131063,-0.10914290359569499,0.128736195341813,0.08056120141374834,-0.4221717802355791,-0.3137198550100116,-0.5584159192960577,0.1996674928297656,-0.34063306974950014,0.18970104081267955,-0.5502925380329254,-0.38053647238965227,-0.4459613227658681,-0.0010199688826696251,0.05941698080486152,-0.02960703559886788,0.48710972566612065,0.1980232676333058,-0.03295636004095844,0.38587417423299086,-0.056066224143032896,-0.19604089008202807,-0.28134624170402195,-0.3473483989385723,0.618908243866056,0.4730952547232641,0.07448726747431712,-0.20425444154025424,-0.0970608951142553,0.3550477902264617,-0.6061597140763545,-0.2523027086451449,-0.12207025397664756,0.23710976522034977,-0.33566779971184246,0.701398522521461,-0.06507714031097787,0.2590676043744671
CCONJ,-0.05405378970417855,0.12841041585807286,-0.5781814027629242,0.17440768930925077,0.5565464107835438,1.0,-0.44158929142922226,-0.05373668096718268,0.29453601002778357,-0.43345497205127154,-0.6849246161317815,0.10849281370736544,-0.5387254346676736,0.009199852496666126,0.14656515381381202,-0.09354886674503836,0.05067137652810491,-0.07962971217471208,-0.40304508711745435,0.07385867791738379,-0.1732071768307325,0.2062456263232026,-0.5269424012752768,-0.22408941599022786,0.04281885821449587,-0.4396469896683801,-0.19367321494003376,-0.26623165736418825,0.9700849256117894,-0.3355909521340401,0.26510327337052064,0.2741294732929203,-0.27357779040012625,0.26016443449869153,-0.11743665002885922,-0.45377121949457705,0.8918933665150591,0.21121243754881233,-0.456089064906007,-0.2823036897954242,-0.5204397895994473,-0.12704971764798947,-0.3256024164633886,0.17532535137625035,-0.022592447508675194,0.5293783517174148,0.12131609818604434,0.3101474501079976,-0.05821875489823054,0.18244782045711627
NOUN,-0.4051363245092148,0.3599055428289821,0.4102627609444076,-0.28758326477697566,-0.28067900317482414,-0.44158929142922226,1.0,-0.4644594802377178,-0.3858115355151106,0.24456243028143299,0.33534465459299523,-0.2482904045821305,0.22398925068134043,-0.4822062327688743,-0.26115150025081635,-0.4185435375563107,-0.14325269049746053,0.13888926106027588,0.6451245447553049,0.40633084168531025,-0.2971371303844332,-0.6518593479788368,0.68809345880773,-0.05193268970410556,-0.43324175336789394,0.5384012591884929,0.5618311529551516,-0.20553342899399651,-0.4884115448445412,-0.06981781980456199,-0.4058394807381267,0.1966794719804016,0.06134559684998724,-0.15217459654386892,-0.37084274995534583,0.2616302420915687,-0.408196463249192,-0.010943543885877819,0.2859175039726154,0.06332524169787816,0.6432361133120287,0.054584972811829134,-0.11078398397020221,-0.2112066970591288,0.3212410333313889,0.0011709593658908062,-0.05307301898565141,-0.2793179731760625,0.16508353583950716,0.32697126642109064
SCONJ,0.5888314899096301,-0.4940998615960298,-0.19355833867570957,-0.37891266775726234,0.09567683095737463,-0.05373668096718268,-0.4644594802377178,1.0,0.08692264220249771,-0.13496124241691307,-0.15447984835214112,-0.07791180230245658,-0.30108624694950503,0.5740966802909887,-0.25023796431299067,0.3264600768576607,-0.08637726522771465,0.20088823155205898,0.04585794635049295,-0.5863657107722048,0.6487977796277827,0.9059480241391882,-0.2531174395533822,0.0011063749232817915,0.31471207490721,-0.09301059298374803,-0.6001802394696958,0.4568453616327389,0.0825526209195306,0.29547210159680976,0.5419733292077347,-0.3270414638034928,0.006363240995875564,-0.11095581443913839,0.25739605201882554,-0.22193238452063394,-0.0020784036465301067,0.3941750707952634,-0.1673327653158257,-0.0959697353154993,-0.34615786660835657,0.37013759116340245,0.20547712634038656,-0.09471546026694735,-0.15739713130599903,-0.27730682417302477,-0.13804240102974244,-0.1859104743267583,0.20619399276405423,-0.5377437628815164
VERB,0.2991192029213022,-0.2127974039504107,-0.6075727288443934,0.3029230367508743,0.21300052276853648,0.29453601002778357,-0.3858115355151106,0.08692264220249771,1.0,-0.41941288524106024,-0.42278683196422995,0.1701728950532289,-0.3492441765939216,-0.2101280042249265,0.07709590463643068,0.3017757511526817,-0.08756352897917329,0.24370120282451718,-0.40401719510251094,-0.2807899560393547,0.23567800780754994,0.1796300520416095,-0.4767279173944671,-0.2825269586821161,0.5011452640402801,-0.5629631371280884,-0.2136348038210863,0.3409303065137921,0.3143664493106913,-0.38495987904530854,0.3688614635851984,-0.07839413782232137,0.7391564672286939,0.23800505868621424,-0.22195504028691243,-0.3845322796933001,-0.01643937547071976,0.2790621191001224,-0.3580012391723464,-0.27681584704274387,-0.3365802819154617,-0.007696522897238235,-0.5136567937957348,0.5875347864365407,0.5771334995114777,0.2578428620590125,-0.06830282839222077,0.3064734063841924,0.13704905510818347,-0.17007402965366983
ADP,-0.24557775339183652,0.22063115971618608,0.2275475093834229,0.05342245873010785,0.039895629956191066,-0.43345497205127154,0.24456243028143299,-0.13496124241691307,-0.41941288524106024,1.0,0.823554568309392,-0.28907262034997655,0.10784143740626735,-0.25735730991254874,-0.45595724906087304,0.3896954213881606,0.1736094858440704,0.11844971432449582,0.11663337267434593,0.24187894691503903,-0.3655074187352102,-0.39285284632220935,0.048156827959141765,0.13332088320958888,-0.5139879132308565,0.20797193727299645,0.17786201387847053,-0.08624485882605631,-0.4985724681990756,0.7587749486885182,-0.3464540967520621,-0.06569242021480205,0.022388298357705415,-0.2822611810569534,-0.2765983656862346,-0.06405785893358142,-0.2581220140251238,0.002639311743949565,0.9900202550492313,0.021739715012150787,0.31696247291106516,0.0899642793281667,-0.07605479841494323,-0.5212767571202856,-0.10490389538349325,-0.6117391950596017,-0.04075020791958327,0.31655296805999134,0.042284225014926895,0.13292610732505292
