,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9784885119204885,-0.5648926887292088,-0.3508617520132956,-0.5917056923503784,0.2233092802372926,0.07778005232612402,-0.381416265044346,0.6753175708214576,0.8896078597127606,-0.4812522689041018,0.3376312501077696,0.37243920121675406,0.0021149903529177664,-0.375019542011498,0.16632854891925994,-0.0115013945145244,-0.4851410350134013,0.1374690487212202,0.3369695857708407,-0.9874937252054966,0.055872154062354476,-0.07168022356500812,-0.3690163123888913,-0.0115013945145244,0.12247557460204185,0.703999127119256,-0.5702080851867576,0.4622931152372346,0.28483973968888904,0.23201082253129401,-0.2184373425424889,-0.4060362828367637,-0.09514867009181416,0.20493857064468926,0.24390208539876584,0.3673021362525717,-0.021242852861030174,0.5509304827915921,0.30018140449094793,-0.3520959433888216,-0.42155959439508867,-0.5247224710055249,0.28458838359752553,0.044223507036325216,-0.232765865980239,-0.21014914768915471,-0.30317121964072663,0.36824598655939234,-0.9717169882802611
PUNCT,-0.9784885119204885,1.0,0.5618737339648116,0.4246418258799206,0.5195367724174446,-0.36327490006165164,-0.22094242357143018,0.3100624638739732,-0.7016911008272956,-0.8580433984332457,0.6023587348966264,-0.1785230626183728,-0.38181789372477887,0.10557980083578467,0.3878999682466146,-0.20636784162289143,-0.09680851124512488,0.57625205768653,-0.13416698267649135,-0.255557495287654,0.9939220810597237,-0.18244911393992247,0.059218524535207956,0.454220415828664,-0.09680851124512488,-0.20204540831566423,-0.7690941681123215,0.5655418874482578,-0.5338512303560281,-0.43988529472634097,-0.22570307831295425,0.14540504664105564,0.42253492687337785,-0.028464506979456176,-0.28397701684430976,-0.1999426362122289,-0.410529072198392,-0.020812514581460308,-0.5335295002953254,-0.11412272497805476,0.36872401031068197,0.37280146561980887,0.5777956316183946,-0.20973818255267132,-0.04483990074142652,0.3218783998100971,0.3284807438617411,0.37003059937969096,-0.3983621887264706,0.9869322139338972
AUX,-0.5648926887292088,0.5618737339648116,1.0,-0.06925126826402862,0.2772753818979097,-0.47305731272494894,-0.2722753133711133,-0.0338084969918234,-0.7417877029523441,-0.2349022688950982,0.6281082105388099,-0.13799546877946095,0.24531552186890543,0.21433662601710085,-0.37716982134484583,-0.05153325068881583,-0.2569163877612161,0.6421523182078941,-0.5392269251271024,-0.5122289902277508,0.5568201612855557,-0.3916776456485959,-0.29031256160531826,0.6564719352734185,-0.2569163877612161,-0.1896558796695584,-0.23236242013136635,0.8034213950285685,-0.3512207127694034,-0.5081736439368918,-0.10574337312373917,0.04228635012370489,0.6892744186486335,0.34098446904729685,0.24252124352543267,0.1812140731722284,0.15939130987584776,-0.6501415216758881,0.07426573914755295,-0.36474278925638215,0.8331009253978076,0.6807417435754277,0.9316459207721868,-0.3890767949656933,0.5259845492189407,0.04260998626419767,0.09282517757723106,0.17101604595618491,-0.5058840262417148,0.6224328634300681
ADV,-0.3508617520132956,0.4246418258799206,-0.06925126826402862,1.0,0.15711988352298245,-0.5907964987739819,-0.34119627683832565,-0.16060004657738944,-0.48756300389149454,-0.2735232889113093,0.4944408259589476,0.05116032495109435,-0.20490184901712735,0.35438727324586483,0.37034194597803594,-0.027896006570013378,-0.6677094204156644,0.3708480475107937,0.4046912961644671,-0.20803674392156174,0.4070471565685307,-0.3538522252580272,-0.2600750329771677,0.3543625580834468,-0.6677094204156644,-0.07435140823451257,-0.44627006766038146,0.2540320919834332,-0.12359791780918164,-0.5414327166922434,0.4429642525560468,0.6492113980616928,-0.09832636051704578,-0.2729035709351718,-0.04697136476403363,0.012384431543626971,-0.3481095944909518,-0.22715492907512344,0.004329437469855765,0.2815817739942446,0.08572847560671824,0.12803898326124197,0.14507046367123755,-0.31573894149314585,-0.6239505531975199,0.5409891205188498,0.5443160268382776,0.7880584905893473,-0.36023654840728503,0.3597955128369649
PART,-0.5917056923503784,0.5195367724174446,0.2772753818979097,0.15711988352298245,1.0,-0.08568102182486816,0.3773284937847355,-0.16958803379796972,-0.1922829640420137,-0.4895525541016952,0.13397051548162953,-0.30085392302117114,-0.4462753035353283,-0.711309334481394,0.02989629464248847,0.35339776475568996,0.2604779465264038,0.020901336507581678,-0.22812481584671054,-0.416468389978859,0.5495050873667734,0.16664284051907646,-0.45514480958165954,0.26429796892203267,0.2604779465264038,-0.5464691149397861,-0.3520176245357409,0.16438416363708833,0.3152849509350329,-0.014879877871827835,-0.06187856122857001,0.39691376300306863,0.2532463071469371,0.38589575070459853,0.37011343067363645,-0.6413115456073254,-0.5087250417975023,0.026278909458510993,-0.03348409701937613,-0.4865273403464848,0.09868215030064753,0.48064321990970804,0.204075024422667,0.021287453575826978,-0.21758541200995338,-0.3591320949754503,0.10978751114324609,0.38545649866594034,-0.2794922573093349,0.45417585978555214
CCONJ,0.2233092802372926,-0.36327490006165164,-0.47305731272494894,-0.5907964987739819,-0.08568102182486816,1.0,0.5313113668475683,0.563272078781535,0.6728960567552565,-0.11348712858640565,-0.7718139924561216,-0.3923495668715844,-0.12717942477549085,-0.4537760171303054,0.28967094749135724,-0.1928236073910196,0.8377557340292001,-0.5639004942612476,0.2143980785538132,0.326405623753729,-0.31103921461875833,0.7809930278004689,0.5825725154851631,-0.7240436250489507,0.8377557340292001,0.5035963521196956,0.4373120001481384,-0.38996777519684994,0.14107275610851597,0.9803854412693722,-0.4176495040824241,-0.26118160430988696,-0.3834985671215311,0.18457687319481594,-0.22999356404626514,-0.3328027669352885,0.08753350521634415,0.7453723117563529,-0.4217919905833367,-0.39561359990703,-0.6504291507192217,-0.45960218756893695,-0.6504039282119716,0.21008382123671937,0.12138218226452617,-0.26977152729098164,-0.6897934425675878,-0.7723543519162344,0.7017379273102798,-0.35496999826743886
NOUN,0.07778005232612402,-0.22094242357143018,-0.2722753133711133,-0.34119627683832565,0.3773284937847355,0.5313113668475683,1.0,0.21504133601598094,0.23275850228711095,0.013896839451842682,-0.7300767322603391,-0.6910149633328804,-0.38146176167591817,-0.7247822527989292,-0.285146864900532,0.5597037750581871,0.5747296533289076,-0.7587508746915766,-0.37749626258792646,-0.43162242095176845,-0.143211548234565,0.743383892710967,0.08526850220116745,-0.3959591725398105,0.5747296533289076,0.13981838478736672,-0.052066457753901896,-0.5224875624028761,0.7347657734868733,0.5988710988351851,0.308776116692813,0.12965926181502016,-0.41808274475559026,0.6072342156594711,0.3564890913990215,-0.18674332991866044,-0.16192341663105053,0.32141359930603014,-0.03355044705952716,-0.41552215370783396,-0.13066110987637045,0.3232826284200686,-0.49219488860095095,-0.20706340850902205,-0.4263165067546835,-0.5002015075685378,-0.4977685319985886,-0.02695790338563559,-0.11381422945377075,-0.178661436827647
SCONJ,-0.381416265044346,0.3100624638739732,-0.0338084969918234,-0.16060004657738944,-0.16958803379796972,0.563272078781535,0.21504133601598094,1.0,-0.07122745748623759,-0.6242398573284769,-0.18836685731337355,-0.5901832749470444,-0.3875207598035124,0.0997231625472093,0.45382858206761684,-0.5398348649240676,0.48418284176078213,0.027964790501248345,-0.007243550941235096,0.05410617583727322,0.3644065576951372,0.6041664759729249,0.8977462465024049,-0.22628772614437737,0.48418284176078213,0.7364380458198156,-0.22807641484484914,0.09354936593225373,-0.39238007776304773,0.440736822026198,-0.30253696696989896,-0.28347309296471124,-0.33293109208795746,0.17860973550142256,-0.6545380350828599,-0.07265185088884724,-0.15734206643840326,0.5382431265005548,-0.8821548478930883,-0.1404402722726329,-0.20080528002681386,-0.13211698016564835,-0.11322749606793493,-0.24973007543997056,0.043100482866150015,0.4236548288711439,-0.560366181482946,-0.3943749880811265,0.27363931727934143,0.37523643024617603
VERB,0.6753175708214576,-0.7016911008272956,-0.7417877029523441,-0.48756300389149454,-0.1922829640420137,0.6728960567552565,0.23275850228711095,-0.07122745748623759,1.0,0.3401713293576401,-0.6254812169712601,0.2750269226668113,-0.05122287129806332,-0.4673946711343187,0.17360596369959216,-0.06713455919073197,0.5996860310692045,-0.561944718790639,0.33896848637372523,0.686132401295241,-0.6979785243175032,0.4331896473452183,0.20351110198669103,-0.6029903554023194,0.5996860310692045,0.01146012610778243,0.6143278573565419,-0.6667199459755709,0.3350831155511633,0.6919081762914664,-0.35600523653128946,-0.39077810357415643,-0.4015230833761855,-0.1643285939704242,-0.14354939917879805,-0.40410098776746767,-0.010849108220067346,0.6229407787123088,0.021963419821912196,0.10893366204203574,-0.8446180527661274,-0.7440795477603387,-0.743845865194558,0.7233439541202731,0.08891080858057777,-0.35736367138557923,-0.33493026261092723,-0.6134600941552169,0.7967777036536604,-0.7628873985345922
ADP,0.8896078597127606,-0.8580433984332457,-0.2349022688950982,-0.2735232889113093,-0.4895525541016952,-0.11348712858640565,0.013896839451842682,-0.6242398573284769,0.3401713293576401,1.0,-0.30426643413939575,0.3620815353727708,0.5924643541189402,0.11359226861992061,-0.6642159242544503,0.4276950888195692,-0.3099039602650014,-0.38210191770349017,-0.06364308833838668,0.02987410224552797,-0.8831833234789283,-0.2607472231201797,-0.3935816456176876,-0.17144260829959063,-0.3099039602650014,-0.0790231011805777,0.5828796542583595,-0.38687309829335476,0.4714586357639131,-0.025945579634898082,0.4333949194776809,-0.034606784181725976,-0.09256965923469596,-0.044186706586977535,0.5162652330540017,0.49332471334833944,0.5453825379358923,-0.40954285098467236,0.8298501984257667,0.203747009761101,0.08121900044597331,-0.06485747941018648,-0.2360915916074748,0.060569168817127185,0.06895183153213694,-0.3569056308853762,0.0319810752905063,-0.0635164341299464,-0.030486315534223367,-0.8282617567902715
